experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_deepseek_v4pro_50,run_001,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,"Average overnight glucose is 93-105 mg/dL near the 90 mg/dL target. TBR is 10-18.5% in the first two hours of the night but drops to 3-4.8% by 02:00-06:00 when IOB has fully decayed. This pattern indicates the hypoglycemia is IOB-driven from daytime corrections (DIA 10h), not excessive basal rate. Changing basal before introducing meal boluses to reduce daytime IOB would be premature."
real_deepseek_v4pro_50,run_001,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,Glucose is stable at 104.2 mg/dL with TBR 4.8% during this segment. The 0.7 U/h rate provides appropriate coverage for the dawn transition without inducing hypoglycemia.
real_deepseek_v4pro_50,run_001,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,Glucose is stable at 99.5 mg/dL with TBR 2.5% at 06:00 and 1.3% at 07:00. The 0.8 U/h step-up covers the dawn period effectively. No evidence of basal excess or deficit during this window.
real_deepseek_v4pro_50,run_001,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,"Glucose rises from 132.9 to 148.0 mg/dL during this segment, but the rise coincides with unannounced meal timing and cannot be attributed to basal deficit. The 0.7 U/h rate is a modest reduction from the dawn 0.8 U/h and is structurally appropriate. Do not increase daytime basal without first establishing meal boluses to separate meal-driven from basal-driven glucose rise."
real_deepseek_v4pro_50,run_001,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,"This is the lowest basal segment and is intended as a protective floor during the afternoon insulin sensitivity window. Despite the 0.5 U/h rate, glucose falls from 162.8 to 148.9 mg/dL and TBR rises to 7.7-15.3% by 18:00-19:00. The crashes are driven by correction IOB stacking, not basal excess. Reducing this already-low segment further would risk hyperglycemia if IOB stacking is reduced by meal bolus introduction."
real_deepseek_v4pro_50,run_001,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,"Glucose continues to fall during this segment (124.2 mg/dL at 18:00, TBR 7.7%) but the decline begins in the previous segment and is driven by correction IOB. The 0.6 U/h is a modest step up from the 0.5 U/h floor. Keep until meal boluses establish a new baseline and reduce afternoon IOB."
real_deepseek_v4pro_50,run_001,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,"Glucose stabilizes at 105.4-120.0 mg/dL during this segment with TBR declining from 15.3% at 19:00 to 4.8% by 20:00. The 0.7 U/h rate appears appropriate for the evening transition. The early-evening TBR is a residual effect of afternoon IOB, not the 0.7 U/h basal rate."
real_deepseek_v4pro_50,run_001,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,No meals are consumed during this overnight window. The 13 g/U value is a reasonable overnight setting. Cannot be validated without carb entries.
real_deepseek_v4pro_50,run_001,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,"No meals are observed during this early morning window. The 11.1 g/U is the most aggressive CR, appropriate for dawn phenomenon insulin resistance. Cannot be validated without carb entries."
real_deepseek_v4pro_50,run_001,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,"This segment covers breakfast and lunch. The 13.2 g/U is a reasonable starting point for daytime meals. Glucose rises during this window but the rise is from unannounced meals with zero bolus insulin, not from incorrect CR. Introduce carb entries with this CR and evaluate after one week."
