experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_opus5,run_001,completed,,claude-opus-5,1052.83,3.1513,103660,92827,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,1.0,22.0,0.0,aaps.core.safety_limits,dia,keep,medium,"Keep all 17 profile rows unchanged this cycle, including DIA at 10 hours, and instead verify DIA with one targeted observation: identify an evening with no correction bolus, no SMB and no unannounced meal after roughly 20:00 local, and record how the reported insulin on board decays over the following 6 to 10 hours together with the glucose trace.",low,2.0,"Current operation is fully unannounced: no prebolus, no immediate bolus percentage, no carbohydrate or e-carb entry, with UAM and boosted SMB performing all meal work reactively. The single useful strategic step is to change information timing rather than any dose parameter: begin logging carbohydrates with an accurate timestamp for the one recurring midday meal around 12:00 to 13:00 local, while changing nothing else. Prebolus minutes and immediate bolus percentage cannot responsibly be proposed at any value yet, because no announced meal exists in the period against which either could be assessed, and proposing a number would be invention. SMB and UAM should remain enabled throughout, since smb_always_enabled is true and announcing carbohydrates therefore substitutes carbohydrate-driven prediction for unannounced-meal prediction rather than adding a second layer of dosing. E-carbs should not be introduced at this stage: the observed absorption profile of roughly three to four hours to peak and six to seven hours total is exactly the shape e-carbs address and meal_max_absorption_hours of 7 already matches it, but with zero prior carbohydrate entries no e-carb amount, start offset or duration can be sized from meal-linked evidence, and no duration was inferred from any aggregate figure since average_extended_carb_duration_min is null. Note that announcing carbohydrates makes the never-yet-exercised carb ratio segments live for the first time, particularly 13.2 g/U at 08:00 and 10.5 g/U at 16:00, and that min_carbs_required_grams is 20.",4.0,smb,Primary: review the max IOB ceiling as the first and only change this cycle,safety,smb;smb;cr;target,8.0,7.0,9.0,"Fourteen days of Nightscout data with 98.7 percent CGM coverage, 5-minute cadence, 3995 valid entries and no invalid or duplicate records. Overall metrics are acceptable: average 121.6 mg/dL, time in range 86.0 percent, coefficient of variation 32.6 percent. The issue is the shape of the day rather than the overall level. In local time (BST, UTC+1) glucose rises from about 09:00, peaks in the afternoon (16:00 local average 162.8 mg/dL, 32.1 percent above range), then falls into two hypoglycemia clusters: 18:00 to 19:00 local (19:00 local 15.3 percent below range) and 23:00 to 03:00 local (01:00 local 18.5 percent below range). Overall time below range is 5.1 percent. Across the whole period there are zero carb entries, zero e-carb entries and carbohydrates on board reported as zero in every sampled loop status, so the system operates fully in unannounced-meal mode with UAM and SMB providing all meal coverage. Loop statuses show a non-stock build with additional boost logic, insulin on board peaks of 4.73 and 5.935 units, and dynamic sensitivity values between 27.8 and 124.0 mg/dL per unit against a flat profile ISF anchor of 56. The most consistent explanation of the high-then-low pattern is reactive over-delivery with a long tail under a 10-hour DIA, not a single mis-set basal segment.",1307.0
real_opus5,run_002,completed,,claude-opus-5,1136.97,3.313,108110,98405,True,strict,False,0.9706,1.0,"meal_strategy_summary fields: ['confidence', 'confidence_note', 'exceptions', 'next_observation', 'rationale', 'suggestion']",True,strict,False,meal_strategy_summary,1,accepted_first_pass,True,meal_fields_exact,1.0,0.0,0.0,,False,1.0,22.0,0.0,aaps.core.safety_limits,dia,keep,medium,"Keep all 17 profile values unchanged for now, including DIA at 10 hours, and address the observed low burden through the single insulin-on-board ceiling change in the AAPS settings first. Then verify DIA specifically by identifying evenings with no microbolus activity after local 20:00 and checking whether the local 23:00 to 03:00 low band still appears on those nights.",low,2.0,"The highest-leverage step is informational rather than a dose change: begin recording the carbohydrate amount and actual clock time of every eating occasion, including rescue carbohydrate, so the algorithm and the review both learn about meals before glucose rises rather than after. Because the user-declared strategy block contains zero strategy entries, no prebolus interval and no immediate bolus percentage are declared anywhere in the package, so no specific number of minutes and no specific percentage is proposed here; establish announcement first and derive both from what is then observed, giving insulin before eating rather than as a correction afterwards so that a smaller total dose is front-loaded instead of a large late boost. Keep SMB and UAM enabled throughout, since they remain the safety net for anything under-announced and are the only reason 86.0 percent time in range was achieved with no carbohydrate entry at all. Defer extended carbohydrate entries entirely until ordinary carbohydrate entries with six-hour follow-through exist, since absorption cannot be judged without them and extended carbohydrate entries are a carbohydrate-model construct rather than a pump extended bolus. This behavioural step must be run separately from, and after, the single automation change, because announcement alters what the algorithm knows while the ceiling alters how far it can stack.",4.0,smb,Reduce the maximum insulin-on-board ceiling as the single first change,safety,smb;isf;cr;basal,10.0,8.0,9.0,"Fourteen days of Nightscout data with 98.7 percent CGM coverage, 5-minute cadence, and no invalid or duplicate readings. Overall time in range is 86.0 percent, mean glucose 121.6 mg/dL, standard deviation 39.7, coefficient of variation 32.6 percent. Time above range is 8.9 percent and time below range is 5.1 percent. The low burden is not evenly spread: it concentrates at local 01:00 (18.5 percent below range) and local 19:00 (15.3 percent below range), with additional 10 to 11 percent bands at local 00:00, 02:00, 03:00 and 23:00. Highs concentrate in local afternoon, peaking at 16:00 with 32.1 percent above range and a mean of 162.8 mg/dL. No carbohydrates were entered during the whole period, so the loop operated entirely through the unannounced-meal path with COB reported as zero in every sampled status. Sampled loop statuses show insulin on board peaking at 4.73 and 5.935 units against a scheduled basal of 16.2 units per day, three separate 120-minute zero-basal suspends, and two predicted minimum guard values below zero. Dynamic sensitivity is active and produces effective sensitivity from 27.8 to 124.0 mg/dL per unit against a flat profile value of 56, roughly doubling dosing strength above about 150 to 170 mg/dL. Device confounders are present: an occlusion and pump error announcement on 08-19, no site change recorded after 08-17, a sensor change on 08-21 about three hours after a 42 mg/dL reading, and GLP-1 notes on 08-14, 08-17 and 08-20.",1471.0
real_opus5,run_003,completed,,claude-opus-5,831.17,2.0675,56672,68338,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,1.0,22.0,0.0,aaps.core.smb_delivery,basal,keep,medium,"Keep all 17 profile values unchanged in this cycle, including every basal segment, all carb ratios, the flat 56 mg/dL/U ISF, all three targets and the 10-hour DIA, and instead run one automation change first with a defined observation window.",low,2.0,"The highest-leverage step is announcing food at all rather than tuning a dose parameter: all 14 days are fully unannounced, so unannounced-meal detection can only react after glucose is already rising, and the amplified catch-up that follows produces both the 16:00 local peak of 162.8 mg/dL and the 18:00-19:00 local falls. A reasonable direction to discuss is announcing one recurring daily meal by entering the carbohydrate estimate shortly before the first bite rather than after, while keeping microbolusing and unannounced-meal detection enabled and leaving carb ratios, ISF, basal, targets and DIA untouched. No specific prebolus interval and no immediate bolus percentage can be proposed as numbers, because aaps_profile.analysis_context.meal_strategies is an empty array with strategy_stable_for_period null, so neither value was declared, and neither is measurable in the telemetry; only the direction, announcing earlier rather than later, is supportable. Because always-on microbolusing is true, microbolusing continues regardless of whether carbohydrates are entered, so this is an information change rather than an added dose. E-carbs are not indicated by any current evidence, since extended carbohydrate entries are zero and there is nothing to extend; they should be considered only if announced meals later reveal a genuinely prolonged absorption tail, and they are not equivalent to a pump extended bolus.",4.0,smb,Primary: discuss reducing the unannounced-meal microbolus ceiling as the single first change,safety,smb;safety;basal;cr,8.0,7.0,9.0,"Fourteen days of Nightscout data with strong CGM quality (98.7 percent coverage, 5-minute cadence, 3995 valid entries, no invalid or duplicate readings). Overall glucose metrics are largely at consensus goals: average 121.6 mg/dL, time in range 86.0 percent, coefficient of variation 32.6 percent. Time below range is 5.1 percent, above the commonly cited 4 percent goal, and is the main limiting factor for any intensification. The dominant pattern is a daily cycle: a steady climb from 08:00 local (110 mg/dL) to a 16:00 local peak (162.8 mg/dL, 32.1 percent above range), followed by a steep fall into 18:00-19:00 local, where two level-2 hypoglycemia clusters occurred (42 mg/dL on 08-13, 41 mg/dL twice on 08-14), and continued low exposure overnight (18.5 percent below range at 01:00 local). No carbohydrates were entered in the entire period, so unannounced-meal detection is the only meal coverage channel. Loop statuses show insulin on board reaching 4.73 U and 5.935 U against a profile basal total of 16.2 U/day, with single microboluses up to 1.6 U and temporary basal rates up to 4.0 U/h, followed by reactive 120-minute zero-basal periods with minimum guard predictions of -4 and -59 mg/dL. The pattern is most consistent with late meal detection followed by amplified catch-up dosing, rather than with a single incorrect profile value. Confounders present in the same days include three GLP-1 notes (08-14, 08-17, 08-20), an occlusion and pump error on 08-19, three site changes and two sensor changes.",1518.0
real_opus5,run_004,completed,,claude-opus-5,1036.08,2.9195,95945,93804,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,2.0,21.0,0.0,aaps.core.safety_limits;aaps.core.sensitivity,isf,keep,medium,"Keep all seventeen profile rows unchanged for now, including ISF at 56 mg/dL/U, and address high-glucose aggressiveness through the dynamic sensitivity factor in the automation layer instead. The one profile row most likely to matter later is ISF, and it should be held in reserve as the fallback lever if reducing the dynamic factor does not sufficiently reduce the post-high hypoglycemia pattern.",low,2.0,"Keep the present approach unchanged for now: no prebolus, no immediate bolus percentage, full reliance on SMB and UAM, and no extended carbohydrate entries. Do not introduce any of these in the same period as an insulin-setting change. The system currently achieves 86.0 percent time in range with zero carbohydrate announcement, but it does so reactively, letting glucose rise first, which produces 20.2 percent above range at 10:00 and 32.1 percent at 16:00 local, and then applies a large late catch-up dose under a steepened effective sensitivity and a lowered effective target, which lands two to four hours later as hypoglycemia at 18:00 and 19:00 local. Prebolus timing, immediate bolus percentage and extended carbohydrate parameters cannot responsibly be set from this package, because the user declaration contains an empty meal_strategies array and no carbohydrates were logged, so the meal domain should stay unchanged while the automation levers are tested one at a time.",4.0,smb,"Discuss reducing max IOB as the first, independent step",safety,smb;isf;smb;cr,10.0,6.0,10.0,"Fourteen days of Nightscout data with good CGM coverage (98.7 percent, 5-minute cadence, largest gap 65 minutes). Overall time in range 86.0 percent, mean glucose 121.6 mg/dL, coefficient of variation 32.6 percent, time above range 8.9 percent, time below range 5.1 percent. Local time is UTC plus 1 hour, verified by comparing hourly_glucose with hourly_glucose_local. The active AAPS profile is confirmed in force: the loop reports carb ratios matching the profile segments in 17 of 18 checkable samples. No carbohydrates were logged in the entire period (0 carb entries, 0 grams, cob equals 0 in all 24 sampled loop statuses), and the user declaration in aaps_profile.analysis_context contains an empty meal_strategies array, so the regimen operates as fully unannounced with UAM coverage only. Two distinct patterns dominate: elevated glucose from 09:00 to 17:00 local (peak hour 16:00, mean 162.8 mg/dL, 32.1 percent above range) and clustered hypoglycemia in two windows, 23:00 to 03:00 local (up to 18.5 percent below range at 01:00) and 18:00 to 19:00 local (7.7 and 15.3 percent below range). Six of 24 therapy response windows fall below 70 mg/dL within 6 hours despite logged boluses of only 0.05 to 0.65 units, indicating the drops originate from loop-driven microboluses and temporary basal rather than from manual dosing.",1335.0
real_opus5,run_005,completed,,claude-opus-5,795.29,1.9597,51687,65021,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,1.0,22.0,0.0,aaps.core.safety_limits,dia,keep,low,"Keep all 17 profile rows unchanged for now, including the duration of insulin action of 10 hours, and verify the insulin-on-board tail hypothesis by checking whether early-evening lows persist after the maximum insulin-on-board ceiling is reduced and site reliability is confirmed.",low,2.0,"Begin announcing the recurring midday meal with approximate grams entered at the meal, and change nothing else. No prebolus timing and no immediate bolus percentage can be proposed from this package, because the user-declared analysis_context contains an empty meal_strategies list and telemetry contains zero carbohydrate entries and no meal-sized boluses, so any figure would be invented; in practice the effective prebolus was zero minutes and the effective immediate bolus percentage was zero, by construction. Keep SMB and UAM enabled exactly as configured, since UAM is the only meal-handling mechanism present and is what sustains 86.0 percent time in range. Do not introduce extended carbohydrates yet, because with a 10-hour duration of insulin action, a 7-hour maximum absorption setting, boosted SMB and time below range already at 5.1 percent with two level-2 clusters, adding an extended carbohydrate-on-board tail before the maximum insulin-on-board ceiling is in place would increase stacking risk in exactly the 18:00 to 20:00 local window where the lows occur. Once 7 to 10 days of simple carbohydrate entries exist, prebolus, immediate bolus percentage and extended carbohydrates all become testable and can be discussed with the care team on evidence.",4.0,safety_limits,Reduce the maximum insulin-on-board ceiling to a value that can actually act,safety,safety_limits;data_quality;safety_limits;target,8.0,5.0,9.0,"Fourteen days of Nightscout data with 98.7 percent CGM coverage, 3995 valid entries at 5-minute cadence, largest gap 65 minutes. Overall glucose average 121.6 mg/dL, time in range 86.0 percent, time above range 8.9 percent, time below range 5.1 percent, coefficient of variation 32.6 percent. The average picture is good; the residual burden is hypoglycemia, concentrated in two local windows: 18:00-19:59 local (time below range 7.7 and 15.3 percent) and 23:00-03:59 local (10.1 to 18.5 percent). Hyperglycemia is concentrated in the afternoon, peaking at hour 16 local with an average of 162.8 mg/dL and 32.1 percent above range. No carbohydrates were logged during the entire period (0 carb entries, 0 grams, no extended carb entries), and the user-declared analysis_context contains an empty meal_strategies list, so declaration and telemetry agree that meal insulin was delivered entirely reactively by the loop. Two peak insulin-on-board events (4.73 U and 5.935 U) both coincide with probable delivery failure: a recorded Occlusion and Pump Error on 08-19, and infusion site day 4-5 on 08-21. The configured maximum insulin-on-board of 25 U is approximately 1.25 times the estimated total daily insulin and has never limited anything.",1241.0
real_opus5,run_006,completed,,claude-opus-5,1003.84,2.8562,100195,90425,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,1.0,22.0,0.0,aaps.core.safety_limits,basal,keep,medium,"Keep all seven basal segments, all three targets, all five carb ratios, the flat ISF of 56 mg/dL/U and the 10-hour duration of insulin action unchanged for now, and verify the overnight low pattern with one specific observation: on two or three evenings that contain no correction bolus, no boosted microbolus activity and no temporary target after local 17:00, record whether the 23:00 to 03:00 window still shows glucose below 70 mg/dL.",low,2.0,"Move from a fully reactive unannounced-meal workflow toward an announced-carbohydrate workflow, starting with announcement itself rather than with prebolus timing or an immediate bolus fraction. Concretely, for discussion with the care team: begin entering carbohydrate amount and time for the recurring morning meal so that the carb ratio, which is configured but idle, starts carrying part of the load before the rise rather than leaving the dynamic sensitivity curve and unannounced-meal handling to carry all of it afterwards. Introduce any prebolus interval and any immediate bolus percentage only after announcement alone has been observed for at least a week, because the 10-hour duration of insulin action and the boosted unannounced-meal response, which has already delivered a single 1.6 U microbolus and 5.935 U of insulin on board, mean front-loaded insulin would stack on top of automation output. Keep microbolus and unannounced-meal handling enabled throughout, since they are currently the only meal coverage and must remain the safety net for whatever announcement under-covers; boosted activity would be expected to decrease as earlier information reaches the loop. Do not introduce e-carbs at this stage: there is no meal-linked absorption evidence to size them, and layering an e-carb duration onto a 7-hour absorption ceiling and a 10-hour duration of insulin action would extend insulin exposure into the local 18:00 to 03:00 window that already carries 7.7 to 18.5 percent below range.",3.0,smb,Discuss tightening the maximum insulin on board ceiling as the single primary change,safety,smb;smb;cr,8.0,6.0,7.0,"Fourteen days of Nightscout data with strong CGM coverage (98.7 percent, 5-minute cadence, 3995 valid entries, largest gap 65 minutes) show an average glucose of 121.6 mg/dL, time in range 86.0 percent, time above range 8.9 percent, time below range 5.1 percent and a coefficient of variation of 32.6 percent. Control is good on average, but two opposing patterns repeat by local hour: a hyperglycemic block from about 08:00 to 17:00 peaking at 16:00 (mean 162.8 mg/dL, 32.1 percent above range, 0.0 percent below range), and a hypoglycemic block from 18:00 to 03:00 peaking at 19:00 (15.3 percent below range) and 01:00 (18.5 percent below range). The fasting-like window from 04:00 to 08:00 is the cleanest part of the day (time in range 95.2 to 98.7 percent, almost no time above range), which argues against a general basal defect. No carbohydrates were entered during the whole period (0 carb entries, 0 e-carb entries, carbohydrates on board 0 in all 24 loop snapshots) and all 24 therapy response windows are correction boluses, so all meal coverage is delivered reactively by unannounced-meal automation. Loop snapshots show effective sensitivity ranging from 27.8 to 124 mg/dL/U against a flat profile value of 56 mg/dL/U, single microboluses up to 1.6 U, temp basal reaching an internal ceiling of 4 U/h, and insulin on board reaching 4.73 U and 5.935 U against a scheduled basal of 16.2 U per day. The most consistent reading is late and amplified reaction to unannounced meals, propagated by a 10-hour duration of insulin action into the evening and overnight low windows.",1584.0
real_opus5,run_007,completed,,claude-opus-5,1048.0,2.9152,104014,92021,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,2.0,21.0,0.0,aaps.core.safety_limits;aaps.core.sensitivity,basal,keep,low,"Keep all 17 profile rows unchanged for now, including the eye-catching 0.5 U/h afternoon basal segment at 16:00, and make the first change on the automation side instead by reducing the dynamic ISF adjustment factor.",low,2.0,"Announce before accelerating, and add nothing to the front of the meal yet. Today there is no prebolus, an effective immediate bolus percentage of zero, and every meal is answered reactively by SMB and UAM after the rise has already started, with a 10-hour insulin tail landing two to five hours later in the 18:00 to 19:00 and 22:00 to 01:00 below-range bands. Keep SMB and UAM enabled throughout, since they are the only meal mechanism in use. Do not introduce a prebolus, do not set an immediate bolus percentage, and do not start e-carbs at this stage. The single productive first step is to give the loop the input it has never had: log one recurring meal at eating time with an approximate carbohydrate estimate, changing nothing else, and only after the automation guardrails have settled. Prebolus timing, an immediate bolus percentage and any e-carb amount, offset or duration should be discussed only once that logged data exists.",4.0,isf,Primary: reduce the dynamic ISF adjustment factor as the single first change,safety,isf;smb;cr;target,8.0,7.0,7.0,"Fourteen days of Nightscout data with high CGM coverage (98.7 percent, 5-minute cadence, 3995 valid entries, largest gap 65 minutes). Overall glucose average 121.6 mg/dL, time in range 86.0 percent, coefficient of variation 32.6 percent, time above range 8.9 percent, time below range 5.1 percent. The daily shape in local time is consistent: a clean and flat fasting-like window from 04:00 to 09:00, a slow rise from 09:00 peaking at 16:00 (average 162.8 mg/dL, 32.1 percent above range, 0.0 percent below range), then a decline into 18:00 and 19:00 (7.7 and 15.3 percent below range) and a second below-range band from 22:00 to 01:00 (up to 18.5 percent at 01:00). No carbohydrates were entered during the whole period (0 carb entries, 0.0 g total, no extended carb entries, COB reported as 0 in every sampled loop status), so all meal-related insulin was delivered reactively by UAM and temp basal. Manual boluses are very small (median 0.2 U, range 0.05 to 2.4 U) and cannot explain the observed excursions in either direction. The automation envelope is permissive: SMB permitted on every loop cycle, dynamic sensitivity compressing effective sensitivity to 27.8 to 54 mg/dL/U at high glucose with high insulin on board, observed insulin on board peaks of 4.73 and 5.94 U, and a maximum insulin on board allowance of 25 U that never engaged.",1346.0
real_opus5,run_008,completed,,claude-opus-5,1009.03,2.8412,104268,89009,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,2.0,21.0,0.0,aaps.core.safety_limits;aaps.core.smb_delivery,basal,keep,medium,"Keep all 17 profile values unchanged for now, including the 0.5 U/h segment from 16:00, and address the low exposure through the single automation change to the UAM microbolus basal-minutes cap instead.",low,2.0,"Keep prebolus timing and immediate bolus percentage unchanged for now, because no value for either exists in the package to adjust and none can be derived from correction boluses of 0.05 to 0.35 U; keep SMB and UAM enabled exactly as configured, since with zero carb entries they are the only meal coverage present; do not introduce extended carbs yet, since they refine the shape of an announcement that does not exist and are not equivalent to a pump extended or dual-wave bolus. The one useful step is to begin announcing the single most repeatable meal with a carbohydrate amount and an accurate eating timestamp, plus every rescue treatment, while changing no insulin setting; only then do prebolus timing, an immediate bolus percentage and any extended-carb question become assessable at all.",5.0,smb,Primary: discuss aligning the UAM microbolus basal-minutes cap with the non-UAM cap,safety,smb;cr;isf;smb;target,8.0,6.0,6.0,"Fourteen days of Nightscout telemetry with high CGM quality (98.7 percent coverage, 5-minute cadence, 10 gaps, largest gap 65 minutes, zero invalid or duplicate entries). Aggregate glucose: mean 121.6 mg/dL, standard deviation 39.7, coefficient of variation 32.6 percent, time in range 86.0 percent, time above range 8.9 percent, time below range 5.1 percent. The active AAPS profile is complete: 7 basal segments totalling 16.2 U/day, 5 carb ratio segments, one flat ISF segment of 56 mg/dL/U, 3 target segments (90/100/90 mg/dL) and DIA 10 hours. Over the whole period there are zero carb entries, zero extended carb entries and zero meal boluses, so the setup operates as a fully unannounced UAM workflow with COB reported as 0 in every sampled loop status. Two recurring hypoglycaemia windows appear in local time (23:00-03:00 and 18:00-19:00) alongside a broad afternoon elevation band from 11:00 to 17:00 peaking at 162.8 mg/dL at 16:00 with 32.1 percent above range. Dynamic ISF produces effective sensitivity between 27.8 and 124 mg/dL/U, hardening most at high glucose and high insulin on board, and observed insulin on board reached 5.94 U against a 16.2 U/day basal profile under a 10-hour DIA.",1205.0
real_opus5,run_009,completed,,claude-opus-5,1066.07,2.9886,106046,94550,True,strict,False,0.9706,1.0,"meal_strategy_summary fields: ['confidence', 'confidence_note', 'exceptions', 'next_observation', 'rationale', 'suggestion']",True,strict,False,meal_strategy_summary,1,accepted_first_pass,True,meal_fields_exact,1.0,0.0,0.0,,False,3.0,20.0,0.0,aaps.core.safety_limits;aaps.core.sensitivity;aaps.core.smb_delivery,basal,keep,medium,"Keep all 17 profile values unchanged for now, including the 16:00 basal segment of 0.5 U/h and the 19:00 segment of 0.7 U/h, and verify overnight basal specifically by comparing 23:00 to 03:00 local glucose on nights that followed a quiet evening against nights that followed an evening excursion above 200 mg/dL.",low,2.0,"Treat the current setup as UAM-only meal coverage with retrospective micro-corrections, and make carbohydrate announcement itself the first meal-strategy step before adjusting prebolus timing, any immediate bolus percentage, or e-carbs. Concretely: keep SMB and UAM enabled, since with COB permanently zero they are the only meal coverage present and aggregate control remains good; do not set a prebolus interval or an immediate bolus percentage yet, because no carbohydrate entry exists to time or split a dose against, and the package contains no declared prebolus_minutes or immediate_bolus_percent value; and leave e-carbs unused for now, because the observed 4 to 6 hour tails have several unresolved alternative explanations. Instead, log carbohydrate grams and timestamps for the morning meal only, plus every rescue carbohydrate at any hour, so that COB, carb ratio, and the absorption model begin receiving real input. Once at least one recurring meal is announced, prebolus timing and any split percentage can be discussed against measured post-meal curves rather than inferred ones. Throughout, any change that increases meal-time insulin must avoid the afternoon, because afternoon insulin under a 10-hour DIA is what feeds the 18:00 to 19:00 local hypoglycemia cluster.",5.0,smb,Discuss lowering the maximum insulin-on-board limit toward observed usage,safety,smb;isf;smb;meal;smb,8.0,7.0,9.0,"Fourteen days of Nightscout data with 98.7 percent CGM coverage at a 5-minute cadence show an average glucose of 121.6 mg/dL, time in range 86.0 percent, time above range 8.9 percent, time below range 5.1 percent, and a coefficient of variation of 32.6 percent. Overall control is good, and the 04:00 to 09:00 local window is close to ideal. Two patterns stand out: a hypoglycemia cluster at 18:00 to 19:00 local (time below range 7.7 and 15.3 percent, with 41 and 42 mg/dL nadirs) and a second cluster at 23:00 to 03:00 local (10 to 18.5 percent), plus a sustained afternoon plateau peaking at 16:00 local (average 162.8 mg/dL, time above range 32.1 percent). No carbohydrate entries exist in the entire period (0 carb entries, 0 grams, no extended carbs), so all meal coverage runs through UAM with COB reported as 0 in all sampled loop statuses. Loop statuses show effective sensitivity between 27.8 and 124.0 mg/dL per unit against a flat profile ISF of 56, insulin on board reaching 4.73 and 5.935 units against roughly 16 to 20 units per day, and effective loop targets between 80 and 116 mg/dL that do not match the declared 90 and 100 mg/dL schedule. The evidence points to unannounced carbohydrate plus aggressive high-glucose correction as the shared driver of both the afternoon highs and the evening lows, rather than to a defective basal profile.",1359.0
real_opus5,run_010,completed,,claude-opus-5,1101.54,3.0588,106055,97354,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,2.0,21.0,0.0,aaps.core.safety_limits;aaps.core.sensitivity,basal,keep,medium,"Keep all 17 profile parameters unchanged this cycle, including the 7 basal segments, the 5 carb ratio segments, the flat ISF of 56 mg/dL/U, the 3 target segments and DIA 10 h, and instead address the automation stacking headroom first.",low,2.0,"Keep the current fully reactive UAM model for now: no prebolus, an immediate bolus percentage of 0 percent, SMB and UAM left enabled exactly as configured, and no e-carbs. Do not front-load insulin yet, even though the data shows insulin arriving after the rise, because adding carbohydrate entry would layer carbs-on-board dosing on top of a chain that already over-delivers at high glucose. After the max IOB backstop and then the dynamic ISF adjustment step have each been observed separately, trial carbohydrate announcement on one recurring eating occasion with a 0 minute prebolus and a 0 percent immediate bolus so that the entry acts as information for the loop rather than as an added dose, and only then consider raising the immediate percentage in small steps if time below range in local hours 18 and 19 stays flat.",5.0,smb,Primary: reduce max IOB from 25 U to a level proportionate to daily insulin,safety,smb;isf;basal;dia;cr,9.0,7.0,10.0,"Fourteen days of Nightscout data with 98.7 percent CGM coverage, 5 minute cadence, 3995 valid entries and no invalid or duplicate readings. Overall glucose averages 121.6 mg/dL with 86.0 percent time in range, 8.9 percent above, 5.1 percent below and a coefficient of variation of 32.6 percent. The active AAPS profile is complete: 7 basal segments totalling 16.2 U per day, 5 carb ratio segments, one flat ISF segment of 56 mg/dL/U, 3 target segments and DIA 10 h. The clearest pattern in local time is an afternoon elevation block from 14:00 to 17:59 with a peak at 16:00 (average 162.8 mg/dL, 32.1 percent above range) followed by a sharp fall into an evening low window at 18:00 to 19:59 (time below range 7.7 and 15.3 percent), plus a second lower-glucose window from 23:00 to 03:59 (time below range 10.1 to 18.5 percent). The fasting-like block from 02:00 to 08:00 local is flat and near target with 95 to 99 percent time in range, indicating that basal level is broadly appropriate. Sampled loop statuses show dynamic sensitivity spanning 27.8 to 124.0 mg/dL/U, loop targets as low as 80 mg/dL when glucose is high or rising, SMB amounts exceeding the values implied by the configured SMB basal-minute caps, and insulin on board reaching 4.73 and 5.935 U with zero carbs on board against a max IOB of 25 U. No carbohydrate entries, extended carbohydrate entries or meal boluses exist in the package, so all meal coverage is reactive through UAM. The user-declared meal strategy container is present but empty, and strategy_stable_for_period is null, so no declared prebolus, immediate bolus percentage or e-carb value exists to reproduce.",1646.0
