experiment,run_id,rank,area,title,priority,suggested_change
real_gpt56sol_med_50,run_001,1,profile,Primary: keep the profile stable and verify the low pattern first,safety,"{""direction"": ""keep"", ""scope"": ""All current basal, target, CR, ISF and DIA values"", ""verification"": ""Review at least three comparable 23:00–04:00 local windows with food, correction, activity, rescue carbohydrates, temporary targets, SMB, temporary basal and IOB documented.""}"
real_gpt56sol_med_50,run_001,2,automation,Reconcile automation behavior before numeric adjustment,safety,"{""direction"": ""keep_pending_configuration_review"", ""scope"": ""SMB/UAM, activation, delivery caps, Dynamic ISF, max basal and max IOB"", ""verification"": ""Compare complete loop and delivery traces around one daytime high-to-low episode with the authoritative profile and pump configuration.""}"
real_gpt56sol_med_50,run_001,3,meal_strategy,Collect meal-linked observations before selecting meal parameters,medium,"{""direction"": ""observe"", ""scope"": ""Prebolus, immediate bolus percentage and e-carbs"", ""verification"": ""Record carbohydrate amount, meal start, actual prebolus, actual immediate percentage, any e-carb amount and duration, activity, rescue carbohydrates, IOB and automated delivery.""}"
real_gpt56sol_med_50,run_002,1,target,Review the 00:00 glucose target first,safety,"{""parameter_key"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""candidate_value"": ""100 mg/dL"", ""validation"": ""Evaluate this change alone with close glucose monitoring before considering another setting.""}"
real_gpt56sol_med_50,run_002,2,automation,Hold automation settings while separating the target effect,high,"{""direction"": ""Keep current automation values during the first observation period"", ""next_review"": ""Reassess Dynamic ISF and SMB/UAM separately only if later lows continue with substantial IOB after the target effect is established.""}"
real_gpt56sol_med_50,run_002,3,meal_strategy,Collect one complete meal-linked observation,medium,"{""observation"": ""Record carb amount, meal timestamp, actual prebolus minutes, actual immediate bolus percentage, any e-carb amount, offset and duration, temporary targets, corrections, SMB/UAM, IOB, and glucose through six hours.""}"
real_gpt56sol_med_50,run_003,1,basal,Keep the profile while verifying the overnight low pattern,safety,"{""direction"": ""Keep all profile values provisionally"", ""verification"": ""Review several nights beginning without a late meal, correction, activity, temporary target or substantial IOB, with CGM lows independently confirmed when feasible.""}"
real_gpt56sol_med_50,run_003,2,aaps,Review automation safety ceilings separately,safety,"{""direction"": ""Keep current values pending safety review"", ""sequence"": ""Assess maximum IOB first without simultaneously changing Dynamic ISF, SMB limits, fixed ISF or DIA.""}"
real_gpt56sol_med_50,run_003,3,meal_strategy,Capture one recurring meal before adjusting meal settings,medium,"{""direction"": ""No numerical meal-strategy change"", ""observation"": ""Record carbohydrate amount, meal and insulin timestamps, actual prebolus, immediate percentage, starting glucose and IOB, SMBs, corrections, activity, temporary targets and six-hour CGM response.""}"
real_gpt56sol_med_50,run_004,1,profile,Primary: verify the context of recurrent lows before changing the profile,safety,"{""action"": ""keep_current_profile_during_verification"", ""next_evidence"": ""Several comparable low-risk windows with complete preceding insulin and event context"", ""change_order"": ""data_and_profile_first""}"
real_gpt56sol_med_50,run_004,2,automation,Review Dynamic ISF and UAM-driven IOB only after low context is established,high,"{""action"": ""keep_current_automation_pending_linked_review"", ""primary_hypothesis"": ""UAM and Dynamic ISF compensation may create persistent IOB after meal-like rises"", ""change_order"": ""automation_second""}"
real_gpt56sol_med_50,run_004,3,meal_strategy,Create meal-linked observations before evaluating CR or e-carbs,medium,"{""action"": ""document_existing_meal_execution_without_inventing_values"", ""ecarb_direction"": ""withhold_e_carb_parameter_selection_until_a_recurring_delayed_pattern_is_linked"", ""change_order"": ""meal_strategy_third""}"
real_gpt56sol_med_50,run_005,1,target,Primary: review the midnight target,safety,"{""parameter_key"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""candidate_value"": ""100 mg/dL""}"
