experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_haiku45_50,profile.basal.00_00,profile,0.6 U/h,49,keep,0.857,0.143,0.071–0.267,0.5917,7,42,0,2,0.5 u/h x6 | 0.55 u/h x1
real_haiku45_50,profile.basal.05_00,profile,0.7 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_haiku45_50,profile.basal.06_00,profile,0.8 U/h,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,0.80 u/h (add new segment at 08:00) or increase 06:00 segment from 0.8 to 0.92 u/h x1
real_haiku45_50,profile.basal.10_00,profile,0.7 U/h,49,keep,0.755,0.245,0.146–0.381,0.8031,12,37,0,6,0.8 u/h x5 | 0.85 u/h x3 | 0.85–0.95 u/h x1 | 0.8–0.85 u/h x1 | 0.9 u/h x1 | 0.7 u/h x1
real_haiku45_50,profile.basal.16_00,profile,0.5 U/h,49,keep,0.776,0.224,0.13–0.359,0.7683,11,38,0,5,0.6 u/h x5 | 0.7 u/h x3 | 0.7–0.75 u/h x1 | 0.65 x1 | 0.8 u/h x1
real_haiku45_50,profile.basal.18_00,profile,0.6 U/h,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,0.5 u/h x1
real_haiku45_50,profile.basal.19_00,profile,0.7 U/h,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,0.6 u/h x1
real_haiku45_50,profile.cr.00_00,profile,13 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_haiku45_50,profile.cr.04_00,profile,11.1 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_haiku45_50,profile.cr.08_00,profile,13.2 g/U,49,keep,0.959,0.041,0.011–0.137,0.246,2,47,0,2,11.5 g/u x1 | 12.5 g/u x1
real_haiku45_50,profile.cr.16_00,profile,10.5 g/U,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,9.5 g/u x1
real_haiku45_50,profile.cr.20_00,profile,12.6 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_haiku45_50,profile.isf.00_00,profile,56 mg/dL/U,49,keep,0.816,0.143,0.071–0.267,0.8284,7,40,2,7,90 mg/dl/u x1 | 110 mg/dl/u x1 | 40 mg/dl/u (00:00–08:00); 28 mg/dl/u (08:00–23:00) x1 | 50 mg/dl/u x1 | 40 mg/dl/u x1 | 100 mg/dl/u x1 | 80-100 mg/dl/u x1
real_haiku45_50,profile.target.00_00,profile,90 mg/dL,49,keep,0.959,0.041,0.011–0.137,0.246,2,47,0,2,100 mg/dl x1 | 95 mg/dl x1
real_haiku45_50,profile.target.08_00,profile,100 mg/dL,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_haiku45_50,profile.target.23_00,profile,90 mg/dL,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,100 mg/dl x1
real_haiku45_50,profile.dia,profile,10 h,49,keep,0.857,0.122,0.057–0.242,0.6762,6,42,1,5,5.5 h x2 | 6.0–7.0 h x1 | 8 h x1 | 5-6 h x1 | 7.5 x1
real_haiku45_50,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_haiku45_50,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,49,keep,0.918,0.041,0.011–0.137,0.4895,2,45,2,2,smb_with_cob_enabled should be true (after meal-bolus validation); others unchanged x1 | smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=true; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false x1
