experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_deepseek_v4pro_50,profile.basal.00_00,profile,0.6 U/h,48,keep,0.583,0.417,0.288–0.557,0.9799,20,28,0,2,0.5 u/h x18 | 0.55 u/h x2
real_deepseek_v4pro_50,profile.basal.05_00,profile,0.7 U/h,48,keep,0.979,0.021,0.004–0.109,0.1461,1,47,0,1,0.6 u/h x1
real_deepseek_v4pro_50,profile.basal.06_00,profile,0.8 U/h,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.basal.10_00,profile,0.7 U/h,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.basal.16_00,profile,0.5 U/h,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.basal.18_00,profile,0.6 U/h,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.basal.19_00,profile,0.7 U/h,48,keep,0.979,0.021,0.004–0.109,0.1461,1,47,0,1,0.6 u/h x1
real_deepseek_v4pro_50,profile.cr.00_00,profile,13 g/U,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.cr.04_00,profile,11.1 g/U,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.cr.08_00,profile,13.2 g/U,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.cr.16_00,profile,10.5 g/U,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.cr.20_00,profile,12.6 g/U,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.isf.00_00,profile,56 mg/dL/U,48,keep,0.583,0.417,0.288–0.557,0.9799,20,28,0,14,70 mg/dl/u x5 | 80 mg/dl/u x2 | 40 mg/dl/u x2 | 30 mg/dl/u x1 | 150 mg/dl/u x1 | 36 mg/dl/u x1 | 110 mg/dl/u x1 | 100 mg/dl/u x1 | 38 mg/dl/u x1 | 90 mg/dl/u x1 | 75 mg/dl/u x1 | 50 mg/dl/u x1 | 35 mg/dl/u x1 | 180 mg/dl/u x1
real_deepseek_v4pro_50,profile.target.00_00,profile,90 mg/dL,48,keep,0.979,0.021,0.004–0.109,0.1461,1,47,0,1,100 mg/dl x1
real_deepseek_v4pro_50,profile.target.08_00,profile,100 mg/dL,48,keep,1.0,0.0,0.0–0.074,-0.0,0,48,0,0,
real_deepseek_v4pro_50,profile.target.23_00,profile,90 mg/dL,48,keep,0.979,0.021,0.004–0.109,0.1461,1,47,0,1,100 mg/dl x1
real_deepseek_v4pro_50,profile.dia,profile,10 h,48,keep,0.833,0.167,0.087–0.296,0.65,8,40,0,4,6 h x4 | 5 h x2 | 8 h x1 | 7 h x1
real_deepseek_v4pro_50,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,48,keep,0.979,0.021,0.004–0.109,0.1461,1,47,0,1,smb_enabled=true; uam_enabled=false x1
