experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_deepseek_v4pro_50,run_001,run_002,0.052,0.117,0.047,0.0,False,False
real_deepseek_v4pro_50,run_001,run_003,0.029,0.101,0.017,0.0,False,False
real_deepseek_v4pro_50,run_001,run_004,0.02,0.074,0.049,0.0,False,False
real_deepseek_v4pro_50,run_001,run_005,0.073,0.293,0.03,0.0,False,True
real_deepseek_v4pro_50,run_001,run_006,0.058,0.123,0.038,0.0,False,True
real_deepseek_v4pro_50,run_001,run_007,0.052,0.102,0.021,0.333,False,False
real_deepseek_v4pro_50,run_001,run_008,0.046,0.22,0.023,0.0,False,True
real_deepseek_v4pro_50,run_001,run_009,0.079,0.025,0.051,0.0,False,False
real_deepseek_v4pro_50,run_001,run_010,0.04,0.092,0.146,0.0,False,False
real_deepseek_v4pro_50,run_001,run_011,0.041,0.222,0.07,0.0,False,True
real_deepseek_v4pro_50,run_001,run_012,0.07,0.027,0.049,0.0,False,False
real_deepseek_v4pro_50,run_001,run_013,0.06,0.137,0.011,0.0,False,True
real_deepseek_v4pro_50,run_001,run_014,0.041,0.221,0.058,0.0,False,False
real_deepseek_v4pro_50,run_001,run_015,0.033,0.227,0.04,0.0,False,False
real_deepseek_v4pro_50,run_001,run_016,0.037,0.134,0.074,0.0,False,False
real_deepseek_v4pro_50,run_001,run_017,0.104,0.129,0.073,0.0,False,False
real_deepseek_v4pro_50,run_001,run_018,0.044,0.228,0.044,0.25,False,False
real_deepseek_v4pro_50,run_001,run_019,0.049,0.076,0.125,0.0,False,False
real_deepseek_v4pro_50,run_001,run_020,0.043,0.21,0.029,0.0,False,False
real_deepseek_v4pro_50,run_001,run_021,0.088,0.158,0.054,0.0,False,False
real_deepseek_v4pro_50,run_001,run_022,0.033,0.169,0.05,0.25,False,False
real_deepseek_v4pro_50,run_001,run_023,0.031,0.137,0.069,0.0,False,False
real_deepseek_v4pro_50,run_001,run_024,0.033,0.082,0.201,0.4,False,False
real_deepseek_v4pro_50,run_001,run_025,0.057,0.213,0.027,0.0,False,True
real_deepseek_v4pro_50,run_001,run_026,0.035,0.192,0.12,0.0,False,False
real_deepseek_v4pro_50,run_001,run_027,0.05,0.243,0.019,0.0,False,True
real_deepseek_v4pro_50,run_001,run_028,0.077,0.121,0.043,0.0,False,True
real_deepseek_v4pro_50,run_001,run_029,0.038,0.12,0.01,0.0,False,False
real_deepseek_v4pro_50,run_001,run_030,0.031,0.107,0.05,0.0,False,False
real_deepseek_v4pro_50,run_001,run_031,0.03,0.186,0.063,0.0,False,True
real_deepseek_v4pro_50,run_001,run_032,0.072,0.086,0.062,0.333,False,False
real_deepseek_v4pro_50,run_001,run_033,0.022,0.209,0.04,0.25,False,True
real_deepseek_v4pro_50,run_001,run_034,0.051,0.117,0.043,0.0,False,True
real_deepseek_v4pro_50,run_001,run_035,0.022,0.035,0.188,0.0,False,False
real_deepseek_v4pro_50,run_001,run_036,0.044,0.132,0.049,0.167,False,True
real_deepseek_v4pro_50,run_001,run_037,0.069,0.102,0.098,0.0,False,False
real_deepseek_v4pro_50,run_001,run_038,0.03,0.098,0.053,0.0,False,False
real_deepseek_v4pro_50,run_001,run_039,0.093,0.098,0.014,0.0,False,False
real_deepseek_v4pro_50,run_001,run_040,0.074,0.247,0.015,0.0,False,False
real_deepseek_v4pro_50,run_001,run_041,0.061,0.217,0.041,0.0,False,False
real_deepseek_v4pro_50,run_001,run_042,0.075,0.025,0.02,0.333,False,False
real_deepseek_v4pro_50,run_001,run_043,0.027,0.207,0.049,0.0,False,True
real_deepseek_v4pro_50,run_001,run_044,0.036,0.186,0.135,0.0,False,True
real_deepseek_v4pro_50,run_001,run_045,0.067,0.026,0.026,0.0,False,True
real_deepseek_v4pro_50,run_001,run_046,0.073,0.058,0.076,0.0,False,False
real_deepseek_v4pro_50,run_001,run_047,0.052,0.176,0.048,0.0,False,True
real_deepseek_v4pro_50,run_001,run_048,0.06,0.076,0.049,0.0,False,False
real_deepseek_v4pro_50,run_001,run_049,0.057,0.102,0.044,0.0,False,False
real_deepseek_v4pro_50,run_001,run_050,0.045,0.13,0.027,0.0,False,False
real_deepseek_v4pro_50,run_002,run_003,0.053,0.603,0.025,0.333,True,True
real_deepseek_v4pro_50,run_002,run_004,0.059,0.404,0.086,0.667,False,True
real_deepseek_v4pro_50,run_002,run_005,0.068,0.283,0.028,0.0,False,False
real_deepseek_v4pro_50,run_002,run_006,0.053,0.39,0.01,0.0,False,False
real_deepseek_v4pro_50,run_002,run_007,0.144,0.657,0.027,0.333,True,True
real_deepseek_v4pro_50,run_002,run_008,0.067,0.359,0.015,0.0,False,False
real_deepseek_v4pro_50,run_002,run_009,0.105,0.149,0.04,0.0,True,True
real_deepseek_v4pro_50,run_002,run_010,0.026,0.637,0.225,0.333,True,True
real_deepseek_v4pro_50,run_002,run_011,0.094,0.19,0.093,0.333,False,False
real_deepseek_v4pro_50,run_002,run_012,0.061,0.021,0.068,0.5,False,True
real_deepseek_v4pro_50,run_002,run_013,0.071,0.426,0.019,0.0,False,False
real_deepseek_v4pro_50,run_002,run_014,0.116,0.208,0.013,0.333,False,True
real_deepseek_v4pro_50,run_002,run_015,0.134,0.504,0.03,1.0,True,True
real_deepseek_v4pro_50,run_002,run_016,0.098,0.905,0.015,0.5,True,True
real_deepseek_v4pro_50,run_002,run_017,0.027,0.633,0.062,0.5,False,True
real_deepseek_v4pro_50,run_002,run_018,0.088,0.174,0.025,0.25,False,False
real_deepseek_v4pro_50,run_002,run_019,0.046,0.663,0.078,0.5,True,True
real_deepseek_v4pro_50,run_002,run_020,0.045,0.589,0.013,0.5,True,True
real_deepseek_v4pro_50,run_002,run_021,0.071,0.33,0.124,0.5,True,True
