experiment,slot,group,kind,n_runs,group_runs,representative
real_llama4maverick_50,decision: Profile / basal 00:00,change,varying,7,27,Glucose patterns indicate a need for adjustment.
real_llama4maverick_50,decision: Profile / basal 00:00,change,varying,5,27,Uncertainty due to meal effects.
real_llama4maverick_50,decision: Profile / basal 00:00,change,varying,5,27,"Glucose variability, evidence from basal_targets stage."
real_llama4maverick_50,decision: Profile / basal 00:00,change,varying,4,27,To improve overnight glucose control.
real_llama4maverick_50,decision: Profile / basal 00:00,change,varying,3,27,Basal rate analysis.
real_llama4maverick_50,decision: Profile / basal 00:00,change,varying,2,27,"Evidence of glucose variability, dependencies on safety_overview and basal_targets."
real_llama4maverick_50,decision: Profile / basal 00:00,keep,varying,11,22,Current basal rate is generally appropriate.
real_llama4maverick_50,decision: Profile / basal 00:00,keep,varying,7,22,Basal rate seems appropriate.
real_llama4maverick_50,decision: Profile / basal 00:00,keep,varying,3,22,No strong evidence to change basal rate.
real_llama4maverick_50,decision: Profile / basal 00:00,keep,varying,3,22,Low uncertainty.
real_llama4maverick_50,decision: Profile / basal 00:00,keep,varying,2,22,Evidence from basal segment analysis.
real_llama4maverick_50,decision: Profile / basal 00:00,keep,varying,2,22,Dependencies: basal_targets.
real_llama4maverick_50,decision: Profile / basal 05:00,keep,varying,24,48,No strong evidence to change.
real_llama4maverick_50,decision: Profile / basal 05:00,keep,varying,10,48,Current basal rate is generally appropriate.
real_llama4maverick_50,decision: Profile / basal 05:00,keep,varying,7,48,"No strong evidence for change, dependencies on basal_targets."
real_llama4maverick_50,decision: Profile / basal 05:00,keep,varying,4,48,Basal rate seems appropriate.
real_llama4maverick_50,decision: Profile / basal 05:00,keep,varying,3,48,Basal rate seems reasonable.
real_llama4maverick_50,decision: Profile / basal 05:00,keep,varying,3,48,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / basal 06:00,keep,varying,24,48,No strong evidence to change.
real_llama4maverick_50,decision: Profile / basal 06:00,keep,varying,10,48,Current basal rate is generally appropriate.
real_llama4maverick_50,decision: Profile / basal 06:00,keep,varying,8,48,"No strong evidence for change, dependencies on basal_targets."
real_llama4maverick_50,decision: Profile / basal 06:00,keep,varying,4,48,Basal rate seems appropriate.
real_llama4maverick_50,decision: Profile / basal 06:00,keep,varying,3,48,Basal rate seems reasonable.
real_llama4maverick_50,decision: Profile / basal 06:00,keep,varying,3,48,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / basal 10:00,keep,varying,25,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / basal 10:00,keep,varying,10,49,Current basal rate is generally appropriate.
real_llama4maverick_50,decision: Profile / basal 10:00,keep,varying,8,49,"No strong evidence for change, dependencies on basal_targets."
real_llama4maverick_50,decision: Profile / basal 10:00,keep,varying,4,49,Basal rate seems appropriate.
real_llama4maverick_50,decision: Profile / basal 10:00,keep,varying,3,49,Basal rate seems reasonable.
real_llama4maverick_50,decision: Profile / basal 10:00,keep,varying,3,49,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / basal 16:00,keep,varying,24,47,No strong evidence to change.
real_llama4maverick_50,decision: Profile / basal 16:00,keep,varying,10,47,Current basal rate is generally appropriate.
real_llama4maverick_50,decision: Profile / basal 16:00,keep,varying,8,47,"No strong evidence for change, dependencies on basal_targets."
real_llama4maverick_50,decision: Profile / basal 16:00,keep,varying,4,47,Basal rate seems appropriate.
real_llama4maverick_50,decision: Profile / basal 16:00,keep,varying,3,47,Basal rate seems reasonable.
real_llama4maverick_50,decision: Profile / basal 16:00,keep,varying,3,47,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / basal 18:00,keep,varying,25,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / basal 18:00,keep,varying,10,49,Current basal rate is generally appropriate.
real_llama4maverick_50,decision: Profile / basal 18:00,keep,varying,8,49,"No strong evidence for change, dependencies on basal_targets."
real_llama4maverick_50,decision: Profile / basal 18:00,keep,varying,4,49,Basal rate seems appropriate.
real_llama4maverick_50,decision: Profile / basal 18:00,keep,varying,3,49,Basal rate seems reasonable.
real_llama4maverick_50,decision: Profile / basal 18:00,keep,varying,3,49,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / basal 19:00,keep,varying,25,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / basal 19:00,keep,varying,10,49,Current basal rate is generally appropriate.
real_llama4maverick_50,decision: Profile / basal 19:00,keep,varying,8,49,"No strong evidence for change, dependencies on basal_targets."
real_llama4maverick_50,decision: Profile / basal 19:00,keep,varying,4,49,Basal rate seems appropriate.
real_llama4maverick_50,decision: Profile / basal 19:00,keep,varying,3,49,Basal rate seems reasonable.
real_llama4maverick_50,decision: Profile / basal 19:00,keep,varying,3,49,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / CR 00:00,keep,varying,23,47,No strong evidence to change.
real_llama4maverick_50,decision: Profile / CR 00:00,keep,varying,10,47,Current CR is generally appropriate.
real_llama4maverick_50,decision: Profile / CR 00:00,keep,varying,3,47,CR seems reasonable.
real_llama4maverick_50,decision: Profile / CR 00:00,keep,varying,2,47,"CR is appropriate, but meal logging is needed for further verification."
real_llama4maverick_50,decision: Profile / CR 00:00,keep,varying,2,47,Medium uncertainty due to meal effects.
real_llama4maverick_50,decision: Profile / CR 00:00,keep,varying,2,47,"No strong evidence for change, depends on meal_bolus_strategy."
real_llama4maverick_50,decision: Profile / CR 04:00,keep,varying,23,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / CR 04:00,keep,varying,10,49,Current CR is generally appropriate.
real_llama4maverick_50,decision: Profile / CR 04:00,keep,varying,6,49,Dependencies: profile_cr_isf_dia.
real_llama4maverick_50,decision: Profile / CR 04:00,keep,varying,3,49,CR seems reasonable.
real_llama4maverick_50,decision: Profile / CR 04:00,keep,varying,2,49,"CR is appropriate, but meal logging is needed for further verification."
real_llama4maverick_50,decision: Profile / CR 04:00,keep,varying,2,49,Uncertainty due to lack of meal data.
real_llama4maverick_50,decision: Profile / CR 08:00,keep,varying,23,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / CR 08:00,keep,varying,10,49,Current CR is generally appropriate.
real_llama4maverick_50,decision: Profile / CR 08:00,keep,varying,6,49,Dependencies: profile_cr_isf_dia.
real_llama4maverick_50,decision: Profile / CR 08:00,keep,varying,3,49,CR seems reasonable.
real_llama4maverick_50,decision: Profile / CR 08:00,keep,varying,2,49,"CR is appropriate, but meal logging is needed for further verification."
real_llama4maverick_50,decision: Profile / CR 08:00,keep,varying,2,49,Uncertainty due to lack of meal data.
real_llama4maverick_50,decision: Profile / CR 16:00,keep,varying,23,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / CR 16:00,keep,varying,10,49,Current CR is generally appropriate.
real_llama4maverick_50,decision: Profile / CR 16:00,keep,varying,6,49,Dependencies: profile_cr_isf_dia.
real_llama4maverick_50,decision: Profile / CR 16:00,keep,varying,3,49,CR seems reasonable.
real_llama4maverick_50,decision: Profile / CR 16:00,keep,varying,2,49,"CR is appropriate, but meal logging is needed for further verification."
real_llama4maverick_50,decision: Profile / CR 16:00,keep,varying,2,49,Uncertainty due to lack of meal data.
real_llama4maverick_50,decision: Profile / CR 20:00,keep,varying,23,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / CR 20:00,keep,varying,10,49,Current CR is generally appropriate.
real_llama4maverick_50,decision: Profile / CR 20:00,keep,varying,6,49,Dependencies: profile_cr_isf_dia.
real_llama4maverick_50,decision: Profile / CR 20:00,keep,varying,3,49,CR seems reasonable.
real_llama4maverick_50,decision: Profile / CR 20:00,keep,varying,2,49,"CR is appropriate, but meal logging is needed for further verification."
real_llama4maverick_50,decision: Profile / CR 20:00,keep,varying,2,49,Uncertainty due to lack of meal data.
real_llama4maverick_50,decision: Profile / ISF 00:00,keep,varying,22,45,No strong evidence to change.
real_llama4maverick_50,decision: Profile / ISF 00:00,keep,varying,9,45,Current ISF is generally appropriate.
real_llama4maverick_50,decision: Profile / ISF 00:00,keep,varying,7,45,Dependencies: profile_cr_isf_dia.
real_llama4maverick_50,decision: Profile / ISF 00:00,keep,varying,4,45,ISF seems reasonable.
real_llama4maverick_50,decision: Profile / ISF 00:00,keep,varying,2,45,"ISF is appropriate, but further verification is needed with meal logging."
real_llama4maverick_50,decision: Profile / ISF 00:00,keep,varying,2,45,Reasonable ISF; verify with correction bolus responses.
real_llama4maverick_50,decision: Profile / ISF 00:00,change,shared,3,4,Evidence from glucose variability and correction bolus analysis.
real_llama4maverick_50,decision: Profile / target 00:00,keep,varying,26,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / target 00:00,keep,varying,12,49,Current target is generally appropriate.
real_llama4maverick_50,decision: Profile / target 00:00,keep,varying,4,49,Target seems appropriate.
real_llama4maverick_50,decision: Profile / target 00:00,keep,varying,3,49,Target seems reasonable.
real_llama4maverick_50,decision: Profile / target 00:00,keep,varying,3,49,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / target 00:00,keep,varying,3,49,Dependencies: basal_targets.
real_llama4maverick_50,decision: Profile / target 08:00,keep,varying,26,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / target 08:00,keep,varying,10,49,Current target is generally appropriate.
real_llama4maverick_50,decision: Profile / target 08:00,keep,varying,5,49,Target is generally appropriate; evidence from glucose patterns.
real_llama4maverick_50,decision: Profile / target 08:00,keep,varying,4,49,Target seems appropriate.
real_llama4maverick_50,decision: Profile / target 08:00,keep,varying,3,49,Target seems reasonable.
real_llama4maverick_50,decision: Profile / target 08:00,keep,varying,3,49,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / target 23:00,keep,varying,26,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / target 23:00,keep,varying,12,49,Current target is generally appropriate.
real_llama4maverick_50,decision: Profile / target 23:00,keep,varying,4,49,Target seems appropriate.
real_llama4maverick_50,decision: Profile / target 23:00,keep,varying,3,49,Target seems reasonable.
real_llama4maverick_50,decision: Profile / target 23:00,keep,varying,3,49,Uncertainty: Low.
real_llama4maverick_50,decision: Profile / target 23:00,keep,varying,3,49,Dependencies: basal_targets.
real_llama4maverick_50,decision: Profile / DIA,keep,varying,27,49,No strong evidence to change.
real_llama4maverick_50,decision: Profile / DIA,keep,varying,9,49,Current DIA is generally appropriate.
real_llama4maverick_50,decision: Profile / DIA,keep,varying,5,49,DIA seems appropriate.
real_llama4maverick_50,decision: Profile / DIA,keep,varying,4,49,Dependencies: profile_cr_isf_dia.
real_llama4maverick_50,decision: Profile / DIA,keep,varying,3,49,Current DIA is appropriate.
real_llama4maverick_50,decision: Profile / DIA,keep,varying,3,49,Uncertainty: Low.
real_llama4maverick_50,decision: AAPS / SMB and UAM,keep,varying,17,49,SMB/UAM settings are generally appropriate.
real_llama4maverick_50,decision: AAPS / SMB and UAM,keep,varying,8,49,No strong evidence to change
real_llama4maverick_50,decision: AAPS / SMB and UAM,keep,varying,7,49,SMB and UAM are appropriately enabled.
real_llama4maverick_50,decision: AAPS / SMB and UAM,keep,varying,4,49,SMB and UAM are effectively managing glucose variability.
real_llama4maverick_50,decision: AAPS / SMB and UAM,keep,varying,4,49,Evidence: SMB/UAM settings.
real_llama4maverick_50,decision: AAPS / SMB and UAM,keep,varying,3,49,SMB and UAM settings seem appropriate.
real_llama4maverick_50,decision: AAPS / SMB activation conditions,keep,varying,24,49,SMB activation conditions are generally appropriate.
real_llama4maverick_50,decision: AAPS / SMB activation conditions,keep,varying,9,49,No strong evidence for change.
real_llama4maverick_50,decision: AAPS / SMB activation conditions,keep,varying,5,49,SMB activation conditions are reasonable.
real_llama4maverick_50,decision: AAPS / SMB activation conditions,keep,varying,4,49,SMB activation conditions seem appropriate.
real_llama4maverick_50,decision: AAPS / SMB activation conditions,keep,varying,3,49,SMB activation conditions are appropriately set.
real_llama4maverick_50,decision: AAPS / SMB activation conditions,keep,varying,3,49,Dependencies: automation_smb_uam.
real_llama4maverick_50,decision: AAPS / SMB strength and frequency,keep,varying,20,49,SMB delivery settings are generally appropriate.
real_llama4maverick_50,decision: AAPS / SMB strength and frequency,keep,varying,9,49,No strong evidence for change.
real_llama4maverick_50,decision: AAPS / SMB strength and frequency,keep,varying,7,49,Evidence: SMB delivery settings.
real_llama4maverick_50,decision: AAPS / SMB strength and frequency,keep,varying,4,49,SMB delivery settings are reasonable.
real_llama4maverick_50,decision: AAPS / SMB strength and frequency,keep,varying,3,49,Dependencies: automation_smb_uam.
real_llama4maverick_50,decision: AAPS / SMB strength and frequency,keep,varying,2,49,SMB delivery settings are appropriately set.
