experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_gemini36flash_50,profile.basal.00_00,profile,0.6 U/h,50,keep,0.78,0.22,0.128–0.352,0.7602,11,39,0,1,0.5 u/h x11
real_gemini36flash_50,profile.basal.05_00,profile,0.7 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.basal.06_00,profile,0.8 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.basal.10_00,profile,0.7 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.basal.16_00,profile,0.5 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.basal.18_00,profile,0.6 U/h,50,keep,0.98,0.02,0.004–0.105,0.1414,1,49,0,1,0.5 u/h x1
real_gemini36flash_50,profile.basal.19_00,profile,0.7 U/h,50,keep,0.94,0.06,0.021–0.162,0.3274,3,47,0,2,0.5 u/h x2 | 0.6 u/h x1
real_gemini36flash_50,profile.cr.00_00,profile,13 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.cr.04_00,profile,11.1 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.cr.08_00,profile,13.2 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.cr.16_00,profile,10.5 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.cr.20_00,profile,12.6 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.isf.00_00,profile,56 mg/dL/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.target.00_00,profile,90 mg/dL,50,change,0.78,0.78,0.648–0.872,0.7602,39,11,0,1,100 mg/dl x39
real_gemini36flash_50,profile.target.08_00,profile,100 mg/dL,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,profile.target.23_00,profile,90 mg/dL,50,change,0.78,0.78,0.648–0.872,0.7602,39,11,0,1,100 mg/dl x39
real_gemini36flash_50,profile.dia,profile,10 h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_gemini36flash_50,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,50,keep,0.92,0.08,0.032–0.188,0.4022,4,46,0,1,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=15 min x4
real_gemini36flash_50,aaps.core.safety_limits,aaps,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,50,change,0.98,0.98,0.895–0.996,0.1414,49,1,0,26,max_basal_u_per_hour=3.0 u/h; max_iob_units=7.0 u x8 | max_basal_u_per_hour=3.5 u/h; max_iob_units=7.0 u x6 | max_basal_u_per_hour=3.5 u/h; max_iob_units=6 u x4 | max_basal_u_per_hour=3 u/h; max_iob_units=7 u x3 | max_basal_u_per_hour=3.0 u/h; max_iob_units=6.0 u x3 | max_basal_u_per_hour=3.5 u/h; max_iob_units=7 u x3 | max_basal_u_per_hour=3.5 u/h; max_iob_units=5.0 u x2 | max_basal_u_per_hour=4 u/h; max_iob_units=7 u x2 | max_basal_u_per_hour=2.5 u/h; max_iob_units=7 u x1 | max_basal_u_per_hour=3 u/h; max_iob_units=4 u x1 | max_basal_u_per_hour=3.5 u/h; max_iob_units=8 u x1 | max_basal_u_per_hour=3.5 u/h; max_iob_units=8.0 u x1 | max_basal_u_per_hour=3.0 u/h; max_iob_units=7 u x1 | max_basal_u_per_hour=4.0 u/h; max_iob_units=7.0 u x1 | max_basal_u_per_hour=4.0 u/h; max_iob_units=8.0 u x1 | max_basal_u_per_hour=3.5 u/h; max_iob_units=15 u x1 | max_basal_u_per_hour=3.2 u/h; max_iob_units=7.0 u x1 | max_basal_u_per_hour=3.0 u/h; max_iob_units=5.0 u x1 | max_basal_u_per_hour=3.2 u/h; max_iob_units=8.0 u x1 | max_basal_u_per_hour=4 u/h; max_iob_units=10 u x1 | max_basal_u_per_hour=4 u/h; max_iob_units=8 u x1 | max_basal_u_per_hour=3.2 u/h; max_iob_units=7 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=10 u x1 | max_basal_u_per_hour=3.2 u/h; max_iob_units=6 u x1 | max_basal_u_per_hour=3 u/h; max_iob_units=5 u x1 | max_basal_u_per_hour=3.5 u/h; max_iob_units=10 u x1
real_gemini36flash_50,aaps.core.sensitivity,aaps,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,50,keep,0.74,0.26,0.159–0.396,0.8267,13,37,0,1,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=50 % x13
real_gemini36flash_50,aaps.core.carb_absorption,aaps,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,50,keep,0.98,0.02,0.004–0.105,0.1414,1,49,0,1,min_5m_carbimpact=4 mg/dl/5 min; meal_max_absorption_hours=7 h x1
