experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_gpt56sol_med_50,run_001,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,"Overnight TBR is elevated, but evening IOB, corrections, SMB/UAM and the 90 mg/dL target are unresolved dependencies. No fasting-like window isolates this basal segment, so a numeric change is unsupported."
real_gpt56sol_med_50,run_001,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,"Local glucose is generally stable around 05:00–06:00, although some low exposure remains. Meal, activity and IOB context are unavailable, and evidence does not isolate this segment."
real_gpt56sol_med_50,run_001,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,"The 06:00–08:00 pattern is mostly in range, with one severe reading lacking event context. Later morning rises may be meal-related, so neither an increase nor decrease is supported without fasting evidence."
real_gpt56sol_med_50,run_001,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,"TAR rises during this segment, but zero meal records and active UAM leave unannounced food as a major dependency. Subsequent evening lows make an increase unsafe to infer."
real_gpt56sol_med_50,run_001,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,"Glucose is highest near 16:00 but then falls as low exposure increases. Accumulated correction, SMB and temporary-basal insulin remain plausible, so this rate cannot be isolated."
real_gpt56sol_med_50,run_001,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,"TBR is elevated around 18:00, but severe episodes followed earlier highs and insulin exposure. Complete IOB and meal context are required before attributing the pattern to this basal segment."
real_gpt56sol_med_50,run_001,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,"Local TBR reaches 15.3% at 19:00, creating concern, but preceding SMB, corrections, activity and rescue treatment are unrecorded. A supported replacement rate cannot be derived."
real_gpt56sol_med_50,run_001,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,"There are no meal-linked carbohydrate and bolus observations for this segment. CR effects cannot be separated from basal, ISF, DIA, targets or SMB/UAM."
real_gpt56sol_med_50,run_001,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,"Morning carbohydrate amount, meal timing and prebolus execution are absent. Later rises do not prove a weak CR, particularly given subsequent lows and automated insulin."
real_gpt56sol_med_50,run_001,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,"Recurring daytime rises occur in this segment, but no meals are recorded and UAM carries the reactive response. Delayed hypoglycaemia argues against strengthening CR without meal-linked evidence."
real_gpt56sol_med_50,run_001,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,"Evening lows overlap this stronger CR segment, but no meal boluses are identifiable. CR, corrections, Dynamic ISF and accumulated automated insulin cannot be separated."
real_gpt56sol_med_50,run_001,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,"No meal-linked evidence supports a change. Overnight lows may depend on prior insulin exposure rather than this CR, and the uncertainty prevents selecting a new value."
real_gpt56sol_med_50,run_001,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,"Dynamic ISF materially changes effective sensitivity, with representative values from about 27.8 to 124 mg/dL/U. The flat profile ISF cannot be isolated from Dynamic ISF, SMB/UAM, IOB and targets."
real_gpt56sol_med_50,run_001,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,"Overnight TBR raises concern, but preceding insulin exposure and unexplained operational targets are dependencies. Three documented overnight windows are needed before selecting a supported replacement target."
real_gpt56sol_med_50,run_001,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,"Both daytime highs and evening lows occur under this target. Meals, Dynamic ISF, SMB/UAM and temporary targets remain unresolved, so changing it would not isolate causality."
real_gpt56sol_med_50,run_001,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,"Low exposure increases around late evening and overnight, but evening IOB and corrections are plausible causes. Configuration reconciliation and controlled observation are required before a numeric change."
