experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
qwen9b_pilot,profile.basal.00_00,profile,0.85 U/h,1,change,1.0,-0.0,1,0,0,1,0.78 u/h x1
qwen9b_pilot,profile.basal.06_00,profile,0.95 U/h,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.basal.12_00,profile,0.9 U/h,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.basal.18_00,profile,1.05 U/h,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.cr.00_00,profile,12 g/U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.cr.06_00,profile,10 g/U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.cr.12_00,profile,11 g/U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.cr.18_00,profile,9 g/U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.isf.00_00,profile,48 mg/dL/U,1,change,1.0,-0.0,1,0,0,1,52 mg/dl/u x1
qwen9b_pilot,profile.isf.06_00,profile,42 mg/dL/U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.isf.12_00,profile,45 mg/dL/U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.isf.18_00,profile,40 mg/dL/U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.target.00_00,profile,95-110 mg/dL,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.target.06_00,profile,90-105 mg/dL,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.target.22_00,profile,100-115 mg/dL,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,profile.dia,profile,5.5 h,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,aaps.core.smb_activation,aaps,smb_always_enabled=null; smb_with_cob_enabled=null; smb_after_carbs_enabled=null; smb_with_temp_target_enabled=null; smb_with_high_temp_target_enabled=null,1,verify,1.0,-0.0,0,0,1,0,
qwen9b_pilot,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=45 min; max_uam_smb_basal_minutes=30 min,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,aaps.core.safety_limits,aaps,max_basal_u_per_hour=2.4 U/h; max_iob_units=8 U,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,aaps.core.sensitivity,aaps,autosens_enabled=null; dynamic_sensitivity_enabled=null; autosens_raises_target=null; autosens_lowers_target=null; dynamic_isf_adjustment_factor_percent=100 %,1,keep,1.0,-0.0,0,1,0,0,
qwen9b_pilot,aaps.core.carb_absorption,aaps,min_5m_carbimpact=3 mg/dL/5 min; meal_max_absorption_hours=6 h,1,keep,1.0,-0.0,0,1,0,0,
