experiment,slot,group,kind,n_runs,group_runs,representative
real_haiku45_50,decision: Profile / basal 00:00,keep,varying,15,42,Overnight basal 00:00–05:00 at 0.6 U/h is appropriate for fasting state.
real_haiku45_50,decision: Profile / basal 00:00,keep,varying,7,42,No change needed.
real_haiku45_50,decision: Profile / basal 00:00,keep,varying,6,42,"Overnight hours 04:00–07:00 are stable (95–98% TIR), suggesting basal is adequate once IOB clears."
real_haiku45_50,decision: Profile / basal 00:00,keep,varying,5,42,Basal 0.6 U/h is appropriate.
real_haiku45_50,decision: Profile / basal 00:00,keep,varying,4,42,"Overnight basal (0.6 U/h, 00:00–04:59) shows excellent control (TIR 81.5–95.8%, mean 90–106 mg/dL)."
real_haiku45_50,decision: Profile / basal 00:00,keep,varying,4,42,Keep 0.6 U/h unchanged pending carb logs.
real_haiku45_50,decision: Profile / basal 00:00,change,shared,7,7,Hour 01 (01:00–02:00 local) shows 18.5% TBR with avg 90.6 mg/dL on 0.6 U/h basal.
real_haiku45_50,decision: Profile / basal 00:00,change,varying,2,7,"Clusters of lows ≤50 mg/dL on 2026-08-13, 2026-08-14, 2026-08-21 (most recent 42 mg/dL)."
real_haiku45_50,decision: Profile / basal 00:00,change,varying,2,7,Reduce from 0.6 to 0.5 U/h to lower overnight insulin delivery.
real_haiku45_50,decision: Profile / basal 05:00,keep,varying,22,49,Corresponding local time is 06:00–07:00 local BST. hourly_glucose_local hour 5 (05:00 local = 04:00 UTC) avg 104.2 mg/dL TBR 4.8%; hour 6 (06:00 local = 05:00 UTC) avg 99.5 mg/dL TBR 2.5%; hour 7 (07:00 local = 06:00 UTC) avg 99.5 mg/dL TBR 1.3%.
real_haiku45_50,decision: Profile / basal 05:00,keep,varying,19,49,No change needed.
real_haiku45_50,decision: Profile / basal 05:00,keep,varying,13,49,Early morning basal 0.7 U/h (05:00-06:00) is appropriate;
real_haiku45_50,decision: Profile / basal 05:00,keep,varying,12,49,Basal 0.7 U/h is appropriate.
real_haiku45_50,decision: Profile / basal 05:00,keep,varying,8,49,"Early morning basal (0.7 U/h, 05:00–09:59) handles dawn phenomenon well (hour 05–07 mean 99–110 mg/dL, TIR 97.5–98.7%)."
real_haiku45_50,decision: Profile / basal 05:00,keep,varying,8,49,No change indicated.
real_haiku45_50,decision: Profile / basal 06:00,keep,varying,15,48,Breakfast-window basal (06:00–10:00 local).
real_haiku45_50,decision: Profile / basal 06:00,keep,varying,12,48,Basal 0.8 U/h is appropriate.
real_haiku45_50,decision: Profile / basal 06:00,keep,varying,12,48,No change needed.
real_haiku45_50,decision: Profile / basal 06:00,keep,varying,10,48,Hour 6–7 (06:00–08:00 local) shows 99.5–110.5 mg/dL avg with 98–98.2% TIR.
real_haiku45_50,decision: Profile / basal 06:00,keep,varying,7,48,Morning basal 0.8 U/h (06:00-10:00) is appropriate; early morning (hour 8) BG averages 110.5 mg/dL with 0% TBR and 91.1% TIR.
real_haiku45_50,decision: Profile / basal 06:00,keep,varying,5,48,No change indicated.
real_haiku45_50,decision: Profile / basal 10:00,keep,varying,7,37,Daytime basal 0.7 U/h (10:00–16:00 window includes this segment) is appropriate for daytime baseline.
real_haiku45_50,decision: Profile / basal 10:00,keep,varying,5,37,"Hour 10 (10:00 local, 09:00 UTC) basal 0.7 U/h begins daytime segment."
real_haiku45_50,decision: Profile / basal 10:00,keep,varying,4,37,Midday basal 0.7 U/h is appropriate for lunch window.
real_haiku45_50,decision: Profile / basal 10:00,keep,varying,3,37,"Basal 0.7 U/h at 10:00–15:59 (UTC, 11:00–16:59 local) bridges morning and early afternoon."
real_haiku45_50,decision: Profile / basal 10:00,keep,varying,3,37,Keep unchanged pending carb logs.
real_haiku45_50,decision: Profile / basal 10:00,keep,varying,3,37,Hour 10 avg 148.0 mg/dL (20.2% above range).
real_haiku45_50,decision: Profile / basal 10:00,change,shared,8,12,Basal 10:00–16:00 at 0.7 U/h is insufficient.
real_haiku45_50,decision: Profile / basal 10:00,change,varying,3,12,"Afternoon (hours 10–16) is the primary problem: avg 132–163 mg/dL, target 100, TIR 67.9–92.0%, above-range 7.5–32.1%."
real_haiku45_50,decision: Profile / basal 10:00,change,varying,3,12,"If still 130–140 mg/dL, increase to 0.85 U/h."
real_haiku45_50,decision: Profile / basal 10:00,change,varying,2,12,"Midday basal 0.7 U/h produces sustained elevation 141–162 mg/dL (48–62 above target 100) during hours 10–16 (hourly avg 132–163 mg/dL, %AR 7–32%, peak 32% at hour 16)."
real_haiku45_50,decision: Profile / basal 10:00,change,varying,2,12,"Implementation: Change basal 10:00 to 0.85 U/h; monitor 2–3 days; if afternoon TIR improves to >75% and TAR <15%, continue."
real_haiku45_50,decision: Profile / basal 10:00,change,varying,2,12,"SMB active but constrained by max_smb_basal_minutes 15 (bolus ceiling 0.175 U/pulse, insufficient to add 0.2–0.3 U/h sustained during meal)."
real_haiku45_50,decision: Profile / basal 10:00,change,varying,2,12,SMB and temp basal (up to 4 U/h) compensating but insufficient.
real_haiku45_50,decision: Profile / basal 16:00,keep,varying,16,38,Afternoon reduction from 0.7 to 0.5 U/h at 16:00 occurs after the peak hyperglycemia hour (16:00–17:00 avg 162.8 mg/dL).
real_haiku45_50,decision: Profile / basal 16:00,keep,varying,8,38,"Hour 16 local (15:00–16:00 BST = 14:00–15:00 UTC in UTC hourly_glucose, but 15:00–16:00 UTC in hourly_glucose_local after timezone shift) shows peak afternoon highs (avg 162.8 mg/dL, max 264, TAR 32.1%)."
real_haiku45_50,decision: Profile / basal 16:00,keep,varying,5,38,Basal 0.5U/h (16:00-18:00) during afternoon → evening transition.
real_haiku45_50,decision: Profile / basal 16:00,keep,varying,4,38,Basal 0.5 U/h at 16:00 is intentionally low during meal window.
real_haiku45_50,decision: Profile / basal 16:00,keep,varying,3,38,"However, the acute 0.5 U/h is likely appropriate for late afternoon (16:00–18:00) when glucose is beginning to decline (hour 17 avg 148.9 mg/dL, hour 18 avg 124.2 mg/dL)."
real_haiku45_50,decision: Profile / basal 16:00,keep,varying,3,38,Basal decreases to 0.5 U/h at 16:00 (peak afternoon high).
real_haiku45_50,decision: Profile / basal 16:00,change,varying,4,11,"Hour 16 shows worst sustained control: avg 162.8 mg/dL (63 mg/dL above target 100), TIR 67.9% (worst daily), TAR 32.1% (worst)."
real_haiku45_50,decision: Profile / basal 16:00,change,varying,3,11,"Increasing to 0.6 U/h aligns with basal 0.6 U/h (18:00) and 0.7 U/h (19:00) downstream, smoothing afternoon-to-evening transition."
