experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_sonnet5_20,run_001,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,"Overnight hours show the highest time-below-range despite basal already being at its daily minimum, arguing against basal excess as the primary driver; IOB carryover and target tightness are unresolved alternative explanations and no isolated basal-only night is available."
real_sonnet5_20,run_001,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,"This segment corresponds to a stable window (time-in-range 95.2-97.5%, low time-below-range); no issue was found here."
real_sonnet5_20,run_001,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,This segment also falls within the stable early-morning window (time-in-range up to 98.7%); no issue was found here.
real_sonnet5_20,run_001,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,"The glucose rise beginning around this hour is more consistent with an unlogged meal effect than basal insufficiency, but this cannot be confirmed without carbohydrate data."
real_sonnet5_20,run_001,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,"The day's worst hyperglycemia (time-above-range up to 32.1% at hour 16) occurs alongside a basal decrease, which does not clearly support basal insufficiency as the cause; an unlogged meal remains a plausible confound and no isolated evidence supports a specific change yet."
real_sonnet5_20,run_001,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,No isolated issue was identified in this segment from the available hourly data.
real_sonnet5_20,run_001,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,"This segment coincides with a secondary time-below-range peak (15.3%), but this is ambiguous between the rate increase and dinner-time correction-bolus stacking; insufficient isolated evidence to support a change."
real_sonnet5_20,run_001,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,"Zero carbohydrate entries exist in the entire 14-day period, so no carb-ratio segment can be validated against actual meal response."
real_sonnet5_20,run_001,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,Same carbohydrate-logging gap as all other carb-ratio segments; cannot support a change without meal-linked glucose response data.
real_sonnet5_20,run_001,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,Same carbohydrate-logging gap as all other carb-ratio segments; cannot support a change without meal-linked glucose response data.
real_sonnet5_20,run_001,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,"Same carbohydrate-logging gap as all other carb-ratio segments, notable because this segment overlaps the day's worst hyperglycemia hour, but attribution to CR cannot be confirmed without meal data."
real_sonnet5_20,run_001,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,Same carbohydrate-logging gap as all other carb-ratio segments; cannot support a change without meal-linked glucose response data.
real_sonnet5_20,run_001,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,"Dynamic ISF (70% adjustment factor) already produces wide real-time effective sensitivity (about 27.8-178.6 mg/dL/U) around this static baseline as expected behavior; observed correction-response variability is at least partly attributable to this and to unresolved meal and IOB confounds, and no isolated no-IOB test window exists to validate the static baseline alone."
real_sonnet5_20,run_001,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,"This segment falls within the overnight window most associated with recurrent Level-2 hypoglycemia, but basal is already at its lowest rate and IOB carryover from earlier corrections is an unresolved alternative driver; no isolated evidence yet supports a specific target change."
real_sonnet5_20,run_001,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,"This daytime segment shows fewer lows but is followed by the onset of later hyperglycemia, which is more plausibly meal-related than target-related; no isolated evidence justifies a change to this value."
real_sonnet5_20,run_001,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,"This segment covers the window most associated with observed overnight Level-2 hypoglycemia; it is the primary candidate for close monitoring described in profile_recommendation, but a change is not yet supported pending isolation of IOB, meal, and target contributions."
real_sonnet5_20,run_001,profile.dia,profile,True,10 h,keep,10 h,"A long DIA combined with a short SMB interval, smb_always_enabled, and a high 25U max IOB ceiling structurally permits insulin stacking consistent with observed multi-hour post-correction declines, but the profile's naming suggests a diluted-insulin context that may justify an extended DIA; changing DIA together with basal, ISF, or SMB settings would confound attribution, so it is withheld pending sequential review."
real_sonnet5_20,run_001,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,"Consistent with fully closed-loop operation observed in every sampled loop status; with zero carb logging, UAM is the only mechanism handling meal-shaped rises and no malfunction is evident."
real_sonnet5_20,run_001,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,"Internally consistent with zero-carb operation; the combination may suppress SMB during the several 135 mg/dL Temporary Targets observed, a plausible but unconfirmed partial contributor to slower corrections, insufficient to justify a change."
real_sonnet5_20,run_001,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,"Permissive settings that, combined with the 10-hour DIA and high max IOB, are structurally capable of the observed post-correction overshoot pattern, but the interval versus DIA contribution cannot be separated from this data, and changing this group with DIA simultaneously would violate the no-dependent-change rule."
real_sonnet5_20,run_001,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,keep,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,"Neither limit was approached at any point (observed maxima 4 U/h basal, 5.935 U IOB); not currently binding, though the related current_basal_safety_multiplier raw setting was separately observed to cap delivery during the 2026-08-14 severe high and is flagged independently."
real_sonnet5_20,run_001,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,"Configuration is internally consistent; sensitivity_ratio values near 1 reflect neutral or protective Dynamic ISF output rather than disabled Autosens, and the wide effective-ISF swings cannot be separated, without carb data, from correct reactive behavior versus compensation for an under-strength CR or ISF baseline."
real_sonnet5_20,run_001,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,Fully unverifiable because carbohydrate entries are zero for the entire period; values appear plausible on their face and no evidence supports changing settings that have not been observed acting.
real_sonnet5_20,run_002,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,"Hour 0 local shows elevated time-below-range (18.5%), but this more plausibly reflects residual IOB from evening correction boluses within the 10-hour DIA window than excess basal at this rate. Uncertainty: cannot separate basal effect from correction-bolus tail without an observation night without late corrections. Dependency: profile.dia and evening correction timing."
real_sonnet5_20,run_002,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,"Hour 5 local shows strong time-in-range (95.2%) and 0% time-below-range, providing no evidence to support a change at this rate."
real_sonnet5_20,run_002,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,"Hours 6-7 local are well controlled (time-in-range 97.5-98.7%), but the subsequent rise at hours 9-10 local could reflect either a later basal segment or an unlogged breakfast. Uncertainty: no carb data to rule out a meal effect. Dependency: profile.basal.10_00 and carb logging."
