experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_gpt56sol_med_50,run_001,completed,,gpt-5.6-sol,306.33,,122970,17747,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep the current 90 mg/dL overnight, 100 mg/dL daytime and 90 mg/dL late-evening target schedule while obtaining three documented 23:00–04:00 local verification windows.",low,2,"Do not assign or increase a numeric prebolus or immediate bolus percentage from this period. Treat SMB/UAM as the currently observed reactive pathway, and do not assign regular-carb versus e-carb amounts, offsets or durations until comparable meals are prospectively logged while profile and automation settings remain stable.",3,profile,Primary: keep the profile stable and verify the low pattern first,safety,profile;automation;meal_strategy,6,5,6,"Fourteen days of high-quality CGM data show strong overall time in range but clinically important hypoglycaemia, especially overnight and around 18:00–19:00 local time. Daytime rises commonly precede later falls while SMB/UAM, Dynamic ISF, temporary basal and substantial IOB are active. Missing meal and activity records prevent reliable separation of profile, meal and automation effects. No profile or AAPS value has enough isolated evidence for a numeric change; the primary action is to keep settings stable while obtaining structured fasting and meal-linked observations.",577
real_gpt56sol_med_50,run_002,completed,,gpt-5.6-sol,295.55,,122599,16964,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,profile.target.00_00,target,change,medium,"Review 100 mg/dL as the candidate value for profile.target.00_00 instead of 90 mg/dL, with no simultaneous profile or automation change.",low,2,"Use one documented meal observation without inventing a new prebolus interval or immediate bolus percentage: record the actual prebolus minutes and actual immediate bolus percentage used, allow the current SMB/UAM configuration to be observed without an unstructured overlapping correction, and use regular carbs for known immediate absorption while reserving e-carbs only for a repeatedly demonstrated delayed component.",3,target,Review the 00:00 glucose target first,safety,target;automation;meal_strategy,5,5,7,"Fourteen days of high-quality CGM data show strong overall time in range but clinically important recurrent hypoglycaemia, especially from 00:00 to 03:00 and around 18:00 to 19:00 local time. Daytime rises followed by later declines are consistent with accumulated insulin from UAM, SMB, Dynamic ISF, corrections, and temporary basal delivery, but absent meal records prevent attribution to CR, basal, or meal absorption. The primary conservative profile proposal is review of the 00:00 target from 90 to 100 mg/dL while keeping other profile and automation settings unchanged until its effect is observed.",606
real_gpt56sol_med_50,run_003,completed,,gpt-5.6-sol,283.02,,121579,15626,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,Keep the current profile and verify the 23:00-03:00 pattern across several fasting-like nights before considering an overnight basal or target change.,low,2,"Do not infer a numerical prebolus or immediate bolus percentage from this dataset. For review, document those values for a recurring meal while keeping CR and automation stable, recognise that SMB/UAM may add insulin after a rise, and use regular announced carbs unless meal-linked evidence supports a separate e-carb amount, offset and duration.",3,basal,Keep the profile while verifying the overnight low pattern,safety,basal;aaps;meal_strategy,5,5,6,"Fourteen days of high-quality CGM data show strong overall time in range but clinically important recurrent hypoglycaemia, concentrated around 23:00-03:00 and 18:00-19:00 local time. Daytime rises are often followed by delayed falls while SMB/UAM, temporary basal and Dynamic ISF are active. Because no carbohydrates or meal-strategy values were recorded or declared, the data cannot distinguish basal, meal timing, CR, absorption and automation effects reliably. The safest synthesis is to keep the current profile and automation values provisionally, prioritise structured verification of overnight and meal-linked insulin exposure, and review the permissive maximum IOB and basal safety ceilings without assigning unsupported replacement values.",748
real_gpt56sol_med_50,run_004,completed,,gpt-5.6-sol,321.76,,124648,18326,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep the current profile, including the 90 mg/dL overnight target, while performing one focused verification of several 23:00–03:00 periods with complete preceding insulin and event context.",low,0,"Document the actual prebolus interval and immediate bolus percentage for several comparable meals without inventing new values; keep SMB/UAM settings unchanged during that observation, and do not assign e-carb amounts, offsets, or durations unless a repeatable meal-linked delayed rise is demonstrated.",3,profile,Primary: verify the context of recurrent lows before changing the profile,safety,profile;automation;meal_strategy,5,5,5,"Fourteen days of high-quality CGM data show strong overall time in range of 86.0%, but excessive time below range of 5.1%, including recurrent late-evening and early-overnight lows and confirmed readings of 41–42 mg/dL. Daytime rises, especially from 14:00–17:00 local time, often prompted UAM, SMB, temporary basal, and stronger Dynamic ISF responses, sometimes with substantial IOB before later declines. Missing meal declarations and absent carbohydrate entries prevent reliable separation of meal timing, CR, absorption, profile insulin, and automation effects. The final synthesis supports keeping all current profile and AAPS values while first obtaining meal-linked and low-context observations.",702
real_gpt56sol_med_50,run_005,completed,,gpt-5.6-sol,305.87,,123295,17057,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,profile.target.00_00,target,change,medium,Review changing the 00:00 target from 90 to 100 mg/dL as the only initial profile change.,low,2,"Do not assign numerical prebolus minutes or an immediate bolus percentage from this package. Keep SMB/UAM unchanged during the initial target assessment, use announced regular carbohydrates as the reference for ordinary logged meals, and consider e-carbs only when a meal-linked delayed rise is reproducible; e-carbs are not an extended pump bolus.",3,target,Primary: review the midnight target,safety,target;automation;meal_strategy,5,5,7,"Fourteen days of high-quality CGM data show strong overall time in range but clinically important hypoglycemia, especially overnight and after afternoon hyperglycemia. The leading explanation for the afternoon high-to-evening low sequence is reactive insulin accumulation from UAM, SMB, temporary basal, and Dynamic ISF in the absence of recorded carbohydrates, rather than a proven basal, CR, or static ISF defect. The clearest isolated safety-oriented profile review is the 00:00 target of 90 mg/dL because local 00:00-03:00 time below range was 10.1%-18.5%. A candidate increase to 100 mg/dL is supported for discussion and single-change testing, while all other profile and automation settings should remain unchanged until matched meal and insulin data separate their effects.",781
real_gpt56sol_med_50,run_006,completed,,gpt-5.6-sol,302.41,,123244,17355,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep the current basal schedule and the rest of the profile unchanged for now, and use one fully documented naturally occurring overnight interval to verify whether glucose falls without late food, correction insulin, unusual activity, temporary targets, or substantial starting IOB.",low,1,"Keep any existing prebolus timing and immediate bolus percentage unchanged because no declared numeric values are present in the package; keep SMB/UAM settings unchanged while documenting their actual delivery; and do not introduce or alter e-carbs without a meal-linked amount, start offset, duration, and six-hour response.",3,basal,Keep the profile and verify the overnight pattern first,safety,basal;automation;meal_strategy,5,5,6,"Fourteen days of high-quality CGM data show an average glucose of 121.6 mg/dL, 86.0% time in range, 8.9% above range, and 5.1% below range. Hypoglycemia is the main safety constraint, particularly overnight and around 18:00-19:00 local time. Afternoon hyperglycemia is often followed by substantial insulin on board and later declines, but absent meal, carbohydrate, activity, and rescue-treatment records prevent separation of profile settings from UAM, SMB, Dynamic ISF, corrections, and food absorption. No profile or AAPS parameter change has enough isolated evidence; the primary action is to keep the current profile while obtaining one controlled, fully documented overnight observation before reviewing automation and meal strategy sequentially.",753
real_gpt56sol_med_50,run_007,completed,,gpt-5.6-sol,336.12,,125299,19198,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep every current profile segment unchanged for now and verify the overnight pattern using at least two fasting-like nights with the preceding six hours of meals, activity, corrections, temporary targets, SMBs, and IOB documented.",low,2,"Do not infer a new prebolus interval or immediate bolus percentage yet; document the actual values during a repeated meal, keep SMB/UAM unchanged while its cumulative insulin response is observed, and use no e-carb assumption unless a meal-linked delayed glucose-action pattern establishes an amount, offset, and duration.",3,basal,Keep the profile unchanged while verifying recurrent lows,safety,basal;smb;meal_strategy,5,5,6,"Fourteen days of high-quality CGM data show 86.0% time in range, average glucose 121.6 mg/dL, and moderate variability, but 5.1% time below range with recurrent overnight and early-evening lows. Daytime glucose commonly rises from late morning through afternoon and is followed by increasing IOB and later low risk. Because no meal strategy, carbohydrate, or e-carb data were declared or recorded, these patterns cannot reliably distinguish basal, CR, bolus timing, absorption, Dynamic ISF, or SMB/UAM effects. The safest synthesis is to keep the current profile and automation settings unchanged while obtaining meal-linked and fasting-like observations and reconstructing insulin delivery around confirmed lows.",713
real_gpt56sol_med_50,run_008,completed,,gpt-5.6-sol,334.16,,123750,19085,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep the current 90 mg/dL overnight and 100 mg/dL daytime targets, along with the rest of the profile, until the overnight low pattern is separated from residual IOB and automation.",low,2,"For a documented known meal, record the actual prebolus minutes and immediate bolus percentage rather than inferring either from the daytime highs; use SMB/UAM as supplemental observed automation rather than assuming it should carry all meal insulin, and consider e-carbs only after a reproducible meal-linked delayed-rise pattern is separated from IOB, SMBs, temporary basal, temporary targets, and corrections.",3,profile,Keep the profile unchanged while verifying the recurrent low pattern,safety,profile;automation;meal_strategy,5,5,7,"Fourteen days of high-quality CGM data show strong overall glucose exposure metrics, with 86.0% time in range and average glucose of 121.6 mg/dL. The main safety concern is 5.1% time below range, including repeated values of 41–42 mg/dL and recurring low exposure around 23:00–03:00 and 18:00–19:00 local time. Daytime rises frequently occur with no recorded carbohydrate information and are managed by UAM, SMB, Dynamic ISF, temporary basal, and corrections. This creates a plausible high-IOB pathway to later lows, but missing meal and activity context prevents assigning the pattern to a specific basal, target, CR, ISF, DIA, or automation parameter. No numeric setting change is adequately supported by this package alone.",726
real_gpt56sol_med_50,run_009,completed,,gpt-5.6-sol,291.91,,121399,16268,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep the current profile and first verify the 19:00, 00:00, and 23:00 target segments using one fasting-like 23:00–03:00 interval with complete IOB and insulin context.",low,2,"Keep prebolus time and immediate-bolus percentage unspecified until one recurring meal is documented; treat SMB/UAM as an adjunct rather than confirmation of adequate meal insulin, and do not introduce an e-carb amount, start offset, or duration without a reproducible meal-linked delayed-rise pattern.",3,basal,Prioritize overnight low attribution before changing the profile,safety,basal;automation;meal_strategy,6,5,6,"Fourteen days of high-quality CGM data show strong overall glucose exposure metrics, with 86.0% time in range and 32.6% coefficient of variation, but 5.1% time below range and repeated values of 41–42 mg/dL create a significant safety constraint. Lows cluster overnight and after some daytime rises. Daytime hyperglycaemia is concentrated from late morning through afternoon, but absent meal and carbohydrate records prevent separation of meal timing, CR, basal, and absorption effects. The selected AAPS profile is complete and declared applicable. Dynamic ISF, broadly available SMB/UAM, and accumulated IOB provide a plausible system-level explanation for rises followed by delayed lows. No individual profile or AAPS setting change is sufficiently isolated by the supplied data, so the primary synthesis is to keep current values while performing one precise overnight verification before reviewing automation and meal strategy sequentially.",945
real_gpt56sol_med_50,run_010,completed,,gpt-5.6-sol,324.26,,123612,17424,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,Keep all current profile values and first verify the 90 mg/dL target from 23:00 together with the 0.6 U/h basal from 00:00 using one representative overnight interval.,low,1,"Use one consistently documented meal approach for observation: record the actual prebolus interval and immediate bolus percentage without assigning unsupported values, retain current SMB/UAM settings during the observation, and do not infer or add an e-carb amount, offset, or duration without a reproducible meal-linked delayed rise.",3,target,Keep the profile and verify the overnight low pattern first,safety,target;automation;meal_strategy,5,5,7,"Fourteen days of high-quality CGM data show strong overall glucose exposure metrics, with average glucose 121.6 mg/dL and 86.0% time in range. The main safety concern is 5.1% time below range, concentrated around 23:00-03:00 and 18:00-19:00 local time, while highs cluster around 10:00-17:00. The active profile is complete and explicitly applicable to the period. However, zero carbohydrate entries, no declared meal strategy, representative rather than complete insulin traces, and overlapping SMB, UAM, Dynamic ISF, corrections, IOB, meals, and possible activity prevent attribution to a specific profile or automation parameter. No supported numerical setting change is identified. The primary decision is to keep the current profile while obtaining one precise overnight verification, followed by automation review and structured meal observations.",853
real_gpt56sol_med_50,run_011,completed,,gpt-5.6-sol,321.26,,121693,17878,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,2,21,0,profile.target.00_00;profile.target.23_00,target,change,medium,Review changing the 23:00 and 00:00 target entries from 90 mg/dL to 100 mg/dL as one contiguous overnight target adjustment.,low,2,"Do not assign a numerical prebolus interval or immediate bolus percentage from this dataset. Preserve SMB/UAM as currently configured while avoiding simultaneous automation changes, and consider e-carbs only after a reproducible prolonged meal-linked rise documents an amount, start offset, duration, insulin, IOB, and six-hour response.",3,target,Increase the contiguous overnight target safety margin,safety,target;automation;meal_strategy,6,5,5,"Fourteen days of high-quality CGM data show strong overall time in range but excessive hypoglycemia, especially from 23:00 through 03:00 local time and again around 18:00-19:00. Daytime hyperglycemia is concentrated in meal-like hours, but no meal or carbohydrate strategy was declared or recorded, so basal and carb-ratio defects cannot be established. The safest supported profile review is a single contiguous overnight target adjustment from 90 to 100 mg/dL at both 23:00 and 00:00, followed by observation before considering automation or meal-strategy changes.",566
real_gpt56sol_med_50,run_012,completed,,gpt-5.6-sol,288.45,,120917,16005,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,Keep the complete profile unchanged and verify the 00:00-03:00 and 18:00-19:00 low patterns using full preceding insulin and event timelines.,low,1,"No supported prebolus interval or immediate bolus percentage can be selected from this package. Keep the current SMB/UAM configuration unchanged during observation, and do not introduce or infer an e-carb amount, offset, or duration until a meal-linked record distinguishes early meal rise from delayed absorption and accumulated insulin.",3,basal,Keep the profile unchanged while verifying the low patterns,safety,basal;smb;meal_strategy,5,4,7,"Fourteen days of high-quality CGM data show strong overall time in range but excessive hypoglycemia, including sustained readings of 41-42 mg/dL. Hyperglycemia clusters from late morning through afternoon and is often followed by evening declines. With no declared meal strategy or recorded carbohydrate entries, the evidence cannot separate meal timing, carbohydrate ratio, delayed absorption, Dynamic ISF, SMB/UAM, correction insulin, and residual IOB. The safest synthesis is to keep the current profile and automation settings unchanged while obtaining matched meal and complete insulin-delivery records and reviewing the severe low episodes first.",652
real_gpt56sol_med_50,run_013,completed,,gpt-5.6-sol,320.74,,124438,18416,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep the current profile, including the 90 mg/dL overnight target, while completing one precise overnight verification: compare at least three midnight-to-03:00 periods with no late meal, no correction, no activity, no temporary target, and low starting IOB.",low,0,"Keep numerical prebolus timing and immediate bolus percentage unspecified because neither is declared or supported by meal-linked telemetry. Treat SMB/UAM as part of the same meal-response system rather than adding more early or late insulin independently, and do not introduce or tune e-carbs until a reproducible meal-linked delayed-absorption pattern is documented.",3,safety_and_data,Reconstruct recurrent low-glucose sequences before changing settings,safety,safety_and_data;automation;meal_strategy,6,5,7,"Fourteen days of high-quality CGM data show strong overall time in range of 86.0% and average glucose of 121.6 mg/dL, but time below range of 5.1% and repeated readings of 41–47 mg/dL make hypoglycemia the primary constraint. Afternoon meal-like rises are frequently followed by evening declines, while midnight to 03:00 local time also has recurrent low exposure. No carbohydrate or meal-strategy entries were declared or recorded, so basal, carbohydrate ratio, ISF, DIA, meal timing, and absorption effects cannot be separated reliably. The active profile is complete and declared applicable to the period. No individual profile or AAPS parameter has enough isolated evidence for a supported numerical change; the safest synthesis is to keep current values while reconstructing representative low and meal sequences before reviewing one setting at a time.",857
real_gpt56sol_med_50,run_014,completed,,gpt-5.6-sol,321.32,,122806,18027,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,profile.target.00_00,target,change,medium,Review changing the 00:00 target from 90 to 100 mg/dL as the only initial profile change.,low,1,"Use a consistently documented meal-announcement approach before assigning numeric prebolus minutes or an immediate bolus percentage; keep SMB/UAM unchanged initially, and do not introduce routine e-carbs without a repeatable meal-linked delayed-absorption pattern.",3,target,Primary: test a less aggressive midnight target,safety,target;automation;meal_strategy,6,5,6,"Fourteen days of high-quality CGM data show 86.0% time in range, 8.9% above range, and 5.1% below range. The main safety pattern is recurrent overnight and evening hypoglycemia, including readings of 41–42 mg/dL. Late-morning and afternoon rises are often followed by sharp declines while SMB, UAM, Dynamic ISF, temporary basal, and accumulated IOB are active. The profile is complete and declared applicable to the period, but absent meal records prevent reliable CR, bolus-timing, and absorption conclusions. The primary conservative profile candidate is changing only the 00:00 target from 90 to 100 mg/dL, without simultaneously changing basal or automation.",662
real_gpt56sol_med_50,run_015,completed,,gpt-5.6-sol,314.54,,122698,17389,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep the current profile targets of 90 mg/dL overnight, 100 mg/dL from 08:00, and 90 mg/dL from 23:00 while performing a focused review of at least three naturally fasting-like 23:00–03:00 periods.",low,1,"Do not assign a fixed prebolus time or immediate bolus percentage from this package. Keep SMB/UAM unchanged during structured observation, and do not introduce an e-carb amount, offset, or duration without a recurring meal-linked delayed-absorption pattern.",3,safety_and_data,Characterize recurrent lows before changing settings,safety,safety_and_data;automation;meal_strategy,5,5,7,"Fourteen days of high-quality CGM data show strong overall time in range of 86.0%, but time below range of 5.1% and repeated glucose values of 41–42 mg/dL make hypoglycemia the dominant safety concern. Lows cluster overnight, late evening, and after some afternoon highs. Daytime rises may reflect unrecorded meals, while SMB/UAM and Dynamic ISF can accumulate substantial IOB during those rises. Missing meal-linked data prevents reliable attribution to basal, targets, CR, ISF, DIA, SMB limits, or carbohydrate absorption. The safest synthesis is to keep all current profile and AAPS settings while collecting matched meal, insulin, IOB, activity, and low-confirmation data, then review one setting group at a time.",717
real_gpt56sol_med_50,run_016,completed,,gpt-5.6-sol,293.48,,123383,16848,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,Keep all current basal segments and the rest of the profile unchanged while retrospectively identifying at least two overnight or early-evening low sequences with six hours of complete IOB and delivered-insulin context.,low,2,"Keep prebolus minutes and immediate bolus percentage unspecified, keep current SMB/UAM settings unchanged, and do not introduce an e-carb amount or duration from this dataset. First document one representative meal with its carbohydrate entry, insulin timing, immediate percentage if used, any e-carb amount, offset and duration, and the complete six-hour automation and IOB response.",3,safety,Primary: reconstruct severe-low insulin sequences before changing settings,safety,safety;automation;meal_strategy,4,4,6,"Fourteen days of high-quality CGM data show 86.0% time in range and an average glucose of 121.6 mg/dL, but 5.1% time below range and repeated values of 41–42 mg/dL make hypoglycemia the dominant concern. Afternoon rises are frequently followed by early-evening declines, while low exposure also recurs around midnight to 03:00 local time. The profile was declared applicable, but absent meal declarations and overlapping SMB, UAM, Dynamic ISF, corrections, temporary basal, targets, and IOB prevent attribution to one parameter. The safest synthesis is to keep all current profile and AAPS settings while reconstructing representative low and meal sequences before considering one isolated change.",697
real_gpt56sol_med_50,run_017,completed,,gpt-5.6-sol,290.85,,121554,16710,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,profile.target.00_00,target,change,medium,Review changing profile.target.00_00 from 90 mg/dL to 100 mg/dL as the only initial profile change.,low,2,"No prebolus time or immediate bolus percentage can be selected from this package. For a future documented meal review, record the actual prebolus minutes and immediate bolus percentage, treat SMB/UAM as secondary reactive coverage rather than proof of the meal bolus, and consider e-carbs only after a repeated meal-linked delayed-rise pattern establishes an amount, start offset, and duration.",3,target,Primary review: raise the midnight target,safety,target;automation;meal_strategy,5,5,6,"Fourteen days of high-quality CGM data show strong overall time in range of 86.0%, but time below range of 5.1% is the main safety concern. Lows cluster from 23:00 through 03:00 and around 18:00–19:00 local time, while highs cluster from 14:00–17:00. The overnight 90 mg/dL target is the clearest profile setting available for a conservative single-setting review. Basal, CR, ISF, DIA, SMB/UAM, Dynamic ISF, and carbohydrate-absorption changes remain unsupported because meals were not recorded and automated insulin, corrections, IOB, and absorption effects overlap.",567
real_gpt56sol_med_50,run_018,completed,,gpt-5.6-sol,319.99,,124983,18343,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,profile.target.00_00,target,change,medium,Review changing the 00:00 target from 90 to 100 mg/dL as the single initial profile adjustment.,low,2,"No new prebolus duration, immediate bolus percentage, or e-carb amount, offset, or duration is supported. Keep SMB/UAM as the observed response mechanism during the initial target assessment, and review meal settings only after one repeatable meal is documented with all declared and delivered components.",3,target,Primary: review a higher 00:00 target,safety,target;automation;meal_strategy,6,6,7,"Fourteen days of high-quality CGM data show 86.0% time in range and moderate variability, but 5.1% time below range with values down to 41-42 mg/dL creates a significant safety constraint. Lows cluster overnight and near 18:00-19:00, while highs cluster from late morning through afternoon. The daytime-high-to-evening-low sequence is consistent with accumulated insulin from Dynamic ISF, SMB/UAM, corrections, and custom boost behavior, but absent meal records prevent attribution to CR, bolus timing, or absorption. The primary supported profile review is a conservative increase of the 00:00 target from 90 to 100 mg/dL, followed by observation without simultaneous basal, CR, ISF, DIA, or automation changes.",712
