experiment,slot,group,kind,n_runs,group_runs,representative
real_gemini35flashlite_50,decision: Profile / basal 00:00,keep,varying,5,44,Maintains stable overnight fasting glucose.
real_gemini35flashlite_50,decision: Profile / basal 00:00,keep,varying,5,44,Dependencies: none.
real_gemini35flashlite_50,decision: Profile / basal 00:00,keep,varying,3,44,"Evidence shows minor dipping during local hours 00:00-01:00, but Oref1 low temp automation safely handles this without requiring basal rate reduction."
real_gemini35flashlite_50,decision: Profile / basal 00:00,keep,varying,3,44,Overnight fasting glucose is generally stable; maintain current rate pending meal logging verification.
real_gemini35flashlite_50,decision: Profile / basal 00:00,keep,varying,3,44,Overnight glucose is stable near target; evidence supports maintaining current basal delivery.
real_gemini35flashlite_50,decision: Profile / basal 00:00,keep,varying,3,44,Uncertainty: unannounced evening activity.
real_gemini35flashlite_50,decision: Profile / basal 00:00,change,shared,3,5,Evidence shows 18.5% time below range at 01:00 local time.
real_gemini35flashlite_50,decision: Profile / basal 05:00,keep,varying,9,49,Morning basal segment maintains stable early morning trends.
real_gemini35flashlite_50,decision: Profile / basal 05:00,keep,varying,7,49,Dependencies: none.
real_gemini35flashlite_50,decision: Profile / basal 05:00,keep,varying,5,49,Early morning glucose averages remain stable around 99 mg/dL.
real_gemini35flashlite_50,decision: Profile / basal 05:00,keep,varying,5,49,Early morning stability is acceptable; no evidence of drift requiring adjustment.
real_gemini35flashlite_50,decision: Profile / basal 05:00,keep,varying,4,49,Evidence: hourly glucose data.
real_gemini35flashlite_50,decision: Profile / basal 05:00,keep,varying,3,49,Current early morning basal rate shows stable fasting control without excessive highs or lows.
real_gemini35flashlite_50,decision: Profile / basal 06:00,keep,varying,7,49,Dependencies: none.
real_gemini35flashlite_50,decision: Profile / basal 06:00,keep,varying,7,49,Adequately covers morning rise and dawn phenomenon without excessive hypoglycemia.
real_gemini35flashlite_50,decision: Profile / basal 06:00,keep,varying,4,49,Morning step-up matches natural dawn phenomenon patterns; keep current value pending structured observation.
real_gemini35flashlite_50,decision: Profile / basal 06:00,keep,varying,4,49,Morning basal maintains stable fasting levels prior to morning rise.
real_gemini35flashlite_50,decision: Profile / basal 06:00,keep,varying,3,49,Appropriate morning basal coverage supporting stable fasting glucose before morning rises.
real_gemini35flashlite_50,decision: Profile / basal 06:00,keep,varying,3,49,Keep current pending meal-logging data.
real_gemini35flashlite_50,decision: Profile / basal 10:00,keep,varying,20,49,Mid-day basal segment maintains stable glucose prior to afternoon peaks.
real_gemini35flashlite_50,decision: Profile / basal 10:00,keep,varying,6,49,Midday basal rate performs stably; afternoon elevations are driven by unannounced meals rather than basal deficit.
real_gemini35flashlite_50,decision: Profile / basal 10:00,keep,varying,5,49,Uncertainty: unannounced meal timing.
real_gemini35flashlite_50,decision: Profile / basal 10:00,keep,varying,5,49,Dependencies: none.
real_gemini35flashlite_50,decision: Profile / basal 10:00,keep,varying,4,49,Maintains daytime stability.
real_gemini35flashlite_50,decision: Profile / basal 10:00,keep,varying,3,49,Maintains stable midday glucose levels.
real_gemini35flashlite_50,decision: Profile / basal 16:00,keep,varying,11,49,Retain current setting; afternoon hyperglycemia is primarily driven by unannounced meal absorption rather than basal deficit.
real_gemini35flashlite_50,decision: Profile / basal 16:00,keep,varying,5,49,Current rate of 0.5 U/h is appropriate; afternoon elevations are driven by unannounced meals rather than basal deficiency.
real_gemini35flashlite_50,decision: Profile / basal 16:00,keep,varying,4,49,Uncertainty: exact meal timing.
real_gemini35flashlite_50,decision: Profile / basal 16:00,keep,varying,3,49,Dependencies: none.
real_gemini35flashlite_50,decision: Profile / basal 16:00,keep,varying,3,49,Afternoon basal rate is supported by active dynamic ISF and SMB automation handling postprandial absorption.
real_gemini35flashlite_50,decision: Profile / basal 16:00,keep,varying,3,49,Dependencies: meal logging.
real_gemini35flashlite_50,decision: Profile / basal 18:00,keep,varying,13,49,Evening basal rate is appropriate for evening transition.
real_gemini35flashlite_50,decision: Profile / basal 18:00,keep,varying,7,49,Dependencies: none.
real_gemini35flashlite_50,decision: Profile / basal 18:00,keep,varying,6,49,Evening basal segment provides adequate transition into night.
real_gemini35flashlite_50,decision: Profile / basal 18:00,keep,varying,6,49,Evening basal segment maintains acceptable stability.
real_gemini35flashlite_50,decision: Profile / basal 18:00,keep,varying,5,49,Evidence: hourly glucose averages.
real_gemini35flashlite_50,decision: Profile / basal 18:00,keep,varying,4,49,Evening basal segment supports stable pre-dinner glucose.
real_gemini35flashlite_50,decision: Profile / basal 19:00,keep,varying,14,49,Late evening basal rate supports evening stability.
real_gemini35flashlite_50,decision: Profile / basal 19:00,keep,varying,7,49,Dependencies: none.
real_gemini35flashlite_50,decision: Profile / basal 19:00,keep,varying,5,49,Maintains stable evening baseline coverage prior to overnight fasting.
real_gemini35flashlite_50,decision: Profile / basal 19:00,keep,varying,4,49,Supports evening requirements prior to overnight transition.
