experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
gemini36flash_50,run_001,completed,,gemini-3.6-flash,71.68,,102061,8678,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,basal,keep,high,"Keep all profile parameters (Basal, CR, ISF, DIA, Target) at current settings.",high,2,Maintain 15-20 minute prebolus for rapid/standard meals; deliver 70-100% upfront bolus for fast carbs and 60% for mixed/high-fat meals; keep SMB/UAM enabled; use 20g e-carbs over 120 minutes (15m offset) for high-fat brunches.,2,meal_timing,Extend Prebolus Time for Weekday Breakfast,medium,meal_timing;meal_timing,2,4,4,"Over the 14-day analysis period, glycemic control is exceptionally strong, achieving 99.7% Time-in-Range (70-180 mg/dL), a mean glucose of 117.0 mg/dL, and a Coefficient of Variation of 12.9%. Basal rates maintain excellent overnight and fasting stability. Main postprandial excursions occur during weekday breakfast and weekend brunch, reaching 2-hour peaks up to 167 mg/dL and 188 mg/dL respectively, but consistently resolve to baseline within 4 hours. Current profile parameters and AAPS automation settings are well-balanced and safe. Optimizing prebolus timing for morning meals is suggested before considering any profile adjustments.",641
gemini36flash_50,run_002,completed,,gemini-3.6-flash,86.35,,104192,10812,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,cr,keep,high,"Keep current Carb Ratio settings (10 g/U breakfast, 11 g/U brunch, 9 g/U dinner) unchanged, as postprandial glucose consistently returns to baseline within 4 hours.",high,1,"Administer meal boluses 15-20 minutes prior to eating with 70% immediate bolus, relying on active SMB/UAM for absorption surges. For high-fat mixed meals, declare e-carbs (20g over 120 minutes) to allow smooth automated micro-bolus distribution.",2,cr,Maintain Current Profile Parameters,low,cr;smb,2,4,4,"Analysis of 14 days of continuous glucose monitoring and pump telemetry demonstrates outstanding glycemic control with a Time in Range (70-180 mg/dL) of 99.7%, Time Above Range of 0.3%, Time Below Range of 0.0%, average glucose of 117.0 mg/dL, and a Coefficient of Variation of 12.9%. The active profile basal rates, target ranges, carb ratios, and ISF parameters are highly accurate. Minor postprandial spikes during weekend brunch (peaking up to 188 mg/dL) reflect digestion timing for higher-fat mixed meals rather than insulin profile deficits.",548
gemini36flash_50,run_003,completed,,gemini-3.6-flash,91.75,,102183,10625,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,cr,keep,high,"Maintain current profile CR, basal, ISF, DIA, and target settings without change.",high,2,Maintain a 15-20 minute prebolus with 70% immediate split for standard meals; allow active SMB/UAM to manage late absorption safely.,1,meal_bolus,Optimize Prebolus Timing for Weekend Brunch,low,meal_bolus,1,3,4,"['The 14-day analysis reveals exceptional glycemic control with a Time in Range (70-180 mg/dL) of 99.7%, an average glucose of 117.0 mg/dL, and a Coefficient of Variation of 12.9%.', 'Fasting and overnight glucose levels are highly stable (102-107 mg/dL) aligned with baseline target ranges (95-110 mg/dL), demonstrating that scheduled basal rates are well-calibrated.', 'Postprandial spikes up to 188 mg/dL occur during weekend brunch meals (68g carbs), but resolve back to baseline within 4 hours without hypoglycemia, indicating correct total insulin dosing with an opportunity to optimize prebolus timing or immediate bolus split rather than changing profile CR.']",668
gemini36flash_50,run_004,completed,,gemini-3.6-flash,80.2,,102394,9999,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,basal,keep,high,Keep active profile settings unchanged.,high,1,"Maintain active CR segments and AAPS UAM/SMB settings. Continue using a 20-minute prebolus with 70% immediate bolus for fast-carbohydrate meals like weekday breakfast, and combine a 15 to 20 minute prebolus with 60% immediate bolus and 20g extended carbs (e-carbs) over 120 minutes for high-fat/mixed meals like weekend brunch.",1,meal_strategy,Optimize prebolus timing for weekend brunch,low,meal_strategy,1,5,4,"14-day Nightscout telemetry analysis reveals exceptional glycemic control with 99.7% Time in Range (70-180 mg/dL), 0.0% Time Below Range (<70 mg/dL), and a Coefficient of Variation of 12.9%. Core profile settings (basal, CR, ISF, DIA) and AAPS automation settings are well-calibrated. The primary area for minor optimization is postprandial peak blunting during weekend brunch meals through prebolus timing.",407
gemini36flash_50,run_005,completed,,gemini-3.6-flash,81.53,,102721,10022,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,basal,keep,high,"Keep all current AAPS profile segments (basal, CR, ISF, DIA, target) unchanged.",high,2,"Maintain the baseline meal strategy (15-20 min prebolus, standard immediate bolus, and active SMB/UAM). Rely on e-carbs for higher-fat meals to allow AAPS to manage extended absorption smoothly.",2,meal_strategy,Optimize Weekday Breakfast Prebolus Timing,low,meal_strategy;meal_strategy,2,4,5,"Analysis of 14 days of telemetry data demonstrates excellent overall glycemic control with 99.7% Time in Range (70-180 mg/dL), 0.0% Time Below Range (<70 mg/dL), a mean glucose of 117.0 mg/dL, and low glycemic variability (CV 12.9%). The active AAPS profile (basal, CR, ISF, DIA) and loop settings provide a well-balanced foundation. Minor postprandial peak excursions during weekday breakfasts (+33 to +57 mg/dL) and weekend brunches (up to 188 mg/dL) are best managed through prebolus timing and immediate bolus split adjustments rather than basal or CR profile changes.",572
gemini36flash_50,run_006,completed,,gemini-3.6-flash,79.54,,101456,9056,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,basal,keep,high,"Maintain all current basal rates, carb ratios, ISF, DIA, and target segments unchanged.",high,1,"For standard fast-carb meals, administer a 20-minute prebolus with a 70% immediate bolus split, letting SMB/UAM handle minor absorption variations. For mixed, higher-fat weekend brunch meals, use a 10-minute prebolus with a 60% immediate bolus and log 20g e-carbs over 120 minutes (15-min start offset).",1,profile,Maintain Current Profile and Automation Settings,low,profile,0,4,4,"Analysis of 14 days of telemetry data shows optimal glycemic outcomes with 99.7% Time in Range (70–180 mg/dL), 0.0% Time Below Range (<70 mg/dL), and a mean glucose of 117.0 mg/dL (CV 12.9%). Active basal rates, carb ratios, sensitivity factors, and AAPS oref1 automated delivery operate seamlessly together to maintain stable nocturnal euglycemia and effective meal recovery.",376
gemini36flash_50,run_007,completed,,gemini-3.6-flash,87.04,,103774,9578,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,basal,keep,high,"Maintain all current basal, carb ratio, ISF, target, and DIA profile settings unchanged.",high,2,"Maintain 15-20 minute preboluses, 60-70% immediate bolus amounts, oref1 SMB/UAM micro-dosing, and 20g e-carbs (120 min duration, 15 min offset) for high-fat brunch meals to manage postprandial rises safely without hypoglycemia.",1,smb,Verify Unpopulated AAPS Settings Toggles,low,smb,3,5,4,"Analysis of 14 days of telemetry (1,345 CGM entries, 100% coverage, 0 gaps) reveals exceptional glycemic control with 99.7% Time in Range (70-180 mg/dL), 0.3% Time Above Range, and 0.0% Time Below Range (<70 mg/dL). Mean glucose is 117.0 mg/dL with a low coefficient of variation (12.9%). Scheduled profile settings (basal, CR, ISF, target, DIA) and AAPS automation parameters (SMB, UAM, safety limits) operate in complete harmony without evidence of profile compensation or insulin stacking.",492
gemini36flash_50,run_008,completed,,gemini-3.6-flash,88.35,,102071,9990,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,cr,keep,high,"Keep all profile basal, CR, ISF, DIA, and target settings unchanged.",high,1,"Maintain current prebolus times (20 min for fast-carb breakfast, 10 min for weekend brunch) and immediate bolus split percentages, relying on automated SMB/UAM delivery to resolve postprandial excursions.",1,meal_strategy,Test Slightly Extended Prebolus for Weekend Brunch,low,meal_strategy,1,4,4,"['Over the 14-day evaluation period, glycemic outcomes are exceptional with a Time in Range (70-180 mg/dL) of 99.7%, an average glucose of 117.0 mg/dL, standard deviation of 15.1 mg/dL, coefficient of variation of 12.9%, and 0.0% Time Below Range (<70 mg/dL).', 'Profile basal rates maintain overnight glucose near target (102-107 mg/dL). SMB and UAM automation safely absorb postprandial excursions, including transient peaks up to 188 mg/dL during high-carb weekend brunches, returning glucose to baseline within 4 hours without late hypoglycemia.']",551
gemini36flash_50,run_009,completed,,gemini-3.6-flash,112.88,,135524,16560,True,strict,False,0.9706,1,steps with invalid status [] / confidence ['meal_ecarbs_absorption'],True,strict,False,analysis_steps.meal_ecarbs_absorption.confidence,1,accepted_first_pass,True,steps_enums_valid,1,0.0,0.0,,False,0,20,2,,basal,keep,high,"Maintain all current basal segments, carb ratios, sensitivity factors, targets, and DIA without changes.",high,1,Maintain a 15-20 minute prebolus timing with 70-100% immediate bolus alongside active SMB/UAM loop automation for standard daily meals.,2,meal_strategy,Evaluate Weekend Brunch Prebolus and Bolus Split,low,meal_strategy;automation,1,4,4,"14-day Nightscout telemetry analysis reveals exceptional glycemic control with 99.7% Time in Range (70-180 mg/dL), 0.0% Time Below Range (<70 mg/dL), and 0.3% Time Above Range (>180 mg/dL). Mean glucose is 117.0 mg/dL with a low coefficient of variation of 12.9%. Current basal, CR, ISF, and DIA profile settings, alongside AAPS SMB/UAM loop automation, provide highly stable fasting and postprandial control. Minor postprandial excursions reaching 188 mg/dL occur exclusively during higher-fat weekend brunch entries, which resolve cleanly to baseline within 4-6 hours.",570
gemini36flash_50,run_010,completed,,gemini-3.6-flash,76.24,,100786,8859,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,20,2,,basal,keep,high,"Keep all current basal, CR, ISF, target, and DIA settings unchanged.",high,2,"Administer a 15-20 minute prebolus with a ~70% immediate split for standard fast-carb meals, relying on profile CR and active SMB/UAM automation. Use e-carbs (20g, 120m duration, +15m offset) for higher-fat mixed meals to manage delayed absorption without early insulin stacking.",2,basal,Maintain Current Profile & Settings,low,basal;smb,0,4,4,"Analysis of the 14-day telemetry and active AAPS profile demonstrates exceptionally stable glycemic control with a Time in Range (70-180 mg/dL) of 99.7%, average glucose of 117.0 mg/dL, coefficient of variation of 12.9%, and 0.0% time below range. Basal rates, insulin-to-carb ratios, and insulin sensitivity factors are well-tuned. Current AAPS SMB and UAM settings operate smoothly with no unsafe insulin stacking.",416
