experiment,slot,group,kind,n_runs,group_runs,representative
real_sonnet5_20,decision: Profile / basal 00:00,keep,varying,4,20,"The 00:00-02:00 hypoglycemia risk resolves within a few hours on the same or adjacent segment, more consistent with an IOB/correction tail than an excessive 00:00 rate; no isolated evidence of a rate defect."
real_sonnet5_20,decision: Profile / basal 00:00,keep,varying,3,20,"Hour 0 local shows elevated time-below-range (18.5%), but this more plausibly reflects residual IOB from evening correction boluses within the 10-hour DIA window than excess basal at this rate."
real_sonnet5_20,decision: Profile / basal 00:00,keep,varying,2,20,"Overnight time-below-range is elevated (10-18.5% across hours 0-3 local), but this is confounded by possible residual insulin-on-board from evening corrections under the 10-hour DIA and by unlogged carbohydrate intake; no isolated evidence implicates the basal rate itself."
real_sonnet5_20,decision: Profile / basal 00:00,keep,varying,2,20,Uncertainty: cannot separate basal-too-high from IOB carryover with current data.
real_sonnet5_20,decision: Profile / basal 00:00,keep,varying,2,20,Dependency: profile.dia and evening correction timing.
real_sonnet5_20,decision: Profile / basal 05:00,keep,varying,8,20,"Hours 04:00-06:00 local show strong time in range (95.2%-97.5%) with low variability, providing no evidence of a defect in this segment."
real_sonnet5_20,decision: Profile / basal 05:00,keep,varying,5,20,"This window (hour 4-5 local) shows strong performance (time-in-range 95.2-95.8%, low time-below-range); no evidence supports a change."
real_sonnet5_20,decision: Profile / basal 05:00,keep,varying,3,20,No evidence supports a change.
real_sonnet5_20,decision: Profile / basal 05:00,keep,varying,2,20,Evidence: hourly_glucose_local hours 4-5.
real_sonnet5_20,decision: Profile / basal 06:00,keep,varying,3,20,"Hour 06:00-07:00 local shows the best time in range of the day (97.5%-98.7%), providing no evidence supporting a change to this segment."
real_sonnet5_20,decision: Profile / basal 06:00,keep,varying,3,20,"Local hour 6 is the best-performing hour of the day (98.7% time-in-range, 99.5 mg/dL average), directly supporting this segment as currently effective."
real_sonnet5_20,decision: Profile / basal 06:00,keep,varying,2,20,"Hours 6-7 local show the highest time-in-range in the dataset (97.5-98.7%), a positive pattern with no evidence of a defect at this rate."
real_sonnet5_20,decision: Profile / basal 06:00,keep,varying,2,20,Same dawn-window evidence as the 05:00 segment shows strong control with no indication of a defect.
real_sonnet5_20,decision: Profile / basal 06:00,keep,varying,2,20,Uncertainty: cannot separate basal adequacy from meal effect without carb data.
real_sonnet5_20,decision: Profile / basal 06:00,keep,varying,2,20,"Dependency: profile.cr.08_00, meal logging."
real_sonnet5_20,decision: Profile / basal 10:00,keep,varying,2,20,Dependency: aaps.core.smb_activation and Temporary Target pattern.
real_sonnet5_20,decision: Profile / basal 16:00,keep,varying,2,19,"Coincides with the single worst hyperglycemia hour in the dataset (32.1% time-above-range), but three competing explanations (basal shortfall, unlogged meals, temporary-target SMB suppression on 2026-08-18) remain unresolved; flagged as the top priority for reassessment once carbohydrate logging is available."
real_sonnet5_20,decision: Profile / basal 16:00,keep,varying,2,19,"This segment coincides with the day's peak time-above-range hour (32.1%), but meal timing and temporary-target SMB suppression are equally plausible explanations that have not been separated; changing this without carb data risks masking a different root cause."
real_sonnet5_20,decision: Profile / basal 16:00,keep,varying,2,19,"Evidence: hourly_glucose_local hour 15-16; representative_loop_statuses 2026-08-14T18:40; dependency: basal_targets, automation_sensitivity_limits."
