experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
smoke_repair,profile.basal.00_00,profile,0.6 U/h,8,keep,1.0,-0.0,0,8,0,0,
smoke_repair,profile.basal.06_00,profile,0.8 U/h,8,keep,0.875,0.5436,1,7,0,1,0.95 u/h +10% x1
smoke_repair,profile.basal.12_00,,,8,keep,0.75,0.8113,2,6,0,1,0.9 u/h +10% x2
smoke_repair,profile.basal.18_00,profile,0.6 U/h,8,keep,0.625,0.9544,3,5,0,1,1.05 u/h +10% x3
smoke_repair,profile.cr.00_00,profile,13 g/U,8,keep,0.75,0.8113,2,6,0,1,12 g/u +10% x2
smoke_repair,profile.cr.06_00,,,8,keep,0.875,0.5436,1,7,0,1,10 g/u +10% x1
smoke_repair,profile.cr.12_00,,,8,keep,0.625,0.9544,3,5,0,1,11 g/u +10% x3
smoke_repair,profile.cr.18_00,,,8,keep,0.875,0.5436,1,7,0,1,9 g/u +10% x1
smoke_repair,profile.isf.00_00,profile,56 mg/dL/U,8,keep,1.0,-0.0,0,8,0,0,
smoke_repair,profile.isf.06_00,,,8,keep,0.75,0.8113,2,6,0,1,42 mg/dl/u +10% x2
smoke_repair,profile.isf.12_00,,,8,change,0.5,1.0,4,4,0,1,45 mg/dl/u +10% x4
smoke_repair,profile.isf.18_00,,,8,change,0.625,0.9544,5,3,0,1,40 mg/dl/u +10% x5
smoke_repair,profile.target.00_00,profile,90 mg/dL,8,change,0.5,1.0,4,4,0,1,95-110 mg/dl +10% x4
smoke_repair,profile.target.06_00,,,8,change,0.5,1.0,4,4,0,1,90-105 mg/dl +10% x4
smoke_repair,profile.target.22_00,,,8,keep,0.875,0.5436,1,7,0,1,100-115 mg/dl +10% x1
smoke_repair,profile.dia,profile,10 h,8,keep,0.75,0.8113,2,6,0,1,5.5 h +10% x2
smoke_repair,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,8,keep,0.5,1.0,4,4,0,1,smb_enabled=true; uam_enabled=true +10% x4
smoke_repair,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,8,keep,0.75,0.8113,0,6,2,0,
smoke_repair,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,8,keep,0.875,0.5436,1,7,0,1,smb_interval_minutes=3 min; max_smb_basal_minutes=45 min; max_uam_smb_basal_minutes=30 min +10% x1
smoke_repair,aaps.core.safety_limits,aaps,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,8,keep,0.625,0.9544,3,5,0,1,max_basal_u_per_hour=2.4 u/h; max_iob_units=8 u +10% x3
smoke_repair,aaps.core.sensitivity,aaps,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,8,keep,0.625,1.2988,1,5,2,1,autosens_enabled=null; dynamic_sensitivity_enabled=null; autosens_raises_target=null; autosens_lowers_target=null; dynamic_isf_adjustment_factor_percent=100 % +10% x1
smoke_repair,aaps.core.carb_absorption,aaps,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,8,keep,0.75,0.8113,2,6,0,1,min_5m_carbimpact=3 mg/dl/5 min; meal_max_absorption_hours=6 h +10% x2
