experiment,slot,group,kind,n_runs,group_runs,representative
real_gemini31pro_50,decision: Profile / basal 00:00,keep,varying,7,49,Fix safety limits first.
real_gemini31pro_50,decision: Profile / basal 00:00,keep,varying,7,49,Keep basal stable while addressing targets and safety limits first.
real_gemini31pro_50,decision: Profile / basal 00:00,keep,varying,5,49,"Overnight hypoglycemia is driven by UAM stacking, not the underlying basal rate."
real_gemini31pro_50,decision: Profile / basal 00:00,keep,varying,4,49,Overnight lows are likely driven by the tight 90 mg/dL target rather than excess basal.
real_gemini31pro_50,decision: Profile / basal 00:00,keep,varying,3,49,"Keep current basal while testing the safer Max IOB limits and higher targets, as automation stacking is the primary driver of the lows."
real_gemini31pro_50,decision: Profile / basal 00:00,keep,varying,2,49,Overnight hypoglycemia is likely driven by extreme UAM automation stacking rather than the scheduled basal rate.
real_gemini31pro_50,decision: Profile / basal 05:00,keep,varying,5,50,Keep until AAPS safety limits are fixed to prevent confounding variables.
real_gemini31pro_50,decision: Profile / basal 05:00,keep,varying,4,50,Morning fasting glucose is stable; no change supported at this time.
real_gemini31pro_50,decision: Profile / basal 05:00,keep,varying,3,50,Fasting control from 04:00 to 08:00 is stable.
real_gemini31pro_50,decision: Profile / basal 05:00,keep,varying,3,50,Morning basal is performing adequately; primary issues are evening/nocturnal.
real_gemini31pro_50,decision: Profile / basal 05:00,keep,varying,2,50,True fasting needs are obscured by frequent suspension of basal to prevent UAM-induced hypoglycemia.
real_gemini31pro_50,decision: Profile / basal 05:00,keep,varying,2,50,Morning glucose is relatively stable; keep basal unchanged while addressing limits.
real_gemini31pro_50,decision: Profile / basal 06:00,keep,varying,5,50,Keep until AAPS safety limits are fixed.
real_gemini31pro_50,decision: Profile / basal 06:00,keep,varying,3,50,Morning fasting numbers are highly stable; no change needed.
real_gemini31pro_50,decision: Profile / basal 06:00,keep,varying,3,50,Morning glucose is stable; keep for now.
real_gemini31pro_50,decision: Profile / basal 06:00,keep,varying,3,50,Morning basal is performing adequately.
real_gemini31pro_50,decision: Profile / basal 06:00,keep,varying,2,50,True fasting needs are obscured by frequent suspension of basal to prevent UAM-induced hypoglycemia.
real_gemini31pro_50,decision: Profile / basal 06:00,keep,varying,2,50,Morning basal appears adequate; no changes recommended until safety limits are fixed.
real_gemini31pro_50,decision: Profile / basal 10:00,keep,varying,4,50,Keep until AAPS safety limits are fixed.
real_gemini31pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Daytime basal rates appear functional and should be kept stable while overnight safety is addressed.
real_gemini31pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Daytime basal appears supportive of the 86% overall time in range.
real_gemini31pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Midday stability is acceptable; primary issues are localized to the evening.
real_gemini31pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Daytime stability is acceptable when disconnected from meal events.
real_gemini31pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Daytime basals show strong performance; no evidence supports changing.
real_gemini31pro_50,decision: Profile / basal 16:00,keep,varying,4,50,Keep until AAPS safety limits are fixed.
real_gemini31pro_50,decision: Profile / basal 16:00,keep,varying,4,50,"Afternoon hyperglycemia is driven by unannounced meals, not a basal deficit."
real_gemini31pro_50,decision: Profile / basal 16:00,keep,varying,3,50,Late afternoon basal is stable.
real_gemini31pro_50,decision: Profile / basal 16:00,keep,varying,2,50,"Late afternoon and evening lows are driven by UAM overcorrections from unannounced meals, not necessarily an excessive profile basal."
real_gemini31pro_50,decision: Profile / basal 16:00,keep,varying,2,50,"Afternoon variability is dominated by unannounced meals and massive UAM stacking, obscuring basal performance."
real_gemini31pro_50,decision: Profile / basal 16:00,keep,varying,2,50,Cannot isolate pure basal needs due to massive UAM insulin interference.
real_gemini31pro_50,decision: Profile / basal 18:00,keep,varying,4,50,"Evening lows are caused by UAM insulin stacking from afternoon meals, not this basal segment."
real_gemini31pro_50,decision: Profile / basal 18:00,keep,varying,4,50,Keep until AAPS safety limits are fixed.
real_gemini31pro_50,decision: Profile / basal 18:00,keep,varying,2,50,Keep basal steady until safety limits are reduced.
real_gemini31pro_50,decision: Profile / basal 18:00,keep,varying,2,50,Evening basal must be kept stable while UAM stacking is addressed.
real_gemini31pro_50,decision: Profile / basal 18:00,keep,varying,2,50,Retain to avoid changing multiple dependent variables simultaneously.
real_gemini31pro_50,decision: Profile / basal 19:00,keep,varying,5,50,Keep until safety limits are fixed.
real_gemini31pro_50,decision: Profile / basal 19:00,keep,varying,2,50,Keep evening basal steady while assessing the impact of new target and AAPS safety limits.
real_gemini31pro_50,decision: Profile / basal 19:00,keep,varying,2,50,Evening basal appears stable when not overwhelmed by meal-related UAM insulin.
real_gemini31pro_50,decision: Profile / basal 19:00,keep,varying,2,50,Evening basal must be kept stable while UAM stacking is addressed.
real_gemini31pro_50,decision: Profile / basal 19:00,keep,varying,2,50,Retain to avoid changing multiple dependent variables simultaneously.
real_gemini31pro_50,decision: Profile / basal 19:00,keep,varying,2,50,Keep current value.
real_gemini31pro_50,decision: Profile / CR 00:00,keep,varying,8,50,CR cannot be evaluated because the user logs zero carbs.
real_gemini31pro_50,decision: Profile / CR 00:00,keep,varying,5,50,Cannot be evaluated due to 0 logged carbohydrates.
real_gemini31pro_50,decision: Profile / CR 00:00,keep,varying,4,50,Cannot evaluate CR because no carbs are logged.
real_gemini31pro_50,decision: Profile / CR 00:00,keep,varying,4,50,Cannot evaluate carbohydrate ratios without logged meal data.
real_gemini31pro_50,decision: Profile / CR 00:00,keep,varying,3,50,Zero logged carbs in the dataset means Carb Ratios cannot be evaluated or safely changed.
real_gemini31pro_50,decision: Profile / CR 00:00,keep,varying,3,50,No logged carbs available to validate or adjust Carb Ratios.
real_gemini31pro_50,decision: Profile / CR 04:00,keep,varying,8,50,CR cannot be evaluated because the user logs zero carbs.
real_gemini31pro_50,decision: Profile / CR 04:00,keep,varying,6,50,Cannot be evaluated due to 0 logged carbohydrates.
real_gemini31pro_50,decision: Profile / CR 04:00,keep,varying,5,50,Cannot evaluate without logged carbs.
real_gemini31pro_50,decision: Profile / CR 04:00,keep,varying,3,50,Zero logged carbs in the dataset means Carb Ratios cannot be evaluated or safely changed.
real_gemini31pro_50,decision: Profile / CR 04:00,keep,varying,3,50,"Carbohydrates are not being logged, making CR adjustments untestable."
real_gemini31pro_50,decision: Profile / CR 04:00,keep,varying,3,50,Cannot evaluate CR because no carbs are logged.
real_gemini31pro_50,decision: Profile / CR 08:00,keep,varying,8,50,CR cannot be evaluated because the user logs zero carbs.
real_gemini31pro_50,decision: Profile / CR 08:00,keep,varying,6,50,Cannot be evaluated due to 0 logged carbohydrates.
real_gemini31pro_50,decision: Profile / CR 08:00,keep,varying,5,50,Cannot evaluate without logged carbs.
real_gemini31pro_50,decision: Profile / CR 08:00,keep,varying,3,50,Zero logged carbs in the dataset means Carb Ratios cannot be evaluated or safely changed.
real_gemini31pro_50,decision: Profile / CR 08:00,keep,varying,3,50,"Carbohydrates are not being logged, making CR adjustments untestable."
real_gemini31pro_50,decision: Profile / CR 08:00,keep,varying,3,50,Cannot evaluate CR because no carbs are logged.
real_gemini31pro_50,decision: Profile / CR 16:00,keep,varying,8,50,CR cannot be evaluated because the user logs zero carbs.
real_gemini31pro_50,decision: Profile / CR 16:00,keep,varying,6,50,Cannot be evaluated due to 0 logged carbohydrates.
real_gemini31pro_50,decision: Profile / CR 16:00,keep,varying,5,50,Cannot evaluate without logged carbs.
real_gemini31pro_50,decision: Profile / CR 16:00,keep,varying,3,50,Zero logged carbs in the dataset means Carb Ratios cannot be evaluated or safely changed.
real_gemini31pro_50,decision: Profile / CR 16:00,keep,varying,3,50,"Carbohydrates are not being logged, making CR adjustments untestable."
real_gemini31pro_50,decision: Profile / CR 16:00,keep,varying,3,50,Cannot evaluate CR because no carbs are logged.
real_gemini31pro_50,decision: Profile / CR 20:00,keep,varying,8,50,CR cannot be evaluated because the user logs zero carbs.
