experiment,run_id,rank,area,title,priority,suggested_change
real_gemini36flash_50,run_001,1,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""proposed_value"": ""max_basal_u_per_hour=3.5 U/h; max_iob_units=5.0 U""}"
real_gemini36flash_50,run_001,2,target,Maintain Baseline Profile Settings Pending Carb Entry Data,medium,"{""parameter_key"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""proposed_value"": ""90 mg/dL""}"
real_gemini36flash_50,run_002,1,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 5.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_002,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_00_00"": 100, ""target_23_00"": 100}"
real_gemini36flash_50,run_002,3,cr,Establish Meal Prebolusing and Carbohydrate Logging,medium,"{""prebolus_minutes"": 10, ""log_carbs"": true}"
real_gemini36flash_50,run_003,1,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 6.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_003,2,target,Raise Overnight Target to 100 mg/dL,high,"{""overnight_target_mg_dl"": 100.0}"
real_gemini36flash_50,run_003,3,smb,Moderate Dynamic ISF Factor and Max UAM SMB Delivery Duration,high,"{""dynamic_isf_adjustment_factor_percent"": 50.0, ""max_uam_smb_basal_minutes"": 15.0}"
real_gemini36flash_50,run_004,1,target,Raise Overnight Target to 100 mg/dL,safety,"{""profile.target.00_00"": ""100 mg/dL"", ""profile.target.23_00"": ""100 mg/dL""}"
real_gemini36flash_50,run_004,2,smb,Tighten Max IOB Safety Limit,high,"{""aaps.core.safety_limits"": ""max_iob_units=6.0 U; max_basal_u_per_hour=3.5 U/h""}"
real_gemini36flash_50,run_004,3,isf,Reduce Dynamic ISF Aggressiveness,medium,"{""aaps.core.sensitivity"": ""dynamic_isf_adjustment_factor_percent=50 %""}"
real_gemini36flash_50,run_004,4,cr,Transition to Upfront Meal Carbohydrate Logging,medium,"{""meal_logging"": ""Log carbs upfront with 10-15 min prebolus""}"
real_gemini36flash_50,run_005,1,smb,Reduce Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_005,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_00_00"": 100, ""target_23_00"": 100}"
real_gemini36flash_50,run_005,3,basal,Smooth Late Afternoon Basal Step-Up,medium,"{""basal_19_00"": 0.6}"
real_gemini36flash_50,run_006,1,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_basal_u_per_hour"": 2.5, ""max_iob_units"": 7.0}"
real_gemini36flash_50,run_006,2,cr,Begin Carbohydrate Logging for Main Meals,high,"{""action"": ""Log carbohydrate grams and enter preboluses for main meals in Nightscout / AAPS""}"
real_gemini36flash_50,run_007,1,smb,Reduce AAPS Automation Safety Caps,safety,"{""max_iob_units"": ""Reduce from 25.0 U to 7.0 U (approx 35% of TDD)"", ""max_basal_u_per_hour"": ""Reduce from 12.0 U/h to 3.0 U/h (approx 3.75x max scheduled basal)""}"
