experiment,slot,group,kind,n_runs,group_runs,representative
real_opus5,decision: Profile / basal 00:00,keep,shared,19,19,"The 00:00-05:00 local block shows time below range of 11.4, 18.5, 10.1 and 10.2 percent at hours 23, 1, 2 and 3 local with means of 93.3, 90.6, 101.9 and 104.7 mg/dL and spontaneous recovery by 04:00, which is a real pattern."
real_opus5,decision: Profile / basal 00:00,keep,varying,2,19,"Late-evening correction windows on 08-12 and 08-17 show falls of 56 to 68 mg/dL over four hours from doses of 0.05 to 0.15 units, confirming a carry-over tail under a 10-hour DIA."
real_opus5,decision: Profile / basal 00:00,keep,varying,2,19,"Dependencies: coupled to the 10 hour duration of insulin action, to the dynamic sensitivity curve and to the pending insulin on board ceiling change, which must be observed first."
real_opus5,decision: Profile / basal 05:00,keep,shared,19,19,"Evidence: the 05:00 local hour shows an average of 104.2 mg/dL, 95.2 percent in range, 4.8 percent below range and 0.0 percent above range, and 06:00 shows 99.5 mg/dL with 97.5 percent in range."
real_opus5,decision: Profile / basal 05:00,keep,varying,6,19,Dependencies: none that would justify a change; no adjustment is supported.
real_opus5,decision: Profile / basal 05:00,keep,varying,5,19,Uncertainty: minimal for this segment; the single 42 mg/dL reading at 07:19 local on 2026-08-21 occurred on the day of a sensor change and is excluded from attribution.
real_opus5,decision: Profile / basal 05:00,keep,varying,3,19,"Dependencies: none that would justify change, and altering a well-performing segment would add noise to the planned sequential tests."
real_opus5,decision: Profile / basal 05:00,keep,varying,3,19,Uncertainty: none material; this is one of the best-controlled windows in the dataset.
real_opus5,decision: Profile / basal 05:00,keep,varying,3,19,Dependency: none that would justify altering it.
real_opus5,decision: Profile / basal 05:00,keep,varying,3,19,Uncertainty: none material for this segment.
real_opus5,decision: Profile / basal 06:00,keep,shared,19,19,"Evidence: the 06:00 to 09:00 local block covered by this segment shows means of 99.5, 99.5, 110.5 and 132.9 mg/dL with time in range of 97.5, 98.7, 98.2 and 91.1 percent and time below range of 2.5, 1.3, 0.0 and 0.0 percent."
real_opus5,decision: Profile / basal 06:00,keep,varying,7,19,"Uncertainty: the single 42 mg/dL reading at 07:19 local on 08-21 preceded a sensor change by two hours, so an artifact cannot be excluded."
real_opus5,decision: Profile / basal 06:00,keep,varying,7,19,Dependencies: separating meal effect here requires the carbohydrate logging observation; until then no basal change is supportable.
real_opus5,decision: Profile / basal 06:00,keep,varying,3,19,"Uncertainty: the rise beginning at 09:00 local may reflect either dawn physiology or unannounced breakfast, which cannot be separated without carbohydrate data."
real_opus5,decision: Profile / basal 06:00,keep,varying,3,19,"The only uncertainty is that the 09:00-10:00 local rise begins here and may be meal-related, which cannot be resolved without carbohydrate entries."
real_opus5,decision: Profile / basal 06:00,keep,varying,2,19,"Uncertainty: the rise toward 10:00 local reaching 148.0 mg/dL begins inside this segment, but with zero carb entries a morning meal is the more plausible driver than basal."
real_opus5,decision: Profile / basal 06:00,keep,varying,2,19,Dependencies: none that would justify change; this segment is explicitly protected in the implementation order.
real_opus5,decision: Profile / basal 10:00,keep,shared,12,19,"Evidence: hours 10:00 to 15:00 local average 148.0, 132.3, 141.3, 135.0, 148.1, and 153.0 mg/dL with time above range of 7.5 to 26.3 percent."
