experiment,slot,group,kind,n_runs,group_runs,representative
real_grok46_50,decision: Profile / basal 00:00,keep,shared,40,50,Evidence: local 00:00-03:00 TBR 10-18% with means near 90-105 mg/dL.
real_grok46_50,decision: Profile / basal 00:00,keep,varying,12,50,Dependencies: do not cut this basal in the same step as an overnight target review.
real_grok46_50,decision: Profile / basal 00:00,keep,varying,11,50,"Dependencies: target 90, always-on SMB, DIA 10 h, and afternoon UAM stacks."
real_grok46_50,decision: Profile / basal 00:00,keep,varying,10,50,Change unsupported.
real_grok46_50,decision: Profile / basal 00:00,keep,varying,8,50,Dependencies: overnight target 90 mg/dL and Dynamic ISF or SMB stacking.
real_grok46_50,decision: Profile / basal 00:00,keep,varying,8,50,Uncertainty: residual evening IOB and DIA 10 h are not separated from this rate.
real_grok46_50,decision: Profile / basal 00:00,keep,varying,6,50,"Dependencies: do not change with target, DIA, or SMB delivery."
real_grok46_50,decision: Profile / basal 05:00,keep,varying,25,50,Uncertainty: one 42 mg/dL near 07:19 local on 21 Aug.
real_grok46_50,decision: Profile / basal 05:00,keep,varying,20,50,Evidence: local 05:00-06:00 average about 104 mg/dL with high time in range and low time below range.
real_grok46_50,decision: Profile / basal 05:00,keep,varying,15,50,Evidence: local 05:00 TIR 95.2% and mean 104.2 mg/dL.
real_grok46_50,decision: Profile / basal 05:00,keep,varying,13,50,Evidence: local 04:00-06:00 TIR 95-97.5% with low TAR.
real_grok46_50,decision: Profile / basal 05:00,keep,varying,10,50,No isolated fasting defect.
real_grok46_50,decision: Profile / basal 05:00,keep,varying,9,50,Dependencies: 06:00 basal and overnight IOB.
real_grok46_50,decision: Profile / basal 06:00,keep,shared,34,50,Evidence: local 06:00-08:00 remains in range with TIR 97.5-98.7% and means near 100-110 mg/dL.
real_grok46_50,decision: Profile / basal 06:00,keep,varying,12,50,Uncertainty: one 42 mg/dL point on 21 Aug 06:19 is not a repeated dawn defect.
real_grok46_50,decision: Profile / basal 06:00,keep,varying,7,50,Dependencies: later 08:00-10:00 rise is meal-timed.
real_grok46_50,decision: Profile / basal 06:00,keep,varying,5,50,Uncertainty: later 09:00-10:00 rise can be breakfast UAM.
real_grok46_50,decision: Profile / basal 06:00,keep,varying,4,50,"Evidence: hours 6-8 local TIR 98-99% and almost no TAR, so dawn basal is not insufficient."
real_grok46_50,decision: Profile / basal 06:00,keep,varying,4,50,Dependencies: 05:00 step and morning meals after 08:00.
real_grok46_50,decision: Profile / basal 06:00,keep,varying,4,50,Dependencies: 08:00 target 100 mg/dL and unlogged intake.
real_grok46_50,decision: Profile / basal 10:00,keep,varying,13,50,Uncertainty: meals versus basal cannot be split.
real_grok46_50,decision: Profile / basal 10:00,keep,varying,9,50,Dependencies: unused CR 13.2 g/U and always-on SMB.
real_grok46_50,decision: Profile / basal 10:00,keep,varying,8,50,Dependencies: CR unused;
real_grok46_50,decision: Profile / basal 10:00,keep,varying,6,50,Dependencies: meal logging before any daytime basal change.
real_grok46_50,decision: Profile / basal 10:00,keep,varying,6,50,Not labeled a basal defect.
real_grok46_50,decision: Profile / basal 10:00,keep,varying,6,50,Uncertainty: unlogged intake and GLP-1.
real_grok46_50,decision: Profile / basal 16:00,keep,varying,19,50,Evidence: 16:00 local has the highest TAR then 18:00-19:00 TBR.
real_grok46_50,decision: Profile / basal 16:00,keep,varying,7,50,"Evidence: local 16:00 is the peak time-above-range hour, but 18:00-19:00 time below range follows the same afternoons."
real_grok46_50,decision: Profile / basal 16:00,keep,varying,6,50,Uncertainty: meal versus under-basal.
real_grok46_50,decision: Profile / basal 16:00,keep,varying,5,50,Evidence is 14:00-17:00 TAR then 19:00 TBR.
real_grok46_50,decision: Profile / basal 16:00,keep,varying,5,50,"Dependencies: UAM, Dynamic ISF, CR 10.5 g/U, and evening corrections; do not raise this with any of those."
real_grok46_50,decision: Profile / basal 16:00,keep,varying,4,50,Dependencies: evening hypo risk.
real_grok46_50,decision: Profile / basal 18:00,keep,varying,15,50,"Evidence: local 18:00 average 124.2 mg/dL with mixed TAR and TBR, then 19:00 TBR 15.3 percent and 41 mg/dL extremes."
real_grok46_50,decision: Profile / basal 18:00,keep,varying,11,50,"Evidence: glucose is already falling from the afternoon peak through 18:00, with 7.7% below range."
real_grok46_50,decision: Profile / basal 18:00,keep,varying,11,50,"Dependencies: 16:00 basal, 19:00 basal, and DIA."
real_grok46_50,decision: Profile / basal 18:00,keep,varying,9,50,Uncertainty: residual IOB versus basal.
real_grok46_50,decision: Profile / basal 18:00,keep,varying,7,50,Evidence: local hour 18 already shows TBR 7.7% after the afternoon peak.
real_grok46_50,decision: Profile / basal 18:00,keep,varying,7,50,Uncertainty: activity and GLP-1 are unmeasured.
