experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gemini36flash_50,run_001,run_002,0.108,0.274,0.113,0.333,True,True
real_gemini36flash_50,run_001,run_003,0.112,0.322,0.186,0.2,True,True
real_gemini36flash_50,run_001,run_004,0.145,0.276,0.096,0.2,False,True
real_gemini36flash_50,run_001,run_005,0.228,0.278,0.131,0.25,True,True
real_gemini36flash_50,run_001,run_006,0.115,0.542,0.147,1.0,True,False
real_gemini36flash_50,run_001,run_007,0.21,0.485,0.443,1.0,True,True
real_gemini36flash_50,run_001,run_008,0.228,0.302,0.037,0.333,True,True
real_gemini36flash_50,run_001,run_009,0.113,0.278,0.423,0.333,False,True
real_gemini36flash_50,run_001,run_010,0.152,0.193,0.14,0.5,True,False
real_gemini36flash_50,run_001,run_011,0.224,0.294,0.114,0.333,False,True
real_gemini36flash_50,run_001,run_012,0.096,0.211,0.374,0.2,True,False
real_gemini36flash_50,run_001,run_013,0.08,0.291,0.162,0.25,True,True
real_gemini36flash_50,run_001,run_014,0.094,0.281,0.051,0.25,False,False
real_gemini36flash_50,run_001,run_015,0.153,0.292,0.202,0.2,True,False
real_gemini36flash_50,run_001,run_016,0.116,0.356,0.099,0.25,False,True
real_gemini36flash_50,run_001,run_017,0.25,0.304,0.397,0.25,False,True
real_gemini36flash_50,run_001,run_018,0.053,0.295,0.192,0.25,False,True
real_gemini36flash_50,run_001,run_019,0.086,0.267,0.133,0.167,False,False
real_gemini36flash_50,run_001,run_020,0.104,0.237,0.051,0.25,False,True
real_gemini36flash_50,run_001,run_021,0.15,0.294,0.166,0.333,False,True
real_gemini36flash_50,run_001,run_022,0.188,0.291,0.076,0.333,True,True
real_gemini36flash_50,run_001,run_023,0.181,0.264,0.087,0.333,True,True
real_gemini36flash_50,run_001,run_024,0.237,0.255,0.059,0.333,False,True
real_gemini36flash_50,run_001,run_025,0.186,0.314,0.184,0.25,False,True
real_gemini36flash_50,run_001,run_026,0.132,0.271,0.242,0.25,False,True
real_gemini36flash_50,run_001,run_027,0.175,0.709,0.24,1.0,True,True
real_gemini36flash_50,run_001,run_028,0.151,0.336,0.519,0.25,False,True
real_gemini36flash_50,run_001,run_029,0.243,0.291,0.174,0.333,False,True
real_gemini36flash_50,run_001,run_030,0.192,0.241,0.038,0.5,False,False
real_gemini36flash_50,run_001,run_031,0.229,0.27,0.231,0.333,True,True
