experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_deepseek_v4pro_50,run_001,completed,,deepseek/deepseek-v4-pro,339.41,,138192,31278,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,2.0,21.0,0.0,aaps.core.sensitivity;aaps.core.smb_activation,isf,keep,medium,"Keep the current profile settings unchanged. The ISF of 56 mg/dL/U, basal rates (0.5-0.8 U/h), CR segments (10.5-13.2 g/U), targets (90-100 mg/dL), and DIA (10 hours) are all structurally reasonable. The observed dysregulation patterns are driven primarily by the absence of meal boluses and secondarily by Dynamic ISF over-amplification and SMB during temp targets, not by incorrect profile values. Changing profile settings before establishing a meal-bolus baseline would be premature and could introduce new instability.",medium,2.0,"Begin entering carbohydrate grams for all meals and deliver immediate boluses (100% upfront, no prebolus timing yet) using the existing CR profile. Use 13.2 g/U for breakfast and lunch (08:00-16:00), 10.5 g/U for evening meals (16:00-20:00), and 12.6 g/U for late snacks (20:00-00:00). Keep SMB and UAM enabled as a safety net for under-bolused or missed meals, but disable SMB during temporary targets. E-carbs are not yet applicable; establish basic meal bolusing first. Do not use prebolus timing initially; start with immediate bolus to establish a baseline of meal response data before optimizing timing.",4.0,meal_strategy,Begin carbohydrate entries for all meals,high,meal_strategy;smb_activation;sensitivity;isf,6.0,6.0,5.0,"14-day analysis of AAPS closed-loop data with 98.7% CGM coverage. Overall TIR 86.0%, TAR 8.9%, TBR 5.1%, CV 32.6%. Zero carbohydrate entries were recorded across the period. All meal coverage is handled reactively by UAM detection driving SMB and temp basal delivery. This creates a consistent cycle: unannounced meals produce daytime hyperglycemia (TAR 20-32% between 09:00-16:00), UAM responds with delayed insulin, and stacked IOB from corrections contributes to overnight hypoglycemia (TBR 10-18% at 00:00-02:00) and afternoon crashes (TBR 7.7-15.3% at 17:00-19:00). Basal rates appear approximately appropriate for fasting periods. GLP-1 doses (1.25mg on Aug 14, 17, 20) amplify insulin sensitivity and correlate with severe hypoglycemic events. The primary intervention is introducing carbohydrate entries with meal boluses to break the reactive hyperglycemia-overcorrection cycle.",887.0
real_deepseek_v4pro_50,run_002,completed,,deepseek/deepseek-v4-pro,459.95,,168738,30363,True,strict,True,1.0,0.0,,True,strict,False,"parameter_decisions.profile.basal.10_00, parameter_decisions.profile.basal.16_00",1,rejected_schema_stop,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
real_deepseek_v4pro_50,run_003,completed,,deepseek/deepseek-v4-pro,489.89,,162965,24697,True,strict,False,0.9706,1.0,top-level keys differ: missing=['education'] extra=['eduction'],True,strict,False,"education, eduction",1,accepted_first_pass,True,top_level_exact,1.0,0.0,0.0,,False,2.0,21.0,0.0,profile.basal.00_00;profile.isf.00_00,basal,change,medium,Reduce overnight basal rate from 00:00 to 05:00 from 0.6 U/h to 0.5 U/h.,low,2.0,"Continue the current UAM‑only meal coverage strategy. No prebolus or immediate bolus percentage can be recommended because no meals are announced. If the user wishes to improve postprandial control, start by announcing one meal per day with a rough carb estimate; this would allow future evaluation of prebolus timing and CR.",2.0,basal,Reduce overnight basal (00:00–05:00),safety,basal;isf,4.0,5.0,6.0,"The 14-day data shows good overall glycemic control with time-in-range of 86.0% and low average glucose, but overnight hypoglycemia is the dominant safety risk. The user does not announce meals, and all carbohydrate intake is covered by UAM-driven SMBs. The current AAPS automation is well-configured and actively compensates for a profile insulin sensitivity factor (ISF) that is too low. Reducing the overnight basal rate (00:00–05:00) and updating the ISF to better match observed sensitivity are the only supported profile changes. Meal strategy evaluation is blocked by the absence of any carb entries.",607.0
real_deepseek_v4pro_50,run_004,completed,,deepseek/deepseek-v4-pro,401.71,,161363,26952,True,strict,False,0.9706,1.0,steps with invalid status [] / confidence ['profile_cr_isf_dia'],True,strict,False,analysis_steps.profile_cr_isf_dia.confidence,1,accepted_first_pass,True,steps_enums_valid,1.0,0.0,0.0,,False,3.0,20.0,0.0,aaps.core.safety_limits;profile.basal.00_00;profile.basal.05_00,basal,change,medium,Reduce overnight basal from 00:00-05:00 to 0.5 U/h and from 05:00-06:00 to 0.6 U/h. Keep all other basal segments unchanged.,low,0.0,"Because no carbohydrate entries exist, no meal strategy can be formed. Start recording all carbohydrate intake (grams, time) and, when possible, the actual pre‑bolus time. Once at least one week of meal logs is available, a strategy covering pre‑bolus timing, immediate bolus percentage, SMB/UAM use, and e‑carbs can be developed.",3.0,data_foundation,Record all carbohydrate intake consistently,high,data_foundation;automation_smb_uam;basal,4.0,3.0,4.0,"Over 14 days, the closed-loop system with no logged carbohydrate entries produced recurrent overnight hypoglycemia (TBR up to 18.5%, lows to 41 mg/dL) and UAM-driven IOB stacking (IOB as high as 5.9 U). The combination of static overnight basal rates, a 90 mg/dL target, a 10‑hour DIA, and always‑on UAM SMB with a 25 U max IOB created excess insulin activity that the system frequently countered with zero‑temp basals. No meal data exist, blocking any CR and meal‑strategy evaluation. CGM coverage is excellent (98.7%).",520.0
real_deepseek_v4pro_50,run_005,completed,,deepseek/deepseek-v4-pro,388.77,,125145,23935,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,2.0,21.0,0.0,profile.dia;profile.isf.00_00,isf,change,high,"Lower the ISF from 56 mg/dL/U to 30 mg/dL/U as an initial trial value, reflecting the much greater insulin sensitivity observed in correction responses and the dynamic ISF outputs.",medium,2.0,"Pre‑bolus 15‑20 min, 100% immediate bolus for announced meals; keep SMB/UAM active. For late‑evening meals (within 3 h of bedtime) reduce bolus to 70%; for meals before planned physical activity reduce to 50% with a high temporary target (135 mg/dL). Do not introduce e‑carbs until meal patterns and CR are validated.",4.0,isf,Correct Insulin Sensitivity Factor (ISF),high,isf;dia;meal_strategy;meal_strategy,7.0,5.0,7.0,"14-day CGM dataset with 98.7% coverage shows overall TIR 86.0%, but recurrent nocturnal hypoglycemia (TBR up to 12.8% on some days) and afternoon hyperglycemia (TAR up to 32.1%). No meal entries are present; all insulin is delivered via AAPS automation. The AAPS profile contains basal rates that perform well during fasting overnight (02:00–06:00) but evening correction boluses and UAM‑driven stacking cause early‑night lows. The primary driver is a static ISF (56 mg/dL/U) that is far larger than the effective insulin sensitivity observed in correction responses, and a DIA of 10 h that prolongs IOB beyond physiological action. Dynamic ISF attempts to compensate but often reaches extremely low values, amplifying over‑correction. AAPS SMB/UAM settings are appropriate but magnify the profile mismatch. Meal strategy cannot be validated without carb data; a suggested pre‑bolus timing and immediate bolus percentage is provided as a starting point.",953.0
real_deepseek_v4pro_50,run_006,completed,,deepseek/deepseek-v4-pro,395.24,,166465,25972,True,strict,False,0.9706,1.0,steps with invalid status [] / confidence ['profile_cr_isf_dia'],True,strict,False,analysis_steps.profile_cr_isf_dia.confidence,1,accepted_first_pass,True,steps_enums_valid,1.0,0.0,0.0,,False,1.0,22.0,0.0,profile.isf.00_00,isf,change,medium,Increase ISF from 56 mg/dL/U to 150 mg/dL/U.,low,0.0,"Do not modify meal bolus or e-carb settings. Prioritize logging all carbohydrate intake with accurate timing and prebolus interval for at least 7 days. Use the corrected ISF to ensure safety of any manual bolus. UAM will cover un-announced meals, but safety depends on ISF being appropriate.",1.0,isf,Increase Insulin Sensitivity Factor (ISF),safety,isf,4.0,3.0,6.0,"14-day CGM data with 98.7% coverage shows average glucose 122 mg/dL, TIR 86%, but time below 5.1% exceeds safe limit. Recurrent hypoglycemia (as low as 41 mg/dL) and several over-correction boluses indicate the current Insulin Sensitivity Factor (ISF) of 56 mg/dL/U is far too aggressive. No meal logs are present, preventing evaluation of carb ratios and prebolus timing. AAPS settings are appropriate, but the ISF error is amplified by SMB/UAM. No changes to basal, CR, DIA, targets, or automation are recommended until the ISF is corrected and meal data is collected.",570.0
real_deepseek_v4pro_50,run_007,completed,,deepseek/deepseek-v4-pro,412.65,,125546,22512,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,2.0,21.0,0.0,aaps.core.sensitivity;profile.basal.00_00,basal,change,medium,Reduce the basal rate from 00:00 to 05:00 from 0.6 U/h to 0.5 U/h.,low,0.0,"Continue with the current fully automated, unannounced-meals approach: no logged carbs, no prebolus, no immediate bolus percentage. Rely on UAM + SMB-always to manage glucose excursions. No e-carbs should be used at this time. This strategy is appropriate for the current workflow and should be re-evaluated as soon as meal logging begins.",3.0,basal,Reduce overnight basal rate (00:00–05:00),safety,basal;automation sensitivity;meal strategy,4.0,4.0,6.0,"14-day CGM analysis shows overall Time in Range (TIR) 86.0% but with recurrent overnight hypoglycaemia (TBR 10-18% in early morning hours) and some afternoon hyperglycaemia. No carbohydrate entries are logged. The insulin pump is run fully automated with UAM and SMB-always. The static ISF is 56 mg/dL/U, and Dynamic ISF is set to 70% adjustment factor, which lowers effective ISF to ~39 mg/dL/U, contributing to severe hypoglycaemia events. The primary actionable finding is that the basal rate from 00:00 to 05:00 (0.6 U/h) is too high for the 90 mg/dL target, causing overnight lows. A secondary safety concern is the aggressive Dynamic ISF floor, which should be raised after basal correction. All other profile and AAPS settings are plausible, but meal-related optimisation is impossible without logged carbohydrate events.",828.0
real_deepseek_v4pro_50,run_008,completed,,deepseek/deepseek-v4-pro,433.42,,164394,28062,True,strict,False,0.9412,2.0,steps with invalid status [] / confidence ['automation_sensitivity_limits'] | profile_recommendation.confidence=medium-high,True,strict,False,"analysis_steps.automation_sensitivity_limits.confidence, profile_recommendation.confidence",1,accepted_first_pass,True,steps_enums_valid | profile_rec_confidence_valid,2.0,0.0,0.0,,False,1.0,22.0,0.0,profile.isf.00_00,isf,change,medium-high,Reduce ISF from 56 mg/dL/U to 36 mg/dL/U and monitor hypoglycaemia frequency and correction response for at least 7 days.,low,0.0,"With no carbohydrate logging, the system acts as a correction‑only loop. Begin by logging all carbohydrate intake (grams and time). Start with a short pre‑bolus of 10‑15 minutes, 100 % immediate bolus, and keep SMB/UAM enabled only after the ISF has been corrected to 36 mg/dL/U. Do not use e‑carbs until the user’s typical absorption pattern is documented.",2.0,isf,Lower ISF to reduce hypoglycaemia risk,safety,isf;meal_strategy,4.0,4.0,7.0,"The 14‑day CGM data show a hypoglycaemia‑dominant pattern, with time below range of 5.1 % and severe lows reaching 41‑42 mg/dL. The root cause is a profile ISF of 56 mg/dL/U that is far too high; even small correction doses produce large glucose drops and trigger dangerous lows. Dynamic ISF (DynISF) partially compensates but cannot fully prevent hypoglycaemia. Overnight lows at 01:00 (18.5 % TBR) and evening lows at 19:00 (15.3 % TBR) are linked to excessive sensitivity. No carbohydrate entries exist, so meal‑related parameters cannot be assessed. The AAPS automation settings are appropriate and not themselves responsible for the safety risk. The priority is to reduce the ISF to a safer value (36 mg/dL/U) and verify the improvement before any other changes.",767.0
real_deepseek_v4pro_50,run_009,completed,,deepseek/deepseek-v4-pro,287.55,,122567,17682,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,0.0,23.0,0.0,,basal,keep,medium,"Keep current basal rates. Over the next 5 nights, observe fasting glucose without IOB from previous meals or activity. If the average overnight TBR remains above 5% and loop suspensions persist, then reduce the 00:00-05:00 basal segment from 0.6 U/h to 0.55 U/h.",low,0.0,"Start logging carbohydrates for all meals with accurate gram counts. Once meals are logged, aim for a prebolus of 15-20 minutes to help the loop deliver insulin earlier and reduce postprandial spikes. Keep SMB and UAM enabled as the primary delivery method; do not adjust CR or ISF until at least 7 days of meal data are available. E-carbs are not indicated at this stage.",2.0,basal,Overnight basal verification,medium,basal;meal,3.0,4.0,5.0,"14-day CGM audit (98.7% coverage) shows TIR 86.0%, TBR 5.1%, CV 32.6%. Overnight hypoglycemia is the primary safety finding, with TBR reaching 18.5% at 01:00 local. The AAPS system dynamically suspends basal and adjusts ISF, preventing worse outcomes, but the underlying basal may be slightly excessive overnight. No carbohydrate data were recorded, so CR and meal strategies cannot be evaluated. Automation settings are appropriate; however, SMB during high temp targets may need user verification.",499.0
real_deepseek_v4pro_50,run_010,completed,,deepseek/deepseek-v4-pro,434.94,,160009,26980,True,strict,True,1.0,0.0,,True,strict,False,parameter_decisions.profile.cr.00_00,1,rejected_schema_stop,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
