experiment,run_id,rank,area,title,priority,suggested_change
real_gemini35flashlite_50,run_001,1,basal,Monitor Early Nocturnal Basal Delivery,medium,"{""action"": ""keep"", ""rationale"": ""Data shows nocturnal dips, but changes should be withheld until verifying whether evening corrections or meal overlaps contribute to the dips.""}"
real_gemini35flashlite_50,run_001,2,smb,Evaluate Meal Logging for Automation Support,medium,"{""action"": ""verify"", ""rationale"": ""Enables better loop prediction accuracy under GLP-1 delayed gastric emptying.""}"
real_gemini35flashlite_50,run_002,1,basal,Reduce Overnight Basal Rates,high,"{""parameter_key"": ""profile.basal.00_00"", ""suggested_value"": ""0.5 U/h""}"
real_gemini35flashlite_50,run_002,2,smb,Review Maximum IOB Limit,medium,"{""parameter_key"": ""aaps.core.safety_limits"", ""suggested_value"": ""max_iob_units=10 U""}"
real_gemini35flashlite_50,run_002,3,cr,Introduce Meal Carbohydrate Logging,medium,"{""parameter_key"": ""profile.cr.00_00"", ""suggested_value"": ""13 g/U""}"
real_gemini35flashlite_50,run_003,1,meal,Introduce Carbohydrate Logging,high,"{""action"": ""verify"", ""rationale"": ""Log a subset of meals over a 3-day observation window to evaluate CR performance.""}"
real_gemini35flashlite_50,run_003,2,profile,Evaluate Diurnal ISF Structure,medium,"{""action"": ""keep"", ""rationale"": ""Maintain current settings while gathering meal and sensitivity data.""}"
real_gemini35flashlite_50,run_004,1,meal_strategy,Establish Consistent Meal Logging,high,"{""action"": ""log_carbs"", ""rationale"": ""Improves closed-loop prediction accuracy and reduces hypoglycemia risk.""}"
real_gemini35flashlite_50,run_004,2,basal,Monitor Overnight Hypoglycemia,medium,"{""action"": ""observe"", ""rationale"": ""Ensures safety before altering baseline insulin delivery.""}"
real_gemini35flashlite_50,run_005,1,basal,Log Carbohydrate Intake for Closed-Loop Optimization,high,"{""action"": ""log_carbs"", ""rationale"": ""Improves closed-loop prediction accuracy and reduces reliance on reactive UAM.""}"
real_gemini35flashlite_50,run_005,2,basal,Monitor Overnight Basal and Hypoglycemia Patterns,safety,"{""action"": ""observe_overnight"", ""rationale"": ""Safeguards against hypoglycemia while gathering structured baseline data.""}"
real_gemini35flashlite_50,run_006,1,basal,Verify Overnight Basal and ISF Settings,high,"{""parameter"": ""profile.isf.00_00"", ""action"": ""verify""}"
real_gemini35flashlite_50,run_007,1,basal,Verify Overnight Basal Rates,high,"{""action"": ""keep"", ""parameter_key"": ""profile.basal.00_00""}"
real_gemini35flashlite_50,run_007,2,cr,Introduce Manual Carbohydrate Logging,medium,"{""action"": ""verify"", ""parameter_key"": ""profile.cr.08_00""}"
real_gemini35flashlite_50,run_008,1,smb,Review Max IOB Safety Limit,medium,"{""max_iob_units"": 25.0}"
real_gemini35flashlite_50,run_009,1,basal,Verify Overnight Basal Rates for Nocturnal Dips,high,"{""parameter_key"": ""profile.basal.00_00"", ""suggested_value"": ""0.6 U/h""}"
real_gemini35flashlite_50,run_009,2,isf,Consider Segmenting ISF Profile,medium,"{""parameter_key"": ""profile.isf.00_00"", ""suggested_value"": ""56 mg/dL/U""}"
real_gemini35flashlite_50,run_010,1,smb,Initiate Carbohydrate Logging,high,"{""action"": ""verify"", ""rationale"": ""Enables accurate closed-loop carbohydrate tracking and reduces reliance on reactive UAM.""}"
real_gemini35flashlite_50,run_010,2,basal,Monitor Nocturnal Basal and DIA,medium,"{""action"": ""keep"", ""rationale"": ""Maintain current settings until carb logging data is gathered to avoid compounding variables.""}"
real_gemini35flashlite_50,run_011,1,meal,Introduce Manual Carbohydrate Logging,high,"{""action"": ""log_carbs_for_meals"", ""rationale"": ""Proactive meal announcements improve closed-loop performance and prevent reactive stacking.""}"
real_gemini35flashlite_50,run_011,2,isf,Verify Dynamic ISF Sensitivity Factor,medium,"{""action"": ""keep_and_monitor"", ""rationale"": ""Avoid changing automated sensitivity parameters until meal logging behavior is established.""}"
real_gemini35flashlite_50,run_012,1,meal,Pilot Manual Carb Logging,medium,"{""action"": ""pilot_carb_logging""}"
real_gemini35flashlite_50,run_013,1,profile,Maintain Profile Baselines and Verify Meal Logging,high,"{""action"": ""keep""}"
real_gemini35flashlite_50,run_014,1,meal,Begin Consistent Carbohydrate Logging,high,"{""action"": ""log_carbs_consistently""}"
