experiment,run_id,rank,area,title,priority,suggested_change
real_grok46_50,run_001,1,basal,Keep the profile and do not add insulin for afternoon highs,safety,"{""action"": ""keep"", ""scope"": ""all_profile_segments"", ""direction"": ""Do not raise basal, tighten CR, strengthen ISF, shorten DIA, or lower targets in this review cycle.""}"
real_grok46_50,run_001,2,smb,Observe meals before any single automation limiter,high,"{""action"": ""keep_now"", ""later_review_if_needed"": ""one_group_only"", ""allowed_later_groups"": [""aaps.core.sensitivity"", ""aaps.core.smb_delivery"", ""aaps.core.safety_limits""], ""do_not_combine_with"": [""profile.isf.00_00"", ""profile.basal.16_00"", ""aaps.core.smb_uam""]}"
real_grok46_50,run_002,1,target,Review raising only the 00:00 target from 90 to 100 mg/dL,safety,"{""parameter_key"": ""profile.target.00_00"", ""from"": ""90 mg/dL"", ""to"": ""100 mg/dL"", ""hold_unchanged"": [""all basal segments"", ""profile.target.23_00"", ""profile.isf.00_00"", ""profile.dia"", ""aaps.core.smb_delivery"", ""aaps.core.sensitivity""]}"
real_grok46_50,run_002,2,sequence,Hold basal and automation until that single target review is observed,medium,"{""action"": ""no_concurrent_change"", ""observe_local_hours"": [""01:00"", ""19:00""], ""next_candidates_only_after_observation"": [""aaps.core.smb_delivery"", ""profile.basal.00_00"", ""profile.target.23_00""]}"
real_grok46_50,run_003,1,target,Keep the profile and first separate overnight IOB from target and basal,safety,"{""action"": ""keep"", ""focus"": ""overnight_target_and_basal"", ""parameter_keys"": [""profile.target.23_00"", ""profile.target.00_00"", ""profile.basal.00_00""], ""direction"": ""no change now; compare 23:00-03:00 local lows on low-IOB nights versus nights after a large afternoon UAM or SMB surge""}"
real_grok46_50,run_003,2,basal,Do not raise afternoon insulin while meals stay unannounced,high,"{""action"": ""keep"", ""parameter_keys"": [""profile.basal.16_00"", ""aaps.core.smb_delivery"", ""aaps.core.sensitivity""], ""direction"": ""withhold any afternoon insulin-up review until a few timed afternoon intake notes exist; change at most one later lever""}"
real_grok46_50,run_004,1,target,Keep the profile and separate leftover IOB from overnight landing,safety,"{""action"": ""keep"", ""focus"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""candidate_value"": null, ""also_keep"": [""profile.basal.00_00"", ""profile.dia"", ""aaps.core.smb_delivery"", ""aaps.core.sensitivity""]}"
real_grok46_50,run_004,2,smb,"Leave SMB, UAM, and DynISF unchanged until meal clocks exist",high,"{""action"": ""keep"", ""parameter_key"": ""aaps.core.smb_uam"", ""current_value"": ""smb_enabled=true; uam_enabled=true"", ""candidate_value"": null}"
real_grok46_50,run_005,1,basal,Keep the current profile and verify nights without leftover meal IOB,high,"{""action"": ""keep"", ""parameter_keys"": [""profile.basal.00_00"", ""profile.basal.16_00"", ""profile.target.00_00"", ""profile.isf.00_00""], ""review_direction"": ""Do not change profile insulin settings until a few overnight windows start with near-zero IOB and a few afternoon rises are labeled as food or no food.""}"
real_grok46_50,run_005,2,smb,"Leave SMB, UAM, and Dynamic ISF unchanged until meals are labeled",medium,"{""action"": ""keep"", ""parameter_keys"": [""aaps.core.smb_delivery"", ""aaps.core.sensitivity""], ""review_direction"": ""After labeled meals exist, review DynISF and SMB frequency only if evening lows persist when afternoon intake is known.""}"
