experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_sonnet5_20,profile.basal.00_00,profile,0.6 U/h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.basal.05_00,profile,0.7 U/h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.basal.06_00,profile,0.8 U/h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.basal.10_00,profile,0.7 U/h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.basal.16_00,profile,0.5 U/h,20,keep,0.95,0.05,0.009–0.236,0.2864,1,19,0,1,"approximately 0.6 u/h (modest increase, verify stepwise) x1"
real_sonnet5_20,profile.basal.18_00,profile,0.6 U/h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.basal.19_00,profile,0.7 U/h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.cr.00_00,profile,13 g/U,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.cr.04_00,profile,11.1 g/U,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.cr.08_00,profile,13.2 g/U,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.cr.16_00,profile,10.5 g/U,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.cr.20_00,profile,12.6 g/U,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.isf.00_00,profile,56 mg/dL/U,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.target.00_00,profile,90 mg/dL,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.target.08_00,profile,100 mg/dL,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.target.23_00,profile,90 mg/dL,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,profile.dia,profile,10 h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,aaps.core.safety_limits,aaps,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,aaps.core.sensitivity,aaps,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
real_sonnet5_20,aaps.core.carb_absorption,aaps,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,20,keep,1.0,0.0,0.0–0.161,-0.0,0,20,0,0,
