experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_gemini36flash_50,run_001,completed,,gemini-3.6-flash,102.27,,143335,11610,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,aaps.core.safety_limits,target,keep,high,"Keep all profile parameters (basal, CR, ISF, targets, DIA) unchanged while reviewing automation safety limits and logging meal carbs.",medium,2,Enter meal carbohydrates explicitly 10-15 minutes prior to eating with a 50-60% upfront bolus and an extended 3-4 hour e-carb absorption window. This provides early insulin to match GLP-1 delayed absorption while preventing reactive UAM SMB insulin stacking.,2,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,smb;target,5,4,4,"Analysis of 14 days of Nightscout telemetry shows strong overall glucose control (Time in Range 86.0%, Average Glucose 121.6 mg/dL), but reveals significant safety risks around hypoglycemia (Time Below Range 5.1%). Hypoglycemia is heavily concentrated overnight (23:00-03:00, up to 18.5% TBR) and in the early evening (18:00-19:00, 15.3% TBR). Because zero meal carbohydrates were logged, AAPS relies completely on Unannounced Meals (UAM) and automated SMB microboluses, amplified by Dynamic ISF. With Max IOB set to 25 U (>100% of TDD) and Max Basal set to 12 U/h, postprandial dynamic SMB stacking drives sharp glucose drops into late afternoon and evening hypoglycemia.",672
real_gemini36flash_50,run_002,completed,,gemini-3.6-flash,130.89,,143976,12407,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the overnight glucose target from 90 mg/dL to 100 mg/dL between 00:00 and 08:00.,medium,1,"Log meal carbohydrates in Nightscout and bolus 10 to 15 minutes before eating, delivering 100% of the calculated meal dose upfront. Retain SMB and UAM as secondary safety backup rather than primary meal insulin delivery.",3,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,smb;target;cr,5,3,4,"Analysis of 14 days of Nightscout telemetry (3,995 CGM readings, 98.7% coverage) reveals strong overall Time in Range (86.0%) but significant safety risks driven by overnight hypoglycemia (TBR up to 18.5% between 01:00-02:00 BST) and late afternoon glucose crashes (15.3% TBR at 19:00 BST). The user has zero logged carbohydrate entries, forcing AAPS to rely entirely on Unannounced Meal (UAM) tracking and SMB micro-boluses under 70% Dynamic ISF adjustment. AAPS safety limits are set extremely wide (Max IOB 25 U vs. ~19.7 U TDD, Max Basal 12 U/h), presenting high safety hazards.",582
real_gemini36flash_50,run_003,completed,,gemini-3.6-flash,132.92,,190371,19638,True,strict,False,0.9706,1,"steps with invalid status [] / confidence ['meal_bolus_strategy', 'meal_ecarbs_absorption']",True,strict,False,"analysis_steps.meal_bolus_strategy.confidence, analysis_steps.meal_ecarbs_absorption.confidence",1,accepted_first_pass,True,steps_enums_valid,1,0.0,0.0,,False,5,18,0,aaps.core.safety_limits;aaps.core.sensitivity;aaps.core.smb_delivery;profile.target.00_00;profile.target.23_00,target,change,high,Increase overnight profile target segments (23:00-08:00) from 90 mg/dL to 100 mg/dL to reduce nocturnal hypoglycemia risk.,medium,2,"Begin logging carbohydrates and entering meal boluses with a 10-15 minute prebolus. For complex or GLP-1-delayed meals, use extended carbs (e-carbs over 3-4 hours) rather than relying on UAM SMB microbolus stacking.",3,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,smb;target;smb,5,4,5,"14-day analysis of Nightscout telemetry showing 86.0% Time in Range (70-180 mg/dL) with an overall mean glucose of 121.6 mg/dL. Primary clinical concerns are elevated hypoglycemia (5.1% Time Below Range <70 mg/dL), concentrated overnight (local hours 00:00-03:00, TBR up to 18.5%) and late afternoon (local hour 19:00, TBR 15.3%). Dosing is heavily driven by automated UAM SMB delivery due to 0 logged meal carbohydrates. Oversized max IOB/basal safety limits (25 U / 12 U/h) and aggressive Dynamic ISF compounding present key actionable risks.",544
real_gemini36flash_50,run_004,completed,,gemini-3.6-flash,120.52,,146227,14773,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,5,18,0,aaps.core.carb_absorption;aaps.core.safety_limits;aaps.core.sensitivity;profile.target.00_00;profile.target.23_00,target,change,high,Increase overnight target segments (00:00-08:00 and 23:00-00:00) from 90 mg/dL to 100 mg/dL.,medium,1,"Transition to logging meal carbohydrates upfront with a 10 to 15 minute prebolus using scheduled CR (10.5-13.2 g/U), delivering 100% of the meal bolus immediately for standard meals. This removes reliance on reactive UAM SMBs and eliminates post-prandial spikes.",4,target,Raise Overnight Target to 100 mg/dL,safety,target;smb;isf;cr,5,3,6,"Analysis of 14 days of Nightscout telemetry reveals strong overall time in range (86.0%), but clinically unacceptable hypoglycemia risk (5.1% total time below range <70 mg/dL). Hypoglycemia is concentrated in two major windows: overnight (18.5% TBR at 01:00 local time) and early evening (15.3% TBR at 19:00 local time). Because 0 carbohydrates were logged over the 14-day period, the AAPS loop relies entirely on unannounced meal (UAM) micro-boluses and high-gain Dynamic ISF (70%) to manage meals. This creates a reactive pattern of post-meal spikes (32.1% TAR at 16:00) followed by aggressive SMB over-correction into falling glucose, driving late afternoon crashes. Furthermore, overnight targets set at 90 mg/dL leave zero safety margin during sleep, while loose safety limits (Max IOB 25 U vs. total daily dose of ~19.7 U) allow unconstrained insulin accumulation.",870
real_gemini36flash_50,run_005,completed,,gemini-3.6-flash,141.22,,190957,21415,True,strict,False,0.9412,2,steps with invalid status [] / confidence ['profile_cr_isf_dia'] | meal_strategy_summary.confidence=medium-high,True,strict,False,"analysis_steps.profile_cr_isf_dia.confidence, meal_strategy_summary.confidence",1,accepted_first_pass,True,steps_enums_valid | meal_confidence_valid,2,0.0,0.0,,False,4,19,0,aaps.core.safety_limits;profile.basal.19_00;profile.target.00_00;profile.target.23_00,target,change,high,Raise the nighttime glucose target segments at 23:00 and 00:00 from 90 mg/dL to 100 mg/dL.,medium-high,2,"Transition from total reliance on reactive UAM SMBs toward entering meal carbohydrate estimates prior to meals or at mealtime. Bolusing even 50%–70% of estimated meal carbs 10–15 minutes pre-meal allows insulin action to match carb absorption, flattening post-prandial spikes (14:00–16:00 local) and preventing reactive UAM insulin stacking that causes late-afternoon hypoglycemia (18:00–20:00 local).",3,smb,Reduce Max IOB and Max Basal Safety Limits,safety,smb;target;basal,5,3,4,"14-day analysis of Nightscout telemetry shows strong overall Time in Range (86.0%, mean glucose 121.6 mg/dL), but identified a significant safety risk with Time Below Range (5.1% total, exceeding the 4.0% clinical target). Hypoglycemia is tightly clustered overnight (11.4%–18.5% TBR between 00:00 and 02:00 local) and in the late afternoon/early evening (15.3% TBR at 19:00 local). Telemetry reveals zero logged carbohydrate entries despite 655 insulin treatments, indicating total reliance on retrospective Unannounced Meal (UAM) SMB delivery and Dynamic ISF. Overly permissive safety limits (Max IOB 25 U against a Total Daily Insulin of ~19.7 U) present extreme hypoglycemia risk during UAM insulin stacking.",712
real_gemini36flash_50,run_006,completed,,gemini-3.6-flash,113.94,,145890,13356,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,aaps.core.safety_limits,basal,keep,high,"Maintain current scheduled basal rates, targets, CR, ISF, and DIA settings unchanged while updating AAPS safety limits and collecting 3-5 days of logged meal entries.",medium,2,"Prebolus main meals by 10-15 minutes with 100% immediate bolus when eating predictable carbohydrate meals. Keep SMB and UAM active as a secondary safety net, and use extended carbs (e-carbs over 2-3 hours) for high-fat/protein meals or slow digestion during GLP-1 therapy.",2,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,smb;cr,3,3,4,"Over 14 days of CGM telemetry (98.7% coverage), overall Time In Range (70-180 mg/dL) was 86.0%, with 8.9% Time Above Range and 5.1% Time Below Range. Analysis reveals strong overnight stability from 03:00 to 08:00 local time (>95% TIR), but recurring hypoglycemia clusters occur in early evening (15.3% TBR at 19:00 local) and early nighttime (18.5% TBR at 01:00 local). Zero carbohydrate entries were recorded in Nightscout, forcing AAPS to operate entirely in Unannounced Meal (UAM) mode. Delayed UAM insulin delivery combined with Dynamic ISF creates postprandial spikes followed by late insulin stacking. Excessively high safety limits (Max IOB 25 U, Max Basal 12 U/h) present structural risk and should be tightened before adjusting underlying profile parameters.",768
real_gemini36flash_50,run_007,completed,,gemini-3.6-flash,96.26,,145062,12856,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,aaps.core.safety_limits,target,keep,high,"Maintain current profile basal, CR, ISF, and DIA parameters; adjust AAPS safety limits and gather 3 to 5 days of upfront logged meal entries before altering profile ratios.",high,1,"Transition from unannounced meal reliance to logging meal carbohydrates 15 minutes before eating with 100% upfront bolusing, allowing SMB/UAM to manage only residual variance.",2,smb,Reduce AAPS Automation Safety Caps,safety,smb;target,4,3,4,"Analysis of 14 days of Nightscout telemetry shows a overall Time in Range (70-180 mg/dL) of 86.0% with a mean glucose of 121.6 mg/dL. Primary safety risks include post-midnight hypoglycemia (18.5% time below range at 01:00 local) and evening hypoglycemia (15.3% time below range at 19:00 local). Zero carbohydrates were logged during the period, forcing AAPS to rely entirely on Unannounced Meal (UAM) detection and Super Micro Boluses (SMB). High afternoon glucose spikes trigger heavy SMB delivery via Dynamic ISF scaling (effective ISF dropping to 27.8-37.9 mg/dL/U), which subsequently over-delivers insulin and causes delayed evening hypoglycemia. Additionally, profile safety caps (Max IOB 25 U, Max Basal 12 U/h) are dangerously high relative to the average Total Daily Dose (~19.7 U/day).",796
real_gemini36flash_50,run_008,completed,,gemini-3.6-flash,93.41,,143915,12119,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the 00:00-08:00 overnight target segment from 90 mg/dL to 100 mg/dL to reduce nocturnal hypoglycemia risk.,low,1,"Transition from 100% reactive UAM SMB dosing to logging meal carbohydrates with a 10-15 minute pre-bolus for main meals. On GLP-1 days, split large meal boluses using eCarbs over 2-3 hours to match delayed gastric emptying.",3,smb,Reduce AAPS Max Basal and Max IOB Safety Ceilings,safety,smb;target;cr,4,3,4,"14-day Nightscout analysis demonstrates strong overall glycemic control (86.0% Time in Range 70-180 mg/dL, mean glucose 121.6 mg/dL), but highlights significant nocturnal hypoglycemia risk (Time Below Range reaching 10.1%-18.5% between 00:00 and 03:00 local time). This nocturnal drop is driven by unannounced afternoon/evening meal excursions that trigger aggressive dynamic ISF and UAM SMB auto-dosing, stacking residual IOB into the night under a restrictive overnight target of 90 mg/dL and extremely wide safety limits (Max Basal 12 U/h, Max IOB 25 U).",557
real_gemini36flash_50,run_009,completed,,gemini-3.6-flash,107.59,,145137,12956,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the overnight target segment (00:00-08:00) from 90 mg/dL to 100 mg/dL.,high,1,"Announce all meals with carbohydrate amounts and apply a 10 to 15 minute pre-bolus with an upfront bolus (70-80%), allowing AAPS SMB/UAM logic to handle only residual post-prandial variances.",3,target,Raise Overnight Target to Reduce Nocturnal Hypoglycemia,safety,target;safety_limits;meal_strategy,4,4,5,"14-day analysis of Nightscout telemetry reveals excellent CGM coverage (98.7%) and an overall Time in Range of 86.0% (mean glucose 121.6 mg/dL, CV 32.6%). However, clinical safety is compromised by excessive hypoglycemia (5.1% TBR), clustered heavily overnight (18.5% TBR at 01:00 local) and in the early evening (15.3% TBR at 19:00 local). The root cause is a combination of an aggressive overnight target (90 mg/dL), unannounced meals (0g carbs logged) driving delayed SMB stacking and dynamic ISF stiffening, and unsafe automation safety limits (Max IOB 25 U, Max Basal 12 U/h) relative to a total daily dose of ~19.7 U.",623
real_gemini36flash_50,run_010,completed,,gemini-3.6-flash,99.06,,142524,12182,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,2,21,0,aaps.core.safety_limits;profile.basal.00_00,basal,change,high,Reduce the 00:00 basal segment from 0.6 U/h to 0.5 U/h to address early overnight hypoglycemia.,low,1,"Announce meals in AAPS with estimated carbohydrates 15 minutes prior to eating, delivering 100% upfront bolus for standard meals. This allows AAPS to deliver meal insulin via CR at meal onset, preventing late reactive UAM SMB stacking and subsequent evening hypoglycemia.",3,smb,Reduce AAPS Max IOB Safety Limit,safety,smb;basal;target,5,4,3,"Analysis of 14 days of Nightscout telemetry shows good overall glycemic control with an average glucose of 121.6 mg/dL and 86.0% Time in Range (70-180 mg/dL). However, safety is compromised by elevated Time Below Range (5.1% total), featuring distinct hypoglycemia peaks overnight (up to 18.5% TBR at 01:00 local time) and in the late afternoon/evening (15.3% TBR at 19:00 local time). Telemetry reveals zero logged meal carbohydrates, causing the AAPS closed-loop system to rely entirely on Unannounced Meal (UAM) SMB microboluses and Dynamic ISF. Excessive automation safety caps (max IOB 25 U vs. TDD ~19.7 U) permit heavy insulin stacking following afternoon glucose surges, directly driving post-prandial rebound lows.",723
