experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_deepseek_v4pro_50,profile.basal.00_00,profile,0.6 U/h,50,keep,0.56,0.44,0.312–0.577,0.9896,22,28,0,2,0.5 u/h x20 | 0.55 u/h x2
real_deepseek_v4pro_50,profile.basal.05_00,profile,0.7 U/h,50,keep,0.98,0.02,0.004–0.105,0.1414,1,49,0,1,0.6 u/h x1
real_deepseek_v4pro_50,profile.basal.06_00,profile,0.8 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.basal.10_00,profile,0.7 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.basal.16_00,profile,0.5 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.basal.18_00,profile,0.6 U/h,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.basal.19_00,profile,0.7 U/h,50,keep,0.96,0.04,0.011–0.135,0.2423,2,48,0,1,0.6 u/h x2
real_deepseek_v4pro_50,profile.cr.00_00,profile,13 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.cr.04_00,profile,11.1 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.cr.08_00,profile,13.2 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.cr.16_00,profile,10.5 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.cr.20_00,profile,12.6 g/U,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.isf.00_00,profile,56 mg/dL/U,50,keep,0.6,0.4,0.276–0.538,0.971,20,30,0,14,70 mg/dl/u x5 | 80 mg/dl/u x2 | 40 mg/dl/u x2 | 30 mg/dl/u x1 | 150 mg/dl/u x1 | 36 mg/dl/u x1 | 110 mg/dl/u x1 | 100 mg/dl/u x1 | 38 mg/dl/u x1 | 90 mg/dl/u x1 | 75 mg/dl/u x1 | 50 mg/dl/u x1 | 35 mg/dl/u x1 | 180 mg/dl/u x1
real_deepseek_v4pro_50,profile.target.00_00,profile,90 mg/dL,50,keep,0.98,0.02,0.004–0.105,0.1414,1,49,0,1,100 mg/dl x1
real_deepseek_v4pro_50,profile.target.08_00,profile,100 mg/dL,50,keep,1.0,0.0,0.0–0.071,-0.0,0,50,0,0,
real_deepseek_v4pro_50,profile.target.23_00,profile,90 mg/dL,50,keep,0.98,0.02,0.004–0.105,0.1414,1,49,0,1,100 mg/dl x1
real_deepseek_v4pro_50,profile.dia,profile,10 h,50,keep,0.84,0.16,0.083–0.285,0.6343,8,42,0,4,6 h x4 | 5 h x2 | 8 h x1 | 7 h x1
real_deepseek_v4pro_50,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,50,keep,0.98,0.02,0.004–0.105,0.1414,1,49,0,1,smb_enabled=true; uam_enabled=false x1
real_deepseek_v4pro_50,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,50,keep,0.96,0.04,0.011–0.135,0.2423,2,48,0,2,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=false; smb_with_high_temp_target_enabled=false x1 | smb_always_enabled=false; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false x1
real_deepseek_v4pro_50,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,50,keep,0.9,0.1,0.043–0.214,0.469,5,45,0,3,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=10 min x2 | smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=15 min x2 | smb_interval_minutes=10 min; max_smb_basal_minutes=10 min; max_uam_smb_basal_minutes=15 min x1
real_deepseek_v4pro_50,aaps.core.safety_limits,aaps,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,50,keep,0.56,0.44,0.312–0.577,0.9896,22,28,0,14,max_basal_u_per_hour=12 u/h; max_iob_units=8 u x3 | max_basal_u_per_hour=12 u/h; max_iob_units=10 u x3 | max_basal_u_per_hour=12 u/h; max_iob_units=5 u x3 | max_basal_u_per_hour=3 u/h; max_iob_units=8 u x2 | max_basal_u_per_hour=4 u/h; max_iob_units=5 u x2 | max_basal_u_per_hour=4 u/h; max_iob_units=8 u x1 | max_basal_u_per_hour=2 u/h; max_iob_units=5 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=6 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=7 u x1 | max_basal_u_per_hour=3 u/h; max_iob_units=5 u x1 | max_basal_u_per_hour=2 u/h; max_iob_units=10 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=2.0 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=12 u x1 | max_basal_u_per_hour=4 u/h; max_iob_units=7 u x1
