experiment,slot,group,kind,n_runs,group_runs,representative
real_deepseek_v4pro_50,decision: Profile / basal 00:00,keep,varying,4,28,Keep and re‑evaluate after ISF correction.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,keep,varying,3,28,Overnight lows may be driven by residual IOB or SMB corrections rather than basal excess.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,keep,varying,3,28,Change now risks masking the ISF effect.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,keep,varying,2,28,Overnight hypoglycemia may be due to correction stacking rather than excessive basal; changing basal before addressing ISF and IOB limits could mask the true cause and risk worsening daytime control.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,keep,varying,2,28,"Overnight fasting glucose between 02:00‑06:00 is stable with low TBR, and early‑night hypos are driven by bolus‑IOB, not excessive basal rate."
real_deepseek_v4pro_50,decision: Profile / basal 00:00,keep,varying,2,28,"Overnight hypoglycemia is primarily driven by aggressive UAM/SMB and low effective ISF, not purely by basal rate."
real_deepseek_v4pro_50,decision: Profile / basal 00:00,change,varying,8,22,Overnight lows and zero temp basals indicate basal excess.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,change,varying,6,22,Overnight hypoglycemia with TBR 18.5% at 01:00 indicates basal excess.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,change,varying,3,22,A 0.1 U/h reduction is a conservative first step.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,change,varying,2,22,Further monitoring required.
real_deepseek_v4pro_50,decision: Profile / basal 00:00,change,varying,2,22,Reducing by 0.1 U/h is a safe first step.
real_deepseek_v4pro_50,decision: Profile / basal 05:00,keep,varying,5,49,No clear hypoglycemia pattern in the 05:00-06:00 window; keep and re-evaluate after overnight basal is adjusted.
real_deepseek_v4pro_50,decision: Profile / basal 05:00,keep,varying,5,49,Change is not supported.
real_deepseek_v4pro_50,decision: Profile / basal 05:00,keep,varying,3,49,Keep until ISF fixed.
real_deepseek_v4pro_50,decision: Profile / basal 05:00,keep,varying,3,49,Early-morning glucose is stable with low TBR; no evidence for change.
real_deepseek_v4pro_50,decision: Profile / basal 05:00,keep,varying,2,49,"Hypoglycemia risk decreases after 03:00, average glucose rises to ~106 mg/dL."
real_deepseek_v4pro_50,decision: Profile / basal 05:00,keep,varying,2,49,Keeping unchanged while monitoring effect of earlier reduction.
real_deepseek_v4pro_50,decision: Profile / basal 06:00,keep,varying,6,50,Hourly glucose at 06:00 averages 99.5 mg/dL with TBR 1.3% and no evidence of hypoglycemia.
real_deepseek_v4pro_50,decision: Profile / basal 06:00,keep,varying,4,50,Morning rise is well controlled with minimal hypoglycemia.
real_deepseek_v4pro_50,decision: Profile / basal 06:00,keep,varying,3,50,"Morning rise may be due to dawn phenomenon or unannounced meals; without meal data, increasing basal could be unsafe."
real_deepseek_v4pro_50,decision: Profile / basal 06:00,keep,varying,3,50,"Insufficient evidence to change; morning rise may be meal-related, not basal-deficient."
real_deepseek_v4pro_50,decision: Profile / basal 06:00,keep,varying,3,50,Daytime basal appears adequate; no isolated data to support change.
real_deepseek_v4pro_50,decision: Profile / basal 06:00,keep,varying,3,50,Morning glucose is well controlled (TIR>91%) with this rate.
real_deepseek_v4pro_50,decision: Profile / basal 10:00,keep,varying,3,50,Keep pending meal logging.
real_deepseek_v4pro_50,decision: Profile / basal 10:00,keep,varying,3,50,"Daytime TIR remains acceptable; afternoon hyperglycemia likely meal-driven, not basal."
real_deepseek_v4pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Daytime basal appears adequate; observed highs are likely meal‑related (no carb data).
real_deepseek_v4pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Daytime patterns are confounded by unannounced meals; insufficient evidence to adjust.
real_deepseek_v4pro_50,decision: Profile / basal 10:00,keep,varying,2,50,Daytime basal adequacy cannot be isolated from unknown meal and activity effects.
real_deepseek_v4pro_50,decision: Profile / basal 10:00,keep,varying,2,50,No clear pattern requiring adjustment; mixed with meal and correction effects.
real_deepseek_v4pro_50,decision: Profile / basal 16:00,keep,varying,3,50,This is the lowest daytime basal; afternoon hyperglycemia may be meal-driven rather than basal deficiency.
real_deepseek_v4pro_50,decision: Profile / basal 16:00,keep,varying,3,50,Lowest basal rate; coincides with typical afternoon activity.
real_deepseek_v4pro_50,decision: Profile / basal 16:00,keep,varying,3,50,Keep until meal‑data available.
real_deepseek_v4pro_50,decision: Profile / basal 16:00,keep,varying,2,50,"The high TAR at this time could be due to missing meal boluses or the basal drop, but without carb logs a change is not justified."
real_deepseek_v4pro_50,decision: Profile / basal 16:00,keep,varying,2,50,"Although late afternoon glucose remains high, increasing basal without meal context could worsen evening lows."
real_deepseek_v4pro_50,decision: Profile / basal 16:00,keep,varying,2,50,Late-afternoon hyperglycemia exists but may be meal-related; no evidence to change.
real_deepseek_v4pro_50,decision: Profile / basal 18:00,keep,varying,2,50,"Similar to the 16:00 segment, the interaction with possible evening meals and the subsequent 0.7 U/h segment at 19:00 is complex."
real_deepseek_v4pro_50,decision: Profile / basal 18:00,keep,varying,2,50,Keep until meal data clarifies need.
real_deepseek_v4pro_50,decision: Profile / basal 18:00,keep,varying,2,50,"Evening lows attributed to IOB, not basal rate."
real_deepseek_v4pro_50,decision: Profile / basal 18:00,keep,varying,2,50,Evening basal appears reasonable; no strong hypo pattern.
real_deepseek_v4pro_50,decision: Profile / basal 18:00,keep,varying,2,50,No strong evidence for change; evening lows likely IOB-related.
real_deepseek_v4pro_50,decision: Profile / basal 18:00,keep,varying,2,50,No independent evidence that basal here causes lows; corrections are the primary driver.
real_deepseek_v4pro_50,decision: Profile / basal 19:00,keep,varying,3,48,Evening basal appears appropriate.
real_deepseek_v4pro_50,decision: Profile / basal 19:00,keep,varying,3,48,Evening basal appears adequate; no change supported.
real_deepseek_v4pro_50,decision: Profile / basal 19:00,keep,varying,3,48,Evening glucose stable; no change indicated.
real_deepseek_v4pro_50,decision: Profile / basal 19:00,keep,varying,2,48,"Similar to 18:00, no isolated fasting window exists to test this segment."
real_deepseek_v4pro_50,decision: Profile / basal 19:00,keep,varying,2,48,Evening pattern is acceptable; too early to change without meal data.
real_deepseek_v4pro_50,decision: Profile / basal 19:00,keep,varying,2,48,Evening profile segment; no independent evidence of basal inappropriateness.
real_deepseek_v4pro_50,decision: Profile / CR 00:00,keep,varying,15,50,CR cannot be evaluated.
real_deepseek_v4pro_50,decision: Profile / CR 00:00,keep,varying,12,50,Keep until meal logging provides data.
real_deepseek_v4pro_50,decision: Profile / CR 00:00,keep,varying,7,50,No carbohydrate entries exist to evaluate this ratio.
real_deepseek_v4pro_50,decision: Profile / CR 00:00,keep,varying,4,50,Cannot be validated without carb entries.
real_deepseek_v4pro_50,decision: Profile / CR 00:00,keep,varying,4,50,No meal data exist to evaluate any CR segment.
real_deepseek_v4pro_50,decision: Profile / CR 00:00,keep,varying,3,50,Cannot evaluate without meal data; keep until meals are logged.
real_deepseek_v4pro_50,decision: Profile / CR 04:00,keep,varying,5,50,No carb data; keep.
real_deepseek_v4pro_50,decision: Profile / CR 04:00,keep,varying,4,50,No meal data to assess.
real_deepseek_v4pro_50,decision: Profile / CR 04:00,keep,varying,4,50,No carb entries.
real_deepseek_v4pro_50,decision: Profile / CR 04:00,keep,varying,3,50,Keep for now; re‑evaluate after meals are logged.
real_deepseek_v4pro_50,decision: Profile / CR 04:00,keep,varying,3,50,No meal data available.
real_deepseek_v4pro_50,decision: Profile / CR 04:00,keep,varying,2,50,No meal entries available; carb ratio cannot be evaluated.
real_deepseek_v4pro_50,decision: Profile / CR 08:00,keep,varying,5,50,No carb data; keep.
real_deepseek_v4pro_50,decision: Profile / CR 08:00,keep,varying,4,50,Cannot evaluate without carb entries.
real_deepseek_v4pro_50,decision: Profile / CR 08:00,keep,varying,4,50,No meal data to assess.
real_deepseek_v4pro_50,decision: Profile / CR 08:00,keep,varying,3,50,No carbohydrate entries.
real_deepseek_v4pro_50,decision: Profile / CR 08:00,keep,varying,3,50,No meal data; keep until validated.
real_deepseek_v4pro_50,decision: Profile / CR 08:00,keep,varying,2,50,No meal entries available; carb ratio cannot be evaluated.
real_deepseek_v4pro_50,decision: Profile / CR 16:00,keep,varying,5,50,Cannot evaluate without carb entries.
real_deepseek_v4pro_50,decision: Profile / CR 16:00,keep,varying,4,50,No carb data; keep.
real_deepseek_v4pro_50,decision: Profile / CR 16:00,keep,varying,3,50,No meal data available to assess.
real_deepseek_v4pro_50,decision: Profile / CR 16:00,keep,varying,2,50,CR cannot be evaluated.
real_deepseek_v4pro_50,decision: Profile / CR 16:00,keep,varying,2,50,Cannot assess; keep until meal data present.
real_deepseek_v4pro_50,decision: Profile / CR 16:00,keep,varying,2,50,No meal data; keep.
real_deepseek_v4pro_50,decision: Profile / CR 20:00,keep,varying,5,50,No carb data; keep.
real_deepseek_v4pro_50,decision: Profile / CR 20:00,keep,varying,4,50,Cannot evaluate without carb entries.
real_deepseek_v4pro_50,decision: Profile / CR 20:00,keep,varying,3,50,No meal data available to assess.
real_deepseek_v4pro_50,decision: Profile / CR 20:00,keep,varying,2,50,Evening meal pattern unconfirmed; no change without meal logs.
real_deepseek_v4pro_50,decision: Profile / CR 20:00,keep,varying,2,50,No meal entries available; carb ratio cannot be evaluated.
real_deepseek_v4pro_50,decision: Profile / CR 20:00,keep,varying,2,50,No meal data; keep.
