experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_gemini35flashlite_50,run_001,completed,,gemini-3.5-flash-lite,31.33,,140514,9969,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,0.0,23.0,0.0,,basal,keep,medium,Keep current profile settings and automation configurations unchanged while establishing consistent meal logging.,medium,2.0,"Institute manual meal announcements with a standard prebolus (15–20 minutes) when possible, maintain UAM and SMB as safety nets with moderated aggression, and utilize extended carbohydrates (e-carbs) with 2–4 hour durations for slow-digesting meals or late postprandial rises under GLP-1 therapy.",2.0,basal,Monitor Early Nocturnal Basal Delivery,medium,basal;smb,3.0,3.0,4.0,"Evaluation of 14 days of Nightscout telemetry for an automated closed-loop (AAPS) user reveals an 86.0% Time in Range, with 8.9% Time Above Range and 5.1% Time Below Range. Glycemic patterns show afternoon postprandial hyperglycemia peaks and nocturnal/early morning hypoglycemia dips. The user operates with SMB and UAM enabled, dynamic sensitivity at 70%, and an absence of explicit carbohydrate entry data, relying entirely on automation to manage meals alongside concurrent GLP-1 therapy.",492.0
real_gemini35flashlite_50,run_002,completed,,gemini-3.5-flash-lite,44.25,,182907,15829,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,2.0,21.0,0.0,aaps.core.safety_limits;profile.basal.00_00,basal,change,medium,Safely reduce the 00:00 basal segment from 0.6 U/h to 0.5 U/h.,medium,2.0,"Begin logging approximate carbohydrate amounts and timestamps for meals, allowing AAPS to calculate proactive boluses and preboluses rather than relying solely on passive UAM detection.",3.0,basal,Reduce Overnight Basal Rates,high,basal;smb;cr,3.0,3.0,4.0,"Evaluation of 14 days of Nightscout telemetry and AAPS profile data reveals strong overall time-in-range (86.0%), alongside notable late-night dipping (18.5% time below range at 01:00) and afternoon postprandial hyperglycemia (up to 32.1% time above range at 15:00-16:00). Carbohydrate entries are entirely unlogged, with AAPS relying on UAM and SMB automation to manage meals. The profile features a flat ISF of 56 mg/dL/U and fixed basal rates that contribute to overnight insulin over-delivery and afternoon under-delivery.",526.0
real_gemini35flashlite_50,run_003,completed,,gemini-3.5-flash-lite,28.78,,140004,9171,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,0.0,23.0,0.0,,isf,keep,medium,Keep current profile settings unchanged and verify meal logging impact.,medium,0.0,Initiate carbohydrate logging for meals where possible to allow AAPS to anticipate absorption rather than relying entirely on UAM and reactive SMB dosing.,2.0,meal,Introduce Carbohydrate Logging,high,meal;profile,3.0,3.0,3.0,"Over a 14-day evaluation period, the closed-loop system achieved a solid 86.0% Time in Range with an average glucose of 121.6 mg/dL. However, hypoglycemia below 70 mg/dL reached 5.1%, driven by overnight and late-afternoon dips. The user's AAPS profile features a flat 24-hour ISF of 56 mg/dL/U and zero logged carbohydrate entries, meaning the closed-loop automation relies heavily on UAM and SMBs to manage glycemic excursions reactively.",440.0
real_gemini35flashlite_50,run_004,completed,,gemini-3.5-flash-lite,30.62,,139748,9704,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,0.0,23.0,0.0,,basal,keep,medium,Keep current profile settings unchanged and focus verification on consistent meal carbohydrate logging.,medium,2.0,"Transition from unannounced meals (`carb_treatment_entries` = 0) to consistent meal carbohydrate declarations with standard pre-bolusing, supported by active SMB/UAM automation and extended carb absorption (e-carbs) during GLP-1 treatment days.",2.0,meal_strategy,Establish Consistent Meal Logging,high,meal_strategy;basal,3.0,3.0,4.0,"Over the 14-day evaluation period, overall glycemic control shows a strong Time in Range (TIR) of 86.0% with a stable coefficient of variation (CV 32.6%). Time above range is 8.9% and time below range is 5.1%, with occasional hypoglycemia (< 70 mg/dL) clustering during overnight and late afternoon hours. AAPS automation (SMB and UAM enabled with dynamic sensitivity) effectively manages glucose excursions, but unannounced meals (`carb_treatment_entries` = 0) and GLP-1 therapy interactions contribute to postprandial spikes followed by late insulin stacking.",561.0
real_gemini35flashlite_50,run_005,completed,,gemini-3.5-flash-lite,41.41,,183991,15479,True,strict,True,1.0,0.0,,False,failed,False,,1,rejected_no_prompt,True,,0.0,,,,,0.0,23.0,0.0,,basal,keep,medium,Keep current profile settings while initiating formal meal carbohydrate logging to improve closed-loop anticipation.,medium,2.0,"For upcoming meals, enter carbohydrate amounts and apply a short prebolus (10-15 minutes) when starting above target, allowing AAPS to utilize COB effectively rather than relying purely on reactive UAM microboluses.",2.0,basal,Log Carbohydrate Intake for Closed-Loop Optimization,high,basal;basal,3.0,3.0,3.0,"Evaluation of 14 days of Nightscout telemetry and AAPS automated closed-loop data reveals strong overall glycemic control (86.0% Time in Range) alongside notable safety challenges regarding hypoglycemia (5.1% below range) and postprandial hyperglycemia spikes up to 293 mg/dL. The system operates with zero formal carbohydrate entries, relying on UAM and SMBs to manage glycemic excursions. An overly aggressive flat ISF of 56 mg/dL/U combined with tight overnight basal rates and active microbolusing contributes to late-night and early-morning downward glycemic drift.",570.0
real_gemini35flashlite_50,run_006,completed,,gemini-3.5-flash-lite,37.09,,182928,13116,True,strict,False,0.9118,3.0,"invalid decision value: ['profile.isf.00_00'] | verify without null component: ['profile.isf.00_00'] | meal_strategy_summary fields: ['confidence', 'exceptions', 'next_observation', 'rationale']",False,failed,False,,1,rejected_no_prompt,True,decisions_values_valid | decisions_verify_rule | meal_fields_exact,3.0,,,,,0.0,22.0,1.0,,basal,keep,medium,Keep profile settings unchanged while conducting a structured verification of overnight basal and ISF behavior.,medium,2.0,,1.0,basal,Verify Overnight Basal and ISF Settings,high,basal,2.0,2.0,3.0,"Over 14 days of continuous glucose monitoring telemetry, overall time in range (70-180 mg/dL) is strong at 86.0% with a stable coefficient of variation (32.6%). The system operates via AAPS closed-loop automation with SMB and UAM enabled, but without explicit carbohydrate logging (0.0g total carbs). Glycemic control features strong overnight stability interspersed with nocturnal lows and predictable afternoon postprandial rises.",432.0
real_gemini35flashlite_50,run_007,completed,,gemini-3.5-flash-lite,28.21,,141456,9357,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,0.0,23.0,0.0,,basal,keep,medium,Keep current profile settings and verify basal and meal responses over the next week before making adjustments.,medium,0.0,Continue utilizing Oref1 automation while beginning to log carbohydrate grams manually for meals to improve prediction accuracy and blunt afternoon postprandial peaks.,2.0,basal,Verify Overnight Basal Rates,high,basal;cr,3.0,3.0,3.0,"A 14-day analysis of Nightscout telemetry and AAPS profile data shows an 86.0% time-in-range with stable glycemic variability (CV 32.6%). While overnight stability is generally good, mild nocturnal hypoglycemia (5.1% below 70 mg/dL) occurs during early-morning hours, and postprandial hyperglycemia appears in the late afternoon (15:00–17:00). The closed-loop system relies heavily on UAM and SMB automation with zero explicit carbohydrate entries recorded in the treatment summary.",482.0
real_gemini35flashlite_50,run_008,completed,,gemini-3.5-flash-lite,28.94,,140719,8262,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,0.0,23.0,0.0,,basal,keep,medium,Keep current profile settings while introducing proactive meal logging and observing glycemic response.,medium,0.0,"Transition from purely unannounced UAM/SMB management to proactive meal announcements with conservative prebolusing for major meals, allowing Oref1 to anticipate carbohydrate absorption without relying solely on reactive microboluses.",1.0,smb,Review Max IOB Safety Limit,medium,smb,3.0,3.0,4.0,"A 14-day analysis of Nightscout telemetry and AAPS profile data shows an 86.0% time in range, 8.9% time above range, and 5.1% time below range. The system operates primarily on automated UAM and SMB microbolusing without declared carb entries, leading to afternoon hyperglycemia peaks (13:00 to 18:00 local time) and occasional hypoglycemia exposure.",350.0
real_gemini35flashlite_50,run_009,completed,,gemini-3.5-flash-lite,28.45,,140632,9409,True,strict,True,1.0,0.0,,True,strict,True,,0,accepted_first_pass,True,,0.0,,,,,0.0,23.0,0.0,,basal,keep,medium,Keep current profile settings while closely monitoring nocturnal glucose stability and afternoon postprandial excursions.,medium,1.0,"Maintain the current unannounced meal strategy utilizing smb_enabled=true, uam_enabled=true, and Dynamic ISF (70%), while considering manual carbohydrate or e-carb entry for known meals to smooth postprandial excursions.",2.0,basal,Verify Overnight Basal Rates for Nocturnal Dips,high,basal;isf,3.0,3.0,4.0,"Evaluation of 14 days of Nightscout telemetry and AAPS settings shows strong overall glycemic control with an 86.0% Time in Range, supported by robust automated microbolusing (SMB and UAM) and dynamic ISF. Hypoglycemia exposure at 5.1% requires careful observation. The user operates without manual carbohydrate entries, relying entirely on unannounced meal detection. Afternoon postprandial rises and intermittent nocturnal dips reflect the interaction between unannounced meals, GLP-1 therapy, and a flat profile ISF.",519.0
real_gemini35flashlite_50,run_010,completed,,gemini-3.5-flash-lite,44.23,,185739,15884,True,strict,False,0.9706,1.0,"top-level keys differ: missing=['issues', 'strengths'] extra=[]",True,strict,False,"issues, strengths",1,accepted_first_pass,True,top_level_exact,1.0,0.0,0.0,,False,0.0,23.0,0.0,,dia,keep,medium,Keep current profile settings (including 10h DIA and flat 56 mg/dL/U ISF) while beginning to log meal carbohydrate entries for verification.,medium,2.0,"Maintain closed-loop automation with UAM enabled, and initiate consistent carbohydrate logging for meals to allow Oref1 to utilize COB calculations rather than relying exclusively on reactive UAM and micro-boluses.",2.0,smb,Initiate Carbohydrate Logging,high,smb;basal,0.0,0.0,4.0,"The 14-day analysis of Nightscout telemetry and AAPS profile data reveals strong overall glucose control with 86.0% time in range, though time below range is elevated at 5.1% with multiple hypoglycemic extremes dipping to 41-42 mg/dL. Carbohydrate logging is entirely absent (0 carb entries), meaning AAPS relies entirely on UAM and SMB automation to manage glycemic excursions. GLP-1 therapy (1.25 mg notes) contributes to delayed gastric emptying and afternoon glucose peaks (up to 32% above range in afternoon hours), while aggressive overnight automation against a flat 56 mg/dL/U ISF and 10-hour DIA drives early morning/nocturnal low glucose excursions.",659.0
