experiment,run_id,rank,area,title,priority,suggested_change
gemini36flash_50,run_001,1,meal_timing,Extend Prebolus Time for Weekday Breakfast,medium,"{""action"": ""adjust_prebolus"", ""meal"": ""Weekday breakfast"", ""current_prebolus_min"": 20, ""suggested_prebolus_min"": 25}"
gemini36flash_50,run_001,2,meal_timing,Adjust Prebolus Time for Weekend Brunch,medium,"{""action"": ""adjust_prebolus"", ""meal"": ""Weekend brunch"", ""current_prebolus_min"": 10, ""suggested_prebolus_min"": 15}"
gemini36flash_50,run_002,1,cr,Maintain Current Profile Parameters,low,"{""action"": ""keep_all_profile_parameters""}"
gemini36flash_50,run_002,2,smb,Verify AAPS Sensitivity & Activation UI Flags,low,"{""action"": ""verify_ui_toggles""}"
gemini36flash_50,run_003,1,meal_bolus,Optimize Prebolus Timing for Weekend Brunch,low,"{""meal_pattern"": ""Weekend brunch"", ""prebolus_minutes"": 15, ""immediate_bolus_percent"": 70}"
gemini36flash_50,run_004,1,meal_strategy,Optimize prebolus timing for weekend brunch,low,"{""prebolus_minutes"": 15, ""immediate_bolus_percent"": 60}"
gemini36flash_50,run_005,1,meal_strategy,Optimize Weekday Breakfast Prebolus Timing,low,"{""meal"": ""Weekday breakfast"", ""parameter"": ""prebolus_minutes"", ""current"": 20, ""suggested"": 25}"
gemini36flash_50,run_005,2,meal_strategy,Adjust Weekend Brunch Bolus Split,low,"{""meal"": ""Weekend brunch"", ""parameter"": ""immediate_bolus_percent"", ""current"": 60, ""suggested"": 70}"
gemini36flash_50,run_006,1,profile,Maintain Current Profile and Automation Settings,low,null
gemini36flash_50,run_007,1,smb,Verify Unpopulated AAPS Settings Toggles,low,"{""action"": ""verify_app_settings"", ""parameters"": [""smb_activation_conditions"", ""autosens_enabled""]}"
gemini36flash_50,run_008,1,meal_strategy,Test Slightly Extended Prebolus for Weekend Brunch,low,"{""meal"": ""Weekend brunch"", ""prebolus_minutes"": 15, ""immediate_bolus_percent"": 70}"
