experiment,run_id,rank,area,title,priority,suggested_change
real_llama4maverick_50,run_001,1,basal,Verify basal rates,medium,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""suggested_value\"": \""0.55\""}"""
real_llama4maverick_50,run_002,1,basal,Review basal profile,medium,"""{\""profile.basal.00_00\"": \""0.55 U/h\""}"""
real_llama4maverick_50,run_002,2,aaps,Monitor max IOB,high,"""{\""aaps.core.safety_limits.max_iob_units\"": \""15 U\""}"""
real_llama4maverick_50,run_004,1,basal,Adjust basal profile,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_005,1,AAPS,Adjust max IOB,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_005,2,basal,Review basal rates,medium,"""{\""basal_segments\"": [{\""start_time\"": \""00:00\"", \""units_per_hour\"": 0.55}, {\""start_time\"": \""05:00\"", \""units_per_hour\"": 0.65}, {\""start_time\"": \""06:00\"", \""units_per_hour\"": 0.75}, {\""start_time\"": \""10:00\"", \""units_per_hour\"": 0.65}, {\""start_time\"": \""16:00\"", \""units_per_hour\"": 0.45}, {\""start_time\"": \""18:00\"", \""units_per_hour\"": 0.55}, {\""start_time\"": \""19:00\"", \""units_per_hour\"": 0.65}]}"""
real_llama4maverick_50,run_006,1,basal,Adjust basal rate profile for better overnight control,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_007,1,profile,Review basal rates and targets.,medium,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""suggested_value\"": \""0.55\""}"""
real_llama4maverick_50,run_007,2,aaps,Monitor SMB/UAM effectiveness and safety.,high,"""{\""parameter_key\"": \""aaps.core.safety_limits\"", \""suggested_value\"": \""max_iob_units=20\""}"""
real_llama4maverick_50,run_008,1,basal,Verify and adjust basal rates,medium,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""suggested_value\"": \""0.65\""}"""
real_llama4maverick_50,run_009,1,profile,Review basal rates for potential adjustments,medium,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""suggested_value\"": \""0.65\""}"""
real_llama4maverick_50,run_010,1,basal,Review and adjust basal rates based on fasting glucose patterns.,high,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""suggested_value\"": \""0.55\""}"""
real_llama4maverick_50,run_010,2,meal_strategy,Record carb amounts for meals to assess meal bolus strategy.,medium,"""{\""parameter_key\"": \""aaps.core.meal_strategy\"", \""suggested_value\"": \""record_carb_amounts\""}"""
real_llama4maverick_50,run_011,1,basal,Adjust basal rates,medium,"""{\""profile.basal.00_00\"": \""0.55 U/h\""}"""
real_llama4maverick_50,run_012,1,basal,Adjust basal rates,medium,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""suggested_value\"": \""0.65 U/h\""}"""
real_llama4maverick_50,run_013,1,Meal Logging,Start logging meals,high,null
real_llama4maverick_50,run_013,2,Max IOB,Review max IOB limit,medium,null
real_llama4maverick_50,run_014,1,meal strategy,Start logging meal data.,high,"""{\""meal_data_logging\"": true}"""
real_llama4maverick_50,run_014,2,automation,Review max basal and max IOB limits.,medium,"""{\""max_basal_u_per_hour\"": 6, \""max_iob_units\"": 10}"""
real_llama4maverick_50,run_015,1,AAPS safety limits,Adjust max IOB,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_016,1,basal,Verify basal rates,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_017,1,basal,Verify and adjust basal rates,medium,"""{\""profile.basal.00_00\"": \""0.65 U/h\""}"""
real_llama4maverick_50,run_018,1,meal logging,Start logging meal data,high,"""{\""meal_logging\"": \""enabled\""}"""
real_llama4maverick_50,run_018,2,max IOB,Review max IOB setting,medium,"""{\""max_iob_units\"": \""15\""}"""
real_llama4maverick_50,run_019,1,basal,Adjust basal rates,high,"""{\""profile.basal.00_00\"": \""0.65 U/h\""}"""
real_llama4maverick_50,run_019,2,meal_strategy,Implement meal logging,medium,"""{\""meal_strategy\"": \""log meal carbs\""}"""
real_llama4maverick_50,run_020,1,profile,Review and adjust ISF,high,"""{\""parameter_key\"": \""profile.isf.00_00\"", \""current_value\"": 56, \""suggested_value\"": 50}"""
real_llama4maverick_50,run_021,1,AAPS safety limits,Reduce max IOB,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_021,2,Profile ISF,Review ISF,medium,"""{\""isf_segments\"": [{\""start_time\"": \""00:00\"", \""mg_dl_per_unit\"": 55}]}"""
real_llama4maverick_50,run_022,1,meal strategy,Start logging meal data,high,null
real_llama4maverick_50,run_022,2,profile,Review CR and ISF settings,medium,null
real_llama4maverick_50,run_023,1,AAPS safety limits,Adjust max IOB to a safer limit,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_024,1,basal,Review basal rates for potential adjustments.,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_024,2,aaps,Consider verifying Autosens settings.,low,"""{\""aaps.core.sensitivity.sensitivity_ratio\"": 1.1}"""
real_llama4maverick_50,run_025,1,AAPS,Adjust max IOB,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_026,1,AAPS safety limits,Adjust max IOB to a safer limit,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_028,1,basal,Review and adjust basal rates,medium,"""{\""profile.basal.00_00\"": \""0.55 U/h\""}"""
real_llama4maverick_50,run_029,1,basal,Adjust basal rate,medium,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""current_value\"": \""0.6\"", \""suggested_value\"": \""0.65\""}"""
real_llama4maverick_50,run_030,1,basal,Review basal rates,high,"""{\""profile.basal.00_00\"": \""0.65\""}"""
real_llama4maverick_50,run_030,2,meal,Log meal data,medium,"""{}"""
real_llama4maverick_50,run_031,1,basal,Adjust basal rates,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_031,2,aaps,Review max IOB,low,"""{\""aaps.core.safety_limits.max_iob_units\"": 20}"""
real_llama4maverick_50,run_032,1,basal,Verify basal rates,medium,"""{\""profile.basal.00_00\"": 0.6, \""profile.basal.05_00\"": 0.7, \""profile.basal.06_00\"": 0.8, \""profile.basal.10_00\"": 0.7, \""profile.basal.16_00\"": 0.5, \""profile.basal.18_00\"": 0.6, \""profile.basal.19_00\"": 0.7}"""
real_llama4maverick_50,run_033,1,meal strategy,Implement meal logging and bolusing,high,"""{\""meal_logging\"": true}"""
real_llama4maverick_50,run_033,2,safety limits,Review max IOB and basal rates,medium,"""{\""max_iob_units\"": 15, \""max_basal_u_per_hour\"": 6}"""
