experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
gemini36flash_50,run_001,run_002,0.257,0.182,0.225,1.0,False,False
gemini36flash_50,run_001,run_003,0.223,0.566,0.436,1.0,False,False
gemini36flash_50,run_001,run_004,0.233,0.41,0.156,1.0,False,True
gemini36flash_50,run_001,run_005,0.264,0.713,0.395,1.0,False,True
gemini36flash_50,run_001,run_006,0.132,0.521,0.242,1.0,False,True
gemini36flash_50,run_001,run_007,0.136,0.265,0.362,1.0,False,True
gemini36flash_50,run_001,run_008,0.208,0.74,0.098,1.0,False,False
gemini36flash_50,run_001,run_009,0.243,0.242,0.294,1.0,False,True
gemini36flash_50,run_001,run_010,0.227,0.644,0.206,1.0,False,True
gemini36flash_50,run_001,run_011,0.228,0.438,0.215,1.0,False,True
gemini36flash_50,run_001,run_012,0.22,0.508,0.225,1.0,False,True
gemini36flash_50,run_001,run_013,0.165,0.413,0.443,1.0,False,True
gemini36flash_50,run_001,run_014,0.28,0.263,0.522,1.0,False,False
gemini36flash_50,run_001,run_015,0.145,0.173,0.167,1.0,False,True
gemini36flash_50,run_001,run_016,0.157,0.243,0.15,1.0,False,True
gemini36flash_50,run_001,run_017,0.206,0.54,0.085,1.0,False,True
gemini36flash_50,run_001,run_018,0.193,0.548,0.235,1.0,False,True
gemini36flash_50,run_001,run_019,0.285,0.636,0.104,1.0,False,True
gemini36flash_50,run_001,run_020,0.174,0.242,0.161,1.0,False,True
gemini36flash_50,run_001,run_021,0.223,0.438,0.33,1.0,True,False
gemini36flash_50,run_001,run_022,0.21,0.642,0.064,1.0,False,False
gemini36flash_50,run_001,run_023,0.184,0.241,0.148,1.0,False,False
gemini36flash_50,run_001,run_024,0.197,0.557,0.192,1.0,False,True
gemini36flash_50,run_001,run_025,0.287,0.555,0.084,1.0,False,True
gemini36flash_50,run_001,run_026,0.181,0.228,0.152,1.0,False,True
gemini36flash_50,run_001,run_027,0.217,0.561,0.207,1.0,False,True
gemini36flash_50,run_001,run_028,0.063,0.581,0.027,1.0,False,True
gemini36flash_50,run_001,run_029,0.252,0.63,0.426,1.0,False,True
gemini36flash_50,run_001,run_030,0.154,0.41,0.429,1.0,False,True
gemini36flash_50,run_001,run_031,0.164,0.625,0.074,1.0,False,True
gemini36flash_50,run_001,run_032,0.079,0.424,0.424,1.0,False,False
gemini36flash_50,run_001,run_033,0.185,0.35,0.463,1.0,False,True
gemini36flash_50,run_001,run_034,0.163,0.736,0.356,1.0,False,True
gemini36flash_50,run_001,run_035,0.275,0.675,0.228,1.0,False,True
gemini36flash_50,run_001,run_036,0.163,0.645,0.454,1.0,False,True
gemini36flash_50,run_001,run_037,0.134,0.587,0.337,1.0,False,True
gemini36flash_50,run_001,run_038,0.222,0.427,0.401,1.0,False,True
