experiment,step,n_runs,modal_status,status_agreement,modal_confidence,confidence_agreement,status_counts,confidence_counts
real_deepseek_v4pro_50,data_quality,48,completed,1.0,high,0.979,{'completed': 48},"{'high': 47, 'medium': 1}"
real_deepseek_v4pro_50,safety_overview,48,completed,0.979,high,0.875,"{'completed': 47, 'partial': 1}","{'high': 42, 'medium': 5, 'medium-high': 1}"
real_deepseek_v4pro_50,basal_targets,48,completed,0.583,medium,0.979,"{'completed': 28, 'partial': 20}","{'medium': 47, 'low': 1}"
real_deepseek_v4pro_50,profile_cr_isf_dia,48,partial,0.708,low,0.458,"{'partial': 34, 'completed': 14}","{'low': 22, 'medium': 18, 'low for CR, medium for ISF and DIA': 1, 'high for ISF, medium for DIA, low for CR': 1, 'low_cr, medium_isf_dia': 1, 'low_medium': 1, 'high': 1, 'CR: low, ISF: medium, DIA: high': 1, 'low-medium': 1, 'high for ISF, low for CR and DIA': 1}"
real_deepseek_v4pro_50,automation_smb_uam,48,completed,0.917,medium,0.542,"{'completed': 44, 'partial': 4}","{'medium': 26, 'high': 21, 'medium-high': 1}"
real_deepseek_v4pro_50,automation_sensitivity_limits,48,completed,0.938,medium,0.458,"{'completed': 45, 'partial': 3}","{'medium': 22, 'high': 22, 'medium-high': 4}"
real_deepseek_v4pro_50,meal_bolus_strategy,48,blocked,0.604,low,0.979,"{'partial': 14, 'blocked': 29, 'completed': 5}","{'low': 47, 'medium': 1}"
real_deepseek_v4pro_50,meal_ecarbs_absorption,48,blocked,0.667,low,0.938,"{'completed': 7, 'blocked': 32, 'partial': 9}","{'high': 3, 'low': 45}"
real_deepseek_v4pro_50,synthesis_plan,48,completed,1.0,medium,0.542,{'completed': 48},"{'medium': 26, 'high': 21, 'low': 1}"
real_gemini31pro_50,data_quality,50,completed,0.54,high,0.82,"{'completed': 27, 'partial': 23}","{'high': 41, 'medium': 7, 'low': 2}"
real_gemini31pro_50,safety_overview,50,completed,1.0,high,0.98,{'completed': 50},"{'high': 49, 'medium': 1}"
real_gemini31pro_50,basal_targets,50,completed,0.88,medium,0.6,"{'completed': 44, 'partial': 5, 'blocked': 1}","{'medium': 30, 'high': 19, 'low': 1}"
real_gemini31pro_50,profile_cr_isf_dia,50,partial,0.66,medium,0.64,"{'completed': 13, 'partial': 33, 'blocked': 4}","{'medium': 32, 'low': 18}"
real_gemini31pro_50,automation_smb_uam,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
real_gemini31pro_50,automation_sensitivity_limits,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
real_gemini31pro_50,meal_bolus_strategy,50,completed,0.8,high,0.66,"{'completed': 40, 'blocked': 7, 'partial': 3}","{'high': 33, 'medium': 12, 'low': 5}"
real_gemini31pro_50,meal_ecarbs_absorption,50,completed,0.78,high,0.78,"{'completed': 39, 'blocked': 11}","{'high': 39, 'medium': 4, 'low': 7}"
real_gemini31pro_50,synthesis_plan,50,completed,1.0,high,0.98,{'completed': 50},"{'high': 49, 'medium': 1}"
real_gemini35flashlite_50,data_quality,39,completed,1.0,high,1.0,{'completed': 39},{'high': 39}
real_gemini35flashlite_50,safety_overview,39,completed,1.0,high,1.0,{'completed': 39},{'high': 39}
real_gemini35flashlite_50,basal_targets,39,completed,1.0,medium,0.949,{'completed': 39},"{'medium': 37, 'medium-high': 2}"
real_gemini35flashlite_50,profile_cr_isf_dia,39,completed,1.0,medium,1.0,{'completed': 39},{'medium': 39}
real_gemini35flashlite_50,automation_smb_uam,39,completed,1.0,high,1.0,{'completed': 39},{'high': 39}
real_gemini35flashlite_50,automation_sensitivity_limits,39,completed,1.0,high,0.744,{'completed': 39},"{'high': 29, 'medium': 8, 'medium-high': 2}"
real_gemini35flashlite_50,meal_bolus_strategy,39,completed,1.0,medium,0.974,{'completed': 39},"{'medium': 38, 'low': 1}"
real_gemini35flashlite_50,meal_ecarbs_absorption,39,completed,1.0,medium,0.795,{'completed': 39},"{'medium': 31, 'low': 6, 'completed': 1, 'high': 1}"
real_gemini35flashlite_50,synthesis_plan,39,completed,1.0,medium,0.641,{'completed': 39},"{'medium': 25, 'high': 13, 'medium-high': 1}"
real_gemini36flash_50,data_quality,50,completed,0.94,high,0.98,"{'completed': 47, 'partial': 3}","{'high': 49, 'medium': 1}"
real_gemini36flash_50,safety_overview,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
real_gemini36flash_50,basal_targets,50,completed,0.96,medium,0.56,"{'completed': 48, 'partial': 2}","{'medium': 28, 'high': 22}"
real_gemini36flash_50,profile_cr_isf_dia,50,completed,0.86,medium,0.98,"{'completed': 43, 'partial': 7}","{'medium': 49, 'medium-high': 1}"
real_gemini36flash_50,automation_smb_uam,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
real_gemini36flash_50,automation_sensitivity_limits,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
real_gemini36flash_50,meal_bolus_strategy,50,completed,0.82,medium,0.76,"{'completed': 41, 'partial': 9}","{'medium': 38, 'partial': 1, 'low': 10, 'high': 1}"
real_gemini36flash_50,meal_ecarbs_absorption,50,completed,0.82,medium,0.62,"{'completed': 41, 'partial': 8, 'blocked': 1}","{'medium': 31, 'partial': 1, 'low': 17, 'low-medium': 1}"
real_gemini36flash_50,synthesis_plan,50,completed,1.0,high,0.96,{'completed': 50},"{'high': 48, 'medium': 2}"
real_gpt54mini_med_50,data_quality,48,completed,1.0,high,1.0,{'completed': 48},{'high': 48}
real_gpt54mini_med_50,safety_overview,48,completed,1.0,high,0.938,{'completed': 48},"{'high': 45, 'medium_high': 1, 'medium': 2}"
real_gpt54mini_med_50,basal_targets,48,partial,0.833,medium,0.979,"{'partial': 40, 'completed': 8}","{'medium': 47, 'medium-low': 1}"
real_gpt54mini_med_50,profile_cr_isf_dia,48,partial,0.854,low,0.417,"{'partial': 41, 'completed': 7}","{'medium': 16, 'medium_low': 4, 'low': 20, 'medium-low': 7, 'low_medium': 1}"
real_gpt54mini_med_50,automation_smb_uam,48,completed,1.0,medium,0.417,{'completed': 48},"{'medium-high': 12, 'medium': 20, 'high': 13, 'medium_high': 3}"
real_gpt54mini_med_50,automation_sensitivity_limits,48,completed,0.979,medium,0.854,"{'completed': 47, 'partial': 1}","{'medium': 41, 'medium_high': 2, 'high': 2, 'medium-high': 3}"
real_gpt54mini_med_50,meal_bolus_strategy,48,partial,0.667,low,0.917,"{'partial': 32, 'completed': 16}","{'low': 44, 'low-medium': 1, 'low-to-medium': 2, 'medium-low': 1}"
real_gpt54mini_med_50,meal_ecarbs_absorption,48,partial,0.333,low,1.0,"{'partial': 16, 'blocked': 16, 'completed': 16}",{'low': 48}
real_gpt54mini_med_50,synthesis_plan,48,completed,1.0,medium,0.958,{'completed': 48},"{'medium-high': 1, 'medium': 46, 'medium-low': 1}"
real_gpt56sol_med_50,data_quality,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
real_gpt56sol_med_50,safety_overview,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
real_gpt56sol_med_50,basal_targets,50,partial,0.96,medium,1.0,"{'partial': 48, 'completed': 2}",{'medium': 50}
real_gpt56sol_med_50,profile_cr_isf_dia,50,partial,1.0,low,0.86,{'partial': 50},"{'low': 43, 'medium': 7}"
real_gpt56sol_med_50,automation_smb_uam,50,completed,0.86,medium,1.0,"{'completed': 43, 'partial': 7}",{'medium': 50}
real_gpt56sol_med_50,automation_sensitivity_limits,50,completed,0.86,medium,1.0,"{'completed': 43, 'partial': 7}",{'medium': 50}
real_gpt56sol_med_50,meal_bolus_strategy,50,partial,1.0,low,1.0,{'partial': 50},{'low': 50}
real_gpt56sol_med_50,meal_ecarbs_absorption,50,partial,0.64,low,0.96,"{'blocked': 18, 'partial': 32}","{'low': 48, 'high': 2}"
real_gpt56sol_med_50,synthesis_plan,50,completed,1.0,medium,1.0,{'completed': 50},{'medium': 50}
real_grok46_50,data_quality,50,completed,1.0,high,1.0,{'completed': 50},{'high': 50}
