experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
smoke_repair,run_001,run_002,1.0,1.0,1.0,0.167,True,False
smoke_repair,run_001,run_003,0.488,1.0,1.0,0.273,True,True
smoke_repair,run_001,run_004,1.0,1.0,1.0,0.1,False,True
smoke_repair,run_001,run_005,1.0,1.0,1.0,0.0,False,False
smoke_repair,run_001,run_006,0.488,1.0,1.0,0.182,False,False
smoke_repair,run_001,run_007,0.488,1.0,1.0,0.091,False,True
smoke_repair,run_001,run_008,1.0,1.0,1.0,0.308,False,True
smoke_repair,run_002,run_003,0.488,1.0,1.0,0.2,True,False
smoke_repair,run_002,run_004,1.0,1.0,1.0,0.0,False,False
smoke_repair,run_002,run_005,1.0,1.0,1.0,0.1,False,False
smoke_repair,run_002,run_006,0.488,1.0,1.0,0.222,False,True
smoke_repair,run_002,run_007,0.488,1.0,1.0,0.111,False,False
smoke_repair,run_002,run_008,1.0,1.0,1.0,0.25,False,False
smoke_repair,run_003,run_004,0.512,1.0,1.0,0.125,False,True
smoke_repair,run_003,run_005,0.512,1.0,1.0,0.375,False,False
smoke_repair,run_003,run_006,1.0,1.0,1.0,0.222,False,False
smoke_repair,run_003,run_007,1.0,1.0,1.0,0.429,False,True
smoke_repair,run_003,run_008,0.512,1.0,1.0,0.25,False,True
smoke_repair,run_004,run_005,1.0,1.0,1.0,0.333,True,False
smoke_repair,run_004,run_006,0.488,1.0,1.0,0.0,True,False
smoke_repair,run_004,run_007,0.488,1.0,1.0,0.0,False,True
smoke_repair,run_004,run_008,1.0,1.0,1.0,0.0,False,True
smoke_repair,run_005,run_006,0.488,1.0,1.0,0.25,True,False
smoke_repair,run_005,run_007,0.488,1.0,1.0,0.286,False,False
smoke_repair,run_005,run_008,1.0,1.0,1.0,0.167,False,False
smoke_repair,run_006,run_007,1.0,1.0,1.0,0.125,False,False
smoke_repair,run_006,run_008,0.512,1.0,1.0,0.167,False,False
smoke_repair,run_007,run_008,0.512,1.0,1.0,0.3,False,True
