experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_sonnet5_20,run_001,completed,,claude-sonnet-5,568.06,1.1244,34309,56364,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,low,"Keep the current target segments unchanged for now and observe the overnight window under stable, uninterrupted conditions before making any target adjustment.",low,2,"No prebolus timing, immediate bolus percentage, or e-carb configuration is declared (meal_strategies is an empty declaration) or observed (zero carb entries, zero extended-carb entries) for this period; continue relying on UAM/SMB to handle unannounced glucose rises as currently configured, and before introducing any prebolus timing or specific immediate-bolus-percentage, begin logging carbohydrate amount and timestamp for representative meals so that effect can be distinguished from UAM/SMB action and from the static ISF baseline already in use.",4,target,Prioritize understanding recurrent overnight hypoglycemia before any other change,safety,target;cr;smb;smb,5,4,5,"Over 14 days of high-quality closed-loop data (98.7% coverage, 5-min cadence), overall time-in-range was 86.0% with average glucose 121.6 mg/dL, but the record includes two clusters of Level-2 hypoglycemia (as low as 41-42 mg/dL) and two clusters of Level-2 hyperglycemia (up to 293 mg/dL), plus a local-time pattern of overnight lows and midday-to-afternoon highs. No carbohydrate entries exist anywhere in the 14-day period, which blocks direct verification of carb ratios, meal-bolus timing, and carb-absorption settings. The currently declared AAPS profile is treated as authoritative for the full period per the user's own declaration, even though telemetry shows repeated Profile Switch events around 2026-08-13 that create some residual uncertainty about continuity. Automation settings (SMB, UAM, Dynamic ISF, safety limits) appear internally consistent, with one notable exception: a basal safety multiplier capped delivery below the algorithm's own requested rate during a severe hyperglycemia episode. No prebolus, immediate-bolus-percentage, or e-carb strategy is declared or observed, so the closed loop is currently handling essentially all meal-related rises reactively through UAM.",1197
real_sonnet5_20,run_002,completed,,claude-sonnet-5,544.16,1.0705,29615,53709,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,cr,keep,low,"Keep all current carb ratio segments (13, 11.1, 13.2, 10.5, and 12.6 g/U) unchanged this cycle and begin logging carbohydrate and any e-carb entries for a representative sample of days before any carb ratio adjustment is considered.",low,2,"The current de facto approach is a no-announce, correction and UAM-only strategy: no prebolus timing, immediate bolus percentage, or e-carb use is declared or observed anywhere in the package, and all glucose rises are handled reactively by SMB/UAM microboluses and periodic manual-sized corrections. Until carbohydrate or e-carb entries exist, prebolus timing and immediate bolus percentage cannot be evaluated or adjusted, and SMB/UAM should continue carrying the full unannounced-rise response as it is currently doing.",4,cr,Begin logging carbohydrate and e-carb entries,high,cr;isf;smb;meal,5,3,5,"Across 14 days of good-quality CGM data (98.7% coverage, 5-minute cadence), overall time-in-range was 86.0% with 8.9% time-above-range and 5.1% time-below-range. Overnight hours were generally stable while the 12:00-17:00 local window showed the most hyperglycemia, overlapping recurring 135 mg/dL Temporary Targets and a 16:00 basal step-down. No carbohydrate or e-carb entries exist anywhere in the 14-day telemetry or in the declared meal strategy, so all glucose rises are being handled by SMB/UAM automation without carb context, which blocks validation of every carb ratio segment and any meal-bolus-timing analysis. Two Level-2 hypoglycemia clusters and two Level-2 hyperglycemia clusters occurred, and a same-day occlusion/pump-error announcement preceded one large IOB peak. Dynamic ISF is active and shows a wide real-time sensitivity range, which obscures the individual contribution of the flat profile ISF value.",925
real_sonnet5_20,run_003,completed,,claude-sonnet-5,481.71,0.8679,36954,47441,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep all current basal segments unchanged, including the 16:00 segment implicated in the afternoon hyperglycemia pattern and the automation safety-ceiling interaction, until carbohydrate context is available to separate meal effects from basal effects.",low,2,"No prebolus timing, immediate bolus percentage, or e-carb strategy is declared or logged; the system is currently operating on an unannounced-meal supplementation and correction-bolus-only coverage model. Continue relying on that mechanism for now, but treat it as a temporary fallback rather than an intentional prebolus or bolus-percentage strategy, since it cannot be evaluated for adequacy without carbohydrate data.",4,meal,Begin logging carbohydrate intake to resolve competing explanations,high,meal;safety;basal;smb,6,4,5,"Fourteen days of closed-loop data show good CGM coverage and a reasonable aggregate time-in-range, but with recurring severe hypoglycemia clusters, recurring severe hyperglycemia clusters, and high glucose variability. No carbohydrate entries exist anywhere in the package, so meal effects, basal adequacy, carb ratio adequacy, and automation compensation cannot be separated from one another with confidence. Dynamic ISF appears to be the dominant real-time sensitivity mechanism rather than the flat profile ISF value, and one severe event shows the automation's maximum corrective rate being capped by a safety multiplier tied to a low afternoon basal segment. Given these unresolved, competing explanations, this analysis withholds profile and automation parameter changes and instead prioritizes establishing carbohydrate logging and sequential safety verification before any settings are adjusted.",903
real_sonnet5_20,run_004,completed,,claude-sonnet-5,509.89,0.9014,31738,50718,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,low,"Keep the current basal segments unchanged for now, since the elevated overnight and evening time below range is at least partly attributable to IOB carryover from prior corrections rather than clearly excess basal, and this cannot yet be isolated without carbohydrate data.",low,2,"No prebolus timing, immediate bolus percentage, or e-carb strategy is declared in aaps_profile.analysis_context, and observed telemetry independently confirms no meal-announced bolusing occurred (zero carbohydrate entries, no meal-linked bolus type) during the period; glucose management is currently entirely reactive through SMB and UAM. The single evidence-based direction is that introducing some form of meal announcement with lead time ahead of eating, alongside continued reliance on SMB/UAM for any residual or unannounced rise, would directly address the repeated 60-180 minute rise-then-late-correction pattern seen in therapy_response_windows; e-carb use cannot be evaluated or recommended since zero extended carb entries exist in the package.",3,data,Establish basic carbohydrate logging before further profile or automation changes,high,data;safety;smb,5,5,6,"Fourteen days of Nightscout data show generally good CGM coverage (98.7%) with acceptable overall time in range (86.0%) but time below range above typical target (5.1%) and several distinct hypoglycemia and hyperglycemia clusters. No carbohydrate entries exist anywhere in the period, so all glucose rises are handled reactively through SMB/UAM rather than meal-announced bolusing, and carb ratio segments cannot be validated. A mid-period Profile Switch event on 2026-08-13 is logged in telemetry, but the user has explicitly declared the current aaps_profile as historically applicable for the full period, so this is treated as one continuous profile rather than segmented. Several notable excursions (2026-08-14 rebound hypo/hyper, 2026-08-19 pump occlusion and error) have plausible non-profile explanations and are excluded from pattern-level conclusions. Dynamic ISF (not Autosens, which is disabled) is actively varying effective sensitivity widely across the period, which plausibly explains inconsistent correction outcomes seen for similarly sized boluses. Given the absence of carb data and the presence of multiple confounders, no profile parameter change is currently well-supported; the most valuable next step is establishing basic meal logging before adjusting basal, CR, ISF, DIA, or automation strength settings.",1331
real_sonnet5_20,run_005,completed,,claude-sonnet-5,634.5,1.134,34199,65731,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,low,"Keep current basal segments unchanged for now; first verify the effective maximum basal ceiling created by current_basal_safety_multiplier interacting with the 0.5-0.8 U/h segments with the care team, since it appears to have limited correction delivery during the Aug 14 severe hyperglycemia event independent of the configured 12 U/h maximum.",low,2,"Continue current reliance on SMB/UAM as the real-time response mechanism since no prebolus timing, immediate bolus percentage, or e-carb strategy is declared or logged; before changing any bolus timing or percentage, first establish whether meals are genuinely unannounced by trialing limited carbohydrate logging, which would also clarify whether e-carbs could help smooth the recurring morning and afternoon patterns.",4,basal,Clarify the effective maximum basal ceiling before any basal change,safety,basal;cr;smb;isf,6,3,7,"This 14-day review of a closed-loop AAPS/Nightscout dataset shows generally good CGM data quality but an elevated time-below-range (5.1%) with several severe low and severe high glucose clusters, including days combining both patterns. No carbohydrate data was logged or declared anywhere in the period, so carb ratio, DIA, and carbohydrate-absorption automation settings could not be validated, and meal-bolus timing or percentage could not be assessed. The clearest actionable safety finding, independent of the carbohydrate data gap, is that a basal-related safety multiplier appears to have limited insulin delivery below the configured maximum during one severe hyperglycemia event. All profile and automation parameters are recommended to remain unchanged pending targeted verification and, ideally, a short carbohydrate-logging trial.",841
real_sonnet5_20,run_006,completed,,claude-sonnet-5,503.59,1.0487,58576,54413,True,strict,True,1.0,0,,False,failed,False,,1,rejected_no_prompt,True,,0,,,,,0,23,0,,basal,keep,low,"Keep all current basal segments unchanged, including the 16:00 step-down, until carbohydrate logging clarifies whether the recurring daytime hyperglycemia peak is meal-driven or basal-driven.",low,2,"Continue the current UAM-driven reactive approach for now, since no declared prebolus timing, immediate bolus percentage, or e-carb strategy exists and no meal-typed bolus events appear in the data; begin logging actual carbohydrate intake before considering any change to prebolus timing, bolus percentage, SMB/UAM behavior, or e-carb use.",4,data,Establish carbohydrate logging before further profile or automation changes,high,data;safety;dia;basal,5,4,5,"Fourteen days of good-quality CGM data (98.7% coverage, 5-minute cadence) show overall time-in-range of 86.0% with above-target variability (CV 32.6%) and a below-range percentage of 5.1% that exceeds typical comfort thresholds. Distinct patterns include excellent overnight-to-dawn control (04:00-07:00 local), a recurring daytime hyperglycemia peak around 16:00 local, several severe hypoglycemia clusters (notably 08-13 and 08-14), and several severe hyperglycemia clusters (08-15 and 08-18) often paired with below-range time on the same day, suggesting oscillation rather than a single one-directional defect. A critical limitation is that zero carbohydrate entries exist anywhere in the 14-day dataset, which blocks direct evaluation of carb ratios, meal bolus timing, and e-carb strategy, and leaves open whether daytime highs and some overnight lows are driven by unlogged meals, insulin-on-board stacking under a 10-hour duration of insulin action, or dynamic-ISF/automation behavior. No change to any profile or AAPS automation parameter is supported by the current evidence; the most valuable next step is establishing a carbohydrate log to separate these competing explanations.",1190
real_sonnet5_20,run_007,completed,,claude-sonnet-5,528.37,0.9148,33878,51185,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,low,"Keep all current basal segments unchanged for now, including the 10:00 and 16:00 reductions that coincide with the worst daytime hyperglycemia hours.",low,2,"No prebolus timing or immediate bolus percentage is declared for this period, and no carbohydrates were logged, so glucose rises are currently managed entirely reactively through SMB/UAM microboluses; no e-carb usage occurred. Until real meal data exists, continue relying on the current reactive SMB/UAM approach rather than introducing an unverified prebolus or bolus-percentage change, and do not use e-carbs as a substitute for confirming whether meals are actually occurring.",4,safety,Investigate the recurring correction-then-delayed-hypoglycemia pattern before any other change,safety,safety;meal;target;isf,5,4,5,"Across 14 days of high-quality CGM data (98.7% coverage) paired with a fully reactive, correction-only insulin delivery pattern (zero logged carbohydrates, COB always 0), the data show generally reasonable overnight control, three level-2 hypoglycemia clusters that follow large correction boluses by 2-4 hours, a recurring afternoon hyperglycemia window (local hours 9-17, peaking at hour 16), and several confounders (GLP-1 doses, temporary targets to ~135 mg/dL, a pump occlusion/error event, site and sensor changes, a mid-period profile-switch cluster) that make it unsafe to attribute any single pattern to one profile or automation parameter yet. The active aaps_profile is treated as authoritative for the whole period per user declaration, though telemetry shows a profile-switch event cluster on 2026-08-13 that adds uncertainty to early-period interpretation. No meal-strategy fields (prebolus, immediate bolus percentage, e-carbs) are declared, and no carb entries exist, which is the single largest limitation on this analysis.",1040
real_sonnet5_20,run_008,completed,,claude-sonnet-5,566.96,1.1071,57275,58564,True,strict,False,0.9706,1,"steps with invalid status [] / confidence ['basal_targets', 'meal_bolus_strategy', 'synthesis_plan']",True,strict,False,"analysis_steps.basal_targets.confidence, analysis_steps.meal_bolus_strategy.confidence, analysis_steps.synthesis_plan.confidence",1,accepted_first_pass,True,steps_enums_valid,1,0.0,0.0,,False,0,23,0,,basal,keep,low,"Keep all current basal segments unchanged for now, including the 16:00 and 19:00 segments implicated in the daytime peak and the maxSafeBasal interaction, because meal, temporary-target, and IOB-stacking effects are all plausible confounds that have not yet been separated.",low,1,"No prebolus timing, immediate bolus percentage, or e-carb strategy is currently declared, and automated dosing is operating in a fully carbohydrate-blind, UAM/correction-only mode; before any specific prebolus, bolus-percentage, or e-carb approach can be proposed, establishing basic carbohydrate logging at the recurring morning and midday rise windows is the most useful step, after which SMB/UAM behavior and the high-temp-target SMB suppression can be reassessed with actual meal timing as a reference.",4,data_quality,Establish basic carbohydrate logging at recurring meal windows,high,data_quality;safety;smb;basal,6,5,6,"Over 14 days, CGM data quality was good (98.7% coverage) and overall time-in-range was 86%, but daytime glucose (roughly 09:00-17:00 local, peaking near 16:00) showed high time-above-range (up to 32.1% in one hour band), while several hypoglycemia clusters (as low as 41-42 mg/dL) and severe hyperglycemia clusters (up to 293 mg/dL) occurred on specific days. Zero carbohydrate entries were logged for the entire period, which blocks direct evaluation of carb ratios and e-carb behavior and makes correction-bolus responses hard to interpret. A user-set high temporary target (135 mg/dL) combined with the automation setting that suppresses SMB during high temporary targets is a plausible independent contributor to some daytime highs. Insulin-on-board stacking alongside a 10-hour duration of insulin action appears linked to some of the hypoglycemia clusters. No single profile or automation parameter currently has isolated evidence strong enough to support a confident value change; the most useful next step is establishing basic carbohydrate logging before adjusting carb ratio, ISF, or SMB-related settings.",1115
real_sonnet5_20,run_009,completed,,claude-sonnet-5,696.64,1.4518,67117,70869,True,strict,True,1.0,0,,True,strict,False,parameter_decisions.aaps.core.sensitivity.current_value,1,accepted_after_correction,True,,0,0.0,0.0,,False,0,23,0,,target,keep,medium,"Keep the current target segments (90 mg/dL overnight and 23:00, 100 mg/dL daytime) unchanged for now, since the overnight hypoglycemia pattern appears more consistent with a delayed tail effect from evening correction dosing and the long duration of insulin action than with the target itself, and the basal rate is already at its daily minimum during the affected hours.",low,2,"No declared or observed prebolus, immediate-bolus percentage, or e-carb use exists in this period; all insulin delivery outside scheduled basal is reactive SMB/UAM correction responding to glucose deviation rather than to any carb-ratio calculation. Before any prebolus timing, immediate-bolus percentage, or e-carb setting can be meaningfully reviewed, whether meals are genuinely absent or simply unlogged needs to be established, since none of these settings currently have any meal-linked data to act on.",3,safety,Review recurring hypoglycemia clusters and the correction-then-delayed-drop dosing pattern with a clinician before any other change,safety,safety;smb;meal_bolus,4,3,5,"Fourteen days of good-quality CGM data (98.7% coverage) show overall time-in-range of 86.0% with elevated variability (CV 32.6%), time-below-range of 5.1% (above common targets), and time-above-range of 8.9%. Documented level-2 hypoglycemia clustered on 2026-08-13, 2026-08-14, and 2026-08-21, and level-2 hyperglycemia clustered on 2026-08-15 and 2026-08-18. No carbohydrate or e-carb entries exist anywhere in the package; all 655 insulin entries are automated correction boluses or temp basal, so meal-bolus, carb-ratio, and e-carb behavior could not be empirically validated. Afternoon hours (roughly 13:00-17:00 local) show the day's worst hyperglycemia, overlapping repeated user-initiated 135 mg/dL temporary targets that structurally blunt SMB delivery, while overnight hours (00:00-03:00 local) show elevated lows despite the day's lowest basal rate, suggesting a delayed tail effect from evening corrections and long duration of insulin action rather than an overnight basal excess. These patterns have multiple plausible, overlapping explanations that current data cannot fully separate; no profile or automation parameter change is strongly supported yet, and priority is placed on safety review and targeted observation before adjusting any single setting.",1269
real_sonnet5_20,run_010,completed,,claude-sonnet-5,534.31,0.9114,31978,51334,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,dia,keep,low,"Keep the current 10-hour DIA setting for now rather than changing it, given that the repeated delayed post-correction glucose decline has at least one competing explanation (an isolated extreme UAM boost event) that has not been ruled out.",low,2,"The declared meal strategy is currently empty (no prebolus timing, no immediate bolus percentage, and no e-carb protocol), and the observed strategy is fully reactive: all daytime glucose management is handled by UAM/SMB microbolusing and small manual correction boluses, with zero carbohydrates logged in 14 days. Rather than proposing a specific prebolus time, bolus percentage, or e-carb duration that the data does not support, the most useful step is to begin logging real meals so that a prebolus timing and immediate bolus percentage can be evaluated against actual absorption, while SMB/UAM continues to handle unannounced variability as it currently does.",3,dia,Clinically verify DIA and correction-bolus tail behavior before any change,safety,dia;meal;basal,6,6,6,"Over 14 days the AAPS closed loop maintained an overall time-in-range of 86.0% with average glucose 121.6 mg/dL, alongside three severe hypoglycemia clusters and two severe hyperglycemia clusters, plus one unresolved high-IOB event at the very end of the window. Telemetry and profile completeness are strong, but zero carbohydrate entries were logged in the entire period, which blocks direct separation of meal, basal, correction, and IOB effects for several recurring patterns. The active aaps_profile is treated as authoritative and applicable across the full period per profile_context, despite a mid-period profile switch on 2026-08-13. Dynamic ISF is actively compensating during high-deviation events, autosens is appropriately disabled to avoid overlap, and neither the max basal nor max IOB ceiling was a limiting or runaway factor. The most consistent safety-relevant signal is repeated glucose decline continuing 4-6 hours after correction boluses, coinciding at least once with an unusually large UAM boost multiplier, which competes with a long declared DIA (10 hours) as an explanation. A second unresolved pattern is recurring midday and afternoon hyperglycemia in hours where basal is comparatively low, which competes with a plausible but unconfirmed unannounced-meal explanation due to the total absence of carb data. No profile or AAPS parameter change is strongly enough supported to recommend now; the priority is safe, sequential verification.",1466
