experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
qwen9b_pilot,run_001,profile.basal.00_00,profile,True,0.85 U/h,change,0.78 U/h,Hypoglycemia at 3AM indicates overnight insulin accumulation risk. Reduction reduces IOB accumulation during sleep.
qwen9b_pilot,run_001,profile.basal.06_00,profile,True,0.95 U/h,keep,null,Morning glucose average stable above 100 mg/dL with no evidence of dawn phenomenon requiring reduction or increase.
qwen9b_pilot,run_001,profile.basal.12_00,profile,True,0.9 U/h,keep,null,Midday glucose stable with no significant deviations from target despite high carb intake.
qwen9b_pilot,run_001,profile.basal.18_00,profile,True,1.05 U/h,keep,null,Evening basal supports dinner coverage without contributing to overnight lows in telemetry.
qwen9b_pilot,run_001,profile.cr.00_00,profile,True,12 g/U,keep,null,Nighttime carb ratio aligns with treatment summary data; high sensitivity at night supports higher ratio.
qwen9b_pilot,run_001,profile.cr.06_00,profile,True,10 g/U,keep,null,Morning consumption pattern matches historical average; current profile segment is consistent with observed ratio.
qwen9b_pilot,run_001,profile.cr.12_00,profile,True,11 g/U,keep,null,Midday carb intake and insulin delivery match historical consumption data (ratio ~11).
qwen9b_pilot,run_001,profile.cr.18_00,profile,True,9 g/U,keep,null,Evening carb ratio matches treatment summary data (dinner/brunch entries show appropriate response).
qwen9b_pilot,run_001,profile.isf.00_00,profile,True,48 mg/dL/U,change,52 mg/dL/U,High sensitivity (48 mg/dL/U) combined with basal contributes to nocturnal lows. Increasing ISF magnitude improves safety margin.
qwen9b_pilot,run_001,profile.isf.06_00,profile,True,42 mg/dL/U,keep,null,Morning sensitivity (42) matches treatment response data without significant hypo/hyper events.
qwen9b_pilot,run_001,profile.isf.12_00,profile,True,45 mg/dL/U,keep,null,Midday sensitivity aligns with COV and treatment response windows.
qwen9b_pilot,run_001,profile.isf.18_00,profile,True,40 mg/dL/U,keep,null,Evening sensitivity lower than night but supports dinner coverage without overnight stacking.
qwen9b_pilot,run_001,profile.target.00_00,profile,True,95-110 mg/dL,keep,null,"Night target range aligns with observed glucose distribution, though lower end approached during lows."
qwen9b_pilot,run_001,profile.target.06_00,profile,True,90-105 mg/dL,keep,null,Morning target range is appropriate for waking glucose values.
qwen9b_pilot,run_001,profile.target.22_00,profile,True,100-115 mg/dL,keep,null,Evening target range aligns with post-dinner glucose response.
qwen9b_pilot,run_001,profile.dia,profile,True,5.5 h,keep,null,DIA of 5.5 hours matches treatment summary absorption duration without causing stacking issues.
qwen9b_pilot,run_001,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,null,Automation enabled with conservative limits supports safety during profile adjustments.
qwen9b_pilot,run_001,aaps.core.smb_activation,aaps,True,smb_always_enabled=null; smb_with_cob_enabled=null; smb_after_carbs_enabled=null; smb_with_temp_target_enabled=null; smb_with_high_temp_target_enabled=null,verify,null,Null values indicate default triggers; verify activation conditions if safety concerns persist or behavior deviates.
qwen9b_pilot,run_001,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=45 min; max_uam_smb_basal_minutes=30 min,keep,null,Standard delivery limits are safe and appropriate for synthetic profile.
qwen9b_pilot,run_001,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=2.4 U/h; max_iob_units=8 U,keep,null,Safety limits provide necessary protection against insulin stacking.
qwen9b_pilot,run_001,aaps.core.sensitivity,aaps,True,autosens_enabled=null; dynamic_sensitivity_enabled=null; autosens_raises_target=null; autosens_lowers_target=null; dynamic_isf_adjustment_factor_percent=100 %,keep,null,Dynamic ISF adjustment at 100% ensures profile adapts to variability.
qwen9b_pilot,run_001,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=3 mg/dL/5 min; meal_max_absorption_hours=6 h,keep,null,Absorption model matches therapy response data (peak 120m).
