experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_grok46_50,run_001,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,"Evidence: hour 00:00 to 03:00 means near 90 to 106 mg/dL with high time below range, then glucose recovers after 04:00. Uncertainty: leftover UAM or SMB IOB versus a slightly high 0.6 U/h is unresolved. Dependencies: target 90 mg/dL, DIA 10 h, and evening automation; do not change with those."
real_grok46_50,run_001,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,Evidence: 05:00 to 06:00 local is stable with high time in range. Uncertainty: few true fasting confirmations. Dependencies: adjacent 00:00 and 06:00 segments already adequate on the overnight hold.
real_grok46_50,run_001,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,"Evidence: 06:00 to 08:00 local time in range is 97 to 99 percent with almost no time above range. Uncertainty: later 09:00 rise could be misread as dawn. Dependencies: that rise is meal or UAM shaped, so this segment is not increased."
real_grok46_50,run_001,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,Evidence: late-morning time above range sits under unannounced rises and UAM. Uncertainty: no carb timestamps. Dependencies: SMB or UAM and CR 13.2 g/U; withhold a basal change until meals are logged.
real_grok46_50,run_001,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,"Evidence: 14:00 to 17:00 highs then 18:00 to 19:00 lows and 41 to 42 mg/dL extremes on days with large evening insulin. Uncertainty: low 0.5 U/h could contribute if truly fasting, but fasting is unproven. Dependencies: UAM, Dynamic ISF, CR 10.5 g/U, and evening corrections; do not raise this with any of those."
real_grok46_50,run_001,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,Evidence: hour 18:00 already has 7.7 percent time below range around crash days. Uncertainty: meal end versus basal. Dependencies: safety constraint against more evening insulin.
real_grok46_50,run_001,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,Evidence: hour 19:00 local has 15.3 percent time below range. Uncertainty: activity and hypo treatment unlogged. Dependencies: leftover afternoon UAM IOB; increasing this segment is unsupported.
real_grok46_50,run_001,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,"Evidence: 0 g carbs and COB 0, so this CR was unused. Uncertainty: night snack behavior unknown. Dependencies: UAM path, not wizard CR."
real_grok46_50,run_001,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,Evidence: no carb entries in this window. Uncertainty: cannot test the stronger dawn CR. Dependencies: unused meal strategy declaration.
real_grok46_50,run_001,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,"Evidence: breakfast-shaped 09:00 to 12:00 rise occurred without announced carbs, so UAM covered it. Uncertainty: true breakfast grams unknown. Dependencies: SMB or UAM always on; do not tighten CR to chase that rise."
