experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
gemini36flash_50,run_001,profile.basal.00_00,profile,True,0.85 U/h,keep,0.85 U/h,"Overnight glucose is flat and stable (102-107 mg/dL), perfectly matching target range."
gemini36flash_50,run_001,profile.basal.06_00,profile,True,0.95 U/h,keep,0.95 U/h,Morning fasting glucose remains stable; postprandial changes are timing-driven.
gemini36flash_50,run_001,profile.basal.12_00,profile,True,0.9 U/h,keep,0.9 U/h,Afternoon mean glucose is well-controlled without unexplained drifts.
gemini36flash_50,run_001,profile.basal.18_00,profile,True,1.05 U/h,keep,1.05 U/h,Evening glucose is stable through dinner and night transition.
gemini36flash_50,run_001,profile.cr.00_00,profile,True,12 g/U,keep,12 g/U,Overnight segment with no routine meal entries; ratio is safe and untested.
gemini36flash_50,run_001,profile.cr.06_00,profile,True,10 g/U,keep,10 g/U,"Breakfast glucose returns to baseline by 240 minutes, confirming dose adequacy."
gemini36flash_50,run_001,profile.cr.12_00,profile,True,11 g/U,keep,11 g/U,Brunch total dose brings glucose to 115 mg/dL at 4 hours post-meal.
gemini36flash_50,run_001,profile.cr.18_00,profile,True,9 g/U,keep,9 g/U,Dinner response shows smooth rise (+15 to +41 mg/dL) and prompt return to baseline.
gemini36flash_50,run_001,profile.isf.00_00,profile,True,48 mg/dL/U,keep,48 mg/dL/U,Overnight stability indicates balanced ISF and basal interaction.
gemini36flash_50,run_001,profile.isf.06_00,profile,True,42 mg/dL/U,keep,42 mg/dL/U,Morning corrections and algorithm adjustments operate safely.
gemini36flash_50,run_001,profile.isf.12_00,profile,True,45 mg/dL/U,keep,45 mg/dL/U,Afternoon ISF supports predictable correction dynamics.
gemini36flash_50,run_001,profile.isf.18_00,profile,True,40 mg/dL/U,keep,40 mg/dL/U,Evening ISF maintains stability through post-dinner hours.
gemini36flash_50,run_001,profile.target.00_00,profile,True,95-110 mg/dL,keep,95-110 mg/dL,Overnight target produces stable glucose around 103 mg/dL.
gemini36flash_50,run_001,profile.target.06_00,profile,True,90-105 mg/dL,keep,90-105 mg/dL,Daytime target maintains tight control without inducing hypoglycemia.
gemini36flash_50,run_001,profile.target.22_00,profile,True,100-115 mg/dL,keep,100-115 mg/dL,Late evening target allows safe bed-time transition.
gemini36flash_50,run_001,profile.dia,profile,True,5.5 h,keep,5.5 h,5.5-hour duration accurately models insulin tail and prevents stacking.
gemini36flash_50,run_001,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,Both SMB and UAM are operating effectively and safely.
gemini36flash_50,run_001,aaps.core.smb_activation,aaps,True,smb_always_enabled=null; smb_with_cob_enabled=null; smb_after_carbs_enabled=null; smb_with_temp_target_enabled=null; smb_with_high_temp_target_enabled=null,verify,,Condition flags are unpopulated in telemetry export; verify AAPS user preferences directly on pump/app.
gemini36flash_50,run_001,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=45 min; max_uam_smb_basal_minutes=30 min,keep,smb_interval_minutes=3 min; max_smb_basal_minutes=45 min; max_uam_smb_basal_minutes=30 min,Delivery intervals and max SMB basal duration are appropriate and effective.
gemini36flash_50,run_001,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=2.4 U/h; max_iob_units=8 U,keep,max_basal_u_per_hour=2.4 U/h; max_iob_units=8 U,Safety limits provide adequate loop authority while guarding against excessive accumulation.
gemini36flash_50,run_001,aaps.core.sensitivity,aaps,True,autosens_enabled=null; dynamic_sensitivity_enabled=null; autosens_raises_target=null; autosens_lowers_target=null; dynamic_isf_adjustment_factor_percent=100 %,verify,,Autosens enable switches are null in export; verify active sensitivity plugin settings in AAPS.
gemini36flash_50,run_001,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=3 mg/dL/5 min; meal_max_absorption_hours=6 h,keep,min_5m_carbimpact=3 mg/dL/5 min; meal_max_absorption_hours=6 h,Standard min_5m_carbimpact (3.0) and 6-hour max absorption match overall absorption behavior.
gemini36flash_50,run_002,profile.basal.00_00,profile,True,0.85 U/h,keep,0.85 U/h,Overnight glucose is extremely stable between 00:00 and 06:00 with average BG around 103-107 mg/dL and 0% time below 70 mg/dL.
gemini36flash_50,run_002,profile.basal.06_00,profile,True,0.95 U/h,keep,0.95 U/h,Morning baseline glucose remains steady in target range prior to breakfast.
gemini36flash_50,run_002,profile.basal.12_00,profile,True,0.9 U/h,keep,0.9 U/h,Midday glucose remains stable during non-meal and inter-meal windows.
gemini36flash_50,run_002,profile.basal.18_00,profile,True,1.05 U/h,keep,1.05 U/h,Evening baseline glucose is well-maintained with minimal drift prior to dinner and overnight transition.
gemini36flash_50,run_002,profile.cr.00_00,profile,True,12 g/U,keep,12 g/U,Overnight carbohydrate ratio is appropriate for late snacks or late meal recovery.
gemini36flash_50,run_002,profile.cr.06_00,profile,True,10 g/U,keep,10 g/U,Weekday breakfast recovery shows glucose returning to baseline at 240 minutes (+1 to -14 mg/dL change).
gemini36flash_50,run_002,profile.cr.12_00,profile,True,11 g/U,keep,11 g/U,Weekend brunch recovery at 240 minutes returns to 115-119 mg/dL from starting BG of 118-126 mg/dL.
gemini36flash_50,run_002,profile.cr.18_00,profile,True,9 g/U,keep,9 g/U,Dinner response shows modest 2-hour peak (+15 to +41 mg/dL) and smooth return to baseline by hour 4.
gemini36flash_50,run_002,profile.isf.00_00,profile,True,48 mg/dL/U,keep,48 mg/dL/U,No correction overshoots or unexpected drops during overnight corrections.
gemini36flash_50,run_002,profile.isf.06_00,profile,True,42 mg/dL/U,keep,42 mg/dL/U,Morning sensitivity factor effectively models corrections without causing post-correction hypoglycemia.
gemini36flash_50,run_002,profile.isf.12_00,profile,True,45 mg/dL/U,keep,45 mg/dL/U,Midday correction sensitivity is well-calibrated.
gemini36flash_50,run_002,profile.isf.18_00,profile,True,40 mg/dL/U,keep,40 mg/dL/U,Evening correction sensitivity maintains glucose control safely.
gemini36flash_50,run_002,profile.target.00_00,profile,True,95-110 mg/dL,keep,95-110 mg/dL,Target range provides appropriate overnight safety and control buffer.
gemini36flash_50,run_002,profile.target.06_00,profile,True,90-105 mg/dL,keep,90-105 mg/dL,Daytime target range supports tight control without increasing low risk.
gemini36flash_50,run_002,profile.target.22_00,profile,True,100-115 mg/dL,keep,100-115 mg/dL,Slightly elevated bedtime target protects against overnight hypoglycemia.
gemini36flash_50,run_002,profile.dia,profile,True,5.5 h,keep,5.5 h,5.5-hour duration of insulin action matches realistic exponential decay for rapid-acting insulin and prevents insulin stacking.
gemini36flash_50,run_002,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,"Both SMB and UAM are performing effectively, preventing prolonged high glucose spikes while maintaining 0% TBR."
gemini36flash_50,run_002,aaps.core.smb_activation,aaps,True,smb_always_enabled=null; smb_with_cob_enabled=null; smb_after_carbs_enabled=null; smb_with_temp_target_enabled=null; smb_with_high_temp_target_enabled=null,verify,,Activation flags are null in raw profile export. User should check AAPS UI Config Builder to confirm desired trigger conditions.
