experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_gemini31pro_50,run_001,completed,,gemini-3.1-pro-preview,169.34,,179961,12416,True,strict,False,0.9706,1,top-level keys differ: missing=['issues'] extra=[],True,strict,False,issues,1,accepted_first_pass,True,top_level_exact,1,0.0,0.0,,False,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the 23:00 and 00:00 targets from 90 mg/dL to 110 mg/dL to reduce severe overnight hypoglycemia.,medium,0,"While relying on UAM is valid, doing so with a 90 mg/dL target and GLP-1 delayed digestion is causing severe retroactive insulin stacking and dangerous lows. Address safety limits first.",3,target,Create a safety buffer against overnight lows,safety,target;safety_limits;meal_strategy,0,3,3,"The data shows a high Time in Range (86.0%) achieved through a fully unannounced meal (UAM) strategy and aggressive AAPS automation. However, this relies on a dangerously permissive maximum basal limit (12 U/h) and a very tight overnight target (90 mg/dL). Combined with delayed digestion from GLP-1 use, this aggressive retroactive dosing causes severe evening and overnight hypoglycemia, peaking at 18.5% Time Below Range near 01:00.",435
real_gemini31pro_50,run_002,completed,,gemini-3.1-pro-preview,141.89,,138888,8218,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,2,21,0,profile.target.00_00;profile.target.23_00,target,change,high,Raise the target from 90 mg/dL to 110 mg/dL at 23:00 and 00:00 to create a vital safety buffer against hypoglycemia.,medium,0,Consider entering an 'Eating Soon' temporary target 45-60 minutes before the main afternoon meal to lower the target and trigger earlier insulin delivery without requiring exact carb counting.,1,target,Raise overnight glucose target for safety,safety,target,3,3,3,"The data shows a strong overall time in range but highlights a pattern of afternoon hyperglycemia and severe overnight hypoglycemia. The user relies entirely on unannounced meals (UAM), which, combined with GLP-1 delayed digestion, results in late insulin action that collides with a tight overnight target.",307
real_gemini31pro_50,run_003,completed,,gemini-3.1-pro-preview,125.02,,138358,8422,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the target segments at 00:00 and 23:00 from 90 mg/dL to 100-110 mg/dL.,high,0,"Introduce basic carbohydrate logging, even without an immediate prebolus, to provide the loop with duration context for the delayed GLP-1 digestion.",2,aaps,Restrict Max IOB and Max Basal Limits,safety,aaps;target,4,3,4,"Over the 14-day analysis period, the user achieved a 121.6 mg/dL average glucose with 98.7% sensor coverage and active closed-loop automation. The strategy relies 100% on Unannounced Meals (UAM) with zero logged carbohydrates. While daytime glucose management is mostly stable, there is a recurring pattern of severe nighttime and early morning hypoglycemia (up to 18.5% time below range at 01:00) driven by aggressive reactive insulin delivery against delayed digestion.",471
real_gemini31pro_50,run_004,completed,,gemini-3.1-pro-preview,149.56,,139602,9023,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the 23:00 and 00:00 targets from 90 mg/dL to 100 mg/dL to create a larger safety buffer against trailing evening insulin.,high,0,"Begin logging carbohydrates, even if opting out of an upfront immediate bolus, to allow the system to map the true delayed absorption profile of the GLP-1 medication.",2,safety_limits,Reduce Max IOB and Max Basal limits,safety,safety_limits;target,4,2,4,"The 14-day period shows excellent CGM coverage but no announced carbohydrates, indicating a pure Unannounced Meal (UAM) strategy. The user experiences severe afternoon hyperglycemia followed by severe evening and nighttime hypoglycemia. This pattern is likely driven by the combination of GLP-1 delayed digestion and extremely wide automation safety limits (Max IOB 25 U) reacting aggressively to unannounced meal spikes against a tight 90 mg/dL target.",453
real_gemini31pro_50,run_005,completed,,gemini-3.1-pro-preview,126.59,,138657,8271,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,aaps.core.safety_limits,basal,keep,high,"Keep all profile basals, CRs, and ISFs constant while fixing AAPS safety limits.",high,0,"Log an estimated carbohydrate value for the main afternoon meal without waiting for a rise, allowing AAPS to dose insulin earlier and preventing the evening UAM overcorrection.",2,safety_limits,Constrain AAPS Maximum Safety Limits,safety,safety_limits;smb,3,2,4,"Analysis of 14 days of data reveals a system entirely dependent on Unannounced Meals (UAM) for carbohydrate management. Combined with highly permissive AAPS safety limits, this reactive approach causes severe evening and overnight hypoglycemia following afternoon postprandial spikes.",284
real_gemini31pro_50,run_006,completed,,gemini-3.1-pro-preview,119.53,,139336,7721,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the 23:00 and 00:00 targets to 100 mg/dL to establish a safer baseline and reduce severe early-overnight crashes.,high,0,"Begin logging estimated carbohydrates for main meals (especially dinner) rather than relying completely on UAM. This shifts insulin delivery from reactive to proactive, drastically reducing the risk of late insulin stacking and overnight crashes.",2,aaps,Restrict Maximum IOB and Max Basal,safety,aaps;target,4,2,4,"The data shows a highly reactive management approach where zero carbohydrates are logged, relying entirely on Unannounced Meals (UAM) and Dynamic ISF to control glucose. This forces the system to wait for glucose rises before dosing large amounts of insulin under dangerously wide safety limits (Max IOB 25 U). Because this reactive insulin peaks late, it is causing severe and frequent hypoglycemia in the late evening and early overnight hours.",446
real_gemini31pro_50,run_007,completed,,gemini-3.1-pro-preview,142.94,,139997,9685,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Change the 00:00 and 23:00 targets from 90 mg/dL to 100 mg/dL.,high,0,"Introduce a partial manual pre-bolus (e.g., 30-50% of the estimated size) roughly 15 minutes before the main afternoon meal to reduce reliance on purely reactive UAM SMBs.",3,target,Raise Overnight Target for Safety,safety,target;safety_limits;meal_bolus_strategy,4,3,4,"The data shows a complete reliance on an unannounced meal (UAM) strategy with zero logged carbohydrates. This purely reactive approach effectively manages some periods but results in significant afternoon hyperglycemia followed by severe reactive hypoglycemia. Additionally, highly permissive safety limits and a tight overnight target are contributing to consistent, severe nocturnal hypoglycemia.",398
real_gemini31pro_50,run_008,completed,,gemini-3.1-pro-preview,115.84,,138950,7701,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the 23:00 and 00:00 targets from 90 mg/dL to 110 mg/dL.,medium,0,"Implement a minimal prebolus or carb entry for primary meals rather than relying entirely on reactive UAM, especially while on GLP-1 therapy.",3,target,Raise Overnight Glucose Targets,safety,target;safety_limits;meal_strategy,4,3,4,"The system demonstrates excellent overall Time in Range (86.0%) but relies entirely on Unannounced Meals (UAM) and Dynamic ISF to dose for unlogged carbohydrates. This reactive strategy, combined with the delayed gastric emptying from GLP-1 therapy, causes delayed insulin peaks. These peaks stack into the evening and collide with an aggressively low overnight target of 90 mg/dL, resulting in severe nocturnal hypoglycemia (up to 18.5% TBR at 01:00). An excessively high max IOB setting (25 U) further compounds the safety risk.",530
real_gemini31pro_50,run_009,completed,,gemini-3.1-pro-preview,131.56,,139485,9211,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the 23:00 and 00:00 targets from 90 mg/dL to 110 mg/dL to create a larger safety buffer against overnight lows.,high,0,"Transition to logging meals using extended carbs (e-carbs) to instruct the loop to stretch insulin delivery, matching the delayed GLP-1 absorption curve.",3,target,Raise Overnight Target to Build Safety Buffer,safety,target;safety_limits;meal_strategy,4,3,3,"Glucose control shows an excellent 86.0% Time in Range, but at the cost of significant hypoglycemia. The user is managing meals entirely without logging carbohydrates (UAM-only). Because GLP-1 therapy slows digestion, the reactive UAM SMBs stack insulin too quickly, leading to severe late-meal and overnight lows. The risk is compounded by extremely high AAPS safety limits and a tight 90 mg/dL overnight target.",413
real_gemini31pro_50,run_010,completed,,gemini-3.1-pro-preview,129.68,,139336,8900,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,3,20,0,aaps.core.safety_limits;profile.target.00_00;profile.target.23_00,target,change,high,Raise the 23:00 and 00:00 target segments to 110 mg/dL.,medium,0,Consider logging carbohydrate timing and amounts (even without manually bolusing) to give the system absorption data. This allows AAPS to pace insulin delivery more effectively alongside GLP-1 delayed digestion.,3,aaps,Constrain Safety Limits,safety,aaps;target;profile,4,3,4,"Over the 14-day period, the data shows excellent CGM coverage and a high Time in Range of 86.0%. However, there is a prominent safety risk with 5.1% Time Below Range, primarily concentrated in severe late-evening and overnight hypoglycemia (between 23:00 and 03:00). The system relies entirely on Unannounced Meals (UAM) and Dynamic ISF with extraordinarily wide safety limits, which drives aggressive insulin stacking that outpaces delayed food absorption.",457
