parameter_key,n_models,models_modal_change,models_modal_keep,models_modal_verify,modal_agreement_across_models,change_rate_min,change_rate_max,change_rate_by_model
profile.basal.00_00,11,1,10,0,0.909,0.0,0.523,"{""real_deepseek_v4pro_50"": 0.417, ""real_gemini31pro_50"": 0.02, ""real_gemini35flashlite_50"": 0.103, ""real_gemini36flash_50"": 0.22, ""real_gpt54mini_med_50"": 0.042, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.15, ""real_llama4maverick_50"": 0.523, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.basal.05_00,11,0,11,0,1.0,0.0,0.023,"{""real_deepseek_v4pro_50"": 0.021, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.023, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.basal.06_00,11,0,11,0,1.0,0.0,0.0,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.basal.10_00,11,0,11,0,1.0,0.0,0.5,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.5, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.basal.16_00,11,0,11,0,1.0,0.0,0.35,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.35, ""real_llama4maverick_50"": 0.023, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.053}"
profile.basal.18_00,11,0,11,0,1.0,0.0,0.02,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.02, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.basal.19_00,11,0,11,0,1.0,0.0,0.06,"{""real_deepseek_v4pro_50"": 0.021, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.06, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.05, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.cr.00_00,11,0,11,0,1.0,0.0,0.045,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.045, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.cr.04_00,11,0,11,0,1.0,0.0,0.0,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.cr.08_00,11,0,11,0,1.0,0.0,0.0,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
