experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_llama4maverick_50,run_001,completed,,meta-llama/llama-4-maverick,141.12,,143801,9503,True,fenced,True,1.0,0.0,,True,fenced,False,"parameter_decisions.profile.basal.00_00.current_value, parameter_decisions.profile.basal.05_00.current_value, parameter_decisions.profile.basal.06_00.current_value, parameter_decisions.profile.basal.10_00.current_value, parameter_decisions.profile.basal.16_00.current_value, parameter_decisions.profile.basal.18_00.current_value, parameter_decisions.profile.basal.19_00.current_value, parameter_decisions.profile.cr.00_00.current_value, parameter_decisions.profile.cr.04_00.current_value, parameter_decisions.profile.cr.08_00.current_value, parameter_decisions.profile.cr.16_00.current_value, parameter_decisions.profile.cr.20_00.current_value, parameter_decisions.profile.isf.00_00.current_value, parameter_decisions.profile.target.00_00.current_value, parameter_decisions.profile.target.08_00.current_value, parameter_decisions.profile.target.23_00.current_value, parameter_decisions.profile.dia.current_value",1,accepted_after_correction,True,,0.0,0.0,0.0,,False,2.0,21.0,0.0,aaps.core.safety_limits;profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.55 U/h,medium,2.0,Rely on SMB/UAM for glucose management without explicit meal logging or carb counting. Continue using correction boluses and temp targets as needed.,1.0,basal,Verify basal rates,medium,basal,2.0,2.0,3.0,The glucose management system is generally stable with some variability. SMB/UAM is actively used for glucose control without explicit meal logging.,148.0
real_llama4maverick_50,run_002,completed,,meta-llama/llama-4-maverick,135.81,,141635,7175,True,fenced,True,1.0,0.0,,True,fenced,False,parameter_decisions,1,accepted_after_correction,True,,0.0,21.0,21.0,aaps.core.carb_absorption;aaps.core.safety_limits;aaps.core.sensitivity;aaps.core.smb_activation;aaps.core.smb_delivery;profile.basal.05_00;profile.basal.06_00;profile.basal.10_00;profile.basal.16_00;profile.basal.18_00;profile.basal.19_00;profile.cr.00_00;profile.cr.04_00;profile.cr.08_00;profile.cr.16_00;profile.cr.20_00;profile.dia;profile.isf.00_00;profile.target.00_00;profile.target.08_00;profile.target.23_00,False,2.0,21.0,0.0,aaps.core.safety_limits;profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.55 U/h,low,0.0,Implement a consistent meal bolus strategy with carb counting.,2.0,basal,Review basal profile,medium,basal;aaps,2.0,2.0,3.0,The patient has generally good glucose control with some variability. The current AAPS settings and profile are mostly reasonable but could be optimized.,153.0
real_llama4maverick_50,run_003,completed,,meta-llama/llama-4-maverick,165.23,,142852,8185,False,failed,,,,,True,fenced,False,parameter_decisions,1,rejected_after_correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_llama4maverick_50,run_004,completed,,meta-llama/llama-4-maverick,66.09,,110725,5843,True,fenced,True,1.0,0.0,,True,fenced,True,,0,accepted_first_pass,True,,0.0,,,,,1.0,22.0,0.0,profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.65 U/h.,low,1.0,Rely on SMB/UAM for glucose control; consider recording meal data for further strategy refinement.,1.0,basal,Adjust basal profile,medium,basal,2.0,2.0,3.0,The glucose data shows variability with time in range at 86%. Basal and target settings vary throughout the day. SMB/UAM are enabled and active. Significant data gaps exist regarding meal strategies and carb entries.,216.0
real_llama4maverick_50,run_005,completed,,meta-llama/llama-4-maverick,72.49,,111369,6349,True,fenced,True,1.0,0.0,,True,fenced,True,,0,accepted_first_pass,True,,0.0,,,,,1.0,22.0,0.0,aaps.core.safety_limits,basal,keep,medium,Keep current basal rates with a review of glucose patterns.,medium,1.0,Rely on SMB/UAM and correction boluses for meal strategy.,2.0,AAPS,Adjust max IOB,high,AAPS;basal,3.0,2.0,3.0,The glucose data shows variability with instances of hypo and hyperglycemia. The current AAPS profile and settings are generally appropriate but require adjustments for better glucose control.,192.0
real_llama4maverick_50,run_006,completed,,meta-llama/llama-4-maverick,88.94,,142959,8440,True,brace_slice,False,0.7647,8.0,"top-level keys differ: missing=['education', 'implementation_steps', 'meal_strategy_summary', 'safety_notes'] extra=[] | parameter_decisions has 24 items, expected 23 | missing=[] extra=[None] | decision rows missing a required field (['parameter_key', 'decision', 'rationale']): [None] | decisions with wrong field set: ['profile.basal.00_00', 'profile.basal.05_00', 'profile.basal.06_00', 'profile.basal.10_00', 'profile.basal.16_00', 'profile.basal.18_00', 'profile.basal.19_00', 'profile.cr.00_00', 'profile.cr.04_00', 'profile.cr.08_00', 'profile.cr.16_00', 'profile.cr.20_00', 'profile.isf.00_00', 'profile.target.00_00', 'profile.target.08_00', 'profile.target.23_00', 'profile.dia', 'aaps.core.smb_uam', 'aaps.core.smb_activation', 'aaps.core.smb_delivery', 'aaps.core.safety_limits', 'aaps.core.sensitivity', 'aaps.core.carb_absorption', None] | meal_strategy_summary fields: [] | meal exceptions = None | meal_strategy_summary.confidence=None",True,fenced,False,parameter_decisions,1,rejected_after_correction,False,top_level_exact | decisions_count | decisions_fields_exact | meal_fields_exact | meal_exceptions_0_to_2 | meal_confidence_valid,6.0,21.0,20.0,aaps.core.carb_absorption;aaps.core.safety_limits;aaps.core.sensitivity;aaps.core.smb_activation;aaps.core.smb_delivery;profile.basal.06_00;profile.basal.10_00;profile.basal.16_00;profile.basal.18_00;profile.basal.19_00;profile.cr.00_00;profile.cr.04_00;profile.cr.08_00;profile.cr.16_00;profile.cr.20_00;profile.dia;profile.isf.00_00;profile.target.00_00;profile.target.08_00;profile.target.23_00,False,1.0,22.0,0.0,profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.65 U/h,,,,1.0,basal,Adjust basal rate profile for better overnight control,medium,basal,2.0,2.0,0.0,The glucose data indicates generally good control with some variability. The current AAPS profile and settings are mostly appropriate but could be optimized for better glucose management.,187.0
real_llama4maverick_50,run_007,completed,,meta-llama/llama-4-maverick,95.75,,142982,7780,True,fenced,True,1.0,0.0,,True,fenced,False,"parameter_decisions, parameter_decisions.profile.basal.00_00.current_value, parameter_decisions.profile.basal.05_00.current_value, parameter_decisions.aaps.core.safety_limits.current_value",1,accepted_after_correction,True,,0.0,19.0,19.0,aaps.core.carb_absorption;aaps.core.sensitivity;aaps.core.smb_activation;aaps.core.smb_delivery;profile.basal.06_00;profile.basal.10_00;profile.basal.16_00;profile.basal.18_00;profile.basal.19_00;profile.cr.00_00;profile.cr.04_00;profile.cr.08_00;profile.cr.16_00;profile.cr.20_00;profile.dia;profile.isf.00_00;profile.target.00_00;profile.target.08_00;profile.target.23_00,False,2.0,21.0,0.0,aaps.core.safety_limits;profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.55 U/h.,low,1.0,"Continue using correction boluses and SMB/UAM, monitor meal data.",2.0,profile,Review basal rates and targets.,medium,profile;aaps,2.0,2.0,3.0,"The glucose management strategy relies heavily on correction boluses and SMB/UAM with limited meal bolus data. The profile settings are complex, and automation is active.",170.0
real_llama4maverick_50,run_008,completed,,meta-llama/llama-4-maverick,66.05,,110659,5793,True,fenced,True,1.0,0.0,,True,fenced,True,,0,accepted_first_pass,True,,0.0,,,,,1.0,22.0,0.0,profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.65 U/h,low,2.0,Rely on SMB/UAM for glucose management. Logging meal data is crucial.,1.0,basal,Verify and adjust basal rates,medium,basal,2.0,2.0,2.0,"The analysis indicates good CGM data quality with some gaps. Glucose control is generally within target but with instances of hypo and hyperglycemia. The profile settings and AAPS automation are in use, but meal strategy data is lacking.",237.0
real_llama4maverick_50,run_009,completed,,meta-llama/llama-4-maverick,90.61,,142950,7898,True,fenced,True,1.0,0.0,,True,fenced,False,"parameter_decisions, parameter_decisions.profile.basal.00_00.current_value, parameter_decisions.profile.basal.05_00.current_value",1,accepted_after_correction,True,,0.0,22.0,20.0,aaps.core.carb_absorption;aaps.core.safety_limits;aaps.core.sensitivity;aaps.core.smb_activation;aaps.core.smb_delivery;profile.basal.06_00;profile.basal.10_00;profile.basal.16_00;profile.basal.18_00;profile.basal.19_00;profile.cr.00_00;profile.cr.04_00;profile.cr.08_00;profile.cr.16_00;profile.cr.20_00;profile.dia;profile.isf.00_00;profile.target.00_00;profile.target.08_00;profile.target.23_00,False,1.0,22.0,0.0,profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.65 U/h,low,1.0,Rely on SMB/UAM for glucose management without explicit meal boluses.,1.0,profile,Review basal rates for potential adjustments,medium,profile,2.0,2.0,2.0,The glucose data shows a generally good time in range (TIR) but with instances of hyperglycemia and hypoglycemia. The profile settings and AAPS automation are generally appropriate but may require adjustments.,209.0
real_llama4maverick_50,run_010,completed,,meta-llama/llama-4-maverick,90.36,,143091,7921,True,fenced,False,0.9706,1.0,"current_value not copied exactly: ['profile.basal.00_00', 'profile.basal.05_00', 'profile.basal.06_00', 'profile.basal.10_00', 'profile.basal.16_00', 'profile.basal.18_00', 'profile.basal.19_00', 'profile.cr.00_00', 'profile.cr.04_00', 'profile.cr.08_00', 'profile.cr.16_00', 'profile.cr.20_00', 'profile.isf.00_00', 'profile.target.00_00', 'profile.target.08_00', 'profile.target.23_00', 'profile.dia']",True,fenced,False,"parameter_decisions, parameter_decisions.profile.basal.00_00.current_value, parameter_decisions.profile.basal.05_00.current_value",1,rejected_after_correction,False,,0.0,20.0,20.0,aaps.core.carb_absorption;aaps.core.safety_limits;aaps.core.sensitivity;aaps.core.smb_activation;aaps.core.smb_delivery;profile.basal.06_00;profile.basal.10_00;profile.basal.16_00;profile.basal.18_00;profile.basal.19_00;profile.cr.00_00;profile.cr.04_00;profile.cr.08_00;profile.cr.16_00;profile.cr.20_00;profile.dia;profile.isf.00_00;profile.target.00_00;profile.target.08_00;profile.target.23_00,False,1.0,22.0,0.0,profile.basal.00_00,basal,change,medium,Adjust basal rate at 00:00 to 0.55 U/h.,low,1.0,Rely on SMB/UAM for postprandial glucose management and record carb amounts for meals.,2.0,basal,Review and adjust basal rates based on fasting glucose patterns.,high,basal;meal_strategy,2.0,2.0,3.0,"The user's glucose management shows variability with some hyperglycemia and hypoglycemia events. The AAPS configuration is complex, with SMB and UAM enabled, and relies on Dynamic ISF for sensitivity adjustments.",212.0
