experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_llama4maverick_50,run_001,profile.basal.00_00,profile,True,0.6 U/h,change,0.55,Evidence from overnight glucose patterns. Uncertainty due to meal effects. Dependent on data_quality and safety_overview.
real_llama4maverick_50,run_001,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7,No strong evidence to change. Uncertainty due to limited fasting data. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8,No strong evidence to change. Uncertainty due to morning meal effects. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7,No strong evidence to change. Uncertainty due to meal effects. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5,No strong evidence to change. Uncertainty due to afternoon activities. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6,No strong evidence to change. Uncertainty due to evening meal effects. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7,No strong evidence to change. Uncertainty due to evening activities. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.cr.00_00,profile,True,13 g/U,keep,13,No strong evidence to change. Uncertainty due to lack of meal data. Dependent on meal_bolus_strategy.
real_llama4maverick_50,run_001,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1,No strong evidence to change. Uncertainty due to lack of meal data. Dependent on meal_bolus_strategy.
real_llama4maverick_50,run_001,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2,No strong evidence to change. Uncertainty due to lack of meal data. Dependent on meal_bolus_strategy.
real_llama4maverick_50,run_001,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5,No strong evidence to change. Uncertainty due to lack of meal data. Dependent on meal_bolus_strategy.
real_llama4maverick_50,run_001,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6,No strong evidence to change. Uncertainty due to lack of meal data. Dependent on meal_bolus_strategy.
real_llama4maverick_50,run_001,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56,No strong evidence to change. Uncertainty due to correction bolus outcomes. Dependent on profile_cr_isf_dia.
real_llama4maverick_50,run_001,profile.target.00_00,profile,True,90 mg/dL,keep,90,No strong evidence to change. Uncertainty due to overnight glucose variability. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.target.08_00,profile,True,100 mg/dL,keep,100,No strong evidence to change. Uncertainty due to morning glucose patterns. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.target.23_00,profile,True,90 mg/dL,keep,90,No strong evidence to change. Uncertainty due to overnight glucose variability. Dependent on basal_targets.
real_llama4maverick_50,run_001,profile.dia,profile,True,10 h,keep,10,No strong evidence to change. Uncertainty due to insulin action profiles. Dependent on profile_cr_isf_dia.
real_llama4maverick_50,run_001,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,Active SMB/UAM is beneficial. Uncertainty due to lack of meal logging. Dependent on automation_smb_uam.
real_llama4maverick_50,run_001,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,Current settings are appropriate. Uncertainty due to lack of meal data. Dependent on automation_smb_uam.
real_llama4maverick_50,run_001,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,Current settings are appropriate. Uncertainty due to glucose variability. Dependent on automation_smb_uam.
real_llama4maverick_50,run_001,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,change,max_basal_u_per_hour=12 U/h; max_iob_units=20 U,High max IOB poses a risk. Reducing to 20 U is safer. Dependent on automation_sensitivity_limits.
real_llama4maverick_50,run_001,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,Current settings are appropriate. Uncertainty due to glucose variability. Dependent on automation_sensitivity_limits.
real_llama4maverick_50,run_001,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,Current settings are appropriate. Uncertainty due to lack of meal data. Dependent on meal_ecarbs_absorption.
real_llama4maverick_50,run_002,profile.basal.00_00,profile,True,0.6 U/h,change,0.55 U/h,Glucose patterns indicate potential for slight reduction.
real_llama4maverick_50,run_002,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,No strong evidence for change.
real_llama4maverick_50,run_002,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,No strong evidence for change.
real_llama4maverick_50,run_002,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,No strong evidence for change.
real_llama4maverick_50,run_002,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,No strong evidence for change.
real_llama4maverick_50,run_002,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,No strong evidence for change.
real_llama4maverick_50,run_002,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,No strong evidence for change.
real_llama4maverick_50,run_002,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,No strong evidence for change.
real_llama4maverick_50,run_002,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,No strong evidence for change.
real_llama4maverick_50,run_002,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,No strong evidence for change.
real_llama4maverick_50,run_002,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,No strong evidence for change.
real_llama4maverick_50,run_002,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,No strong evidence for change.
real_llama4maverick_50,run_002,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,No strong evidence for change.
real_llama4maverick_50,run_002,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,No strong evidence for change.
real_llama4maverick_50,run_002,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,No strong evidence for change.
real_llama4maverick_50,run_002,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,No strong evidence for change.
real_llama4maverick_50,run_002,profile.dia,profile,True,10 h,keep,10 h,No strong evidence for change.
real_llama4maverick_50,run_002,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,SMB and UAM are effectively managing glucose variability.
real_llama4maverick_50,run_002,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,Settings are generally reasonable.
real_llama4maverick_50,run_002,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,Settings are generally reasonable.
real_llama4maverick_50,run_002,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,change,max_basal_u_per_hour=12 U/h; max_iob_units=15 U,High max IOB setting poses a risk.
real_llama4maverick_50,run_002,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,Settings are generally reasonable.
real_llama4maverick_50,run_002,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,No meal data to assess.
real_llama4maverick_50,run_004,profile.basal.00_00,profile,True,0.6 U/h,change,0.65 U/h,"Glucose pattern evidence, medium confidence, depends on basal_targets."
real_llama4maverick_50,run_004,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,"No strong evidence for change, depends on meal_bolus_strategy."
real_llama4maverick_50,run_004,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,"No strong evidence for change, depends on meal_bolus_strategy."
real_llama4maverick_50,run_004,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,"No strong evidence for change, depends on meal_bolus_strategy."
real_llama4maverick_50,run_004,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,"No strong evidence for change, depends on meal_bolus_strategy."
real_llama4maverick_50,run_004,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,"No strong evidence for change, depends on meal_bolus_strategy."
real_llama4maverick_50,run_004,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,"No strong evidence for change, depends on profile_cr_isf_dia."
real_llama4maverick_50,run_004,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,"No strong evidence for change, depends on basal_targets."
real_llama4maverick_50,run_004,profile.dia,profile,True,10 h,keep,10 h,"No strong evidence for change, depends on profile_cr_isf_dia."
real_llama4maverick_50,run_004,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,"Active SMB/UAM is beneficial, depends on automation_smb_uam."
real_llama4maverick_50,run_004,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,"Current settings are appropriate, depends on automation_smb_uam."
