experiment,run_id,rank,area,title,priority,suggested_change
real_haiku45_50,run_002,1,ISF,Correct ISF underestimation from 56 to 90 mg/dL/U,high,"{""parameter"": ""ISF"", ""current_value"": ""56 mg/dL/U"", ""suggested_value"": ""90 mg/dL/U"", ""unit"": ""mg/dL/U"", ""rationale"": ""Conservative increase addressing observed 80–150+ mg/dL/U correction responses. 90 is midpoint of observed range, avoiding overcorrection in opposite direction. Must be applied before SMB gating or Dynamic ISF factor adjustments.""}"
real_haiku45_50,run_002,2,meal_strategy,Validate carb ratio and meal-bolus sizing with one carb-logged meal cycle,high,"{""parameter"": ""Carb logging and meal bolus validation"", ""current_value"": ""Zero carb entries, zero logged meal boluses"", ""suggested_value"": ""One meal cycle: timestamp, carb amount (estimated or weighed), bolus time/amount, glucose at 0, 60, 120, 180, 240 minutes post-bolus"", ""unit"": ""N/A (procedure, not parameter)"", ""rationale"": ""Enables CR and bolus-sizing validation. Will determine whether CR 10.5–13.2 g/U is appropriate, whether meal boluses should be ~3–4 U (matching CR) or intentionally small (<0.5 U), and whether prebolus window is needed.""}"
real_haiku45_50,run_002,3,SMB,Enable SMB COB gating (smb_with_cob_enabled true) after ISF correction and carb-logging validation,medium,"{""parameter"": ""smb_with_cob_enabled"", ""current_value"": ""false"", ""suggested_value"": ""true"", ""unit"": ""boolean"", ""rationale"": ""Reduces phantom carbs-on-board overdose risk by suppressing SMB during meal absorption window (when loop presumes carbs are active). Dependent on meal-bolus validation showing whether boluses are sufficient (if insufficient, gating will suppress needed SMB).""}"
real_haiku45_50,run_002,4,meal_strategy,Clarify whether zero carb logging is intentional UAM-only strategy or training/data-entry gap,medium,"{""parameter"": ""Meal strategy and carb-logging discipline"", ""current_value"": ""Zero carb entries; empty declared meal_strategies"", ""suggested_value"": ""User clarifies: intentional UAM-only strategy, or training gap? If training gap, implement carb-logging discipline with one meal per day minimum. If intentional, document UAM-only protocol and adjust meal-bolus expectations accordingly."", ""unit"": ""N/A (strategy clarification)"", ""rationale"": ""Determines appropriate bolus sizing, prebolus window, and e-carb use. UAM-only is viable but requires larger meal boluses upfront; carb-logging enables smaller meal boluses and prebolus timing.""}"
real_haiku45_50,run_002,5,target,Verify basal rate 0.5 U/h at 16:00 during daytime hyperglycemia peak,low,"{""parameter"": ""Basal rate 16:00"", ""current_value"": ""0.5 U/h"", ""suggested_value"": ""Verify current setting; consider increase to 0.6–0.7 U/h post-meal-bolus validation if afternoon hyperglycemia persists"", ""unit"": ""U/h"", ""rationale"": ""Current 0.5 U/h is lowest basal rate but set during highest glucose period (14:00–16:00 avg 148–163). Change is provisional and dependent on meal-bolus validation showing whether afternoon elevation is meal-driven (low bolus) or basal-driven (low rate).""}"
real_haiku45_50,run_003,1,Data and meal strategy,Restart carb logging immediately for 3 complete days,safety,"{""action"": ""Restart Nightscout carb entries or equivalent meal logging"", ""fields"": {""timestamp"": ""each meal start time"", ""carbs_grams"": ""total grams per meal"", ""duration_minutes"": null}, ""frequency"": ""three consecutive days minimum"", ""monitoring"": ""After 3 days, analyze therapy_response_windows to infer CR effectiveness and ISF response""}"
real_haiku45_50,run_003,2,"Profile baseline (DIA, ISF)",Validate DIA via correction bolus decay curves and therapy response windows,high,"{""action"": ""Analyze 3–5 correction-only events (low IOB, small meal residual) from therapy_response_windows"", ""current_value"": ""10 hours"", ""candidate_range"": ""5–6 hours"", ""validation_method"": ""Plot glucose_start to glucose_240m and glucose_360m; calculate 50% and 80% action times; if peak effect <240 min, DIA is overestimated"", ""sequence"": ""Validate before changing ISF; validation unblocks ISF refinement""}"
real_haiku45_50,run_003,3,Profile baseline (ISF),Increase declared ISF from 56 to 70–85 mg/dL/U once DIA is validated,high,"{""action"": ""Increase ISF 00:00 from 56 to 75 mg/dL/U (example; apply uniformly across all hours)"", ""rationale"": ""Mid-range of 70–85 estimate; Dynamic ISF floor becomes 52.5 (70% × 75), more aggressive than current 39.2. Test single uniform ISF first before time-specific segmentation."", ""current_value"": ""56 mg/dL/U"", ""candidate_value"": ""75 mg/dL/U"", ""validation"": ""Monitor afternoon highs (target reduction to 130–145 mg/dL avg from current 150–160) and evening lows (no increase in TBR 18:00–19:00); adjust after 5–7 days"", ""sequence"": ""Only after DIA validation; change ISF before basal""}"
real_haiku45_50,run_003,4,Profile baseline (basal),Increase morning basal 08:00–10:00 segment by 10–15% after ISF is validated,high,"{""action"": ""Add or modify basal segment at 08:00: 0.7→0.80 U/h (10% increase); keep 10:00 segment at 0.7 U/h"", ""rationale"": ""Gradual increase during morning absorption window; minimizes overshoot risk"", ""current_value"": ""0.7 U/h (at 10:00 segment)"", ""candidate_value"": ""0.80 U/h (new 08:00 segment)"", ""sequence"": ""Only after ISF is validated; test 3–5 days alone before additional changes"", ""constraint"": ""Do not increase evening basal (18:00–19:00) at same time; evening lows are iatrogenic from afternoon overcorrection, not basal insufficiency""}"
real_haiku45_50,run_003,5,Meal bolus strategy,Implement pre-bolus for breakfast once meal sizes are confirmed via carb logging,high,"{""action"": ""Pre-bolus 1.0–1.5 U at 07:00–07:30, 15–30 min before breakfast"", ""rationale"": ""Morning carbs are anticipated; anticipatory insulin reduces peak and lag"", ""current_value"": ""zero pre-bolus"", ""candidate_value"": ""1.0–1.5 U depending on confirmed breakfast carb size"", ""validation_method"": ""Log breakfast carbs for 3 days; calculate required bolus (carbs / CR); test pre-bolus = 50–75% of calculated bolus initially; adjust after 3 days"", ""sequence"": ""Only after carb logging resumes and CR is validated""}"
real_haiku45_50,run_003,6,Meal bolus strategy,Implement pre-bolus for lunch (1.5–2.0 U at 11:00–11:30) to prevent afternoon elevation,high,"{""action"": ""Pre-bolus 1.5–2.0 U at 11:00–11:30, 15–30 min before lunch"", ""rationale"": ""Large meal requiring anticipatory insulin to prevent 6-hour elevation plateau"", ""current_value"": ""zero pre-bolus"", ""candidate_value"": ""1.5–2.0 U (adjust based on confirmed lunch carbs and CR)"", ""validation_method"": ""Log lunch carbs for 3 days; test pre-bolus = 50–75% of calculated bolus initially; monitor for reduced afternoon peak (target <140 mg/dL by 13:00, <130 by 16:00) and no increase in evening lows"", ""sequence"": ""Only after carb logging and CR validation; test after breakfast pre-bolus is confirmed safe""}"
real_haiku45_50,run_003,7,Meal bolus strategy,Monitor dinner timing and size during carb logging to determine if additional pre-bolus is needed,medium,"{""action"": ""Monitor during carb logging; no change to dinner bolus strategy yet"", ""rationale"": ""Dinner timing and oscillation pattern must be re-evaluated after breakfast/lunch pre-boluses are implemented; system behavior will change"", ""current_value"": ""zero pre-bolus"", ""candidate_value"": ""0–1.0 U depending on carb log findings"", ""sequence"": ""After breakfast and lunch pre-boluses are tested and refined (2–4 weeks)""}"
real_haiku45_50,run_003,8,Automation,Keep SMB/UAM configuration unchanged; no automation adjustments needed,medium,null
real_haiku45_50,run_003,9,Automation (Autosens),"Keep Autosens disabled for 2–3 more weeks (until ~Sept 3–4, 2026)",medium,null
real_haiku45_50,run_004,1,safety,Reduce max_iob from 25 U to 6-8 U immediately,safety,"""Reduce max_iob_units from 25 to 8"""
real_haiku45_50,run_004,2,data,Enable carb logging for 7+ days to unblock profile validation and meal prebolus,high,"""Enable meal carb logging workflow in AAPS for minimum 7 days (primary prerequisite for profile tuning)"""
