experiment,run_id,rank,area,title,priority,suggested_change
real_sonnet5_20,run_001,1,target,Prioritize understanding recurrent overnight hypoglycemia before any other change,safety,"{""action"": ""observe_before_change"", ""window"": ""23:00-08:00 local"", ""watch_for"": ""repeat Level-2 lows without concurrent Temporary Target use or late evening correction boluses""}"
real_sonnet5_20,run_001,2,cr,Begin carbohydrate logging to unblock carb-ratio and meal-timing review,high,"{""action"": ""log_data"", ""field"": ""carb amount and entry timestamp"", ""scope"": ""5-7 representative meals across meal types, especially 09:00-17:00 local""}"
real_sonnet5_20,run_001,3,smb,Review the basal safety multiplier capping event as a separate automation-limit item,medium,"{""action"": ""discuss_with_care_team"", ""setting"": ""current_basal_safety_multiplier"", ""context"": ""observed during 2026-08-14T18:40 severe hyperglycemia event""}"
real_sonnet5_20,run_001,4,smb,Clarify SMB behavior during high Temporary Targets before attributing slow corrections to basal or ISF,low,"{""action"": ""clarify_only"", ""setting"": ""smb_with_high_temp_target_enabled"", ""note"": ""no change suggested without confirming AAPS's internal high-temp-target threshold""}"
real_sonnet5_20,run_002,1,cr,Begin logging carbohydrate and e-carb entries,high,"{""action"": ""begin_logging"", ""target"": ""carb_and_ecarb_entries"", ""scope"": ""3-5 representative meals per typical daypart before any CR change is considered""}"
real_sonnet5_20,run_002,2,isf,Review the relationship between evening correction boluses and overnight lows,safety,"{""action"": ""observe"", ""target"": ""evening_correction_to_overnight_glucose_relationship"", ""method"": ""track IOB alongside glucose for several nights before considering any basal or DIA change""}"
real_sonnet5_20,run_002,3,smb,Clarify SMB behavior during recurring midday and afternoon Temporary Targets,medium,"{""action"": ""clarify"", ""target"": ""smb_with_high_temp_target_enabled"", ""context"": ""confirm with the care team whether a 135 mg/dL temporary target is treated as a high temp target in this build before changing this setting""}"
real_sonnet5_20,run_002,4,meal,Declare a prebolus timing and immediate bolus percentage strategy,medium,"{""action"": ""declare"", ""target"": ""meal_strategy_fields"", ""fields"": [""prebolus_minutes"", ""immediate_bolus_percent""]}"
real_sonnet5_20,run_003,1,meal,Begin logging carbohydrate intake to resolve competing explanations,high,"{""action"": ""begin_logging"", ""target"": ""carbohydrate_entries"", ""detail"": ""Log approximate carbohydrate grams and timestamps for representative meals, especially around the 12:00-16:00 local window and evening meals, without changing any delivery settings yet.""}"
real_sonnet5_20,run_003,2,safety,Review recurring severe hypoglycemia clusters with a care team before any setting change,safety,"{""action"": ""clinical_review"", ""target"": ""hypoglycemia_pattern"", ""detail"": ""Discuss the specific dated hypoglycemia events with a care team before adjusting basal, duration of insulin action, or correction-bolus behavior.""}"
