experiment,outcome,k,n,proportion,ci95_low,ci95_high
real_deepseek_v4pro_50,accepted_first_pass,45,50,0.9,0.786,0.957
real_deepseek_v4pro_50,accepted_after_correction,3,50,0.06,0.021,0.162
real_deepseek_v4pro_50,rejected_no_prompt,0,50,0.0,0.0,0.071
real_deepseek_v4pro_50,rejected_schema_stop,2,50,0.04,0.011,0.135
real_deepseek_v4pro_50,rejected_after_correction,0,50,0.0,0.0,0.071
real_gemini31pro_50,accepted_first_pass,50,50,1.0,0.929,1.0
real_gemini31pro_50,accepted_after_correction,0,50,0.0,0.0,0.071
real_gemini31pro_50,rejected_no_prompt,0,50,0.0,0.0,0.071
real_gemini31pro_50,rejected_schema_stop,0,50,0.0,0.0,0.071
real_gemini31pro_50,rejected_after_correction,0,50,0.0,0.0,0.071
real_gemini35flashlite_50,accepted_first_pass,38,50,0.76,0.626,0.857
real_gemini35flashlite_50,accepted_after_correction,1,50,0.02,0.004,0.105
real_gemini35flashlite_50,rejected_no_prompt,10,50,0.2,0.112,0.33
real_gemini35flashlite_50,rejected_schema_stop,1,50,0.02,0.004,0.105
real_gemini35flashlite_50,rejected_after_correction,0,50,0.0,0.0,0.071
real_gemini36flash_50,accepted_first_pass,50,50,1.0,0.929,1.0
real_gemini36flash_50,accepted_after_correction,0,50,0.0,0.0,0.071
real_gemini36flash_50,rejected_no_prompt,0,50,0.0,0.0,0.071
real_gemini36flash_50,rejected_schema_stop,0,50,0.0,0.0,0.071
real_gemini36flash_50,rejected_after_correction,0,50,0.0,0.0,0.071
real_gpt54mini_med_50,accepted_first_pass,48,50,0.96,0.865,0.989
real_gpt54mini_med_50,accepted_after_correction,0,50,0.0,0.0,0.071
real_gpt54mini_med_50,rejected_no_prompt,1,50,0.02,0.004,0.105
real_gpt54mini_med_50,rejected_schema_stop,0,50,0.0,0.0,0.071
real_gpt54mini_med_50,rejected_after_correction,1,50,0.02,0.004,0.105
real_gpt56sol_med_50,accepted_first_pass,50,50,1.0,0.929,1.0
real_gpt56sol_med_50,accepted_after_correction,0,50,0.0,0.0,0.071
real_gpt56sol_med_50,rejected_no_prompt,0,50,0.0,0.0,0.071
real_gpt56sol_med_50,rejected_schema_stop,0,50,0.0,0.0,0.071
real_gpt56sol_med_50,rejected_after_correction,0,50,0.0,0.0,0.071
real_grok46_50,accepted_first_pass,50,50,1.0,0.929,1.0
real_grok46_50,accepted_after_correction,0,50,0.0,0.0,0.071
real_grok46_50,rejected_no_prompt,0,50,0.0,0.0,0.071
real_grok46_50,rejected_schema_stop,0,50,0.0,0.0,0.071
real_grok46_50,rejected_after_correction,0,50,0.0,0.0,0.071
real_haiku45_50,accepted_first_pass,17,50,0.34,0.224,0.478
real_haiku45_50,accepted_after_correction,3,50,0.06,0.021,0.162
real_haiku45_50,rejected_no_prompt,2,50,0.04,0.011,0.135
real_haiku45_50,rejected_schema_stop,1,50,0.02,0.004,0.105
real_haiku45_50,rejected_after_correction,27,50,0.54,0.404,0.67
real_llama4maverick_50,accepted_first_pass,19,50,0.38,0.259,0.518
real_llama4maverick_50,accepted_after_correction,25,50,0.5,0.366,0.634
real_llama4maverick_50,rejected_no_prompt,2,50,0.04,0.011,0.135
real_llama4maverick_50,rejected_schema_stop,0,50,0.0,0.0,0.071
real_llama4maverick_50,rejected_after_correction,4,50,0.08,0.032,0.188
real_opus5,accepted_first_pass,10,20,0.5,0.299,0.701
real_opus5,accepted_after_correction,1,20,0.05,0.009,0.236
real_opus5,rejected_no_prompt,9,20,0.45,0.258,0.658
real_opus5,rejected_schema_stop,0,20,0.0,0.0,0.161
real_opus5,rejected_after_correction,0,20,0.0,0.0,0.161
real_sonnet5_20,accepted_first_pass,18,20,0.9,0.699,0.972
real_sonnet5_20,accepted_after_correction,1,20,0.05,0.009,0.236
real_sonnet5_20,rejected_no_prompt,1,20,0.05,0.009,0.236
real_sonnet5_20,rejected_schema_stop,0,20,0.0,0.0,0.161
real_sonnet5_20,rejected_after_correction,0,20,0.0,0.0,0.161
