experiment,slot,group,kind,n_runs,group_runs,representative
real_gpt54mini_med_50,decision: Profile / basal 00:00,keep,varying,7,48,"Overnight lows exist, but they are confounded by IOB, SMB/UAM, and missing meal context."
real_gpt54mini_med_50,decision: Profile / basal 00:00,keep,varying,6,48,"Overnight lows exist, but this segment cannot be isolated from temp targets, automation, and missing meal data."
real_gpt54mini_med_50,decision: Profile / basal 00:00,keep,varying,4,48,"Overnight lows are present, but the dataset does not isolate fasting basal effect from corrections, temp targets, or residual IOB."
real_gpt54mini_med_50,decision: Profile / basal 00:00,keep,varying,3,48,A change here would be premature without a quiet overnight verification.
real_gpt54mini_med_50,decision: Profile / basal 00:00,keep,varying,3,48,A change would be unsupported without a clean fasting-like window.
real_gpt54mini_med_50,decision: Profile / basal 00:00,keep,varying,3,48,No fasting-only evidence supports a basal change.
real_gpt54mini_med_50,decision: Profile / basal 00:00,change,shared,2,2,"The 00:00-02:00 local window shows the clearest recurrent low exposure, including severe lows in the low 40s mg/dL range."
real_gpt54mini_med_50,decision: Profile / basal 05:00,keep,varying,3,50,"The early-morning period is not clearly failing on a fasting-like basis, and the available data do not separate basal from meal or correction effects."
real_gpt54mini_med_50,decision: Profile / basal 05:00,keep,varying,3,50,"The early morning period is not cleanly separable from overnight carryover, and the data do not isolate this segment as the cause of the low or high pattern."
real_gpt54mini_med_50,decision: Profile / basal 05:00,keep,varying,2,50,"Keep because the 03:00-07:00 local window is mostly stable or near range, and there is no fasting-like window proving this basal is too high or too low."
real_gpt54mini_med_50,decision: Profile / basal 05:00,keep,varying,2,50,"Early morning glucose is not clearly showing a basal-specific defect, and the observed pattern is confounded by broader overnight variability and missing meal context."
real_gpt54mini_med_50,decision: Profile / basal 05:00,keep,varying,2,50,"No fasting test is available, so a change would be speculative."
real_gpt54mini_med_50,decision: Profile / basal 05:00,keep,varying,2,50,The data do not isolate this segment as the driver of lows or highs.
real_gpt54mini_med_50,decision: Profile / basal 06:00,keep,varying,3,50,"Morning glucose is not isolated from breakfast timing or automation responses, so a change is unsupported."
real_gpt54mini_med_50,decision: Profile / basal 06:00,keep,varying,2,50,"This segment may contribute to morning control, but the current dataset cannot separate it from breakfast timing, temp targets, or automation effects."
real_gpt54mini_med_50,decision: Profile / basal 06:00,keep,varying,2,50,"The morning rise begins later and could reflect meals or rising insulin needs, but the package does not separate those from basal."
real_gpt54mini_med_50,decision: Profile / basal 06:00,keep,varying,2,50,"This step may contribute to morning control, but the package does not separate basal effect from later meal and automation effects."
real_gpt54mini_med_50,decision: Profile / basal 06:00,keep,varying,2,50,"Daytime patterns are more likely to reflect meals, corrections, or dynamic sensitivity than this single basal step."
real_gpt54mini_med_50,decision: Profile / basal 06:00,keep,varying,2,50,"Morning glucose rises may reflect dawn, meal timing, or correction carryover rather than basal alone."
real_gpt54mini_med_50,decision: Profile / basal 10:00,keep,varying,4,50,"Late-morning highs exist, but they are more plausibly meal or timing related than basal-only."
real_gpt54mini_med_50,decision: Profile / basal 10:00,keep,varying,4,50,Basal-only change is not supported.
real_gpt54mini_med_50,decision: Profile / basal 10:00,keep,varying,4,50,Changing this segment now would be speculative.
real_gpt54mini_med_50,decision: Profile / basal 10:00,keep,varying,3,50,The late-morning rise could reflect meals or corrections rather than basal insufficiency.
real_gpt54mini_med_50,decision: Profile / basal 10:00,keep,varying,3,50,"Late morning highs occur in the dataset, but the evidence does not isolate this basal segment because meal timing is absent and SMB/UAM are active."
real_gpt54mini_med_50,decision: Profile / basal 10:00,keep,varying,3,50,"Late-morning highs are present, but they are strongly confounded by meal timing and automation responses."
real_gpt54mini_med_50,decision: Profile / basal 16:00,keep,varying,4,50,"This lower afternoon basal sits in the same period as the strongest high window, but the evidence does not separate basal from meal timing or correction effects."
real_gpt54mini_med_50,decision: Profile / basal 16:00,keep,varying,3,50,The later 18:00-19:00 lows also argue against an unverified increase.
real_gpt54mini_med_50,decision: Profile / basal 16:00,keep,varying,3,50,"This lower afternoon rate coincides with the time of highest glucose, but meals, corrections, and temp targets remain plausible explanations."
real_gpt54mini_med_50,decision: Profile / basal 16:00,keep,varying,3,50,"This is the lowest basal segment and overlaps with the highest average glucose period, but that period is also the most confounded by meals, corrections, and automation."
real_gpt54mini_med_50,decision: Profile / basal 16:00,keep,varying,3,50,The evidence is not strong enough to change a dependent basal segment yet.
real_gpt54mini_med_50,decision: Profile / basal 16:00,keep,varying,2,50,"This lower afternoon basal coincides with the strongest daytime rise, but the same window is heavily confounded by meal effects and automated correction behavior, so a change would be premature."
real_gpt54mini_med_50,decision: Profile / basal 18:00,keep,varying,7,50,"Evening lows are a safety concern, but the evidence does not isolate this basal period from residual IOB and correction effects."
real_gpt54mini_med_50,decision: Profile / basal 18:00,keep,varying,4,50,"There is some low exposure around 18:00 to 19:00 local, but this could reflect IOB or correction carryover rather than basal excess."
real_gpt54mini_med_50,decision: Profile / basal 18:00,keep,varying,3,50,"The evening low pattern is present, but the specific contribution of this segment cannot be separated from post-correction or post-meal effects."
real_gpt54mini_med_50,decision: Profile / basal 18:00,keep,varying,3,50,"Evening lows are present, but the segment cannot be isolated from prior IOB, corrections, temporary targets, or unlogged meals."
real_gpt54mini_med_50,decision: Profile / basal 18:00,keep,varying,3,50,The evidence does not isolate this segment as the cause.
real_gpt54mini_med_50,decision: Profile / basal 18:00,keep,varying,3,50,Change is not supported.
real_gpt54mini_med_50,decision: Profile / basal 19:00,keep,varying,3,50,"The late-evening low pattern is real, yet the package does not prove basal causality."
