experiment,slot,group,kind,n_runs,group_runs,representative
real_gpt56sol_med_50,decision: Profile / basal 00:00,keep,shared,30,50,"Low exposure is elevated from midnight to 03:00, but residual evening IOB, the 90 mg/dL target, SMB/UAM, Dynamic ISF, and corrections remain unresolved."
real_gpt56sol_med_50,decision: Profile / basal 00:00,keep,varying,9,50,Keep basal while testing the 00:00 target alone; reassessment depends on fasting-like nights with complete IOB context.
real_gpt56sol_med_50,decision: Profile / basal 00:00,keep,varying,8,50,Fasting-like overnight observations are required before attributing the pattern to this basal segment.
real_gpt56sol_med_50,decision: Profile / basal 00:00,keep,varying,6,50,"Evidence shows recurrent lows from local 00:00-03:00, but uncertainty remains about preceding corrections, SMB/UAM, activity, and low treatment."
real_gpt56sol_med_50,decision: Profile / basal 00:00,keep,varying,4,50,"Keep pending fasting-like, low-IOB overnight verification."
real_gpt56sol_med_50,decision: Profile / basal 00:00,keep,varying,4,50,Keep this segment until low-IOB overnight observations separate scheduled basal from those dependencies.
real_gpt56sol_med_50,decision: Profile / basal 00:00,keep,varying,3,50,"Evidence shows overnight lows, but uncertainty remains because prior corrections, SMB/UAM, Dynamic ISF, activity, and the 90 mg/dL target may contribute."
real_gpt56sol_med_50,decision: Profile / basal 05:00,keep,varying,17,50,Local 05:00-06:00 glucose is comparatively stable with 95.2-97.5% TIR.
real_gpt56sol_med_50,decision: Profile / basal 05:00,keep,varying,5,50,"One isolated severe reading does not isolate this segment, and sensor reliability, IOB, and activity remain uncertain."
real_gpt56sol_med_50,decision: Profile / basal 05:00,keep,varying,5,50,"Local glucose is generally stable around 05:00–06:00, although some low exposure remains."
real_gpt56sol_med_50,decision: Profile / basal 05:00,keep,varying,5,50,"The 05:00 hour averaged 104.2 mg/dL with 4.8% below range, but no fasting-labelled data isolate basal."
real_gpt56sol_med_50,decision: Profile / basal 05:00,keep,varying,4,50,Evidence shows comparatively stable glucose from 04:00-08:00.
real_gpt56sol_med_50,decision: Profile / basal 05:00,keep,varying,4,50,"Meal, activity, and IOB uncertainty prevents a supported change."
real_gpt56sol_med_50,decision: Profile / basal 06:00,keep,shared,37,50,Local 06:00–08:00 has 97.5–98.7% time in range and little low exposure.
real_gpt56sol_med_50,decision: Profile / basal 06:00,keep,varying,5,50,"The later rise could be meal-related, so neither an increase nor decrease is supported without fasting and meal-linked evidence."
real_gpt56sol_med_50,decision: Profile / basal 06:00,keep,varying,4,50,"The 06:00 to 08:00 period is comparatively stable, with means near 100 to 111 mg/dL and low TBR."
real_gpt56sol_med_50,decision: Profile / basal 06:00,keep,varying,4,50,One isolated 42 mg/dL event and missing insulin and activity context do not support changing this segment.
real_gpt56sol_med_50,decision: Profile / basal 06:00,keep,varying,3,50,"Below-range exposure is low around 07:00–08:00, while the later rise could reflect breakfast or dawn effects."
real_gpt56sol_med_50,decision: Profile / basal 06:00,keep,varying,3,50,"The isolated 42 mg/dL minimum does not establish a recurring segment defect, and prior IOB or sensor effects remain uncertain."
real_gpt56sol_med_50,decision: Profile / basal 06:00,keep,varying,2,50,The isolated 42 mg/dL morning reading and absent meal/activity data create uncertainty; meal-free observation is required before changing this segment.
real_gpt56sol_med_50,decision: Profile / basal 10:00,keep,varying,9,50,"Late-morning and afternoon highs may reflect unrecorded meals, bolus timing, CR, UAM, or Dynamic ISF rather than basal."
real_gpt56sol_med_50,decision: Profile / basal 10:00,keep,varying,5,50,"Daytime highs are present, but absent meal records, UAM dosing, Dynamic ISF, corrections, temporary targets, and delayed absorption prevent attribution to basal."
real_gpt56sol_med_50,decision: Profile / basal 10:00,keep,varying,5,50,Subsequent evening lows make an increase unsafe to infer.
real_gpt56sol_med_50,decision: Profile / basal 10:00,keep,varying,4,50,"Evidence shows daytime highs, but they occur in meal-like hours with no carbohydrate records."
real_gpt56sol_med_50,decision: Profile / basal 10:00,keep,varying,3,50,"Daytime glucose rises are observed, but zero carbohydrate records and COB-0 UAM responses make meals, bolus timing, and automation more plausible than proven basal deficiency."
real_gpt56sol_med_50,decision: Profile / basal 10:00,keep,varying,3,50,"This segment depends on meal timing, CR, SMB/UAM, Dynamic ISF, and IOB, so a basal change is unsupported."
