experiment,run_id,rank,area,title,priority,suggested_change
real_gpt54mini_med_50,run_001,1,basal,Keep the current profile unchanged and verify with fasting data first,high,"{""decision"": ""keep"", ""verified_next_step"": ""Review one overnight fasting window and one late-morning to afternoon fasting window before considering any basal edit.""}"
real_gpt54mini_med_50,run_002,1,basal,Keep the current profile unchanged and verify with separated no-meal observations,high,"{""action"": ""keep"", ""verification"": ""Review one overnight no-meal window and one midday no-meal window before any basal change.""}"
real_gpt54mini_med_50,run_003,1,basal,Keep profile unchanged pending one fasting verification,high,"{""action"": ""keep"", ""next_verification"": ""Review one quiet overnight window with the profile unchanged before considering any basal adjustment.""}"
real_gpt54mini_med_50,run_003,2,meal,Collect meal-linked logs before revisiting bolus strategy,medium,"{""action"": ""observe"", ""next_verification"": ""Log three representative meals with carb amount, prebolus timing, bolus timing, and six-hour CGM response.""}"
real_gpt54mini_med_50,run_004,1,profile,Keep the current profile and verify with one focused test,high,"{""decision"": ""keep"", ""scope"": ""profile""}"
real_gpt54mini_med_50,run_004,2,automation,Do not change SMB or sensitivity settings yet,medium,"{""decision"": ""keep"", ""scope"": ""aaps""}"
real_gpt54mini_med_50,run_004,3,meal_strategy,Use conservative meal handling until meal-linked evidence exists,medium,"{""decision"": ""keep"", ""scope"": ""meal_strategy""}"
real_gpt54mini_med_50,run_005,1,profile,Keep the current profile and verify with meal-linked observation first,high,"{""decision"": ""keep"", ""verification"": ""Use one ordinary day with exact carb grams, meal timestamps, prebolus timing, and any temp targets recorded, then re-check whether the 00:00-02:00 lows and 10:00-17:00 rise persist without correction stacking.""}"
real_gpt54mini_med_50,run_006,1,profile,Keep the current profile unchanged and verify with one clean fasting-like block,high,"{""action"": ""keep"", ""scope"": ""profile_first"", ""verification"": ""Review one overnight fasting-like window and one afternoon fasting-like window before changing basal, CR, or ISF.""}"
real_gpt54mini_med_50,run_006,2,automation,"Keep SMB, UAM, and sensitivity settings unchanged for now",medium,"{""action"": ""keep"", ""scope"": ""automation_settings"", ""verification"": ""If temp targets remain common, review SMB behavior during those windows separately before considering any automation change.""}"
