experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_llama4maverick_50,profile.basal.00_00,profile,0.6 U/h,49,change,0.551,0.551,0.413–0.681,0.9925,27,22,0,3,0.65 u/h x19 | 0.55 u/h x5 | 0.55 x3
real_llama4maverick_50,profile.basal.05_00,profile,0.7 U/h,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,0.65 u/h x1
real_llama4maverick_50,profile.basal.06_00,profile,0.8 U/h,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,0.75 u/h x1
real_llama4maverick_50,profile.basal.10_00,profile,0.7 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.basal.16_00,profile,0.5 U/h,49,keep,0.959,0.041,0.011–0.137,0.246,2,47,0,2,0.55 u/h x1 | 0.6 u/h x1
real_llama4maverick_50,profile.basal.18_00,profile,0.6 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.basal.19_00,profile,0.7 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.cr.00_00,profile,13 g/U,49,keep,0.959,0.041,0.011–0.137,0.246,2,47,0,1,12.5 g/u x2
real_llama4maverick_50,profile.cr.04_00,profile,11.1 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.cr.08_00,profile,13.2 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.cr.16_00,profile,10.5 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.cr.20_00,profile,12.6 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.isf.00_00,profile,56 mg/dL/U,49,keep,0.918,0.082,0.032–0.192,0.4079,4,45,0,2,50 mg/dl/u x3 | 55 mg/dl/u x1
real_llama4maverick_50,profile.target.00_00,profile,90 mg/dL,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.target.08_00,profile,100 mg/dL,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.target.23_00,profile,90 mg/dL,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,profile.dia,profile,10 h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,aaps.core.safety_limits,aaps,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,49,change,0.551,0.551,0.413–0.681,0.9925,27,22,0,11,"max_basal_u_per_hour=12 u/h; max_iob_units=15 u x11 | max_basal_u_per_hour=12 u/h; max_iob_units=20 u x5 | {""max_iob_units"": 15} x3 | {""max_basal_u_per_hour"": 12, ""max_iob_units"": 15} x1 | max_iob_units=20 x1 | {""max_basal_u_per_hour"": 6, ""max_iob_units"": 10} x1 | max_iob_units=20 u x1 | {""max_iob_units"": 20} x1 | {""max_iob_units"": 15, ""max_basal_u_per_hour"": 6} x1 | max_basal_u_per_hour=10 u/h; max_iob_units=25 u x1 | max_iob_units=15 u x1"
real_llama4maverick_50,aaps.core.sensitivity,aaps,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_llama4maverick_50,aaps.core.carb_absorption,aaps,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
