experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gemini35flashlite_50,run_001,run_002,0.151,0.217,0.283,0.0,True,True
real_gemini35flashlite_50,run_001,run_003,0.088,0.598,0.227,1.0,False,False
real_gemini35flashlite_50,run_001,run_004,0.095,0.63,0.152,1.0,False,True
real_gemini35flashlite_50,run_001,run_005,0.207,0.498,0.07,1.0,True,True
real_gemini35flashlite_50,run_001,run_006,0.076,0.482,0.02,1.0,True,True
real_gemini35flashlite_50,run_001,run_007,0.177,0.455,0.302,1.0,True,True
real_gemini35flashlite_50,run_001,run_008,0.335,0.537,0.113,1.0,False,True
real_gemini35flashlite_50,run_001,run_009,0.198,0.436,0.035,1.0,True,True
real_gemini35flashlite_50,run_001,run_010,0.149,0.49,0.055,1.0,False,False
real_gemini35flashlite_50,run_001,run_011,0.109,0.651,0.251,1.0,False,False
real_gemini35flashlite_50,run_001,run_012,0.069,0.512,0.393,1.0,False,True
real_gemini35flashlite_50,run_001,run_013,0.108,0.497,0.047,1.0,False,False
real_gemini35flashlite_50,run_001,run_014,0.266,0.608,0.031,1.0,False,True
real_gemini35flashlite_50,run_001,run_015,0.273,0.226,0.375,0.0,False,False
real_gemini35flashlite_50,run_001,run_016,0.128,0.543,0.304,1.0,True,True
real_gemini35flashlite_50,run_001,run_017,0.213,0.669,0.075,1.0,False,True
real_gemini35flashlite_50,run_001,run_018,0.203,0.583,0.251,1.0,True,True
real_gemini35flashlite_50,run_001,run_019,0.303,0.637,0.036,1.0,False,True
real_gemini35flashlite_50,run_001,run_020,0.066,0.556,0.256,1.0,False,True
real_gemini35flashlite_50,run_001,run_021,0.292,0.53,0.037,1.0,True,True
real_gemini35flashlite_50,run_001,run_022,0.132,0.505,0.072,1.0,True,True
real_gemini35flashlite_50,run_001,run_023,0.263,0.556,0.295,0.0,False,True
real_gemini35flashlite_50,run_001,run_024,0.205,0.553,0.023,1.0,False,True
real_gemini35flashlite_50,run_001,run_026,0.053,0.267,0.023,0.0,False,True
real_gemini35flashlite_50,run_001,run_027,0.155,0.425,0.081,1.0,True,True
real_gemini35flashlite_50,run_001,run_028,0.104,0.473,0.053,0.0,False,True
real_gemini35flashlite_50,run_001,run_029,0.174,0.588,0.029,1.0,False,True
real_gemini35flashlite_50,run_001,run_030,0.257,0.526,0.082,0.0,False,True
real_gemini35flashlite_50,run_001,run_031,0.133,0.504,0.062,1.0,False,False
real_gemini35flashlite_50,run_001,run_032,0.179,0.536,0.312,1.0,True,True
real_gemini35flashlite_50,run_001,run_033,0.195,0.349,0.067,0.0,True,True
real_gemini35flashlite_50,run_001,run_034,0.193,0.679,0.058,1.0,True,True
real_gemini35flashlite_50,run_001,run_035,0.205,0.567,0.087,1.0,True,True
real_gemini35flashlite_50,run_001,run_036,0.225,0.464,0.023,1.0,True,True
real_gemini35flashlite_50,run_001,run_037,0.207,0.639,0.306,1.0,False,True
real_gemini35flashlite_50,run_001,run_038,0.154,0.563,0.034,1.0,True,True
real_gemini35flashlite_50,run_001,run_039,0.283,0.579,0.035,1.0,True,True
real_gemini35flashlite_50,run_001,run_040,0.046,0.25,0.068,0.0,False,True
real_gemini35flashlite_50,run_001,run_041,0.034,0.53,0.095,1.0,False,False
real_gemini35flashlite_50,run_001,run_042,0.192,0.551,0.018,1.0,False,False
real_gemini35flashlite_50,run_001,run_043,0.204,0.785,0.071,1.0,True,True
real_gemini35flashlite_50,run_001,run_044,0.188,0.575,0.045,1.0,False,True
real_gemini35flashlite_50,run_001,run_045,0.18,0.541,0.373,1.0,False,True
real_gemini35flashlite_50,run_001,run_046,0.086,0.599,0.089,1.0,True,True
real_gemini35flashlite_50,run_001,run_047,0.097,0.631,0.036,1.0,True,True
real_gemini35flashlite_50,run_001,run_048,0.054,0.57,0.027,0.0,False,True
real_gemini35flashlite_50,run_001,run_049,0.251,0.268,0.026,0.0,True,True
real_gemini35flashlite_50,run_001,run_050,0.086,0.722,0.043,1.0,False,True
real_gemini35flashlite_50,run_002,run_003,0.089,0.241,0.572,0.0,False,False
real_gemini35flashlite_50,run_002,run_004,0.059,0.218,0.103,0.0,False,True
real_gemini35flashlite_50,run_002,run_005,0.193,0.202,0.205,0.0,True,True
real_gemini35flashlite_50,run_002,run_006,0.077,0.254,0.032,0.0,True,True
real_gemini35flashlite_50,run_002,run_007,0.159,0.266,0.426,0.0,True,True
real_gemini35flashlite_50,run_002,run_008,0.164,0.145,0.067,0.0,False,True
real_gemini35flashlite_50,run_002,run_009,0.14,0.208,0.044,0.0,True,True
real_gemini35flashlite_50,run_002,run_010,0.174,0.198,0.055,0.0,False,False
real_gemini35flashlite_50,run_002,run_011,0.092,0.22,0.419,0.0,False,False
real_gemini35flashlite_50,run_002,run_012,0.042,0.218,0.294,0.0,False,True
real_gemini35flashlite_50,run_002,run_013,0.075,0.213,0.027,0.0,False,False
real_gemini35flashlite_50,run_002,run_014,0.126,0.21,0.131,0.0,False,True
real_gemini35flashlite_50,run_002,run_015,0.239,0.593,0.374,0.0,False,False
real_gemini35flashlite_50,run_002,run_016,0.161,0.177,0.526,0.0,True,True
real_gemini35flashlite_50,run_002,run_017,0.21,0.186,0.098,0.0,False,True
real_gemini35flashlite_50,run_002,run_018,0.202,0.179,0.422,0.0,True,True
real_gemini35flashlite_50,run_002,run_019,0.166,0.235,0.009,0.0,False,True
real_gemini35flashlite_50,run_002,run_020,0.07,0.234,0.524,0.0,False,True
real_gemini35flashlite_50,run_002,run_021,0.135,0.207,0.014,0.0,True,True
real_gemini35flashlite_50,run_002,run_022,0.2,0.135,0.227,0.0,True,True
real_gemini35flashlite_50,run_002,run_023,0.235,0.303,0.473,0.5,False,True
real_gemini35flashlite_50,run_002,run_024,0.134,0.217,0.02,0.0,False,True
real_gemini35flashlite_50,run_002,run_026,0.05,0.596,0.015,1.0,False,True
real_gemini35flashlite_50,run_002,run_027,0.076,0.183,0.182,0.0,True,True
real_gemini35flashlite_50,run_002,run_028,0.057,0.303,0.029,0.5,False,True
real_gemini35flashlite_50,run_002,run_029,0.299,0.203,0.022,0.0,False,True
real_gemini35flashlite_50,run_002,run_030,0.189,0.288,0.105,0.5,False,True
real_gemini35flashlite_50,run_002,run_031,0.101,0.217,0.015,0.0,False,False
real_gemini35flashlite_50,run_002,run_032,0.275,0.228,0.412,0.0,True,True
real_gemini35flashlite_50,run_002,run_033,0.029,0.558,0.075,1.0,True,True
real_gemini35flashlite_50,run_002,run_034,0.16,0.241,0.098,0.0,True,True
real_gemini35flashlite_50,run_002,run_035,0.2,0.166,0.119,0.0,True,True
real_gemini35flashlite_50,run_002,run_036,0.23,0.212,0.012,0.0,True,True
real_gemini35flashlite_50,run_002,run_037,0.174,0.266,0.348,0.0,False,True
real_gemini35flashlite_50,run_002,run_038,0.084,0.2,0.048,0.0,True,True
real_gemini35flashlite_50,run_002,run_039,0.184,0.164,0.025,0.0,True,True
real_gemini35flashlite_50,run_002,run_040,0.095,0.614,0.033,1.0,False,True
real_gemini35flashlite_50,run_002,run_041,0.108,0.148,0.091,0.0,False,False
real_gemini35flashlite_50,run_002,run_042,0.161,0.141,0.111,0.0,False,False
real_gemini35flashlite_50,run_002,run_043,0.235,0.243,0.101,0.0,True,True
real_gemini35flashlite_50,run_002,run_044,0.209,0.26,0.132,0.0,False,True
real_gemini35flashlite_50,run_002,run_045,0.204,0.209,0.271,0.0,False,True
real_gemini35flashlite_50,run_002,run_046,0.106,0.205,0.098,0.0,True,True
real_gemini35flashlite_50,run_002,run_047,0.035,0.211,0.046,0.0,True,True
real_gemini35flashlite_50,run_002,run_048,0.052,0.161,0.008,0.5,False,True
real_gemini35flashlite_50,run_002,run_049,0.071,0.479,0.118,0.5,True,True
real_gemini35flashlite_50,run_002,run_050,0.053,0.261,0.175,0.0,False,True
real_gemini35flashlite_50,run_003,run_004,0.116,0.724,0.095,1.0,False,False
real_gemini35flashlite_50,run_003,run_005,0.105,0.61,0.114,1.0,False,False
real_gemini35flashlite_50,run_003,run_006,0.069,0.549,0.038,1.0,False,False
real_gemini35flashlite_50,run_003,run_007,0.121,0.593,0.361,1.0,False,False
real_gemini35flashlite_50,run_003,run_008,0.137,0.644,0.062,1.0,False,False
real_gemini35flashlite_50,run_003,run_009,0.073,0.5,0.091,1.0,False,False
real_gemini35flashlite_50,run_003,run_010,0.131,0.464,0.391,1.0,False,False
real_gemini35flashlite_50,run_003,run_011,0.053,0.682,0.435,1.0,True,False
real_gemini35flashlite_50,run_003,run_012,0.133,0.715,0.339,1.0,True,False
real_gemini35flashlite_50,run_003,run_013,0.2,0.443,0.034,1.0,False,True
real_gemini35flashlite_50,run_003,run_014,0.086,0.605,0.116,1.0,True,False
real_gemini35flashlite_50,run_003,run_015,0.116,0.292,0.343,0.0,False,False
real_gemini35flashlite_50,run_003,run_016,0.12,0.537,0.589,1.0,False,False
real_gemini35flashlite_50,run_003,run_017,0.08,0.562,0.23,1.0,False,False
real_gemini35flashlite_50,run_003,run_018,0.16,0.638,0.419,1.0,False,False
real_gemini35flashlite_50,run_003,run_019,0.062,0.654,0.053,1.0,False,False
real_gemini35flashlite_50,run_003,run_020,0.128,0.602,0.604,1.0,False,False
real_gemini35flashlite_50,run_003,run_021,0.102,0.705,0.015,1.0,False,False
real_gemini35flashlite_50,run_003,run_022,0.078,0.547,0.049,1.0,False,False
real_gemini35flashlite_50,run_003,run_023,0.079,0.563,0.511,0.0,False,False
real_gemini35flashlite_50,run_003,run_024,0.069,0.642,0.021,1.0,False,False
real_gemini35flashlite_50,run_003,run_026,0.067,0.2,0.054,0.0,False,False
real_gemini35flashlite_50,run_003,run_027,0.164,0.525,0.249,1.0,False,False
real_gemini35flashlite_50,run_003,run_028,0.148,0.484,0.036,0.0,False,False
real_gemini35flashlite_50,run_003,run_029,0.115,0.656,0.024,1.0,True,False
real_gemini35flashlite_50,run_003,run_030,0.074,0.649,0.136,0.0,False,False
real_gemini35flashlite_50,run_003,run_031,0.236,0.543,0.187,1.0,False,True
real_gemini35flashlite_50,run_003,run_032,0.203,0.591,0.354,1.0,False,False
real_gemini35flashlite_50,run_003,run_033,0.116,0.271,0.152,0.0,False,False
real_gemini35flashlite_50,run_003,run_034,0.083,0.623,0.127,1.0,False,False
