experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_opus5,run_001,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,"Evidence: the 00:00 to 03:00 local hours run on this rate and show 11.4, 18.5 and 10.1 percent time below range, but the 03:00 to 06:00 local hours run on the same 0.6 rate and higher and show only 10.2, 3.0 and 4.8 percent falling to near zero, and the preceding 21:00 to 23:00 local hours already decline from 120.0 to 105.7 mg/dL. Uncertainty: this pattern is better explained as carry-in from afternoon and evening automation output, with insulin-on-board peaks of 4.73 and 5.935 units under a 10-hour DIA, than as steady-state basal excess. Dependencies: cannot be separated from the max_iob and SMB exposure changes; reassess only after those have been observed."
real_opus5,run_001,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,"Evidence: the 05:00 and 06:00 local hours both average 99.5 mg/dL with 2.5 and 1.3 percent time below range and 0.0 percent above range, which is the most stable part of the entire day. Uncertainty: none material for this segment. Dependencies: none; no change is indicated in either direction."
real_opus5,run_001,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,"Evidence: the 06:00 to 10:00 local block covered by this rate shows averages of 99.5, 110.5, 132.9 and 148.0 mg/dL with time below range of 1.3, 0.0, 0.0 and 1.2 percent, so there is no fasting drop and no dawn shortfall. Uncertainty: the rise from 08:00 onward coincides with the morning unannounced meal peaking at about two hours, so the higher values are meal-shaped rather than basal-driven. Dependencies: separating meal effect here requires the carbohydrate logging observation; until then no basal change is supportable."
real_opus5,run_001,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,"Evidence: the 10:00 to 16:00 local block shows a progressive rise to 162.8 mg/dL with above-range values of 20.2, 7.5, 14.0, 16.6, 26.3 and 23.6 percent. Uncertainty: with zero carb entries and carbohydrates on board at zero in every sampled loop status, these excursions are meal-shaped and the loop already responds with boosted SMB and temp basal up to 4 U/h, a magnitude no basal segment change could supply. Dependencies: per the analysis rule, this must not be labelled a basal defect while unannounced meals remain a plausible explanation; blocked pending carbohydrate logging."
real_opus5,run_001,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,"Evidence: this is the lowest scheduled rate of the day and it overlaps the highest above-range hour, 16:00 local at 162.8 mg/dL and 32.1 percent above range, which superficially suggests an increase. Uncertainty: the same window contains 0.0 percent time below range at 16:00 but is immediately followed by 7.7 and 15.3 percent at 18:00 and 19:00 local, so adding basal here would push insulin directly into the constrained 17:00 to 02:00 window identified as the dominant safety signal. The 08-17 and 08-18 temporary targets of 135 mg/dL also suppressed SMB in this block, making the above-range figure partly a configuration artefact. Dependencies: blocked by the safety constraint and by the unresolved meal announcement question."
real_opus5,run_001,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,"Evidence: the 18:00 local hour shows 7.7 percent time below range with a minimum of 42 mg/dL while the profile raises basal from 0.5 to 0.6 here, so scheduled shape and observed risk point in opposite directions. Uncertainty: the evening insulin excess visible as 4.73 and 5.935 units of insulin on board is an order of magnitude larger than this 0.1 U/h step, and the 03:00 to 06:00 hours on comparable rates are clean, so basal is demoted as a primary cause. Dependencies: must not be changed together with the max_iob change; reassess only if evening lows persist after automation exposure is reduced."
real_opus5,run_001,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,"Evidence: the 19:00 local hour carries the highest time below range of any hour at 15.3 percent with a minimum of 41 mg/dL, and two of the three level 2 episodes fall at 08-13 around 18:00 and 08-14 around 19:10 local. Uncertainty: both of those episodes follow a large afternoon excursion and a boosted correction, including 0.2 units at 08-14 17:20 local followed by minus 178 mg/dL at 120 minutes, so the tail of afternoon dosing rather than the basal step is the leading explanation. Dependencies: this is the second candidate profile change after DIA, but only once the automation exposure change has been observed and only one at a time."
real_opus5,run_001,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,"Evidence: carb_entries is 0, total_carbs_g is 0.0, carb_treatment_entries is an empty array and carbohydrates on board are zero in all 24 sampled loop statuses, so this segment has never sized a bolus and appears only as the algorithm denominator. Uncertainty: complete; there is no observation that could support or refute this value. Dependencies: becomes assessable only after the carbohydrate logging observation; changing it now would be blind."
real_opus5,run_001,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,Evidence: no carb entry exists in the 04:00 to 08:00 local window or anywhere else in the 14-day period; loop-reported carb ratio values of 11.1 confirm the segment is loaded but never exercised for a meal. Uncertainty: complete. Dependencies: blocked pending carbohydrate logging.
real_opus5,run_001,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,"Evidence: the morning excursion from 08:00 to 10:00 local peaking near 148.0 mg/dL is handled entirely by reactive UAM with no carb entry, so no carb ratio effect can be observed. Uncertainty: complete. Dependencies: this is the second-most relevant segment for a future carbohydrate logging trial after the midday one; no change until measured."
real_opus5,run_001,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,"Evidence: this is the strongest carb ratio of the day and covers the highest above-range hours, but with zero carb entries it has never produced a meal bolus. Uncertainty: complete; note that if carbohydrate logging begins, this strong ratio becomes live in exactly the window that already precedes the evening hypoglycemia cluster, which is a genuine new exposure to monitor rather than a neutral change. Dependencies: blocked pending carbohydrate logging; must not be adjusted preemptively."
real_opus5,run_001,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,"Evidence: no carb entry exists in the 20:00 to 24:00 local window; the 21:00 and 22:00 local hours show only a small rise to 120.0 and 127.6 mg/dL, insufficient to characterise as a distinct meal pattern. Uncertainty: complete. Dependencies: blocked pending carbohydrate logging."
