experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gpt54mini_med_50,run_001,run_002,0.024,0.788,0.047,1.0,True,True
real_gpt54mini_med_50,run_001,run_003,0.118,0.597,0.563,1.0,True,True
real_gpt54mini_med_50,run_001,run_004,0.06,0.719,0.07,1.0,False,True
real_gpt54mini_med_50,run_001,run_005,0.107,0.591,0.037,1.0,False,True
real_gpt54mini_med_50,run_001,run_006,0.05,0.746,0.056,1.0,False,True
real_gpt54mini_med_50,run_001,run_007,0.045,0.511,0.045,1.0,False,False
real_gpt54mini_med_50,run_001,run_008,0.061,0.579,0.409,1.0,True,True
real_gpt54mini_med_50,run_001,run_009,0.021,0.039,0.378,1.0,True,True
real_gpt54mini_med_50,run_001,run_010,0.055,0.662,0.462,1.0,True,True
real_gpt54mini_med_50,run_001,run_011,0.16,0.408,0.503,1.0,False,True
real_gpt54mini_med_50,run_001,run_012,0.053,0.52,0.049,1.0,True,True
real_gpt54mini_med_50,run_001,run_013,0.028,0.572,0.087,1.0,False,True
real_gpt54mini_med_50,run_001,run_014,0.02,0.408,0.433,1.0,True,True
real_gpt54mini_med_50,run_001,run_015,0.017,0.713,0.022,1.0,True,True
real_gpt54mini_med_50,run_001,run_016,0.06,0.584,0.069,1.0,False,True
real_gpt54mini_med_50,run_001,run_017,0.024,0.669,0.148,1.0,True,True
real_gpt54mini_med_50,run_001,run_018,0.032,0.637,0.03,1.0,False,True
real_gpt54mini_med_50,run_001,run_019,0.15,0.555,0.118,1.0,False,True
real_gpt54mini_med_50,run_001,run_020,0.04,0.676,0.138,1.0,True,True
real_gpt54mini_med_50,run_001,run_021,0.052,0.772,0.074,1.0,False,True
real_gpt54mini_med_50,run_001,run_022,0.065,0.755,0.048,1.0,True,True
real_gpt54mini_med_50,run_001,run_023,0.08,0.789,0.234,1.0,True,True
real_gpt54mini_med_50,run_001,run_024,0.044,0.699,0.038,1.0,True,True
real_gpt54mini_med_50,run_001,run_025,0.03,0.355,0.043,0.0,True,True
real_gpt54mini_med_50,run_001,run_026,0.14,0.683,0.06,1.0,True,True
real_gpt54mini_med_50,run_001,run_027,0.029,0.763,0.069,1.0,False,True
real_gpt54mini_med_50,run_001,run_028,0.03,0.707,0.1,1.0,True,True
real_gpt54mini_med_50,run_001,run_029,0.039,0.671,0.117,1.0,True,True
real_gpt54mini_med_50,run_001,run_030,0.08,0.705,0.179,1.0,True,True
real_gpt54mini_med_50,run_001,run_031,0.069,0.569,0.053,1.0,True,True
real_gpt54mini_med_50,run_001,run_032,0.028,0.579,0.047,1.0,True,True
real_gpt54mini_med_50,run_001,run_033,0.074,0.408,0.046,1.0,True,True
real_gpt54mini_med_50,run_001,run_034,0.054,0.613,0.032,1.0,True,True
real_gpt54mini_med_50,run_001,run_035,0.035,0.669,0.078,1.0,False,True
real_gpt54mini_med_50,run_001,run_036,0.063,0.743,0.07,1.0,False,True
real_gpt54mini_med_50,run_001,run_037,0.064,0.596,0.059,1.0,False,True
real_gpt54mini_med_50,run_001,run_038,0.043,0.598,0.065,1.0,True,True
real_gpt54mini_med_50,run_001,run_039,0.096,0.664,0.04,1.0,True,True
real_gpt54mini_med_50,run_001,run_040,0.031,0.762,0.065,1.0,True,True
real_gpt54mini_med_50,run_001,run_041,0.096,0.715,0.034,1.0,False,True
real_gpt54mini_med_50,run_001,run_042,0.024,0.677,0.043,1.0,True,True
real_gpt54mini_med_50,run_001,run_043,0.108,0.636,0.201,1.0,True,True
real_gpt54mini_med_50,run_001,run_044,0.05,0.669,0.112,1.0,True,True
real_gpt54mini_med_50,run_001,run_045,0.069,0.772,0.054,1.0,True,True
real_gpt54mini_med_50,run_001,run_046,0.06,0.401,0.06,0.0,True,True
real_gpt54mini_med_50,run_001,run_047,0.052,0.659,0.057,1.0,True,True
real_gpt54mini_med_50,run_001,run_048,0.074,0.588,0.097,1.0,True,True
real_gpt54mini_med_50,run_001,run_049,0.055,0.586,0.131,1.0,False,True
real_gpt54mini_med_50,run_001,run_050,0.056,0.671,0.406,1.0,True,True
real_gpt54mini_med_50,run_002,run_003,0.035,0.488,0.531,1.0,True,True
real_gpt54mini_med_50,run_002,run_004,0.024,0.73,0.012,1.0,False,True
real_gpt54mini_med_50,run_002,run_005,0.061,0.629,0.093,1.0,False,True
real_gpt54mini_med_50,run_002,run_006,0.03,0.677,0.026,1.0,False,True
real_gpt54mini_med_50,run_002,run_007,0.037,0.543,0.031,1.0,False,False
real_gpt54mini_med_50,run_002,run_008,0.026,0.607,0.572,1.0,True,True
real_gpt54mini_med_50,run_002,run_009,0.019,0.038,0.455,1.0,True,True
real_gpt54mini_med_50,run_002,run_010,0.03,0.581,0.568,1.0,True,True
real_gpt54mini_med_50,run_002,run_011,0.058,0.402,0.649,1.0,False,True
real_gpt54mini_med_50,run_002,run_012,0.023,0.567,0.011,1.0,True,True
real_gpt54mini_med_50,run_002,run_013,0.05,0.601,0.029,1.0,False,True
real_gpt54mini_med_50,run_002,run_014,0.018,0.402,0.531,1.0,True,True
real_gpt54mini_med_50,run_002,run_015,0.018,0.66,0.039,1.0,True,True
real_gpt54mini_med_50,run_002,run_016,0.049,0.556,0.059,1.0,False,True
real_gpt54mini_med_50,run_002,run_017,0.033,0.595,0.161,1.0,True,True
real_gpt54mini_med_50,run_002,run_018,0.011,0.681,0.027,1.0,False,True
real_gpt54mini_med_50,run_002,run_019,0.036,0.548,0.186,1.0,False,True
real_gpt54mini_med_50,run_002,run_020,0.04,0.628,0.027,1.0,True,True
real_gpt54mini_med_50,run_002,run_021,0.051,0.758,0.11,1.0,False,True
real_gpt54mini_med_50,run_002,run_022,0.033,0.66,0.051,1.0,True,True
real_gpt54mini_med_50,run_002,run_023,0.031,0.723,0.24,1.0,True,True
real_gpt54mini_med_50,run_002,run_024,0.014,0.699,0.044,1.0,True,True
real_gpt54mini_med_50,run_002,run_025,0.022,0.365,0.182,0.0,True,True
real_gpt54mini_med_50,run_002,run_026,0.035,0.628,0.022,1.0,True,True
real_gpt54mini_med_50,run_002,run_027,0.026,0.68,0.045,1.0,False,True
real_gpt54mini_med_50,run_002,run_028,0.033,0.556,0.037,1.0,True,True
real_gpt54mini_med_50,run_002,run_029,0.046,0.618,0.164,1.0,True,True
real_gpt54mini_med_50,run_002,run_030,0.024,0.59,0.246,1.0,True,True
real_gpt54mini_med_50,run_002,run_031,0.023,0.6,0.059,1.0,True,True
