experiment,slot,group,kind,n_runs,group_runs,representative
real_gemini36flash_50,decision: Profile / basal 00:00,keep,varying,8,39,Overnight lows are primarily driven by the low target (90 mg/dL).
real_gemini36flash_50,decision: Profile / basal 00:00,keep,varying,6,39,Target should be adjusted first before altering basal rates.
real_gemini36flash_50,decision: Profile / basal 00:00,keep,varying,5,39,Maintain overnight basal rate at 0.6 U/h while evaluating the effect of raising overnight glucose target to 100 mg/dL.
real_gemini36flash_50,decision: Profile / basal 00:00,keep,varying,4,39,Overnight glucose drops at 00:00-03:00 are confounded by late evening UAM SMB insulin stacking.
real_gemini36flash_50,decision: Profile / basal 00:00,keep,varying,4,39,Keep basal unchanged while raising overnight target.
real_gemini36flash_50,decision: Profile / basal 00:00,keep,varying,3,39,Baseline overnight basal is appropriate; nocturnal low risk should first be addressed by raising target from 90 to 100 mg/dL before altering basal rates.
real_gemini36flash_50,decision: Profile / basal 00:00,change,varying,5,11,Reducing basal from 0.6 U/h to 0.5 U/h prevents excessive nocturnal background insulin delivery.
real_gemini36flash_50,decision: Profile / basal 00:00,change,varying,4,11,High nocturnal hypoglycemia (18.5% TBR at 01:00 local) indicates background basal is too high during early sleep hours despite loop suspensions.
real_gemini36flash_50,decision: Profile / basal 00:00,change,varying,4,11,Overnight TBR reaches 18.5% around 01:00 local time.
real_gemini36flash_50,decision: Profile / basal 05:00,keep,shared,31,50,Fasting glucose between 05:00 and 06:00 is stable (avg 99.5-104.2 mg/dL) with low hypoglycemia risk (TBR 2.5%-4.8%).
real_gemini36flash_50,decision: Profile / basal 05:00,keep,varying,7,50,Basal rate is well calibrated.
real_gemini36flash_50,decision: Profile / basal 05:00,keep,varying,4,50,Early morning fasting stability is good with TIR 95.2-97.5% between 04:00 and 07:00 local.
real_gemini36flash_50,decision: Profile / basal 05:00,keep,varying,4,50,Keep current rate.
real_gemini36flash_50,decision: Profile / basal 05:00,keep,varying,3,50,"Glucose stability between 05:00 and 06:00 local time is adequate (mean BG 99.5 mg/dL, 95.2% TIR)."
real_gemini36flash_50,decision: Profile / basal 05:00,keep,varying,3,50,Fasting stability between 05:00 and 06:00 is excellent (95.2% TIR) with minimal hypo risk.
real_gemini36flash_50,decision: Profile / basal 05:00,keep,varying,3,50,Current rate is appropriate.
real_gemini36flash_50,decision: Profile / basal 06:00,keep,varying,14,50,Morning fasting window (06:00-08:00 local time) shows excellent stability with 97.5-98.7% TIR and minimal hypo risk (<2.5% TBR).
real_gemini36flash_50,decision: Profile / basal 06:00,keep,varying,13,50,Morning glucose remains stable with average 99.5-110.5 mg/dL between 06:00 and 09:00 local time.
real_gemini36flash_50,decision: Profile / basal 06:00,keep,varying,7,50,Keep current rate.
real_gemini36flash_50,decision: Profile / basal 06:00,keep,varying,5,50,Morning baseline glucose remains well within target range.
real_gemini36flash_50,decision: Profile / basal 06:00,keep,varying,4,50,Morning glucose (06:00-10:00) is stable (avg 99.5-132.9 mg/dL) with <1.3% TBR.
real_gemini36flash_50,decision: Profile / basal 06:00,keep,varying,4,50,Current basal rate is effective.
real_gemini36flash_50,decision: Profile / basal 10:00,keep,varying,9,50,Midday glucose rise is driven by unannounced meals rather than basal deficiency.
real_gemini36flash_50,decision: Profile / basal 10:00,keep,varying,8,50,Midday rise (TAR 20.2% at 10:00 local) coincides with unannounced meal absorption.
real_gemini36flash_50,decision: Profile / basal 10:00,keep,varying,5,50,Daytime glucose variations are heavily confounded by unannounced meals.
real_gemini36flash_50,decision: Profile / basal 10:00,keep,varying,5,50,Maintain basal until meal bolusing is established.
real_gemini36flash_50,decision: Profile / basal 10:00,keep,varying,4,50,Daytime glucose variations are dominated by unannounced meals and dynamic loop interventions.
real_gemini36flash_50,decision: Profile / basal 10:00,keep,varying,4,50,Basal setting cannot be isolated until meal carb entries are logged.
real_gemini36flash_50,decision: Profile / basal 16:00,keep,varying,7,50,"Late afternoon lows at 18:00–19:00 are driven by accumulated UAM microboluses from afternoon spikes, not basal excess at 16:00."
real_gemini36flash_50,decision: Profile / basal 16:00,keep,varying,7,50,Late afternoon rises are driven by unannounced meal absorption rather than basal deficiency.
real_gemini36flash_50,decision: Profile / basal 16:00,keep,varying,5,50,Afternoon peak glucose (16:00 local avg 162.8 mg/dL) is driven by postprandial UAM absorption.
real_gemini36flash_50,decision: Profile / basal 16:00,keep,varying,5,50,Late afternoon drops are caused by dynamic ISF SMB stacking.
real_gemini36flash_50,decision: Profile / basal 16:00,keep,varying,3,50,Late afternoon hypoglycemic crashes (15.3% TBR at 19:00 local) stem from dynamic ISF and UAM SMB stacking (up to 5.9 U IOB) rather than excessive scheduled basal (0.5 U/h).
real_gemini36flash_50,decision: Profile / basal 16:00,keep,varying,3,50,Basal rate of 0.5 U/h is appropriate.
real_gemini36flash_50,decision: Profile / basal 18:00,keep,varying,8,49,Hypoglycemia at 18:00–19:00 is caused by earlier UAM SMB stacking rather than excessive basal insulin.
real_gemini36flash_50,decision: Profile / basal 18:00,keep,varying,6,49,Hypoglycemia at 19:00 (15.3% TBR) is driven by afternoon UAM SMB stacking rather than basal excess.
real_gemini36flash_50,decision: Profile / basal 18:00,keep,varying,5,49,Maintain current basal rate pending meal bolus timing adjustments.
real_gemini36flash_50,decision: Profile / basal 18:00,keep,varying,4,49,Evening lows at 19:00 (15.3% TBR) are driven by stacked afternoon UAM SMBs.
real_gemini36flash_50,decision: Profile / basal 18:00,keep,varying,3,49,Withhold basal change until safety limits are tightened.
real_gemini36flash_50,decision: Profile / basal 18:00,keep,varying,3,49,Keep rate unchanged until automation dynamic ISF over-dosing is resolved.
real_gemini36flash_50,decision: Profile / basal 19:00,keep,varying,8,47,Evening glucose stabilizes after 20:00 (TIR 92.3%).
real_gemini36flash_50,decision: Profile / basal 19:00,keep,varying,4,47,TBR peaks at 15.3% at 19:00 local.
real_gemini36flash_50,decision: Profile / basal 19:00,keep,varying,2,47,"Evening glucose stabilizes after 20:00 (avg 117-120 mg/dL, TIR >88%), supporting the 0.7 U/h setting."
real_gemini36flash_50,decision: Profile / basal 19:00,keep,varying,2,47,"However, this is driven by stacked afternoon UAM SMBs rather than basal excess alone."
real_gemini36flash_50,decision: Profile / basal 19:00,keep,varying,2,47,Nighttime transition basal is stable; maintain current rate and evaluate after addressing overnight target and safety limits.
real_gemini36flash_50,decision: Profile / basal 19:00,keep,varying,2,47,Maintain scheduled rate until meal SMB over-delivery is resolved through upfront carb logging.
real_gemini36flash_50,decision: Profile / CR 00:00,keep,varying,15,50,Zero carb entries logged in telemetry.
real_gemini36flash_50,decision: Profile / CR 00:00,keep,varying,7,50,CR cannot be evaluated directly; maintain current setting until meal logging is established.
real_gemini36flash_50,decision: Profile / CR 00:00,keep,varying,6,50,CR cannot be evaluated without meal data.
real_gemini36flash_50,decision: Profile / CR 00:00,keep,varying,5,50,Absence of logged carbohydrate entries prevents direct evaluation of CR accuracy.
real_gemini36flash_50,decision: Profile / CR 00:00,keep,varying,5,50,Evidence: Zero meal carb entries logged.
real_gemini36flash_50,decision: Profile / CR 00:00,keep,varying,4,50,Zero carb entries logged in Nightscout; insufficient data to evaluate CR accuracy.
real_gemini36flash_50,decision: Profile / CR 04:00,keep,varying,12,50,Evidence: Zero carb entries logged.
real_gemini36flash_50,decision: Profile / CR 04:00,keep,varying,6,50,No early morning meal entries logged.
real_gemini36flash_50,decision: Profile / CR 04:00,keep,varying,5,50,CR cannot be evaluated without logged meals.
real_gemini36flash_50,decision: Profile / CR 04:00,keep,varying,4,50,Zero carb entries logged in Nightscout; insufficient data to evaluate CR accuracy.
real_gemini36flash_50,decision: Profile / CR 04:00,keep,varying,4,50,No early morning meal carb entries were recorded.
real_gemini36flash_50,decision: Profile / CR 04:00,keep,varying,4,50,Keep current value.
real_gemini36flash_50,decision: Profile / CR 08:00,keep,varying,14,50,Zero carb entries logged in telemetry.
real_gemini36flash_50,decision: Profile / CR 08:00,keep,varying,5,50,Morning meals are unannounced.
real_gemini36flash_50,decision: Profile / CR 08:00,keep,varying,4,50,CR cannot be evaluated without logged meals.
real_gemini36flash_50,decision: Profile / CR 08:00,keep,varying,4,50,Maintain current setting.
