experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_gpt54mini_med_50,run_001,completed,,gpt-5.4-mini,152.66,,154359,27108,True,strict,False,0.9706,1,"steps with invalid status [] / confidence ['automation_smb_uam', 'synthesis_plan']",True,strict,False,"analysis_steps.automation_smb_uam.confidence, analysis_steps.synthesis_plan.confidence",1,accepted_first_pass,True,steps_enums_valid,1,0.0,0.0,,False,0,23,0,,basal,keep,medium,Keep the basal profile unchanged for now and verify with one overnight fasting window plus one late-morning or afternoon window before any basal change.,low,2,"Keep meal dosing conservative and documented: use a prebolus for predictable meals if that is already part of your routine, keep the immediate bolus at the full planned amount unless a documented split is already being used, leave SMB/UAM as a background correction layer, and do not add e-carbs from this dataset.",1,basal,Keep the current profile unchanged and verify with fasting data first,high,basal,4,4,4,"CGM coverage and telemetry quality are strong enough for review, but the 14-day trace shows a safety-relevant mix of recurrent lows and daytime rises. The current evidence supports keeping the profile and automation unchanged for now, because meal timing, correction timing, IOB, and device events still confound basal and CR interpretation.",341
real_gpt54mini_med_50,run_002,completed,,gpt-5.4-mini,131.13,,154915,22772,True,strict,False,0.9706,1,steps with invalid status [] / confidence ['profile_cr_isf_dia'],True,strict,False,analysis_steps.profile_cr_isf_dia.confidence,1,accepted_first_pass,True,steps_enums_valid,1,0.0,0.0,,False,0,23,0,,basal,keep,medium,Keep the basal profile unchanged for now and verify with one overnight no-meal window plus one midday no-meal window before considering any profile change.,low,2,"For predictable meals, use a consistent prebolus when feasible and keep most of the meal bolus upfront; let SMB/UAM manage only the residual rise, and do not add routine e-carbs unless a repeated meal-linked delayed-rise pattern is documented.",1,basal,Keep the current profile unchanged and verify with separated no-meal observations,high,basal,4,4,4,"Over 14 days, CGM quality was good and the active AAPS profile is complete, but the dominant pattern is daytime hyperglycemia from late morning through afternoon with recurrent overnight and late-evening lows. Automation is active and appears to be compensating for real excursions rather than clearly misconfigured, while meal-specific evidence is too sparse to justify a confident bolus or e-carb change.",406
real_gpt54mini_med_50,run_003,completed,,gpt-5.4-mini,140.04,,152861,24722,True,strict,False,0.9706,1,meal_strategy_summary.confidence=low-to-medium,True,strict,False,meal_strategy_summary.confidence,1,accepted_first_pass,True,meal_confidence_valid,1,0.0,0.0,,False,0,23,0,,basal,keep,medium,"Keep the current profile unchanged and verify basal only after one fasted overnight observation, while leaving other settings unchanged.",low-to-medium,2,"Use a modest consistent prebolus for ordinary meals, keep the full immediate bolus as the default, let SMB/UAM handle unexpected rises, and do not add e-carbs from this dataset alone.",2,basal,Keep profile unchanged pending one fasting verification,high,basal;meal,4,4,4,"Good CGM coverage and a coherent active AAPS profile support pattern review, but the 14-day trace shows two main unresolved issues: overnight/late-evening hypoglycemia and recurrent afternoon hyperglycemia. The package does not support changing the profile or automation settings now; the safest next step is to keep the current setup and gather meal-linked evidence before revisiting dependent settings.",404
real_gpt54mini_med_50,run_004,completed,,gpt-5.4-mini,111.71,,151933,19617,True,strict,False,0.9706,1,"steps with invalid status [] / confidence ['profile_cr_isf_dia', 'automation_sensitivity_limits']",True,strict,False,"analysis_steps.profile_cr_isf_dia.confidence, analysis_steps.automation_sensitivity_limits.confidence",1,accepted_first_pass,True,steps_enums_valid,1,0.0,0.0,,False,0,23,0,,basal,keep,medium,"Keep the current basal profile unchanged for now, and verify it with one meal-free overnight observation or one well-documented daytime comparison window before considering any basal change.",low,2,"Keep meal bolusing conservative: use only a modest prebolus when the trend is stable, avoid increasing immediate bolus percentage without meal-linked evidence, let SMB/UAM cover the residual rise, and do not use e-carbs routinely from this package alone.",3,profile,Keep the current profile and verify with one focused test,high,profile;automation;meal_strategy,4,4,4,"Strong CGM coverage and a coherent AAPS profile support review, but the period shows mixed control: recurrent lows overnight/late evening and recurrent highs late morning through mid-afternoon. The evidence does not cleanly separate basal, meal, correction, and automation effects, so no profile change is supported yet; the safest next step is to keep the current profile and verify the pattern with better meal-linked observation.",432
real_gpt54mini_med_50,run_005,completed,,gpt-5.4-mini,150.39,,153983,25925,True,strict,False,0.9706,1,"steps with invalid status [] / confidence ['profile_cr_isf_dia', 'automation_smb_uam']",True,strict,False,"analysis_steps.profile_cr_isf_dia.confidence, analysis_steps.automation_smb_uam.confidence",1,accepted_first_pass,True,steps_enums_valid,1,0.0,0.0,,False,0,23,0,,basal,keep,medium,Keep the current basal profile for now and verify it with one meal-linked day before changing any basal segment.,low,1,"Keep any meal bolus approach conservative for now: do not increase the immediate bolus percentage from this dataset alone, use a modest verified prebolus when meals are logged, let SMB/UAM handle residual rise when targets and IOB allow it, and do not add routine e-carbs unless a specific slow-absorption meal pattern is later documented.",1,profile,Keep the current profile and verify with meal-linked observation first,high,profile,4,4,4,"Over the 14-day period, glucose control is fairly good overall (86.0% time in range) but with a mixed safety pattern: recurrent overnight/late-day lows and a consistent late-morning to afternoon rise. CGM coverage and profile completeness are strong enough for review, but the absence of meal carb logs means meal, correction, IOB, target, and automation effects cannot be cleanly separated. The package supports keeping the current profile and automation settings for now while verifying with meal-linked data before any dependent change.",539
real_gpt54mini_med_50,run_006,completed,,gpt-5.4-mini,98.66,,116061,15802,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep the basal profile unchanged for now, and verify it with one overnight fasting-like block and one afternoon fasting-like block before revisiting any basal segment.",low,2,"Use a more deliberate prebolus as the working meal strategy, keep the immediate bolus fraction at the user’s usual declared practice until meal-linked evidence shows a need to change it, let SMB/UAM mop up residual rise, and reserve e-carbs for a clearly repeated delayed-rise pattern only.",3,profile,Keep the current profile unchanged and verify with one clean fasting-like block,high,profile;automation;meal_strategy,4,4,4,"CGM data quality is good and overall control is strong, but the pattern remains mixed: meaningful lows coexist with a late-morning to afternoon rise, while missing meal-link data prevents separating basal, CR, ISF, target, and automation effects with confidence.",262
real_gpt54mini_med_50,run_007,completed,,gpt-5.4-mini,126.29,,115702,20371,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,cr,keep,low,Keep the current carb ratios unchanged for now and verify meal timing on one documented meal before revisiting CR.,low,2,"Use a conservative meal strategy: if a meal repeatedly rises after eating, start prebolus earlier and keep most meal insulin up front, keep SMB/UAM active as background support, and do not use routine e-carbs unless the same delayed-rise pattern is documented again.",3,profile,"Keep the current profile unchanged and verify with a meal-logged day before any basal, CR, ISF, target, or DIA revision",high,profile;automation;meal_strategy,4,4,4,"Overall control is fairly strong with good CGM coverage and high time-in-range, but there are meaningful lows and a recurring late-morning to afternoon rise that is not yet separable from meal timing, bolus timing, or automation effects.",237
real_gpt54mini_med_50,run_008,completed,,gpt-5.4-mini,132.08,,149021,22940,True,strict,False,0.9706,1,"meal_strategy_summary fields: ['confidence', 'confidence_note', 'exceptions', 'next_observation', 'rationale', 'suggestion']",True,strict,False,meal_strategy_summary,1,accepted_first_pass,True,meal_fields_exact,1,0.0,0.0,,False,0,23,0,,basal,keep,medium,Keep the current basal profile unchanged for now and verify the pattern with structured meal/correction logging before making any segment change.,low,0,"Keep prebolus and immediate bolus settings unchanged for now, use SMB/UAM only for unannounced rises, and do not add e-carbs unless a repeated slow-rise meal pattern is documented.",3,basal,Keep the current profile unchanged for now,high,basal;automation;meal_strategy,5,5,4,"Good CGM coverage and a coherent active AAPS profile are present, but the dominant pattern is recurrent hypoglycemia risk alongside a daytime rise that cannot be cleanly separated from meals, corrections, or automation. The safest synthesis is to keep the current profile and automation unchanged for now and collect meal/bolus timing data before changing dependent settings.",375
real_gpt54mini_med_50,run_009,completed,,gpt-5.4-mini,141.51,,151746,24735,True,strict,False,0.9412,2,"profile_recommendation missing required field(s): ['recommendation'] | profile_recommendation fields: ['confidence', 'decision', 'focus', 'next_check', 'rationale']",False,failed,False,,1,rejected_no_prompt,False,profile_rec_fields_exact,1,,,,,0,23,0,,basal,keep,medium,,low,0,"Do not change prebolus timing or immediate bolus percentage yet; keep SMB/UAM as background automation, and avoid e-carbs unless a logged meal repeatedly rises late over 3 to 6 hours.",2,basal,Hold profile steady and verify overnight basal first,high,basal;meal,4,4,4,"The package shows good CGM coverage and a complete active AAPS profile, but the pattern is mixed: recurrent overnight and late-evening hypoglycemia risk alongside persistent daytime hyperglycemia. Because carb logging is absent and automation is active, the data do not cleanly separate basal, meal, and correction effects.",323
real_gpt54mini_med_50,run_010,completed,,gpt-5.4-mini,133.16,,155592,23557,True,strict,False,0.9412,2,"steps with invalid status [] / confidence ['automation_smb_uam', 'meal_bolus_strategy'] | meal_strategy_summary.confidence=low-medium",True,strict,False,"analysis_steps.automation_smb_uam.confidence, analysis_steps.meal_bolus_strategy.confidence, meal_strategy_summary.confidence",1,accepted_first_pass,True,steps_enums_valid | meal_confidence_valid,2,0.0,0.0,,False,0,23,0,,basal,keep,medium,Keep the current profile unchanged and verify repeated overnight fasting windows before any basal or target revision.,low-medium,2,"Keep meal dosing conservative for now: do not increase prebolus or immediate bolus percentage yet, keep SMB/UAM active, and avoid routine e-carbs unless meal-linked delayed-rise evidence is logged.",1,basal,Keep the current profile and verify fasting overnight behavior before any dependent edit,high,basal,4,4,5,"The 14-day package shows good CGM coverage, moderate variability, meaningful lows in late evening and overnight, and afternoon hyperglycemia. The active AAPS profile and automation settings are internally consistent, but meal inference is weak because carb entries are absent. Overall, the safest synthesis is to keep the current profile and automation unchanged for now and verify patterns with better meal-linked observation before considering any dependent edits.",466
