experiment,run_id,step,status,confidence,in_workflow
real_gemini35flashlite_50,run_001,data_quality,completed,high,True
real_gemini35flashlite_50,run_001,safety_overview,completed,high,True
real_gemini35flashlite_50,run_001,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_001,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_001,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_001,automation_sensitivity_limits,completed,high,True
real_gemini35flashlite_50,run_001,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_001,meal_ecarbs_absorption,completed,medium,True
real_gemini35flashlite_50,run_001,synthesis_plan,completed,medium,True
real_gemini35flashlite_50,run_002,data_quality,completed,high,True
real_gemini35flashlite_50,run_002,safety_overview,completed,high,True
real_gemini35flashlite_50,run_002,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_002,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_002,automation_smb_uam,completed,medium,True
real_gemini35flashlite_50,run_002,automation_sensitivity_limits,completed,medium,True
real_gemini35flashlite_50,run_002,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_002,meal_ecarbs_absorption,completed,high,True
real_gemini35flashlite_50,run_002,synthesis_plan,completed,medium,True
real_gemini35flashlite_50,run_003,data_quality,completed,high,True
real_gemini35flashlite_50,run_003,safety_overview,completed,high,True
real_gemini35flashlite_50,run_003,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_003,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_003,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_003,automation_sensitivity_limits,completed,high,True
real_gemini35flashlite_50,run_003,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_003,meal_ecarbs_absorption,completed,low,True
real_gemini35flashlite_50,run_003,synthesis_plan,completed,medium,True
real_gemini35flashlite_50,run_004,data_quality,completed,high,True
real_gemini35flashlite_50,run_004,safety_overview,completed,high,True
real_gemini35flashlite_50,run_004,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_004,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_004,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_004,automation_sensitivity_limits,completed,medium,True
real_gemini35flashlite_50,run_004,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_004,meal_ecarbs_absorption,completed,low,True
real_gemini35flashlite_50,run_004,synthesis_plan,completed,medium,True
real_gemini35flashlite_50,run_005,data_quality,completed,high,True
real_gemini35flashlite_50,run_005,safety_overview,completed,high,True
real_gemini35flashlite_50,run_005,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_005,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_005,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_005,automation_sensitivity_limits,completed,medium,True
real_gemini35flashlite_50,run_005,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_005,meal_ecarbs_absorption,completed,medium,True
real_gemini35flashlite_50,run_005,synthesis_plan,completed,high,True
real_gemini35flashlite_50,run_006,data_quality,completed,high,True
real_gemini35flashlite_50,run_006,safety_overview,completed,high,True
real_gemini35flashlite_50,run_006,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_006,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_006,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_006,automation_sensitivity_limits,completed,high,True
real_gemini35flashlite_50,run_006,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_006,meal_ecarbs_absorption,completed,medium,True
real_gemini35flashlite_50,run_006,synthesis_plan,completed,high,True
real_gemini35flashlite_50,run_007,data_quality,completed,high,True
real_gemini35flashlite_50,run_007,safety_overview,completed,high,True
real_gemini35flashlite_50,run_007,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_007,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_007,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_007,automation_sensitivity_limits,completed,high,True
real_gemini35flashlite_50,run_007,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_007,meal_ecarbs_absorption,completed,medium,True
real_gemini35flashlite_50,run_007,synthesis_plan,completed,medium,True
real_gemini35flashlite_50,run_008,data_quality,completed,high,True
real_gemini35flashlite_50,run_008,safety_overview,completed,high,True
real_gemini35flashlite_50,run_008,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_008,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_008,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_008,automation_sensitivity_limits,completed,medium,True
real_gemini35flashlite_50,run_008,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_008,meal_ecarbs_absorption,completed,medium,True
real_gemini35flashlite_50,run_008,synthesis_plan,completed,medium,True
real_gemini35flashlite_50,run_009,data_quality,completed,high,True
real_gemini35flashlite_50,run_009,safety_overview,completed,high,True
real_gemini35flashlite_50,run_009,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_009,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_009,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_009,automation_sensitivity_limits,completed,high,True
real_gemini35flashlite_50,run_009,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_009,meal_ecarbs_absorption,completed,medium,True
real_gemini35flashlite_50,run_009,synthesis_plan,completed,high,True
real_gemini35flashlite_50,run_010,data_quality,completed,high,True
real_gemini35flashlite_50,run_010,safety_overview,completed,high,True
real_gemini35flashlite_50,run_010,basal_targets,completed,medium,True
real_gemini35flashlite_50,run_010,profile_cr_isf_dia,completed,medium,True
real_gemini35flashlite_50,run_010,automation_smb_uam,completed,high,True
real_gemini35flashlite_50,run_010,automation_sensitivity_limits,completed,high,True
real_gemini35flashlite_50,run_010,meal_bolus_strategy,completed,medium,True
real_gemini35flashlite_50,run_010,meal_ecarbs_absorption,completed,medium,True
real_gemini35flashlite_50,run_010,synthesis_plan,completed,medium,True
real_gemini35flashlite_50,run_011,data_quality,completed,high,True
real_gemini35flashlite_50,run_011,safety_overview,completed,high,True
real_gemini35flashlite_50,run_011,basal_targets,completed,medium,True
