experiment,run_id,rank,area,title,priority,suggested_change
real_gemini31pro_50,run_001,1,target,Create a safety buffer against overnight lows,safety,"{""profile.target.23_00"": ""110 mg/dL"", ""profile.target.00_00"": ""110 mg/dL""}"
real_gemini31pro_50,run_001,2,safety_limits,Constrain maximum basal delivery,safety,"{""aaps.core.safety_limits"": ""max_basal_u_per_hour=3 U/h; max_iob_units=25 U""}"
real_gemini31pro_50,run_001,3,meal_strategy,Temporarily log zero-bolus meals,low,{}
real_gemini31pro_50,run_002,1,target,Raise overnight glucose target for safety,safety,"{""target.23_00"": ""110 mg/dL"", ""target.00_00"": ""110 mg/dL""}"
real_gemini31pro_50,run_003,1,aaps,Restrict Max IOB and Max Basal Limits,safety,"{""max_iob_units"": 5, ""max_basal_u_per_hour"": 3}"
real_gemini31pro_50,run_003,2,target,Raise Nighttime Glucose Targets,medium,"{""target_00_00"": 110, ""target_23_00"": 110}"
real_gemini31pro_50,run_004,1,safety_limits,Reduce Max IOB and Max Basal limits,safety,"{""max_iob_units"": 5, ""max_basal_u_per_hour"": 3}"
real_gemini31pro_50,run_004,2,target,Raise overnight and midnight targets,high,"{""profile.target.00_00"": 100, ""profile.target.23_00"": 100}"
real_gemini31pro_50,run_005,1,safety_limits,Constrain AAPS Maximum Safety Limits,safety,"{""max_basal_u_per_hour"": ""3 U/h"", ""max_iob_units"": ""5 U""}"
real_gemini31pro_50,run_005,2,smb,Announce Primary Afternoon Meals,high,{}
real_gemini31pro_50,run_006,1,aaps,Restrict Maximum IOB and Max Basal,safety,"{""max_iob_units"": ""7 U"", ""max_basal_u_per_hour"": ""4 U/h""}"
real_gemini31pro_50,run_006,2,target,Raise Overnight Glucose Target,safety,"{""target_23_00"": ""100 mg/dL"", ""target_00_00"": ""100 mg/dL""}"
real_gemini31pro_50,run_007,1,target,Raise Overnight Target for Safety,safety,"{""profile.target.00_00"": ""100 mg/dL"", ""profile.target.23_00"": ""100 mg/dL""}"
real_gemini31pro_50,run_007,2,safety_limits,Tighten Max Basal and Max IOB Limits,high,"{""aaps.core.safety_limits"": ""Verify and lower max_basal_u_per_hour and max_iob_units.""}"
