experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_gemini35flashlite_50,profile.basal.00_00,profile,0.6 U/h,49,keep,0.898,0.102,0.044–0.218,0.4754,5,44,0,1,0.5 u/h x5
real_gemini35flashlite_50,profile.basal.05_00,profile,0.7 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.basal.06_00,profile,0.8 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.basal.10_00,profile,0.7 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.basal.16_00,profile,0.5 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.basal.18_00,profile,0.6 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.basal.19_00,profile,0.7 U/h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.cr.00_00,profile,13 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.cr.04_00,profile,11.1 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.cr.08_00,profile,13.2 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.cr.16_00,profile,10.5 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.cr.20_00,profile,12.6 g/U,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.isf.00_00,profile,56 mg/dL/U,49,keep,0.98,0.0,0.0–0.073,0.1437,0,48,1,0,
real_gemini35flashlite_50,profile.target.00_00,profile,90 mg/dL,49,keep,0.98,0.02,0.004–0.107,0.1437,1,48,0,1,95 mg/dl x1
real_gemini35flashlite_50,profile.target.08_00,profile,100 mg/dL,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.target.23_00,profile,90 mg/dL,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,profile.dia,profile,10 h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,aaps.core.safety_limits,aaps,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,49,keep,0.837,0.163,0.085–0.29,0.6421,8,41,0,4,max_basal_u_per_hour=12 u/h; max_iob_units=6 u x5 | max_basal_u_per_hour=12 u/h; max_iob_units=10 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=8 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=15 u x1
real_gemini35flashlite_50,aaps.core.sensitivity,aaps,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
real_gemini35flashlite_50,aaps.core.carb_absorption,aaps,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,49,keep,1.0,0.0,0.0–0.073,-0.0,0,49,0,0,
