experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_gemini35flashlite_50,run_001,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,Current basal rate supports stable early night control; dips below 70 mg/dL between 00:00 and 02:00 may stem from evening correction/meal overlap rather than baseline basal excess. Evidence: hourly glucose data. Uncertainty: exact insulin action decay from evening doses. Dependencies: none.
real_gemini35flashlite_50,run_001,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,Early morning glucose averages remain stable around 99 mg/dL. Evidence: hourly glucose data. Uncertainty: dawn phenomenon interaction. Dependencies: none.
real_gemini35flashlite_50,run_001,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,Appropriate morning basal coverage supporting stable fasting glucose before morning rises. Evidence: hourly glucose data. Uncertainty: morning resistance patterns. Dependencies: none.
real_gemini35flashlite_50,run_001,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,Maintains steady mid-day glucose prior to afternoon meal periods. Evidence: hourly glucose data. Uncertainty: activity levels. Dependencies: none.
real_gemini35flashlite_50,run_001,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,Afternoon peaks are primarily driven by unannounced meals and GLP-1 delayed absorption rather than basal deficiency. Evidence: treatment logs showing 0 carbs. Uncertainty: exact meal absorption timing. Dependencies: meal strategy.
real_gemini35flashlite_50,run_001,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,Provides stable transition into evening hours. Evidence: hourly glucose data. Uncertainty: dinner timing. Dependencies: none.
real_gemini35flashlite_50,run_001,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,Adequate evening basal rate supporting post-dinner stability. Evidence: hourly glucose data. Uncertainty: evening activity. Dependencies: none.
real_gemini35flashlite_50,run_001,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,No carbohydrate entry data is available to validate carb ratios. Evidence: treatment summary. Uncertainty: true CR efficacy without declared meals. Dependencies: meal logging.
real_gemini35flashlite_50,run_001,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,Maintained pending meal carbohydrate entry data. Evidence: profile configuration. Uncertainty: lack of declared carb data. Dependencies: meal logging.
real_gemini35flashlite_50,run_001,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,Maintained pending meal carbohydrate entry data. Evidence: profile configuration. Uncertainty: lack of declared carb data. Dependencies: meal logging.
real_gemini35flashlite_50,run_001,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,Maintained pending meal carbohydrate entry data. Evidence: profile configuration. Uncertainty: lack of declared carb data. Dependencies: meal logging.
real_gemini35flashlite_50,run_001,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,Maintained pending meal carbohydrate entry data. Evidence: profile configuration. Uncertainty: lack of declared carb data. Dependencies: meal logging.
real_gemini35flashlite_50,run_001,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,Flat profile ISF is successfully adjusted in real-time by AAPS Dynamic Sensitivity (70%). Changing baseline ISF without observing unannounced meal data could cause over-delivery. Evidence: loop telemetry. Uncertainty: dynamic sensitivity scaling interaction. Dependencies: automation settings.
real_gemini35flashlite_50,run_001,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,Appropriate nocturnal target supporting tight control. Evidence: profile configuration. Uncertainty: nocturnal dip risk. Dependencies: basal delivery.
real_gemini35flashlite_50,run_001,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,Safe daytime target. Evidence: profile configuration. Uncertainty: postprandial excursions. Dependencies: automation.
real_gemini35flashlite_50,run_001,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,Maintains evening target consistency. Evidence: profile configuration. Uncertainty: dinner absorption. Dependencies: none.
real_gemini35flashlite_50,run_001,profile.dia,profile,True,10 h,keep,10 h,Long DIA (10 hours) provides conservative insulin stacking protection in closed loop. Evidence: profile configuration. Uncertainty: insulin kinetics under GLP-1. Dependencies: automation IOB tracking.
real_gemini35flashlite_50,run_001,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,Essential for managing unannounced meals given the lack of declared carbohydrate entries. Evidence: aaps_profile.smb_settings. Uncertainty: reliance on UAM for meal detection. Dependencies: none.
real_gemini35flashlite_50,run_001,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,Appropriate configuration for unannounced-carb workflow. Evidence: aaps settings. Uncertainty: potential contribution to nocturnal dips when temporary targets are used. Dependencies: none.
