experiment,parameter_key,category,current_value,n_runs,modal_decision,agreement,change_rate,change_rate_ci95,entropy_bits,n_change,n_keep,n_verify,distinct_suggested_values,suggested_values
real_opus5,profile.basal.00_00,profile,0.6 U/h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.basal.05_00,profile,0.7 U/h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.basal.06_00,profile,0.8 U/h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.basal.10_00,profile,0.7 U/h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.basal.16_00,profile,0.5 U/h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.basal.18_00,profile,0.6 U/h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.basal.19_00,profile,0.7 U/h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.cr.00_00,profile,13 g/U,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.cr.04_00,profile,11.1 g/U,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.cr.08_00,profile,13.2 g/U,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.cr.16_00,profile,10.5 g/U,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.cr.20_00,profile,12.6 g/U,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.isf.00_00,profile,56 mg/dL/U,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.target.00_00,profile,90 mg/dL,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.target.08_00,profile,100 mg/dL,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.target.23_00,profile,90 mg/dL,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,profile.dia,profile,10 h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,aaps.core.smb_uam,aaps,smb_enabled=true; uam_enabled=true,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,aaps.core.smb_activation,aaps,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
real_opus5,aaps.core.smb_delivery,aaps,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,19,keep,0.737,0.263,0.118–0.488,0.8315,5,14,0,2,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=15 min x4 | smb_interval_minutes=5 to 8 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min x1
real_opus5,aaps.core.safety_limits,aaps,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,19,change,0.895,0.895,0.686–0.971,0.4855,17,2,0,10,"max_basal_u_per_hour=12 u/h; max_iob_units=8 u x6 | max_basal_u_per_hour=12 u/h; max_iob_units=10 u x3 | max_basal_u_per_hour=12 u/h; max_iob_units=7 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=a reachable backstop with clear headroom above the observed peak of 5.94 u, for example 8-10 u, to be confirmed with the care team x1 | max_basal_u_per_hour=12 u/h; max_iob_units=8 to 10 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units=6 to 8 u for review with the care team x1 | max_basal_u_per_hour=4 u/h; max_iob_units=8 u x1 | max_basal_u_per_hour=12 u/h unchanged; max_iob_units reduced from 25 u to a care-team-agreed ceiling clearly above routine operating iob and far below 25 u, for example in the region of 8 to 10 u if total daily dose is confirmed near 20 u per day x1 | max_basal_u_per_hour=5 u/h; max_iob_units=10 u x1 | max_basal_u_per_hour=12 u/h; max_iob_units in the region of 8 to 10 u, to be agreed with the care team x1"
real_opus5,aaps.core.sensitivity,aaps,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,19,keep,0.684,0.316,0.154–0.54,0.8997,6,13,0,2,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=60 % x5 | autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=55 to 60 % x1
real_opus5,aaps.core.carb_absorption,aaps,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,19,keep,1.0,0.0,0.0–0.168,-0.0,0,19,0,0,
