experiment,run_id,status,error,model,wall_time_s,est_cost_usd,input_tokens_total,output_tokens_total,json_extracted,extraction_method,fully_compliant,schema_score,n_violations,violations,first_pass_json,first_pass_method,first_pass_compliant,first_pass_sections,n_repairs,app_outcome,app_accepted,prompt_only_violations,n_prompt_only_violations,repair_rows_changed,repair_decisions_changed,repair_decisions_changed_keys,repair_profile_focus_changed,n_change,n_keep,n_verify,changed_keys,profile_rec_focus,profile_rec_decision,profile_rec_confidence,profile_rec_text,meal_confidence,meal_n_exceptions,meal_suggestion,n_recommendations,primary_rec_area,primary_rec_title,primary_rec_priority,rec_areas,n_issues,n_strengths,n_implementation_steps,summary,summary_chars
real_grok46_50,run_001,completed,,x-ai/grok-4.6,587.24,,134859,35039,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep every basal, CR, ISF, target, and DIA value, including 00:00 0.6 U/h, 16:00 0.5 U/h, ISF 56 mg/dL/U, targets 90/100/90 mg/dL, and DIA 10 h.",medium,2,"Keep the observed combination: no declared prebolus, no declared immediate bolus percent, no e-carbs, and SMB plus UAM as the entire meal bolus. Do not invent minutes, percents, or e-carb durations. If a meal handle is needed before carbs are logged, the existing 135 mg/dL temporary target with high-TT SMB off is the only in-data lever that reduces rather than adds meal-time automation.",2,basal,Keep the profile and do not add insulin for afternoon highs,safety,basal;smb,7,6,9,"Over 14 days with 98.7 percent CGM coverage, mean glucose was 121.6 mg/dL, time in range 86.0 percent, time above range 8.9 percent, and time below range 5.1 percent. The selected AAPS profile is treated as applicable. No carb or e-carb entries were recorded, so meals were covered by always-on SMB and UAM with Dynamic ISF, not by CR. Afternoon highs and later evening or overnight lows share leftover IOB as the leading explanation. All profile and AAPS inventory values are kept; the next step is meal-timed observation, not a parameter change.",547
real_grok46_50,run_002,completed,,x-ai/grok-4.6,567.95,,133769,33019,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,1,22,0,profile.target.00_00,target,change,medium,"Review one profile value: 00:00 target 90 mg/dL to 100 mg/dL, matching the existing 08:00 target, and keep every basal, CR, ISF, DIA, and 23:00 target value unchanged during that review.",low,2,"Keep the observed path: no declared prebolus, no immediate bolus percent, no e-carbs, and meals covered by already-on SMB and UAM. Do not add a full CR wizard bolus or e-carb stream on top of unchanged UAM.",2,target,Review raising only the 00:00 target from 90 to 100 mg/dL,safety,target;sequence,5,5,5,"Fourteen days of Nightscout CGM are complete enough for pattern review (98.7% coverage). Overall time in range is high (86.0%) with mean glucose 121.6 mg/dL, but time below range is 5.1% and clusters at local 01:00 and 19:00. Carbs were not logged, so meals were executed by always-on SMB and UAM rather than the CR table. The selected AAPS profile is treated as applicable. The only supported profile review after separating meal, IOB, and automation effects is raising the 00:00 target from 90 mg/dL to the already used 100 mg/dL daytime target, while holding basal, CR, ISF, DIA, and automation.",598
real_grok46_50,run_003,completed,,x-ai/grok-4.6,548.25,,133851,32295,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep every current profile segment, including overnight targets of 90 mg/dL and overnight basal 0.6 U/h.",low,2,"Keep the observed unannounced path: no prebolus, no immediate bolus percent, no e-carbs, and let SMB plus UAM cover rises, using a high 135 mg/dL temporary target when a larger or slower afternoon wave is expected rather than adding a late extra correction on rising IOB.",2,target,Keep the profile and first separate overnight IOB from target and basal,safety,target;basal,6,5,7,"Over 14 days of good CGM coverage, mean glucose was 121.6 mg/dL with 86% time in range, 8.9% above range, and 5.1% below range. Local-time patterns show afternoon highs around 14:00-17:00 and hypoglycemia clusters near 19:00 and 01:00. No carbs or e-carbs were logged, so UAM, always-on SMB, and Dynamic ISF carried meal and correction work while the scheduled CR and seed ISF could not be tested. Competing explanations were not separated, so the profile and AAPS groups are kept and the next step is observation, not a parameter edit.",536
real_grok46_50,run_004,completed,,x-ai/grok-4.6,568.21,,136849,31472,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep overnight target 90 mg/dL, daytime target 100 mg/dL, and every other profile segment unchanged.",low,2,"Keep the observed plan: no declared prebolus, no immediate bolus percent, no e-carbs, and meal insulin only from always-on SMB plus UAM. Do not add a carb-based bolus or e-carb layer on top of that path. If late-day food is known, the file already shows higher temporary targets rather than extra meal insulin.",2,target,Keep the profile and separate leftover IOB from overnight landing,safety,target;smb,6,6,6,"Over 14 days, CGM coverage is good and time in range is high, but time below range is 5.1 percent and clusters at 19:00 local and overnight. Carbs are undeclared and unlogged, so UAM and SMB plus Dynamic ISF explain afternoon highs and later insulin on board. No isolated profile or AAPS number change is supported; keep the current profile and verify late-day intake against bedtime IOB before any single later lever.",418
real_grok46_50,run_005,completed,,x-ai/grok-4.6,530.92,,131626,28460,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep every basal, target, CR, ISF, and DIA value unchanged.",low,2,"There is no declared prebolus, immediate bolus percent, or e-carb plan. Observed meals were covered by always-on UAM/SMB with no announced carbs and no e-carbs. Keep that combined approach unchanged and do not invent a prebolus, bolus split, or e-carb duration from unlabeled curves.",2,basal,Keep the current profile and verify nights without leftover meal IOB,high,basal;smb,5,5,5,"Over 14 days with 98.7% CGM coverage, mean glucose was 121.6 mg/dL with 86% time in range, 8.9% above range, and 5.1% below range. Mornings were the most stable window. Afternoon highs and evening-to-overnight lows occurred with zero announced carbs, always-on UAM/SMB, and Dynamic ISF, so meal, automation, residual IOB, target, and site-failure effects are not yet separated. The selected profile is kept pending labeled meals and fasting overnight checks.",458
real_grok46_50,run_006,completed,,x-ai/grok-4.6,557.64,,136784,31369,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep the selected profile unchanged, including overnight target 90 mg/dL and 00:00 basal 0.6 U/h.",medium,1,"Treat meals as unannounced: no declared prebolus minutes and no declared immediate bolus percent, so invent neither; keep SMB and UAM as the meal insulin; do not add e-carbs while COB is unused. Prioritize avoiding extra afternoon insulin that can still act at 19:00 and overnight because DIA is 10 h.",3,target,Keep the overnight profile and compare midnight IOB with overnight lows,safety,target;basal;smb,5,5,6,"Fourteen days of Nightscout CGM were 98.7 percent complete, with mean glucose 121.6 mg/dL, time in range 86.0 percent, time below range 5.1 percent, and coefficient of variation 32.6 percent. Local-hour lows clustered at 01:00 (time below range 18.5 percent) and 19:00 (15.3 percent), while 14:00-16:00 local had the most time above range. The selected AAPS profile is complete and declared historically applicable. Zero carb entries were present, so always-on SMB with UAM and Dynamic ISF at 70 percent supplied most meal-time insulin. Overnight lows can still be residual IOB with a 10 h DIA, the 90 mg/dL overnight target, or 00:00 basal 0.6 U/h; those explanations are not separated, so every inventory value is kept and the next step is observation rather than a setting edit.",781
real_grok46_50,run_007,completed,,x-ai/grok-4.6,445.58,,131246,26003,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep every current basal, target, CR, ISF, and DIA value. Next action is a verification plan, not a setting change: review 00:00-03:00 lows on nights with low leftover IOB versus nights after an afternoon UAM or correction stack.",low,2,"There is no declared prebolus, immediate-bolus percent, or e-carb plan. Keep meals unbolused or only lightly corrected until carb or meal-start records exist; if a rise is expected, use the already observed 135 mg/dL high temp target so SMB and UAM pause, then allow UAM only after that temp target ends if glucose is still rising. Do not add e-carbs or invent a prebolus or immediate-bolus percent.",2,basal,Keep the profile and verify overnight lows against leftover IOB,safety,basal;smb,6,6,7,"Fourteen days of Nightscout data with 98.7 percent CGM coverage show mean glucose 121.6 mg/dL, 86 percent time in range, 8.9 percent above range, and 5.1 percent below range. Local afternoons rise, then evenings and early nights fall, including readings near 41-42 mg/dL. The selected AAPS profile is complete and declared applicable, but carbohydrate entries are zero and the user-declared meal-strategy list is empty, so UAM and SMB are the observed meal controller. Overnight basal, overnight target, afternoon basal, flat ISF, Dynamic ISF, and SMB remain competing explanations. The profile is kept and one verification plan is used before any later single change.",668
real_grok46_50,run_008,completed,,x-ai/grok-4.6,568.02,,134105,32308,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,2,21,0,profile.target.00_00;profile.target.23_00,target,change,medium,"Review raising profile targets at 23:00 and 00:00 from 90 mg/dL to 100 mg/dL as the only first profile change, and keep every basal, CR, ISF, and DIA value unchanged.",low,0,"There is no declared prebolus or immediate bolus percentage and none was observed; keep the executed pattern as UAM/SMB-led meals with no e-carbs until carbs are logged, and do not add a full announced bolus or an e-carb recipe while 18:00-03:00 hypoglycemia remains the binding risk.",2,target,Review overnight targets 23:00 and 00:00 first,safety,target;smb,7,5,6,"Over 14 days with 98.7% CGM coverage, mean glucose was 121.6 mg/dL with 86.0% time in range, 8.9% above range, and 5.1% below range. The recurring shape is afternoon rise (worst around 16:00 local) followed by evening and late-night lows, including readings of 41-42 mg/dL. The selected AAPS profile is complete and declared applicable. No carbs were logged, so meals were handled by always-on SMB/UAM and Dynamic ISF rather than CR or e-carbs. Overnight target 90 mg/dL is the single first profile review candidate; basal, CR, ISF, DIA, and AAPS groups are held while that review is observed.",593
real_grok46_50,run_009,completed,,x-ai/grok-4.6,496.62,,134513,28896,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,target,keep,medium,"Keep every basal, target, CR, ISF, and DIA value as currently set. Do not raise overnight insulin and do not change target 90 yet.",medium,2,"Use the observed UAM-only pattern: no declared prebolus, no declared immediate bolus percent, no announced carbs, and no e-carbs. Let UAM and always-on SMB cover unlogged intake, use a high temporary target when less SMB is wanted, and avoid extra afternoon corrections on top of rising IOB so DIA 10 h insulin is less likely to meet overnight target 90.",3,target,Keep overnight profile settings and separate evening IOB from overnight insulin,safety,target;basal;smb,6,5,9,"Fourteen days of Nightscout CGM (98.7% coverage) show mean glucose 121.6 mg/dL, time in range 86%, time above range 8.9%, time below range 5.1%, and CV 32.6%. Local afternoons run high with no logged carbs, then evenings and early nights show recurring lows. The selected AAPS profile is the applicable configuration (historical_applicability yes). Observed meal execution is UAM plus always-on SMB and corrections, not announced carb boluses. Declared meal_strategies is an empty list and prebolus, immediate-bolus-percent, and e-carb fields are null. Competing overnight explanations are not separated, so profile and AAPS rows stay unchanged.",645
real_grok46_50,run_010,completed,,x-ai/grok-4.6,512.2,,136150,31990,True,strict,True,1.0,0,,True,strict,True,,0,accepted_first_pass,True,,0,,,,,0,23,0,,basal,keep,medium,"Keep every current basal, target, CR, ISF, and DIA value. Review two or three nights when afternoon IOB has already fallen near zero and check whether local 00:00-03:00 still goes below range.",low,2,"Keep the observed unannounced-meal path: no derived prebolus minutes, no immediate bolus percent, leave SMB/UAM on as the meal controller, and do not add e-carbs.",2,basal,Keep the current profile and first separate overnight lows from leftover IOB,high,basal;smb,5,5,9,"Fourteen days of good CGM coverage show TIR 86.0% with mean 121.6 mg/dL, but TBR 5.1% and CV 32.6% are the binding pattern. Local mornings 05:00-08:00 are stable, while unannounced intake plus always-on UAM/SMB and Dynamic ISF track with afternoon highs and evening or overnight lows. Carb entry and e-carbs were unused. The selected AAPS profile is treated as applicable; no profile or AAPS value is changed because meal, IOB, and automation effects are not separated.",469
