experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gemini31pro_50,run_001,run_002,0.121,0.664,0.349,0.667,True,True
real_gemini31pro_50,run_001,run_003,0.091,0.554,0.329,1.0,False,True
real_gemini31pro_50,run_001,run_004,0.056,0.684,0.256,1.0,False,True
real_gemini31pro_50,run_001,run_005,0.006,0.243,0.348,0.333,False,False
real_gemini31pro_50,run_001,run_006,0.107,0.7,0.028,1.0,False,True
real_gemini31pro_50,run_001,run_007,0.062,0.65,0.19,1.0,True,True
real_gemini31pro_50,run_001,run_008,0.122,0.753,0.239,1.0,True,True
real_gemini31pro_50,run_001,run_009,0.108,0.771,0.283,1.0,True,True
real_gemini31pro_50,run_001,run_010,0.047,0.615,0.136,1.0,False,True
real_gemini31pro_50,run_001,run_011,0.072,0.244,0.232,0.333,False,False
real_gemini31pro_50,run_001,run_012,0.167,0.659,0.184,1.0,False,True
real_gemini31pro_50,run_001,run_013,0.094,0.718,0.248,1.0,False,True
real_gemini31pro_50,run_001,run_014,0.125,0.609,0.041,0.75,False,True
real_gemini31pro_50,run_001,run_015,0.103,0.706,0.25,1.0,False,True
real_gemini31pro_50,run_001,run_016,0.112,0.591,0.054,1.0,False,True
real_gemini31pro_50,run_001,run_017,0.169,0.807,0.089,1.0,False,True
real_gemini31pro_50,run_001,run_018,0.114,0.706,0.241,0.667,True,True
real_gemini31pro_50,run_001,run_019,0.133,0.786,0.341,1.0,False,True
real_gemini31pro_50,run_001,run_020,0.093,0.741,0.197,1.0,False,True
real_gemini31pro_50,run_001,run_021,0.048,0.796,0.374,1.0,False,True
real_gemini31pro_50,run_001,run_022,0.101,0.623,0.31,1.0,False,True
real_gemini31pro_50,run_001,run_023,0.127,0.678,0.02,1.0,False,True
real_gemini31pro_50,run_001,run_024,0.07,0.722,0.323,1.0,True,True
real_gemini31pro_50,run_001,run_025,0.081,0.28,0.015,0.333,False,False
real_gemini31pro_50,run_001,run_026,0.138,0.57,0.132,1.0,False,True
real_gemini31pro_50,run_001,run_027,0.147,0.811,0.055,1.0,True,True
real_gemini31pro_50,run_001,run_028,0.091,0.706,0.015,1.0,True,True
real_gemini31pro_50,run_001,run_029,0.094,0.727,0.274,1.0,False,True
real_gemini31pro_50,run_001,run_030,0.017,0.594,0.021,1.0,False,True
real_gemini31pro_50,run_001,run_031,0.092,0.563,0.335,0.667,True,True
real_gemini31pro_50,run_001,run_032,0.064,0.635,0.235,0.75,False,True
real_gemini31pro_50,run_001,run_033,0.172,0.472,0.369,0.75,True,True
real_gemini31pro_50,run_001,run_034,0.091,0.706,0.215,1.0,False,True
real_gemini31pro_50,run_001,run_035,0.101,0.671,0.235,1.0,False,True
real_gemini31pro_50,run_001,run_036,0.059,0.27,0.321,0.333,False,False
real_gemini31pro_50,run_001,run_037,0.142,0.741,0.274,0.75,True,True
real_gemini31pro_50,run_001,run_038,0.073,0.706,0.354,1.0,False,True
real_gemini31pro_50,run_001,run_039,0.066,0.678,0.071,1.0,True,True
real_gemini31pro_50,run_001,run_040,0.07,0.296,0.015,0.333,False,True
real_gemini31pro_50,run_001,run_041,0.131,0.652,0.26,1.0,False,True
real_gemini31pro_50,run_001,run_042,0.06,0.678,0.037,1.0,False,True
real_gemini31pro_50,run_001,run_043,0.058,0.758,0.249,1.0,False,True
