experiment,run_id,rank,area,title,priority,suggested_change
real_deepseek_v4pro_50,run_001,1,meal_strategy,Begin carbohydrate entries for all meals,high,"{""action"": ""Begin entering carbohydrate grams for all meals and delivering immediate boluses using existing CR profile"", ""breakfast_lunch_cr"": ""13.2 g/U (08:00-16:00)"", ""evening_meal_cr"": ""10.5 g/U (16:00-20:00)"", ""late_snack_cr"": ""12.6 g/U (20:00-00:00)"", ""prebolus"": ""Not yet; start with immediate bolus to establish baseline"", ""observation_period"": ""One week with at least two meals per day entered""}"
real_deepseek_v4pro_50,run_001,2,smb_activation,Disable SMB during temporary targets,safety,"{""parameter"": ""smb_with_temp_target_enabled"", ""current_value"": ""true"", ""suggested_value"": ""false""}"
real_deepseek_v4pro_50,run_001,3,sensitivity,Reduce Dynamic ISF adjustment factor,medium,"{""parameter"": ""dynamic_isf_adjustment_factor_percent"", ""current_value"": ""70%"", ""suggested_value"": ""60%""}"
real_deepseek_v4pro_50,run_001,4,isf,Consider ISF time segmentation after meal bolus baseline,low,"{""parameter"": ""isf_segmentation"", ""current_value"": ""Single segment: 56 mg/dL/U all day"", ""suggested_value"": ""Future consideration: separate overnight segment after meal bolus data validates the pattern""}"
real_deepseek_v4pro_50,run_002,1,basal,Reduce overnight basal rate,high,"""Change basal 00:00-05:00 from 0.6 U/h to 0.5 U/h."""
real_deepseek_v4pro_50,run_002,2,aaps,Lower maximum IOB for safety,safety,"""In AAPS settings, change max_iob_units from 25 to 8 U."""
real_deepseek_v4pro_50,run_002,3,meal,Introduce at least one daily meal announcement,medium,"""Start entering carbohydrate amounts for one daily meal and observe post-meal CGM for 4 hours."""
real_deepseek_v4pro_50,run_003,1,basal,Reduce overnight basal (00:00–05:00),safety,"{""parameter_key"": ""profile.basal.00_00"", ""current_value"": ""0.6 U/h"", ""suggested_value"": ""0.5 U/h""}"
real_deepseek_v4pro_50,run_003,2,isf,Increase insulin sensitivity factor (ISF),high,"{""parameter_key"": ""profile.isf.00_00"", ""current_value"": ""56 mg/dL/U"", ""suggested_value"": ""80 mg/dL/U""}"
real_deepseek_v4pro_50,run_004,1,data_foundation,Record all carbohydrate intake consistently,high,"{""action"": ""Begin recording all carbohydrate intake immediately; note amount (grams), time, and pre‑bolus timing for at least one week.""}"
real_deepseek_v4pro_50,run_004,2,automation_smb_uam,Lower max IOB to reduce insulin stacking,safety,"{""parameter"": ""max_iob_units"", ""current_value"": ""25 U"", ""suggested_value"": ""10 U""}"
real_deepseek_v4pro_50,run_004,3,basal,Reduce overnight basal rates to lessen hypoglycemia risk,high,"{""segments"": [{""start"": ""00:00"", ""end"": ""05:00"", ""current"": ""0.6 U/h"", ""suggested"": ""0.5 U/h""}, {""start"": ""05:00"", ""end"": ""06:00"", ""current"": ""0.7 U/h"", ""suggested"": ""0.6 U/h""}]}"
real_deepseek_v4pro_50,run_005,1,isf,Correct Insulin Sensitivity Factor (ISF),high,"{""parameter"": ""profile.isf.00_00"", ""current_value"": ""56 mg/dL/U"", ""suggested_value"": ""30 mg/dL/U""}"
real_deepseek_v4pro_50,run_005,2,dia,Reduce Duration of Insulin Action (DIA),high,"{""parameter"": ""profile.dia"", ""current_value"": ""10 h"", ""suggested_value"": ""5 h""}"
real_deepseek_v4pro_50,run_005,3,meal_strategy,Begin Logging Meals for Carb Ratio Validation,medium,{}
real_deepseek_v4pro_50,run_005,4,meal_strategy,Adopt a Pre‑Bolus Meal Strategy,medium,{}
real_deepseek_v4pro_50,run_006,1,isf,Increase Insulin Sensitivity Factor (ISF),safety,"{""parameter"": ""ISF 00:00"", ""current_value"": ""56 mg/dL/U"", ""suggested_value"": ""150 mg/dL/U""}"
real_deepseek_v4pro_50,run_007,1,basal,Reduce overnight basal rate (00:00–05:00),safety,"{""parameter_key"": ""profile.basal.00_00"", ""current_value"": ""0.6 U/h"", ""suggested_value"": ""0.5 U/h""}"
real_deepseek_v4pro_50,run_007,2,automation sensitivity,Raise Dynamic ISF adjustment factor to reduce over-correction,safety,"{""parameter_key"": ""aaps.core.sensitivity"", ""current_value"": ""autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %"", ""suggested_value"": ""autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=85 %""}"
real_deepseek_v4pro_50,run_007,3,meal strategy,Log one complete meal per day to enable carb ratio and bolus review,medium,null
