experiment,run_id,rank,area,title,priority,suggested_change
real_opus5,run_001,1,smb,Primary: review the max IOB ceiling as the first and only change this cycle,safety,"{""parameter"": ""max_iob_units"", ""direction"": ""decrease"", ""from"": ""25 U"", ""to"": ""10 U"", ""observation_window_days"": 10, ""do_not_combine_with"": [""max_uam_smb_basal_minutes"", ""dynamic_isf_adjustment_factor_percent"", ""profile.dia"", ""any basal segment""], ""what_to_watch"": [""Whether insulin on board still reaches 4 to 6 units on afternoon high days"", ""Time below range in the 18:00 to 19:00 and 23:00 to 03:00 local windows"", ""Whether the 13:00 to 17:00 local time above range worsens, which would indicate the ceiling is too tight""]}"
real_opus5,run_001,2,smb,Second cycle only: align the UAM SMB allowance with the standard SMB allowance,medium,"{""parameter"": ""max_uam_smb_basal_minutes"", ""direction"": ""decrease"", ""from"": ""20 min"", ""to"": ""15 min"", ""sequence_position"": 2, ""precondition"": ""Only after at least 10 days of observation following the max_iob change, and only if evening or overnight time below range has not already resolved.""}"
real_opus5,run_001,3,cr,Begin logging carbohydrates for one recurring meal before any profile change is considered,high,"{""direction"": ""observe"", ""action"": ""log_carbohydrate_entries"", ""target_meal"": ""recurring midday meal at approximately 12:00 to 13:00 local"", ""duration_days"": 10, ""note"": ""min_carbs_required_grams is 20, so entries below that threshold may not register as intended."", ""do_not_combine_with"": [""any carb ratio change"", ""any ISF change""]}"
real_opus5,run_001,4,target,Do not treat the overnight target as a lever until effective targets are understood,low,"{""parameter"": ""profile.target.23_00"", ""direction"": ""hold"", ""note"": ""Reassess only after the automation exposure changes have been evaluated and the relationship between profile target and effective target is clearer.""}"
real_opus5,run_002,1,smb,Reduce the maximum insulin-on-board ceiling as the single first change,safety,"{""direction"": ""decrease"", ""component"": ""max_iob_units"", ""from"": ""25 U"", ""to"": ""8 U"", ""review_window_days"": 14, ""observe"": ""peak insulin on board per day, whether the ceiling engages at all, below-range percentage at local hours 18 to 20 and 23 to 03, and whether afternoon time above range worsens""}"
real_opus5,run_002,2,isf,Consider a single dynamic sensitivity factor reduction only after the ceiling change has been observed,high,"{""direction"": ""decrease"", ""component"": ""dynamic_isf_adjustment_factor_percent"", ""from"": ""70 %"", ""to"": ""defer until the insulin-on-board ceiling change has been observed for at least 14 days"", ""precondition"": ""only one sensitivity-related parameter may move at a time""}"
real_opus5,run_002,3,cr,Record carbohydrate amounts and times for seven consecutive days as an observation step,medium,"{""action"": ""observation_only"", ""record"": ""carbohydrate grams and actual clock time for every eating occasion including rescue carbohydrate"", ""duration_days"": 7, ""unblocks"": ""carb ratio validation, absorption assessment, separation of unannounced meals from daytime basal, quantification of rebound highs""}"
real_opus5,run_002,4,basal,Verify site and infusion-set hygiene before attributing afternoon highs to settings,medium,"{""action"": ""confirm_before_parameter_change"", ""check"": ""whether site changes occurred but were not recorded after 08-17, and whether the 08-19 occlusion affected delivery on surrounding days"", ""effect_if_confirmed"": ""exclude 08-18 and 08-19 from any settings-based attribution""}"
real_opus5,run_003,1,smb,Primary: discuss reducing the unannounced-meal microbolus ceiling as the single first change,safety,"{""parameter_key"": ""aaps.core.smb_delivery"", ""component"": ""max_uam_smb_basal_minutes"", ""direction"": ""decrease"", ""from"": ""20 min"", ""to_candidate"": ""15 min"", ""hold_unchanged"": [""smb_interval_minutes"", ""max_smb_basal_minutes""], ""observation_days"": 10, ""observe"": [""time below range at 18:00-19:00 local"", ""peak IOB in loop statuses"", ""frequency of 120-minute zero-basal periods"", ""time above range at 14:00-17:00 local""]}"
real_opus5,run_003,2,safety,"Second, and only after the first change is evaluated: discuss a maximum IOB closer to therapy scale",high,"{""parameter_key"": ""aaps.core.safety_limits"", ""component"": ""max_iob_units"", ""direction"": ""decrease"", ""from"": ""25 U"", ""to_candidate"": ""7 U"", ""hold_unchanged"": [""max_basal_u_per_hour""], ""precondition"": ""Only after at least 10 days of observation following the microbolus ceiling change"", ""observe"": [""whether the ceiling is ever reached"", ""time above range if the ceiling limits needed corrections""]}"
